latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.32337,79.95413,979.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.00,0.00,0.00,47,57,24,-13.0,7.36,27754.97,-2.9,5.8,-9.7,6.1,8.4,9,0.70,1.00
2015-01-02,0.00,0.00,0.00,50,61,34,-9.0,4.78,14817.90,0.6,7.4,-5.4,4.6,7.6,10,0.68,0.78
2015-01-03,2.70,0.00,2.10,79,89,65,-7.1,4.19,15319.11,-3.9,-1.5,-8.0,6.1,7.9,107,0.18,0.39
2015-01-04,0.00,0.00,0.00,60,67,43,-13.9,7.63,27817.25,-7.3,1.5,-13.0,5.9,7.2,17,0.36,0.76
2015-01-05,0.00,0.00,0.00,48,66,30,-13.1,5.57,18155.53,-3.1,4.0,-12.9,5.1,7.9,357,0.57,0.81
2015-01-06,1.50,0.30,0.91,66,83,51,-8.1,4.53,12832.21,-2.7,0.8,-7.6,4.1,6.2,16,0.31,0.51
2015-01-07,0.00,0.00,0.00,63,83,52,-10.5,7.00,27785.16,-4.2,3.5,-10.2,6.2,8.3,14,0.37,0.83
2015-01-08,0.00,0.00,0.00,45,58,23,-15.4,8.06,28286.03,-4.6,8.8,-11.2,6.8,8.3,2,0.88,1.13
2015-01-09,0.00,0.00,0.00,37,48,20,-13.6,7.86,28431.48,0.1,9.5,-10.6,6.0,8.0,22,0.91,1.28
2015-01-10,0.00,0.00,0.00,61,75,49,-9.5,7.40,28185.34,-2.9,1.3,-7.1,6.1,7.9,51,0.28,0.79
2015-01-11,0.00,0.00,0.07,44,72,26,-10.3,7.16,25858.36,1.1,8.3,-5.8,6.4,11.3,9,0.78,1.25
2015-01-12,0.00,0.00,0.00,66,82,35,-7.4,6.53,28343.22,-1.6,0.5,-5.0,5.0,9.7,63,0.40,0.61
2015-01-13,0.00,0.00,0.00,50,69,34,-12.3,6.87,21818.80,-3.2,0.8,-9.6,5.1,8.0,49,0.40,0.82
2015-01-14,0.00,0.00,0.00,31,40,19,-18.4,8.55,29030.90,-3.4,5.4,-9.6,4.7,7.0,358,0.71,1.14
2015-01-15,0.10,0.00,0.21,65,81,34,-10.3,3.49,1856.65,-4.2,0.0,-9.4,6.5,15.4,259,0.33,0.50
2015-01-16,0.00,0.00,0.07,53,72,38,-15.1,7.96,28832.25,-6.9,-1.0,-10.9,6.4,8.6,39,0.27,0.79
2015-01-17,0.00,0.00,0.00,35,46,19,-17.4,8.99,29465.22,-3.6,6.9,-11.1,5.4,7.6,11,0.81,1.21
2015-01-18,0.00,0.00,0.00,38,73,21,-15.6,7.02,27933.47,-2.0,3.9,-9.7,4.3,5.7,21,0.63,0.97
2015-01-19,0.00,0.00,0.00,65,81,44,-9.8,7.89,24620.91,-3.9,4.0,-10.7,5.5,7.9,0,0.45,0.79
2015-01-20,0.10,0.00,0.07,58,72,36,-8.2,7.37,27688.10,-0.7,6.6,-8.2,5.4,8.4,7,0.63,0.95
2015-01-21,0.30,0.00,0.21,70,81,50,-8.7,8.92,29207.94,-3.8,-2.0,-4.7,5.2,10.6,149,0.23,0.69
2015-01-22,0.10,0.00,0.14,56,81,40,-10.0,7.10,26639.41,-2.2,0.4,-4.8,4.1,8.1,93,0.35,0.74
2015-01-23,7.00,0.00,4.90,87,91,79,-6.2,6.02,14256.29,-4.3,-2.6,-5.3,5.6,6.9,104,0.11,0.48
2015-01-24,4.90,0.00,3.57,89,92,84,-6.5,6.94,13344.34,-5.0,-3.5,-6.7,4.8,6.3,87,0.07,0.49
2015-01-25,4.70,0.00,3.43,85,91,69,-10.5,7.61,21479.85,-8.4,-6.5,-12.7,4.9,6.3,79,0.09,0.46
2015-01-26,0.00,0.00,0.49,57,68,50,-17.6,9.90,30182.57,-10.7,-7.8,-16.8,4.5,7.0,7,0.16,0.64
