latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.448154,-76.31659,73.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.10,0.00,0.21,50,57,42,-14.3,3.03,7358.59,-5.6,-2.7,-7.3,19.8,26.5,224,0.25,1.02
2015-01-02,0.90,0.00,0.77,52,70,31,-15.5,7.10,27482.79,-7.0,-3.7,-10.7,14.5,19.5,281,0.24,0.82
2015-01-03,2.90,0.00,2.10,59,78,43,-18.0,3.23,3917.59,-11.4,-7.8,-14.2,10.0,16.2,90,0.18,0.42
2015-01-04,24.00,11.10,9.03,91,96,82,-4.8,0.67,0.00,-3.5,1.3,-8.9,11.1,19.1,75,0.09,0.19
2015-01-05,0.30,0.00,0.28,67,82,48,-18.5,7.56,27633.51,-13.5,-4.1,-19.7,18.6,21.9,287,0.09,0.40
2015-01-06,0.00,0.00,0.35,76,86,59,-20.5,4.60,10478.11,-17.1,-8.7,-22.2,10.2,18.1,225,0.13,0.31
2015-01-07,0.00,0.00,0.56,66,80,50,-21.2,7.19,27724.36,-16.3,-10.0,-24.9,17.4,24.1,296,0.08,0.30
2015-01-08,0.10,0.00,0.35,71,79,61,-25.3,4.53,11714.58,-21.4,-9.3,-30.2,10.9,19.3,219,0.12,0.29
2015-01-09,2.70,0.00,2.10,66,78,45,-14.3,6.15,25187.31,-8.9,-6.6,-10.3,17.4,23.8,233,0.21,0.63
2015-01-10,0.00,0.00,0.00,73,86,56,-18.6,7.19,26309.34,-14.6,-8.8,-18.6,13.1,17.8,237,0.14,0.42
2015-01-11,0.00,0.00,0.00,73,84,57,-14.3,5.96,24543.14,-10.4,-3.1,-14.5,13.2,19.4,214,0.21,0.51
2015-01-12,2.80,0.00,2.17,80,91,66,-7.3,3.42,3653.96,-4.4,-2.0,-9.6,10.9,19.5,263,0.15,0.39
2015-01-13,0.00,0.00,0.00,67,76,49,-25.1,8.28,28390.19,-20.4,-11.7,-27.3,10.4,19.8,328,0.08,0.32
2015-01-14,0.00,0.00,0.00,68,74,53,-24.2,8.15,28402.52,-19.7,-11.3,-24.3,7.1,10.2,140,0.12,0.35
2015-01-15,0.00,0.00,0.07,76,82,66,-19.0,4.35,7572.46,-15.7,-5.8,-22.1,8.9,15.8,147,0.13,0.30
2015-01-16,1.50,0.00,1.05,68,82,51,-14.6,8.05,28815.60,-9.8,-4.5,-16.2,18.8,24.7,284,0.11,0.51
2015-01-17,0.00,0.00,0.07,67,76,52,-24.9,5.86,17992.32,-20.3,-14.6,-24.7,10.8,16.5,42,0.09,0.27
2015-01-18,0.60,0.50,0.07,76,95,63,-5.9,4.26,10472.22,-2.2,3.7,-14.2,16.1,19.1,165,0.20,0.71
2015-01-19,0.70,0.10,0.63,84,97,63,-6.4,5.63,23061.20,-4.0,0.3,-11.0,13.5,19.2,294,0.13,0.41
2015-01-20,0.00,0.00,0.00,72,82,57,-19.6,8.71,29389.58,-15.6,-12.2,-18.5,13.2,16.3,301,0.10,0.39
2015-01-21,0.00,0.00,0.00,70,79,48,-22.3,9.07,29530.55,-17.8,-9.7,-23.7,7.0,12.6,332,0.15,0.42
2015-01-22,0.00,0.00,0.00,70,82,46,-20.7,8.90,29675.77,-16.2,-7.0,-23.2,6.5,9.4,9,0.19,0.48
2015-01-23,0.30,0.10,0.21,78,90,61,-11.5,5.62,18139.16,-8.2,-0.5,-14.2,13.5,19.2,222,0.23,0.55
2015-01-24,3.30,0.00,2.45,82,89,72,-5.0,5.51,16986.89,-2.3,0.2,-4.4,11.7,15.7,216,0.18,0.56
2015-01-25,0.00,0.00,0.35,70,90,51,-15.3,9.61,30133.96,-10.8,-1.2,-17.1,16.9,22.9,310,0.11,0.48
2015-01-26,0.00,0.00,0.00,70,80,52,-23.8,9.22,30293.33,-19.6,-13.3,-26.1,9.2,11.8,18,0.11,0.36
2015-01-27,0.00,0.00,0.00,64,73,45,-21.1,9.20,30455.59,-15.7,-10.5,-19.2,12.6,13.7,20,0.15,0.50
2015-01-28,0.00,0.00,0.00,64,75,43,-20.3,10.15,30620.50,-14.9,-7.7,-19.5,11.8,15.0,325,0.19,0.57
