latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.752193,-91.67514,390.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.10,0.00,0.42,74,86,58,-16.7,5.33,24490.29,-13.1,-10.8,-16.8,18.0,20.6,286,0.08,0.32
2015-01-02,0.00,0.00,0.21,76,80,66,-22.5,4.44,19777.10,-19.3,-15.3,-21.4,9.1,13.9,253,0.06,0.18
2015-01-03,11.70,0.00,8.33,82,87,74,-16.2,1.86,2743.66,-13.8,-10.9,-17.1,11.8,19.9,50,0.05,0.14
2015-01-04,0.00,0.00,0.00,72,77,60,-29.5,5.96,25638.22,-25.9,-18.2,-29.5,14.3,16.9,325,0.03,0.13
2015-01-05,0.00,0.00,0.00,71,74,63,-31.8,5.92,25731.38,-28.2,-22.5,-30.5,14.2,15.9,258,0.04,0.14
2015-01-06,0.00,0.00,0.00,72,80,57,-25.0,4.87,23859.97,-21.3,-18.9,-22.6,16.7,21.8,281,0.06,0.21
2015-01-07,0.00,0.00,0.00,69,74,63,-29.7,6.04,25935.34,-25.7,-21.3,-29.0,18.4,21.9,301,0.04,0.17
2015-01-08,1.00,0.00,1.05,71,75,67,-23.2,3.02,158.20,-19.4,-15.8,-22.7,14.1,20.1,263,0.06,0.22
2015-01-09,0.00,0.00,0.00,68,77,55,-25.3,5.41,25341.87,-20.9,-16.9,-23.0,20.1,22.6,298,0.06,0.25
2015-01-10,0.00,0.00,0.00,74,79,61,-24.5,6.31,25186.75,-20.9,-18.0,-22.6,12.5,18.9,261,0.06,0.22
2015-01-11,0.00,0.00,0.00,74,79,60,-25.5,6.10,26407.12,-22.0,-19.1,-24.7,9.9,11.7,272,0.05,0.18
2015-01-12,0.00,0.00,0.00,72,78,56,-27.0,6.74,26560.57,-23.3,-20.6,-26.3,10.0,13.2,312,0.05,0.18
2015-01-13,0.00,0.00,0.00,66,73,52,-26.6,6.63,26683.13,-21.8,-15.0,-24.6,13.5,17.7,217,0.09,0.27
2015-01-14,0.00,0.00,0.28,78,87,62,-15.6,3.69,3385.81,-12.4,-10.2,-14.6,10.6,18.1,242,0.08,0.28
2015-01-15,1.70,0.00,1.47,81,90,65,-10.2,3.66,3612.23,-7.4,-3.9,-11.3,18.2,25.2,272,0.10,0.31
2015-01-16,0.00,0.00,0.00,74,82,56,-20.8,6.39,23685.19,-17.2,-12.0,-21.0,10.4,14.3,44,0.08,0.25
2015-01-17,6.80,0.00,4.83,85,90,78,-10.9,2.07,0.00,-8.8,-3.5,-15.8,13.7,17.7,177,0.07,0.26
2015-01-18,0.10,0.00,0.28,79,87,63,-10.0,4.63,17898.25,-7.0,-4.4,-10.3,12.9,17.4,319,0.12,0.35
2015-01-19,0.00,0.00,0.00,79,84,71,-17.0,4.22,12476.11,-14.2,-10.3,-17.5,10.2,11.7,104,0.08,0.24
2015-01-20,0.00,0.00,0.00,86,90,79,-10.9,2.66,0.00,-9.0,-6.3,-10.3,5.3,10.2,161,0.07,0.21
2015-01-21,0.00,0.00,0.00,86,93,72,-9.4,4.34,10855.96,-7.4,-6.5,-8.9,7.2,11.7,318,0.10,0.28
2015-01-22,0.00,0.00,0.00,78,86,63,-14.1,5.81,20197.09,-11.0,-4.7,-14.2,12.6,23.5,238,0.15,0.37
2015-01-23,0.00,0.00,0.07,80,90,70,-3.6,2.29,3447.59,-0.5,1.9,-4.3,18.2,24.1,251,0.16,0.57
2015-01-24,0.00,0.00,0.21,84,94,63,-5.4,6.22,22758.78,-3.0,0.9,-10.4,12.9,14.8,332,0.13,0.38
2015-01-25,0.00,0.00,0.00,76,84,60,-20.3,7.97,27954.03,-17.0,-11.7,-20.4,8.8,13.0,82,0.08,0.29
2015-01-26,4.70,0.10,3.22,83,87,75,-12.4,3.35,1029.11,-10.0,-5.2,-14.6,10.6,14.5,167,0.10,0.30
2015-01-27,0.00,0.00,0.00,86,91,77,-8.0,4.55,6815.12,-6.0,-3.6,-7.1,5.8,9.8,232,0.11,0.34
2015-01-28,0.20,0.00,0.56,86,93,74,-5.8,3.90,3916.61,-3.8,-1.4,-5.2,9.6,12.6,166,0.14,0.37
2015-01-29,1.10,0.00,0.77,81,95,62,-9.4,7.01,25785.67,-6.6,-2.2,-13.6,16.1,20.6,321,0.10,0.39
2015-01-30,0.10,0.00,0.28,76,82,64,-21.0,5.69,16685.70,-17.8,-14.5,-20.8,8.3,14.7,281,0.07,0.24
2015-01-31,0.40,0.00,0.42,74,88,54,-18.7,8.70,28987.26,-15.0,-12.5,-18.7,12.2,16.0,323,0.08,0.31
2015-02-01,0.00,0.00,0.00,69,77,54,-27.7,9.23,29927.45,-23.6,-19.7,-26.6,8.0,11.3,2,0.05,0.23
2015-02-02,0.00,0.00,0.00,69,76,55,-27.5,7.51,27555.76,-23.2,-17.8,-26.2,9.1,12.1,256,0.06,0.23
2015-02-03,0.00,0.00,0.00,74,80,57,-23.7,9.14,30330.09,-20.1,-16.4,-23.2,10.7,13.2,280,0.07,0.29
2015-02-04,0.00,0.00,0.00,72,81,53,-24.6,9.11,30533.13,-20.7,-17.8,-23.0,13.9,18.3,288,0.06,0.25
