latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.02636,-77.84161,330.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.30,0.00,0.91,68,78,55,-13.0,3.69,2797.29,-8.1,-5.5,-9.8,21.5,25.0,227,0.14,0.61
2015-01-02,1.10,0.00,0.77,70,83,51,-13.9,7.28,27415.88,-9.4,-5.1,-12.9,14.0,20.6,275,0.14,0.49
2015-01-03,6.20,0.00,4.41,79,91,68,-14.9,2.27,0.00,-12.0,-5.8,-16.8,10.5,17.1,120,0.10,0.23
2015-01-04,19.60,9.20,7.28,95,99,86,-2.5,0.81,0.00,-1.8,2.3,-4.8,10.7,21.2,113,0.08,0.15
2015-01-05,0.50,0.00,0.42,69,84,49,-19.2,7.91,27522.92,-14.7,-5.4,-19.7,17.4,21.6,281,0.08,0.35
2015-01-06,0.00,0.00,0.77,79,85,66,-18.1,4.75,7370.80,-15.2,-10.5,-19.1,12.9,18.9,222,0.09,0.28
2015-01-07,0.10,0.00,0.63,70,86,52,-22.5,7.78,27983.44,-18.3,-11.3,-26.2,17.9,22.7,301,0.07,0.25
2015-01-08,0.30,0.00,0.56,74,83,67,-23.6,4.75,8901.71,-20.2,-11.1,-28.5,15.0,22.1,232,0.09,0.28
2015-01-09,2.80,0.00,2.31,71,80,53,-16.2,6.73,27475.88,-11.8,-9.5,-14.5,19.0,23.8,237,0.14,0.48
2015-01-10,0.00,0.00,0.98,77,85,64,-17.7,6.36,27921.14,-14.6,-11.7,-16.4,15.1,21.1,228,0.09,0.32
2015-01-11,0.00,0.00,0.00,76,86,60,-15.1,6.29,25200.00,-11.6,-5.5,-15.6,14.1,20.4,217,0.16,0.44
2015-01-12,2.40,0.00,1.68,82,93,67,-8.8,3.60,4465.10,-6.1,-3.7,-11.7,11.3,18.4,262,0.14,0.36
2015-01-13,0.00,0.00,0.00,65,78,34,-25.9,8.61,28709.06,-20.6,-13.8,-27.0,10.2,19.2,354,0.13,0.35
2015-01-14,0.00,0.00,0.00,69,80,63,-21.8,7.68,28824.97,-17.4,-11.0,-21.3,7.3,9.0,197,0.09,0.37
2015-01-15,0.00,0.00,0.00,80,87,68,-15.7,5.19,19046.55,-12.8,-7.5,-15.9,10.9,18.8,216,0.10,0.31
2015-01-16,0.40,0.00,0.70,72,88,52,-15.0,8.56,29066.62,-10.8,-4.2,-17.4,18.2,21.2,288,0.10,0.44
2015-01-17,0.00,0.00,0.00,72,79,54,-23.7,5.67,20086.90,-19.9,-11.9,-25.5,11.8,19.8,131,0.08,0.26
2015-01-18,5.90,1.70,3.01,85,96,75,-2.7,3.32,936.72,-0.5,2.3,-11.1,18.4,22.7,188,0.16,0.50
2015-01-19,0.20,0.00,0.21,83,99,65,-7.1,7.57,26860.13,-4.6,0.2,-11.2,12.8,15.7,303,0.12,0.45
2015-01-20,0.00,0.00,0.00,74,83,55,-20.8,9.31,29585.05,-17.1,-12.1,-22.0,9.9,12.8,319,0.11,0.37
2015-01-21,0.00,0.00,0.00,66,77,42,-21.4,9.26,29723.46,-16.3,-7.6,-21.9,6.9,10.2,31,0.18,0.52
2015-01-22,0.00,0.00,0.00,70,85,47,-18.9,8.23,29866.05,-14.3,-7.5,-19.2,8.9,11.4,344,0.18,0.49
2015-01-23,0.00,0.00,0.00,82,91,67,-9.9,5.42,29044.39,-7.3,-1.9,-11.6,15.6,21.2,231,0.17,0.46
2015-01-24,0.20,0.00,0.42,86,93,77,-5.8,4.41,10178.10,-3.8,-1.8,-6.0,12.5,16.9,230,0.12,0.42
