latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.393673,-79.66312,269.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.20,0.00,0.84,62,70,52,-12.6,3.34,1797.62,-6.5,-3.9,-8.7,24.3,27.9,236,0.20,0.83
2015-01-02,2.20,0.00,1.96,69,76,57,-10.5,3.86,12948.20,-5.7,-3.4,-7.7,14.2,25.9,290,0.17,0.56
2015-01-03,7.40,0.00,5.18,81,94,73,-9.3,1.88,0.00,-6.5,-1.6,-10.7,14.3,21.9,126,0.11,0.28
2015-01-04,10.20,4.70,3.85,93,97,83,-1.1,2.46,5944.08,-0.1,3.3,-3.6,11.1,23.0,322,0.09,0.27
2015-01-05,4.30,0.00,3.01,69,84,55,-14.5,4.62,7926.72,-9.9,-3.9,-13.1,23.5,28.8,291,0.12,0.51
2015-01-06,0.10,0.00,0.70,69,76,55,-17.1,5.11,17816.14,-12.5,-8.9,-14.4,18.4,23.4,230,0.14,0.47
2015-01-07,0.70,0.00,1.05,68,77,59,-20.9,7.15,26226.85,-16.4,-10.3,-21.6,20.8,24.2,314,0.09,0.34
2015-01-08,0.70,0.00,0.98,70,78,59,-19.2,4.93,2137.22,-14.8,-9.7,-22.3,19.0,25.5,234,0.12,0.43
2015-01-09,2.60,0.00,2.66,68,75,59,-15.9,6.18,24799.01,-11.2,-8.7,-13.1,20.5,24.0,241,0.13,0.54
2015-01-10,0.20,0.00,1.05,66,71,55,-17.7,6.74,25556.89,-12.7,-10.5,-14.3,21.7,23.8,240,0.12,0.53
2015-01-11,0.00,0.00,0.14,68,77,54,-14.7,6.80,25495.13,-9.9,-2.5,-14.1,14.0,21.7,209,0.23,0.61
2015-01-12,1.40,0.00,1.19,77,88,67,-8.3,4.82,16581.74,-4.9,-3.6,-9.6,13.2,21.1,282,0.15,0.45
2015-01-13,0.00,0.00,0.00,69,76,53,-22.9,8.84,29019.22,-18.7,-11.2,-24.2,9.5,18.8,15,0.08,0.34
2015-01-14,0.00,0.00,0.00,76,86,62,-19.6,7.83,29131.92,-16.3,-7.9,-21.8,7.1,10.0,129,0.13,0.42
2015-01-15,0.00,0.00,0.07,77,85,63,-14.0,5.07,17345.23,-10.6,-4.7,-15.3,10.6,17.1,197,0.16,0.40
2015-01-16,0.70,0.00,0.98,71,84,61,-12.8,8.50,29348.21,-8.5,-2.9,-14.6,21.9,29.7,302,0.13,0.58
