latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.182774,77.37805,665.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.00,0.00,0.00,36,47,27,-10.5,6.10,25274.06,3.4,9.3,-3.4,11.8,16.8,132,0.85,1.82
2015-01-02,2.40,0.00,1.75,74,98,46,-4.7,4.93,13489.54,-0.1,5.7,-3.6,7.5,12.0,328,0.49,0.71
2015-01-03,1.50,0.00,1.12,78,89,70,-6.2,4.34,16734.40,-2.8,-1.1,-4.3,5.2,9.7,117,0.17,0.42
2015-01-04,0.00,0.00,0.00,57,77,45,-7.5,7.43,28242.15,0.3,5.4,-3.2,12.3,17.1,98,0.49,1.23
2015-01-05,3.40,3.40,0.00,62,79,40,-8.1,4.16,4075.45,-1.4,1.7,-4.0,6.9,12.7,119,0.41,0.64
2015-01-06,0.70,0.70,0.00,75,86,63,-3.4,5.03,19309.67,0.6,3.8,-1.6,12.0,17.8,133,0.29,0.76
2015-01-07,0.00,0.00,0.00,51,72,35,-5.5,6.02,22904.91,4.2,7.5,1.4,20.1,22.5,116,0.55,1.93
2015-01-08,0.00,0.00,0.00,26,33,20,-11.8,7.96,28508.91,6.4,11.1,3.8,20.1,22.9,124,0.97,3.13
2015-01-09,2.50,0.90,1.19,57,99,20,-5.3,7.47,25200.00,5.2,12.8,-0.9,15.1,23.8,172,1.13,2.10
2015-01-10,0.00,0.00,0.00,81,96,68,-3.8,5.58,28653.80,-0.9,1.3,-2.3,8.1,15.5,32,0.22,0.56
2015-01-11,0.30,0.00,0.35,73,92,45,-4.7,6.71,28728.57,0.0,7.0,-3.6,6.7,11.0,339,0.55,0.86
2015-01-12,0.00,0.00,0.00,85,95,63,-3.8,5.94,25144.83,-1.5,3.4,-4.7,4.6,7.9,33,0.29,0.62
2015-01-13,0.00,0.00,0.00,69,93,47,-5.9,7.46,28345.61,-0.6,4.3,-3.9,7.3,19.7,90,0.44,0.93
2015-01-14,0.10,0.00,0.07,59,78,43,-4.9,7.80,28800.00,2.4,7.1,-1.1,10.5,21.0,148,0.56,1.25
2015-01-15,6.80,0.30,4.62,89,98,80,-5.7,4.11,14429.87,-4.2,0.3,-13.0,10.6,24.9,246,0.12,0.33
2015-01-16,0.00,0.00,0.00,59,79,49,-9.7,8.55,28875.38,-2.7,1.6,-12.5,14.1,19.0,101,0.30,1.14
2015-01-17,0.00,0.00,0.00,46,54,25,-10.8,8.86,28876.59,-0.1,8.0,-4.1,8.1,12.6,102,0.80,1.34
2015-01-18,0.10,0.10,0.00,60,85,25,-6.6,7.26,25200.00,1.3,6.6,-5.6,5.7,11.7,145,0.68,1.03
2015-01-19,0.00,0.00,0.00,75,89,63,-5.5,5.62,21057.10,-1.5,2.8,-5.9,4.2,5.8,49,0.27,0.59
2015-01-20,2.00,0.00,1.40,70,94,39,-6.1,6.39,23932.30,-0.7,6.1,-4.5,8.7,19.5,279,0.57,0.86
2015-01-21,0.00,0.00,0.07,73,84,57,-8.5,8.40,29241.63,-4.3,0.2,-8.1,6.9,16.1,169,0.27,0.73
2015-01-22,0.00,0.00,0.28,71,88,51,-7.4,6.17,17125.24,-2.6,1.0,-7.1,4.1,7.2,195,0.33,0.63
2015-01-23,3.00,0.00,2.38,86,93,74,-5.7,3.76,0.00,-3.7,-1.5,-5.6,6.2,10.8,272,0.14,0.39
2015-01-24,0.30,0.00,0.84,84,90,76,-8.9,4.48,1711.30,-6.5,-2.9,-10.3,9.4,15.1,350,0.12,0.38
2015-01-25,0.20,0.00,0.35,74,81,65,-14.3,7.84,24710.45,-10.5,-7.4,-12.8,5.4,8.9,330,0.12,0.47
2015-01-26,0.00,0.00,0.00,73,83,61,-15.8,8.70,29937.99,-12.0,-7.6,-15.0,5.2,8.7,346,0.13,0.49
2015-01-27,0.00,0.00,0.00,63,77,48,-16.4,9.57,30480.69,-10.6,-5.1,-14.4,4.6,8.6,353,0.21,0.64
2015-01-28,0.00,0.00,0.00,55,63,40,-17.0,9.96,30753.43,-9.5,-2.5,-14.2,4.6,8.9,15,0.28,0.74
2015-01-29,0.00,0.00,0.00,48,62,29,-17.1,10.11,30956.49,-7.7,-1.2,-13.7,3.5,7.5,9,0.38,0.83
2015-01-30,0.00,0.00,0.00,49,59,29,-15.4,10.16,31167.58,-6.2,1.8,-11.0,7.2,10.9,97,0.43,1.09
2015-01-31,0.00,0.00,0.00,58,67,46,-10.8,5.34,8599.05,-3.7,2.1,-8.7,8.3,13.4,104,0.37,0.85
2015-02-01,0.00,0.00,0.00,69,85,40,-8.5,9.78,30082.65,-3.4,4.1,-8.6,4.8,8.5,3,0.49,1.00
2015-02-02,0.00,0.00,0.00,75,92,48,-7.8,8.89,30594.44,-3.6,2.6,-7.1,3.8,7.5,357,0.38,0.86
2015-02-03,0.00,0.00,0.00,72,88,43,-8.4,10.57,32038.43,-3.6,3.1,-7.5,4.4,8.4,2,0.44,1.00
