latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.307556,-75.796875,97.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.40,0.00,0.42,51,60,44,-14.3,3.00,7383.31,-5.6,-2.7,-7.3,20.7,27.7,227,0.25,1.03
2015-01-02,0.00,0.00,0.35,52,68,31,-15.3,7.15,27551.16,-6.6,-3.6,-10.0,15.9,21.4,273,0.24,0.88
2015-01-03,2.60,0.00,1.89,58,78,43,-17.7,3.51,6810.99,-10.9,-7.6,-13.3,9.8,17.3,80,0.19,0.45
2015-01-04,26.90,13.90,9.10,92,97,82,-3.4,0.75,0.00,-2.3,2.8,-8.7,12.0,19.8,83,0.07,0.19
2015-01-05,0.80,0.30,0.42,67,88,47,-17.7,7.78,27770.63,-12.8,-1.1,-19.4,19.2,23.0,284,0.09,0.41
2015-01-06,0.00,0.00,0.07,76,88,59,-20.9,5.00,12475.77,-17.6,-8.9,-23.0,10.3,16.6,232,0.13,0.31
2015-01-07,0.30,0.00,0.84,67,81,51,-20.7,7.11,27809.09,-16.0,-10.5,-24.8,17.0,24.7,290,0.07,0.29
2015-01-08,0.00,0.00,0.49,71,77,63,-25.9,4.84,12935.23,-22.0,-8.8,-31.6,11.2,20.5,226,0.11,0.30
2015-01-09,2.80,0.00,2.17,67,77,46,-14.0,6.02,22541.47,-8.7,-6.8,-9.7,18.5,24.9,229,0.20,0.63
2015-01-10,0.00,0.00,0.00,73,88,56,-19.7,7.78,27872.17,-15.7,-9.0,-22.0,14.1,18.4,239,0.14,0.43
