latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.448154,-75.18808,62.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.50,0.00,0.42,49,64,42,-14.5,3.12,5379.03,-5.4,-2.3,-7.0,20.1,26.8,226,0.25,1.07
2015-01-02,0.10,0.00,0.28,50,70,32,-15.5,7.25,27473.39,-6.5,-3.2,-9.8,16.0,20.4,271,0.24,0.91
2015-01-03,2.00,0.00,1.47,49,67,40,-20.2,3.65,7109.70,-11.6,-8.6,-14.3,10.1,17.4,71,0.18,0.52
2015-01-04,25.20,11.20,9.80,91,97,76,-3.8,0.70,0.00,-2.5,4.4,-9.6,13.8,20.6,84,0.07,0.21
2015-01-05,0.10,0.00,0.14,67,87,50,-17.3,7.33,27712.90,-12.4,1.2,-19.3,20.1,23.2,276,0.11,0.42
2015-01-06,0.00,0.00,0.14,73,80,62,-21.9,4.90,13723.16,-18.3,-9.1,-23.8,8.5,13.3,233,0.12,0.29
2015-01-07,0.50,0.00,0.98,70,84,50,-19.8,6.67,25613.81,-15.5,-10.8,-24.4,15.4,23.9,289,0.06,0.26
2015-01-08,0.00,0.00,0.42,70,74,62,-26.3,5.01,15475.99,-22.3,-8.6,-30.0,9.9,16.9,228,0.10,0.28
2015-01-09,3.00,0.00,2.31,67,78,47,-13.6,5.94,21952.06,-8.4,-6.6,-9.3,17.7,23.3,226,0.20,0.62
2015-01-10,0.00,0.00,0.00,70,82,56,-18.2,7.37,27981.59,-13.8,-8.9,-18.3,13.4,19.5,242,0.14,0.45
2015-01-11,0.00,0.00,0.00,74,83,61,-14.2,5.55,20083.33,-10.3,-3.8,-15.1,13.9,20.1,218,0.18,0.49
2015-01-12,3.00,0.00,2.38,82,94,67,-7.3,3.18,0.00,-4.6,-1.8,-7.2,10.3,18.7,249,0.14,0.38
2015-01-13,0.00,0.00,0.00,66,73,50,-24.9,8.30,28296.73,-20.1,-9.6,-26.4,10.7,20.0,327,0.09,0.32
2015-01-14,0.00,0.00,0.00,64,76,40,-27.6,8.41,28416.10,-22.4,-12.4,-29.6,4.7,8.9,123,0.14,0.32
2015-01-15,0.00,0.00,0.00,74,79,67,-21.8,4.92,10493.79,-18.2,-6.1,-25.9,6.6,15.4,131,0.10,0.29
2015-01-16,2.50,0.00,1.96,68,84,48,-13.8,8.16,28631.58,-8.9,-4.1,-15.7,19.3,24.1,273,0.12,0.53
2015-01-17,0.00,0.00,0.00,66,75,50,-25.7,6.89,21034.10,-20.9,-16.4,-26.9,9.3,15.6,331,0.08,0.28
2015-01-18,1.10,1.10,0.00,72,87,63,-7.9,3.92,7799.72,-3.5,4.4,-15.8,13.8,16.7,161,0.27,0.73
2015-01-19,0.50,0.30,0.21,85,98,66,-4.2,5.31,22892.29,-2.0,1.5,-9.0,12.5,19.7,283,0.15,0.45
2015-01-20,0.00,0.00,0.00,73,80,58,-19.3,8.53,29389.58,-15.4,-10.1,-19.2,13.5,15.5,285,0.10,0.37
2015-01-21,0.00,0.00,0.00,71,79,52,-21.9,9.05,29530.56,-17.7,-10.5,-24.2,6.1,11.6,308,0.12,0.40
2015-01-22,0.00,0.00,0.00,70,78,52,-19.8,8.97,29675.77,-15.4,-8.0,-20.8,7.1,10.5,19,0.16,0.46
2015-01-23,0.00,0.00,0.07,78,88,61,-11.7,7.21,26716.60,-8.4,-0.2,-15.2,14.3,22.0,224,0.23,0.61
2015-01-24,1.70,0.00,1.54,84,92,76,-4.9,4.87,7280.73,-2.6,-0.7,-4.2,13.0,18.2,218,0.14,0.49
2015-01-25,0.00,0.00,0.07,69,92,50,-14.5,9.55,30133.96,-9.8,-1.7,-15.8,16.7,23.4,304,0.12,0.51
2015-01-26,0.00,0.00,0.00,69,79,52,-23.7,9.22,30298.48,-19.4,-13.1,-25.9,10.0,12.7,25,0.11,0.37
2015-01-27,0.00,0.00,0.00,58,73,41,-20.9,8.24,27523.00,-14.4,-8.8,-17.3,13.7,15.3,32,0.19,0.59
2015-01-28,0.00,0.00,0.00,62,72,42,-19.7,10.15,30553.00,-13.7,-6.6,-18.4,11.5,15.7,331,0.22,0.64
2015-01-29,1.50,0.00,1.12,70,78,50,-18.0,4.59,7503.28,-13.5,-5.0,-19.6,8.0,13.0,118,0.18,0.39
2015-01-30,5.90,0.00,4.27,76,96,54,-10.7,9.45,30729.22,-7.0,-2.5,-15.4,14.8,22.6,321,0.12,0.49
2015-01-31,0.00,0.00,0.00,64,74,47,-25.2,10.55,30927.10,-19.9,-14.9,-24.8,12.7,18.0,309,0.10,0.40
2015-02-01,0.00,0.00,0.14,66,81,45,-22.6,10.58,29354.10,-17.5,-15.5,-20.1,10.6,15.8,318,0.09,0.37
2015-02-02,3.60,0.00,2.66,64,71,59,-24.0,4.71,0.00,-18.9,-14.8,-21.4,12.5,15.9,39,0.08,0.30
2015-02-03,0.00,0.00,0.21,71,77,56,-22.9,8.78,31091.11,-18.8,-8.6,-25.9,9.0,12.5,251,0.11,0.38
