latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.02636,-79.378876,241.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,4.20,0.00,3.36,74,83,66,-10.2,2.84,0.00,-6.3,-4.0,-8.7,22.1,25.8,234,0.12,0.54
2015-01-02,1.30,0.10,1.47,76,86,60,-12.4,6.01,26790.76,-8.9,-3.9,-12.5,12.1,23.2,294,0.12,0.41
2015-01-03,6.10,0.00,4.48,84,90,79,-12.1,1.97,0.00,-9.9,-3.8,-13.5,13.3,20.6,117,0.08,0.22
2015-01-04,12.60,2.70,7.07,93,96,84,-2.8,1.98,2746.56,-1.7,1.5,-6.0,10.5,16.1,63,0.08,0.22
2015-01-05,1.30,0.00,1.54,74,85,61,-17.4,6.25,26410.97,-13.8,-6.6,-18.2,13.9,20.8,305,0.07,0.30
2015-01-06,2.40,0.00,2.31,77,84,64,-15.5,4.53,9478.86,-12.2,-8.6,-14.8,13.9,21.7,218,0.11,0.32
2015-01-07,2.30,0.10,1.54,69,81,53,-22.1,7.64,28094.01,-17.8,-9.8,-25.2,17.3,20.3,312,0.07,0.26
2015-01-08,2.30,0.00,1.82,75,83,68,-20.9,3.98,1091.40,-17.5,-9.1,-26.4,13.6,22.3,220,0.10,0.29
2015-01-09,3.50,0.00,2.73,72,79,60,-15.8,6.90,26794.33,-11.7,-9.9,-13.0,16.6,21.5,233,0.11,0.45
2015-01-10,3.20,0.00,2.59,72,82,60,-16.0,5.64,25398.94,-12.0,-9.8,-13.5,15.0,23.6,238,0.12,0.40
2015-01-11,1.00,0.00,0.84,75,84,61,-13.1,5.81,23035.71,-9.5,-5.3,-12.6,13.6,18.6,204,0.15,0.45
2015-01-12,1.10,0.00,0.98,80,94,62,-8.8,5.53,18606.75,-5.8,-4.3,-11.6,11.2,18.0,279,0.16,0.42
2015-01-13,0.00,0.00,0.00,66,79,40,-24.4,8.62,28709.06,-19.5,-13.2,-24.3,7.7,16.4,2,0.11,0.33
2015-01-14,0.00,0.00,0.00,75,83,67,-21.3,6.99,27587.15,-18.0,-11.8,-22.0,7.5,10.2,142,0.06,0.31
2015-01-15,0.50,0.00,0.49,81,87,73,-13.8,4.38,14992.52,-11.1,-6.3,-13.2,10.0,15.7,175,0.10,0.29
2015-01-16,2.30,0.00,1.75,72,88,56,-13.9,8.58,29066.61,-9.8,-2.8,-16.6,18.0,23.3,297,0.11,0.47
2015-01-17,0.00,0.00,0.07,74,80,64,-20.8,5.04,14058.55,-17.3,-7.2,-22.2,14.0,23.3,124,0.09,0.29
2015-01-18,10.20,4.00,4.34,88,99,79,-1.5,3.03,824.54,0.3,2.3,-6.5,14.4,20.1,191,0.14,0.42
2015-01-19,0.50,0.00,0.63,83,97,69,-8.2,6.47,24712.95,-5.7,0.0,-11.4,12.8,15.4,307,0.10,0.38
2015-01-20,0.00,0.00,0.00,75,84,55,-20.2,9.27,29585.05,-16.6,-12.4,-20.8,7.6,10.5,322,0.10,0.35
2015-01-21,0.00,0.00,0.00,70,78,53,-21.6,9.33,29723.46,-17.2,-10.0,-22.5,6.4,10.0,67,0.13,0.42
2015-01-22,0.00,0.00,0.00,75,85,54,-17.8,7.32,27891.34,-14.2,-7.8,-18.6,5.8,8.5,334,0.14,0.39
2015-01-23,0.00,0.00,0.00,83,91,69,-8.5,6.56,28363.33,-6.0,-0.9,-9.7,14.2,21.4,230,0.17,0.53
2015-01-24,1.80,0.00,1.82,89,96,77,-3.9,2.87,97.65,-2.4,-0.6,-3.5,12.1,16.3,228,0.12,0.33
2015-01-25,0.80,0.00,0.63,72,96,52,-15.7,10.10,30316.04,-11.5,-0.5,-17.4,13.8,20.1,338,0.11,0.49
2015-01-26,0.00,0.00,0.00,70,80,47,-21.7,9.94,30472.61,-17.3,-11.8,-21.4,10.6,12.7,61,0.13,0.43
2015-01-27,0.00,0.00,0.00,65,75,43,-20.7,10.27,30632.01,-15.3,-10.1,-18.1,11.5,14.2,44,0.16,0.54
2015-01-28,0.00,0.00,0.00,70,80,44,-19.7,10.53,30794.03,-15.2,-8.1,-19.9,8.6,11.9,333,0.18,0.54
2015-01-29,7.00,0.00,5.04,74,92,63,-13.1,2.29,0.00,-9.3,-4.3,-15.2,12.5,21.0,147,0.11,0.38
2015-01-30,1.20,0.00,0.91,74,94,55,-15.1,10.43,31124.98,-11.3,-4.4,-17.4,16.5,21.1,331,0.09,0.43
2015-01-31,0.00,0.00,0.07,71,79,64,-21.5,8.79,28181.10,-17.5,-10.3,-22.8,7.9,13.0,283,0.09,0.41
2015-02-01,0.60,0.00,0.42,71,91,50,-18.3,7.04,14210.95,-14.0,-8.0,-18.8,11.9,15.1,17,0.09,0.35
2015-02-02,3.80,0.00,2.80,63,73,49,-22.9,8.98,23935.35,-17.4,-14.2,-19.4,14.2,17.9,34,0.10,0.46
2015-02-03,1.20,0.00,1.12,78,85,69,-18.1,5.77,16353.19,-15.1,-7.0,-20.6,11.5,17.6,239,0.11,0.37
2015-02-04,2.60,0.00,2.31,82,91,71,-10.0,6.19,5674.92,-7.4,-4.6,-8.9,11.1,14.1,228,0.13,0.48
2015-02-05,0.10,0.00,0.35,73,86,48,-17.7,11.56,32157.09,-13.7,-8.1,-16.7,10.6,13.7,310,0.10,0.43
2015-02-06,1.30,0.00,1.19,77,86,67,-15.5,8.32,28523.86,-12.3,-6.4,-17.9,13.9,21.6,240,0.13,0.50
2015-02-07,3.70,0.00,2.73,81,86,71,-12.0,3.85,21.33,-9.3,-6.7,-11.0,7.4,16.2,347,0.10,0.35
2015-02-08,6.60,0.00,4.83,75,83,66,-15.6,3.24,0.00,-12.0,-7.9,-13.6,16.2,17.5,72,0.08,0.33
2015-02-09,0.00,0.00,0.00,70,79,60,-18.8,10.89,32406.01,-14.5,-10.0,-17.9,11.4,16.6,52,0.11,0.56
2015-02-10,0.00,0.00,0.00,72,82,53,-16.9,12.34,32629.92,-12.7,-7.8,-17.5,6.0,8.0,24,0.16,0.64
2015-02-11,1.40,0.00,1.12,75,89,63,-14.3,4.85,0.00,-10.7,-7.0,-13.3,11.2,14.4,123,0.11,0.40
2015-02-12,0.80,0.00,0.91,75,93,54,-15.4,12.17,32445.80,-11.8,-5.9,-18.6,15.4,20.6,324,0.08,0.41
2015-02-13,0.00,0.00,0.00,68,78,49,-26.3,12.65,32811.55,-21.8,-17.4,-26.0,10.4,17.4,313,0.07,0.39
2015-02-14,2.70,0.00,2.17,73,88,53,-18.0,11.88,32400.00,-14.0,-12.2,-18.5,13.2,19.6,231,0.11,0.54
2015-02-15,0.00,0.00,0.14,63,74,48,-27.9,13.64,33469.69,-22.7,-15.6,-27.3,19.0,22.5,337,0.05,0.34
2015-02-16,0.00,0.00,0.00,63,75,42,-29.3,13.64,34063.97,-23.9,-18.1,-28.2,8.5,15.0,317,0.08,0.42
2015-02-17,0.00,0.00,0.00,60,68,49,-25.7,12.41,32431.76,-19.9,-12.7,-24.4,6.8,8.9,162,0.12,0.52
2015-02-18,0.00,0.00,0.28,75,85,58,-17.8,10.58,31226.21,-14.2,-10.3,-16.9,9.1,12.2,198,0.12,0.51
2015-02-19,0.00,0.00,0.00,72,84,54,-22.6,13.91,34042.62,-18.7,-13.2,-21.6,14.2,19.8,310,0.06,0.36
2015-02-20,0.00,0.00,0.00,66,77,47,-27.4,14.86,34924.98,-22.7,-18.0,-26.2,12.9,16.6,295,0.07,0.42
2015-02-21,1.50,0.00,1.75,72,79,68,-19.2,8.99,16922.97,-15.3,-8.8,-20.4,9.9,13.0,172,0.09,0.53
2015-02-22,0.00,0.00,0.00,77,90,60,-14.8,12.02,33797.12,-11.5,-9.0,-13.9,10.0,18.0,265,0.12,0.59
