latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.60457,-75.738434,93.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,1.80,0.00,1.47,58,74,50,-11.5,2.52,1904.09,-4.5,-1.9,-6.4,20.7,31.4,236,0.25,0.91
2015-01-02,0.20,0.00,0.28,53,72,34,-12.4,6.76,27933.00,-3.9,-2.3,-6.2,17.6,21.9,268,0.30,1.07
2015-01-03,2.90,0.00,2.03,56,75,45,-14.3,3.19,625.36,-6.9,-2.2,-9.7,8.6,12.0,84,0.27,0.57
2015-01-04,18.30,10.10,5.74,93,100,79,2.2,1.00,0.00,3.2,6.8,-1.8,15.6,28.3,192,0.11,0.19
2015-01-05,0.50,0.00,0.42,60,94,36,-14.5,7.82,28018.73,-7.8,3.0,-14.2,21.8,26.0,272,0.16,0.68
2015-01-06,1.20,0.00,0.91,69,80,54,-15.2,4.57,6664.29,-10.5,-5.8,-14.1,11.8,16.8,248,0.14,0.46
2015-01-07,1.00,0.00,1.05,69,85,48,-17.6,6.58,26544.34,-13.0,-6.7,-22.2,16.4,22.3,291,0.10,0.35
2015-01-08,0.10,0.00,0.63,66,82,54,-21.1,5.42,20908.75,-16.2,-6.8,-23.6,14.6,24.5,244,0.16,0.47
2015-01-09,4.20,0.00,3.15,65,76,50,-13.1,6.24,21426.81,-7.6,-5.6,-8.8,20.8,26.2,225,0.19,0.74
2015-01-10,0.00,0.00,0.00,72,82,55,-15.3,7.71,28171.09,-11.1,-8.1,-13.9,15.3,21.8,242,0.15,0.50
2015-01-11,0.10,0.00,0.21,73,85,57,-12.2,6.64,26006.64,-8.1,-2.9,-11.2,14.5,18.9,217,0.20,0.59
2015-01-12,6.30,0.00,4.48,83,96,73,-5.2,2.37,0.00,-2.6,-0.8,-5.4,11.4,20.0,230,0.13,0.39
2015-01-13,0.00,0.00,0.00,67,79,46,-22.5,8.80,28850.24,-17.6,-6.1,-24.1,10.4,21.0,350,0.11,0.36
2015-01-14,0.00,0.00,0.00,60,73,47,-20.9,8.91,29012.60,-14.7,-7.5,-19.1,3.9,6.3,175,0.17,0.44
