latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.166958,-76.12149,133.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.20,0.00,0.21,50,59,42,-14.6,3.15,8028.19,-5.8,-3.0,-7.6,20.4,26.7,226,0.24,1.03
2015-01-02,0.80,0.00,0.63,51,68,29,-15.1,7.23,27634.66,-6.2,-3.9,-9.2,14.8,20.2,276,0.27,0.90
2015-01-03,3.20,0.00,2.31,56,80,39,-17.6,3.22,3904.21,-10.3,-6.6,-13.1,9.6,15.5,88,0.20,0.47
2015-01-04,25.50,13.30,8.54,95,100,85,-1.9,0.66,0.00,-1.1,4.4,-7.2,10.3,17.4,79,0.06,0.17
2015-01-05,0.40,0.00,0.49,67,95,44,-16.7,7.84,27763.98,-11.7,0.3,-18.9,18.1,23.2,287,0.10,0.43
2015-01-06,0.00,0.00,0.28,73,82,57,-18.9,4.79,10767.67,-15.0,-8.7,-19.8,11.4,18.1,228,0.14,0.35
2015-01-07,0.00,0.00,0.56,67,79,51,-20.6,7.35,27854.66,-15.8,-10.1,-24.6,18.1,24.6,293,0.08,0.32
2015-01-08,0.00,0.00,0.28,70,78,59,-24.2,4.68,12213.84,-20.1,-9.0,-28.3,12.4,19.7,226,0.12,0.33
2015-01-09,2.70,0.00,2.03,66,76,45,-14.0,6.11,22408.82,-8.7,-6.6,-9.8,18.4,25.2,232,0.20,0.64
2015-01-10,0.00,0.00,0.00,71,83,55,-17.7,7.65,27830.70,-13.5,-9.1,-17.3,14.2,18.1,237,0.14,0.45
2015-01-11,0.00,0.00,0.00,73,84,58,-14.0,5.82,24308.89,-10.0,-2.9,-14.4,14.4,19.9,218,0.21,0.53
2015-01-12,3.10,0.00,2.31,81,91,70,-6.8,3.22,735.71,-3.9,-1.7,-7.8,11.6,19.5,255,0.13,0.40
2015-01-13,0.00,0.00,0.00,67,77,44,-24.6,8.41,28521.71,-19.8,-10.0,-26.1,10.8,20.8,332,0.10,0.33
2015-01-14,0.00,0.00,0.00,68,79,49,-23.8,8.39,28679.46,-19.2,-10.3,-23.8,6.5,9.4,161,0.14,0.37
2015-01-15,0.00,0.00,0.00,78,83,69,-19.1,4.39,8109.39,-16.1,-6.1,-23.0,7.6,16.9,181,0.11,0.28
2015-01-16,1.00,0.00,0.91,69,83,51,-14.1,8.30,28998.67,-9.4,-4.4,-15.9,19.3,24.2,281,0.11,0.52
2015-01-17,0.00,0.00,0.00,68,77,51,-24.4,6.20,19943.21,-19.9,-13.8,-25.6,10.1,15.5,357,0.10,0.28
