latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.02636,-74.76709,60.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,1.50,0.00,1.33,57,72,50,-12.1,3.18,8028.55,-4.9,-2.0,-6.7,19.9,30.7,229,0.25,0.92
2015-01-02,0.30,0.00,0.63,55,73,36,-12.7,6.49,27705.06,-4.8,-2.6,-7.7,17.7,22.2,267,0.26,0.95
2015-01-03,1.70,0.00,1.19,55,76,43,-16.4,3.82,11339.15,-8.9,-5.2,-11.7,9.2,14.5,67,0.23,0.54
2015-01-04,23.00,12.40,7.42,89,94,80,-0.4,1.16,0.00,1.2,6.3,-5.0,9.9,26.1,131,0.11,0.27
2015-01-05,1.90,0.80,1.05,75,97,56,-12.1,7.61,27921.35,-8.5,3.9,-15.6,22.6,26.6,272,0.10,0.41
2015-01-06,0.00,0.00,0.35,75,86,56,-16.7,4.77,8388.38,-13.2,-7.9,-16.4,10.5,15.7,238,0.14,0.35
2015-01-07,1.20,0.00,1.40,74,84,56,-17.2,5.70,22672.10,-13.5,-9.4,-22.2,15.7,21.1,265,0.06,0.26
2015-01-08,0.00,0.00,0.56,71,76,64,-23.6,5.37,18440.56,-19.7,-7.2,-27.5,13.1,19.6,234,0.13,0.35
2015-01-09,2.40,0.00,2.31,65,74,50,-13.4,5.88,19555.59,-8.0,-6.5,-9.1,19.4,25.4,222,0.19,0.70
2015-01-10,0.00,0.00,0.00,71,82,54,-16.2,7.71,28191.95,-11.8,-8.4,-14.7,14.9,19.5,238,0.15,0.49
2015-01-11,0.00,0.00,0.07,70,85,49,-13.1,6.02,26277.22,-8.5,-3.8,-11.6,15.5,20.2,221,0.23,0.61
2015-01-12,5.30,0.00,3.78,78,93,67,-6.4,2.87,0.00,-3.1,-0.6,-5.9,11.8,17.0,236,0.15,0.47
2015-01-13,0.00,0.00,0.00,70,78,53,-22.4,8.51,28505.39,-18.1,-6.0,-24.4,9.6,18.9,316,0.10,0.32
2015-01-14,0.00,0.00,0.00,70,80,45,-23.8,8.69,28623.11,-19.4,-11.4,-24.0,4.8,7.4,111,0.13,0.36
2015-01-15,0.00,0.00,0.00,77,83,65,-18.4,5.75,20628.88,-15.2,-5.5,-21.0,6.8,14.2,181,0.13,0.36
2015-01-16,2.30,0.10,1.75,69,84,52,-12.8,8.01,28769.90,-8.1,-3.0,-15.0,20.0,24.2,261,0.12,0.58
2015-01-17,0.00,0.00,0.00,68,79,47,-23.6,7.61,25196.67,-19.0,-12.5,-25.4,8.4,14.9,291,0.12,0.33
2015-01-18,0.50,0.50,0.00,71,88,62,-6.6,5.61,15130.42,-1.9,5.0,-11.6,14.3,20.8,186,0.29,0.90
2015-01-19,2.20,1.60,0.70,89,99,72,-2.7,4.08,9988.13,-1.0,1.8,-7.1,12.8,18.9,264,0.13,0.38
2015-01-20,0.00,0.00,0.00,75,82,61,-17.1,7.88,29585.05,-13.5,-8.1,-16.1,14.3,15.9,269,0.10,0.39
2015-01-21,0.00,0.00,0.00,73,81,51,-20.4,9.31,29723.46,-16.6,-10.8,-22.4,6.6,12.2,261,0.12,0.41
