latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.08084,-77.55167,150.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,3.00,0.00,2.94,73,78,62,-10.8,2.78,467.86,-6.6,-3.2,-8.9,16.5,24.0,227,0.15,0.50
2015-01-02,0.10,0.00,0.14,69,80,50,-16.2,6.96,27107.59,-11.6,-4.0,-16.3,12.7,19.2,290,0.12,0.40
2015-01-03,3.10,0.00,2.24,75,82,64,-18.5,2.84,0.00,-15.0,-10.0,-19.7,9.9,15.0,117,0.10,0.24
2015-01-04,14.70,0.20,10.22,87,89,83,-9.1,1.16,0.00,-7.3,-4.7,-9.9,9.8,16.2,50,0.07,0.17
2015-01-05,0.60,0.00,0.56,68,82,52,-21.9,7.38,27214.10,-17.4,-8.3,-22.2,16.9,19.5,290,0.07,0.28
2015-01-06,0.60,0.00,0.49,77,83,69,-22.1,4.09,5043.16,-18.9,-9.8,-24.2,11.2,17.1,216,0.09,0.24
2015-01-07,1.40,0.00,1.12,67,85,50,-23.4,6.97,26310.47,-18.8,-9.9,-26.2,17.1,22.2,310,0.06,0.23
2015-01-08,0.00,0.00,0.70,74,80,68,-24.9,4.14,9194.04,-21.5,-9.8,-28.6,10.4,19.0,216,0.08,0.22
2015-01-09,1.90,0.00,1.47,71,76,64,-15.5,6.62,25456.94,-11.2,-9.7,-14.6,16.0,20.6,234,0.11,0.47
2015-01-10,0.60,0.00,0.42,74,82,59,-19.0,6.04,20526.12,-15.3,-9.3,-18.6,11.6,18.4,230,0.12,0.34
2015-01-11,0.40,0.00,0.56,75,87,60,-13.1,5.73,20762.94,-9.5,-5.6,-11.4,12.5,17.3,208,0.16,0.43
2015-01-12,2.20,0.00,1.89,80,92,62,-9.9,4.83,15021.62,-6.9,-5.2,-15.0,11.3,18.2,295,0.14,0.36
2015-01-13,0.00,0.00,0.00,68,76,55,-26.7,8.08,28168.60,-22.4,-16.6,-27.1,8.7,16.9,313,0.07,0.25
2015-01-14,0.00,0.00,0.00,70,77,58,-24.2,7.32,28264.29,-20.1,-13.1,-25.2,6.6,9.8,179,0.08,0.29
2015-01-15,0.50,0.00,0.42,78,84,67,-15.8,4.25,7117.93,-12.8,-6.1,-16.6,8.9,15.2,177,0.12,0.31
2015-01-16,1.20,0.00,0.84,69,83,53,-16.3,7.95,28545.73,-11.6,-4.1,-18.1,18.7,23.4,293,0.11,0.45
2015-01-17,0.40,0.00,0.35,70,78,55,-25.7,4.20,12166.80,-21.5,-15.1,-26.8,11.0,18.6,122,0.07,0.21
2015-01-18,3.90,3.00,0.63,82,95,64,-5.7,2.64,2277.86,-3.0,3.2,-14.2,12.4,17.3,165,0.15,0.44
2015-01-19,1.80,0.20,1.26,81,97,62,-9.2,6.45,24932.35,-6.4,0.6,-14.1,13.9,18.1,313,0.10,0.38
2015-01-20,0.00,0.00,0.00,73,81,55,-22.0,8.81,29088.98,-18.3,-14.1,-22.4,12.3,14.8,304,0.09,0.33
2015-01-21,0.00,0.00,0.00,69,79,48,-23.4,8.85,29233.93,-19.0,-11.2,-24.0,5.4,11.6,326,0.14,0.37
2015-01-22,0.00,0.00,0.00,70,80,49,-21.2,7.57,29383.21,-16.8,-9.7,-23.1,5.3,10.1,301,0.12,0.37
2015-01-23,0.70,0.00,0.56,80,88,69,-11.3,3.14,889.59,-8.4,-1.4,-14.0,13.5,21.2,230,0.17,0.40
2015-01-24,1.40,0.00,1.19,83,90,74,-3.1,4.09,5187.49,-0.6,1.3,-1.6,12.4,15.8,233,0.17,0.50
2015-01-25,0.60,0.00,0.63,69,91,51,-18.0,9.40,29854.08,-13.5,-0.1,-18.7,16.3,21.7,319,0.10,0.45
2015-01-26,0.00,0.00,0.00,71,79,55,-24.3,9.65,30017.82,-20.3,-15.3,-25.2,7.6,11.2,18,0.08,0.32
2015-01-27,0.00,0.00,0.00,68,78,45,-23.2,9.87,30184.50,-18.4,-12.4,-22.0,10.6,12.8,24,0.13,0.42
2015-01-28,0.00,0.00,0.00,67,77,46,-21.3,9.97,30353.88,-16.4,-8.8,-20.7,10.0,13.2,318,0.15,0.48
2015-01-29,7.30,0.00,5.18,75,89,66,-16.4,1.78,0.00,-12.9,-7.0,-17.8,9.8,14.3,151,0.08,0.25
2015-01-30,3.00,0.00,2.17,72,93,51,-16.6,9.95,30699.70,-12.5,-6.5,-18.7,16.1,23.0,328,0.09,0.40
2015-01-31,0.00,0.00,0.00,67,77,47,-25.1,10.08,30875.67,-20.5,-13.1,-25.8,8.1,15.5,296,0.10,0.40
2015-02-01,0.20,0.00,0.28,67,87,47,-23.5,9.76,27757.48,-18.8,-12.6,-23.6,11.2,18.0,337,0.07,0.31
2015-02-02,0.50,0.00,0.56,63,71,48,-26.6,6.29,17253.44,-21.3,-16.7,-23.5,10.0,11.4,21,0.08,0.28
2015-02-03,0.00,0.00,0.14,70,76,53,-22.6,8.28,23751.13,-18.4,-8.5,-23.8,10.1,17.9,255,0.15,0.43
2015-02-04,2.50,0.00,2.17,81,89,66,-12.4,5.58,357.49,-9.7,-6.2,-11.7,7.7,11.9,235,0.13,0.42
2015-02-05,0.00,0.00,0.07,69,80,47,-21.4,11.33,31756.16,-16.8,-9.2,-21.9,11.3,14.2,315,0.09,0.40
2015-02-06,0.50,0.00,0.49,70,82,52,-20.0,6.76,24270.98,-15.6,-8.6,-20.2,11.0,17.9,237,0.15,0.43
2015-02-07,0.40,0.00,0.42,71,81,53,-19.0,8.82,26608.98,-14.8,-10.9,-17.6,6.9,11.5,338,0.11,0.42
2015-02-08,4.20,0.00,3.15,66,72,54,-21.0,4.74,8400.80,-16.2,-14.1,-18.1,12.5,14.1,58,0.09,0.33
2015-02-09,0.00,0.00,0.00,69,76,61,-21.3,8.62,29812.41,-16.9,-12.5,-20.2,10.0,13.5,46,0.08,0.43
2015-02-10,0.00,0.00,0.00,69,81,47,-18.9,11.96,32463.66,-14.3,-9.4,-18.4,7.1,10.2,336,0.16,0.56
2015-02-11,1.40,0.00,1.05,73,81,56,-18.7,5.98,4173.49,-14.9,-10.2,-18.8,9.4,12.2,89,0.12,0.35
2015-02-12,2.50,0.00,1.82,73,89,52,-17.7,10.35,32400.00,-13.7,-10.3,-18.8,14.4,21.1,332,0.08,0.38
2015-02-13,0.00,0.00,0.00,63,75,45,-28.6,12.42,33072.39,-23.4,-19.6,-28.0,12.1,19.1,308,0.07,0.35
2015-02-14,2.80,0.00,2.31,74,83,63,-19.8,7.72,21258.04,-16.1,-11.2,-20.6,10.7,13.0,114,0.10,0.41
2015-02-15,0.70,0.00,0.56,63,75,47,-27.0,13.05,33036.45,-21.7,-12.6,-27.5,20.1,24.6,333,0.06,0.34
2015-02-16,0.00,0.00,0.00,61,74,43,-29.5,13.19,33542.70,-23.9,-18.0,-28.0,12.7,19.4,310,0.08,0.40
2015-02-17,0.00,0.00,0.00,61,74,44,-26.4,11.85,32547.89,-20.7,-14.4,-25.7,5.0,7.6,228,0.11,0.48
2015-02-18,1.00,0.00,0.98,75,82,60,-19.7,8.31,17920.83,-16.2,-8.5,-21.4,7.4,10.4,155,0.13,0.40
2015-02-19,0.00,0.00,0.07,71,85,51,-21.7,12.50,32400.00,-17.6,-12.0,-20.7,16.3,20.7,310,0.07,0.37
2015-02-20,0.00,0.00,0.00,62,74,42,-27.1,14.31,34561.43,-21.5,-16.6,-25.5,16.1,19.7,300,0.10,0.46
2015-02-21,2.30,0.00,1.82,72,81,62,-20.2,8.77,16046.63,-16.3,-9.4,-20.8,9.4,12.9,169,0.10,0.47
2015-02-22,0.00,0.00,0.07,76,89,49,-15.0,11.94,32205.91,-11.3,-6.4,-15.4,9.2,16.2,251,0.19,0.67
2015-02-23,0.40,0.00,0.35,61,73,42,-25.4,14.32,35262.70,-19.6,-9.9,-25.2,15.4,18.1,300,0.08,0.43
2015-02-24,0.10,0.00,0.14,68,78,47,-22.8,9.70,16667.59,-18.0,-9.4,-23.2,14.7,22.2,196,0.15,0.51
2015-02-25,0.20,0.00,0.21,68,86,44,-18.0,14.53,34173.33,-13.1,-10.5,-15.8,13.7,18.5,261,0.12,0.60
2015-02-26,0.00,0.00,0.00,65,79,45,-24.6,15.50,35351.21,-19.5,-15.4,-24.5,7.3,9.2,320,0.10,0.53
2015-02-27,0.00,0.00,0.00,64,75,45,-24.7,15.70,36061.75,-19.4,-12.5,-24.4,10.1,13.4,275,0.13,0.57
2015-02-28,0.00,0.00,0.00,70,81,47,-18.4,15.79,36259.79,-13.7,-6.5,-17.8,12.9,15.3,249,0.19,0.82
2015-03-01,0.00,0.00,0.00,73,84,49,-15.1,13.26,31486.19,-11.0,-4.6,-15.4,9.4,13.5,210,0.22,0.81
2015-03-02,0.00,0.00,0.28,70,88,43,-12.8,12.91,31002.99,-8.0,-5.4,-9.9,15.5,24.8,284,0.22,0.85
2015-03-03,3.20,0.00,2.31,74,87,54,-15.4,10.57,20677.37,-11.5,-6.0,-17.3,10.6,16.0,195,0.18,0.65
2015-03-04,3.70,0.00,2.59,73,91,48,-10.5,13.65,35703.34,-6.0,-3.2,-7.8,15.7,22.4,255,0.25,0.98
2015-03-05,0.00,0.00,0.00,63,81,41,-19.0,16.52,37257.20,-13.2,-7.9,-17.6,12.5,19.5,304,0.15,0.81
2015-03-06,0.00,0.00,0.00,66,80,42,-20.4,17.10,37458.99,-15.1,-7.7,-20.2,13.1,19.6,239,0.19,0.82
2015-03-07,0.20,0.00,0.49,73,87,59,-11.7,9.32,14305.14,-7.5,-2.3,-10.6,11.8,15.0,235,0.21,0.80
2015-03-08,0.80,0.00,0.77,76,91,44,-9.7,13.06,27167.49,-5.8,-2.1,-8.7,9.9,16.6,272,0.29,0.95
2015-03-09,1.20,0.00,1.05,75,90,54,-7.3,12.30,25316.73,-3.3,2.5,-6.0,12.0,21.7,261,0.29,1.09
2015-03-10,0.00,0.00,0.00,77,93,48,-2.4,15.12,34783.98,1.7,7.7,-2.5,12.8,20.1,212,0.55,1.67
2015-03-11,0.00,0.00,0.00,76,92,46,-1.4,12.70,30427.53,2.6,4.8,1.3,17.2,21.4,274,0.46,1.37
2015-03-12,0.50,0.10,0.28,65,85,44,-11.1,18.10,38553.62,-5.3,1.2,-9.7,15.9,24.8,317,0.24,1.30
2015-03-13,2.60,0.00,1.96,74,81,69,-11.5,6.02,0.00,-7.7,-3.2,-10.8,7.9,11.9,115,0.14,0.56
2015-03-14,6.10,0.50,4.06,85,95,80,-4.9,4.58,202.48,-2.8,0.9,-5.1,11.2,13.4,110,0.09,0.50
2015-03-15,6.50,0.00,4.55,80,98,55,-3.4,14.00,25740.22,-0.1,3.5,-2.1,12.8,20.4,354,0.35,1.25
2015-03-16,0.00,0.00,0.00,81,90,69,-3.4,13.83,31597.47,-0.4,6.1,-4.4,6.3,8.2,203,0.30,1.41
2015-03-17,1.70,1.40,0.42,69,94,39,-6.4,16.80,33781.67,-0.9,3.3,-5.0,18.5,27.5,315,0.31,1.31
2015-03-18,0.00,0.00,0.07,66,85,36,-15.3,16.43,39310.87,-9.5,-5.5,-14.4,13.6,20.7,316,0.26,1.02
2015-03-19,0.00,0.00,0.00,63,77,40,-16.0,20.38,39964.38,-9.9,-3.3,-15.6,8.4,10.8,296,0.27,1.32
2015-03-20,0.00,0.00,0.00,63,82,38,-10.8,18.90,37911.39,-4.3,3.8,-8.9,8.6,11.8,197,0.49,1.71
2015-03-21,5.10,0.30,3.50,80,98,55,-4.2,9.70,14926.84,-1.1,1.3,-5.9,11.4,24.1,279,0.22,0.82
2015-03-22,0.00,0.00,0.21,60,80,40,-19.0,18.15,35773.48,-12.5,-7.3,-18.0,15.5,25.0,307,0.18,0.92
2015-03-23,0.00,0.00,0.00,61,76,44,-20.2,20.88,40849.20,-13.9,-8.1,-18.6,13.7,16.3,316,0.19,1.02
2015-03-24,0.00,0.00,0.00,61,79,34,-16.4,21.26,41044.98,-9.7,0.0,-16.7,6.0,10.7,306,0.35,1.60
2015-03-25,2.40,0.70,1.19,68,90,39,-10.4,16.54,28768.88,-4.9,4.7,-12.8,11.2,22.1,159,0.51,1.49
2015-03-26,0.20,0.10,0.07,78,92,65,-1.0,7.37,0.00,2.5,3.6,1.6,14.1,20.0,252,0.28,1.04
2015-03-27,0.00,0.00,0.42,67,87,45,-12.1,20.48,38474.72,-6.7,0.8,-11.7,14.0,16.4,348,0.19,1.14
