latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.182774,-77.10364,96.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.40,0.00,0.42,62,69,53,-10.0,2.87,113.61,-3.7,-1.4,-6.1,22.6,30.3,247,0.21,0.94
2015-01-02,0.00,0.00,0.00,57,75,39,-10.6,6.75,27737.09,-3.0,-0.9,-5.1,17.4,25.1,276,0.29,1.04
2015-01-03,5.90,0.10,4.06,65,91,46,-11.3,2.61,583.27,-5.6,-0.7,-9.0,11.7,22.9,94,0.22,0.52
2015-01-04,16.80,11.80,3.50,96,99,92,2.9,1.20,0.00,3.4,6.4,-0.2,16.2,29.9,182,0.05,0.19
2015-01-05,0.10,0.00,0.14,64,93,39,-13.3,7.04,27754.02,-7.4,0.8,-12.5,19.7,27.1,287,0.15,0.65
2015-01-06,0.10,0.00,0.49,53,58,49,-17.3,4.53,7970.79,-9.5,-6.5,-12.1,11.7,20.6,256,0.19,0.64
2015-01-07,0.00,0.00,0.07,55,66,39,-20.1,7.60,28045.00,-12.8,-7.5,-20.1,19.2,24.9,301,0.15,0.58
2015-01-08,0.00,0.00,0.07,59,73,47,-20.8,4.89,15463.17,-14.6,-6.9,-22.5,15.8,25.4,251,0.16,0.52
2015-01-09,3.70,0.00,2.94,61,72,46,-13.5,6.07,25243.95,-7.2,-5.5,-8.5,22.3,27.5,242,0.21,0.84
2015-01-10,0.00,0.00,0.00,65,72,56,-16.0,7.03,28055.41,-10.6,-8.4,-12.4,17.1,21.7,254,0.13,0.58
2015-01-11,0.00,0.00,0.00,69,77,56,-11.6,6.48,24987.69,-6.6,-1.6,-9.6,15.2,22.5,232,0.24,0.71
2015-01-12,4.40,0.00,3.08,82,94,69,-4.4,2.87,0.00,-1.6,-0.5,-3.6,11.1,21.6,250,0.16,0.44
2015-01-13,0.00,0.00,0.00,66,76,50,-22.1,8.58,29120.59,-17.2,-6.0,-23.1,11.6,23.1,4,0.12,0.38
2015-01-14,0.00,0.00,0.00,71,79,60,-17.8,8.52,29140.75,-13.7,-7.4,-17.5,7.2,11.4,104,0.12,0.45
2015-01-15,0.00,0.00,0.00,81,88,73,-12.6,3.88,2088.39,-9.9,-4.7,-14.4,9.7,18.2,224,0.12,0.34
2015-01-16,0.90,0.00,0.63,68,84,45,-11.7,8.90,29465.05,-6.6,-2.6,-12.4,18.9,23.3,277,0.15,0.67
2015-01-17,0.00,0.00,0.00,64,67,60,-20.4,6.83,27503.99,-15.0,-7.5,-19.3,10.9,17.6,87,0.13,0.41
2015-01-18,1.20,1.20,0.00,81,96,68,-2.9,3.08,0.00,0.1,2.2,-5.4,20.9,25.8,178,0.16,0.66
2015-01-19,0.00,0.00,0.21,85,97,64,-3.6,6.25,22517.41,-1.3,0.2,-4.8,13.2,16.1,279,0.19,0.54
2015-01-20,0.00,0.00,0.00,63,74,50,-17.3,9.65,29964.80,-11.6,-5.8,-16.2,8.0,13.2,309,0.16,0.55
2015-01-21,0.00,0.00,0.00,65,73,54,-18.4,8.55,29258.16,-13.2,-8.1,-17.3,7.9,10.1,30,0.15,0.50
2015-01-22,0.00,0.00,0.00,65,74,46,-17.3,9.20,30235.83,-11.9,-6.0,-16.2,7.8,11.2,13,0.19,0.59
2015-01-23,0.00,0.00,0.00,77,86,62,-8.8,7.47,30377.13,-5.3,-0.9,-9.2,15.2,23.7,235,0.18,0.63
2015-01-24,0.00,0.00,0.00,86,92,77,-5.0,4.63,13569.58,-3.0,-1.1,-4.5,12.0,18.2,234,0.13,0.43
2015-01-25,0.00,0.00,0.00,68,90,50,-13.0,10.09,30670.04,-8.0,-0.8,-14.6,13.4,21.1,316,0.14,0.59
2015-01-26,0.00,0.00,0.07,61,70,49,-21.0,6.74,18326.86,-15.1,-11.4,-18.4,13.3,18.1,41,0.13,0.45
2015-01-27,0.00,0.00,0.35,59,69,44,-19.7,9.80,30975.06,-13.2,-9.0,-15.8,16.8,20.0,28,0.17,0.67
2015-01-28,0.00,0.00,0.00,58,65,44,-19.4,10.63,31131.51,-12.7,-6.6,-16.8,8.5,14.8,333,0.20,0.69
2015-01-29,1.90,0.00,1.40,73,89,56,-12.6,2.65,0.00,-8.4,-1.1,-14.1,12.0,20.7,157,0.21,0.47
2015-01-30,4.60,0.00,3.29,74,96,52,-10.3,10.42,31435.17,-6.4,-1.2,-13.3,16.1,21.8,318,0.13,0.57
2015-01-31,0.00,0.00,0.00,69,76,56,-21.8,10.99,31531.02,-17.5,-11.5,-22.1,9.1,14.8,309,0.10,0.47
2015-02-01,0.00,0.00,0.00,71,88,51,-16.7,9.18,21514.91,-12.4,-7.9,-16.3,12.3,16.1,1,0.10,0.42
2015-02-02,10.60,0.00,7.56,70,77,62,-20.9,5.23,11344.89,-16.7,-14.1,-18.1,20.8,26.1,34,0.08,0.35
2015-02-03,0.00,0.00,0.00,73,79,65,-19.4,7.34,24033.77,-15.7,-6.4,-21.4,11.9,19.9,267,0.13,0.44
2015-02-04,4.30,0.00,3.08,83,91,75,-6.8,4.17,0.00,-4.4,-0.5,-7.7,13.0,19.9,227,0.13,0.46
