latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
49.806675,-92.8125,383.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.10,0.00,0.35,74,84,60,-18.0,4.92,24024.45,-14.3,-10.9,-19.2,17.4,20.5,291,0.06,0.27
2015-01-02,0.00,0.00,0.00,76,79,67,-24.3,5.01,24155.28,-21.1,-17.8,-23.0,8.2,13.4,248,0.05,0.16
2015-01-03,7.80,0.00,5.53,76,81,64,-21.5,3.86,15973.82,-18.2,-16.5,-21.8,12.6,17.9,30,0.05,0.17
2015-01-04,0.00,0.00,0.00,71,76,59,-32.0,5.48,24844.12,-28.4,-22.8,-31.5,12.1,14.5,311,0.03,0.10
2015-01-05,0.00,0.00,0.00,71,75,63,-31.8,4.96,24725.46,-28.2,-22.7,-31.0,14.4,18.5,249,0.04,0.13
2015-01-06,0.00,0.00,0.42,72,81,57,-25.2,4.59,24390.56,-21.4,-20.2,-22.7,16.1,22.2,288,0.05,0.19
2015-01-07,0.00,0.00,0.00,71,75,65,-29.9,5.41,25206.61,-26.1,-22.4,-29.1,17.1,19.3,294,0.03,0.15
2015-01-08,0.70,0.00,0.91,71,77,66,-23.4,3.51,8613.58,-19.5,-16.6,-22.3,14.6,21.2,267,0.06,0.22
2015-01-09,0.00,0.00,0.00,68,75,56,-25.9,4.97,24644.56,-21.6,-18.5,-23.2,19.0,21.3,296,0.05,0.23
2015-01-10,0.00,0.00,0.07,74,79,64,-24.3,5.81,24733.77,-20.9,-18.6,-21.9,11.8,17.3,262,0.05,0.20
2015-01-11,0.00,0.00,0.00,73,79,60,-26.5,6.08,25737.54,-23.1,-19.8,-26.2,10.2,12.9,259,0.05,0.16
2015-01-12,0.00,0.00,0.00,72,78,55,-28.0,6.21,25905.09,-24.3,-21.4,-27.5,10.2,13.1,303,0.05,0.15
2015-01-13,0.00,0.00,0.07,67,75,54,-26.1,5.28,25160.19,-21.5,-14.1,-24.3,16.6,19.2,213,0.08,0.27
2015-01-14,0.50,0.00,0.56,80,87,67,-16.1,3.13,1405.65,-13.4,-11.1,-14.6,9.9,17.4,239,0.07,0.21
2015-01-15,1.40,0.00,1.12,79,89,63,-12.4,4.01,22304.32,-9.3,-4.6,-13.8,17.8,22.7,279,0.09,0.30
2015-01-16,0.00,0.00,0.00,76,82,58,-22.3,5.53,22303.33,-19.0,-14.6,-22.5,10.3,15.9,76,0.07,0.19
2015-01-17,5.40,0.00,4.06,81,90,68,-12.1,2.32,0.00,-9.5,-5.0,-16.7,14.8,19.6,191,0.09,0.29
2015-01-18,0.00,0.00,0.07,77,87,61,-12.8,5.30,23980.23,-9.5,-5.8,-13.9,12.0,15.8,333,0.09,0.30
2015-01-19,0.00,0.00,0.00,80,84,75,-19.5,5.38,26029.71,-16.8,-12.7,-19.5,9.7,11.6,111,0.06,0.22
2015-01-20,0.00,0.00,0.00,86,89,79,-12.2,2.62,2901.86,-10.3,-6.8,-13.1,4.8,7.6,216,0.08,0.19
2015-01-21,0.00,0.00,0.00,85,92,72,-12.4,3.65,3806.15,-10.3,-8.1,-12.4,7.8,9.6,331,0.07,0.20
2015-01-22,0.00,0.00,0.00,80,86,68,-15.0,4.60,15879.93,-12.2,-3.5,-15.6,13.9,26.0,216,0.15,0.31
2015-01-23,0.60,0.10,0.42,83,92,69,-2.5,2.85,3850.34,0.0,1.7,-2.7,17.7,24.0,257,0.16,0.51
2015-01-24,0.00,0.00,0.21,83,95,65,-8.4,5.85,26269.45,-5.9,1.0,-14.4,13.4,15.5,352,0.08,0.29
2015-01-25,0.00,0.00,0.00,75,81,60,-21.7,7.10,26986.86,-18.4,-14.9,-21.0,9.0,12.0,98,0.08,0.25
2015-01-26,4.00,0.00,3.01,84,90,76,-11.8,4.25,10821.92,-9.6,-5.4,-15.0,10.6,15.7,186,0.10,0.31
2015-01-27,0.00,0.00,0.00,87,92,79,-8.4,4.69,11330.32,-6.6,-3.8,-8.3,7.7,12.0,224,0.10,0.31
2015-01-28,3.80,0.00,3.01,89,92,83,-4.9,2.29,0.00,-3.3,-2.1,-4.4,8.7,12.0,156,0.09,0.24
2015-01-29,0.80,0.00,0.63,79,96,60,-12.1,7.14,28300.19,-9.1,-2.6,-15.7,14.8,19.4,331,0.08,0.32
2015-01-30,0.00,0.00,0.28,76,81,64,-22.6,5.33,13191.57,-19.3,-15.2,-22.3,9.2,12.5,247,0.06,0.21
2015-01-31,0.50,0.00,0.49,74,87,53,-21.1,8.33,29228.26,-17.5,-14.2,-22.0,12.4,16.3,328,0.06,0.24
2015-02-01,0.00,0.00,0.00,70,76,57,-29.9,8.64,29436.89,-26.0,-22.9,-29.0,7.9,9.8,329,0.04,0.18
2015-02-02,0.00,0.00,0.14,70,75,61,-27.8,7.79,27266.03,-23.8,-17.8,-26.9,9.9,11.7,241,0.06,0.24
2015-02-03,0.00,0.00,0.00,75,81,59,-23.9,8.39,29858.51,-20.5,-17.0,-23.7,11.7,14.6,275,0.07,0.26
2015-02-04,0.00,0.00,0.00,72,80,54,-25.8,8.88,30071.01,-22.0,-18.1,-24.9,13.5,16.2,289,0.05,0.22
