latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
50.65026,-93.1915,377.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.10,0.00,0.42,73,82,60,-19.6,4.52,23805.90,-15.8,-11.3,-20.8,17.6,20.2,296,0.06,0.25
2015-01-02,0.00,0.00,0.00,75,78,67,-26.3,5.01,24024.06,-23.2,-20.1,-24.7,8.7,13.4,247,0.04,0.14
2015-01-03,2.50,0.00,1.82,72,79,59,-24.8,4.85,23946.61,-21.0,-18.9,-24.5,10.9,15.5,11,0.04,0.15
2015-01-04,0.00,0.00,0.00,71,75,62,-33.0,4.98,24159.88,-29.4,-25.2,-32.1,10.9,13.7,299,0.02,0.09
2015-01-05,0.00,0.00,0.00,72,74,64,-31.8,3.72,21654.08,-28.2,-22.7,-30.8,13.8,16.3,249,0.03,0.12
2015-01-06,0.00,0.00,0.35,73,81,58,-25.7,4.24,24183.22,-22.0,-21.0,-24.0,15.5,21.7,295,0.04,0.16
2015-01-07,0.00,0.00,0.00,71,75,67,-30.2,4.97,24438.15,-26.5,-22.2,-29.2,16.4,18.8,289,0.03,0.14
2015-01-08,0.20,0.00,0.84,72,77,63,-23.8,3.57,16451.69,-20.0,-17.6,-22.1,15.4,22.3,276,0.06,0.20
2015-01-09,0.00,0.00,0.00,68,74,58,-26.4,4.61,24445.55,-22.1,-19.7,-23.4,18.6,21.1,297,0.05,0.21
2015-01-10,0.00,0.00,0.28,74,79,63,-24.3,5.22,24646.44,-20.9,-19.2,-22.2,11.7,16.2,269,0.05,0.18
2015-01-11,0.00,0.00,0.00,73,79,60,-27.0,5.56,25019.95,-23.5,-20.6,-26.3,10.8,13.9,258,0.05,0.15
2015-01-12,0.00,0.00,0.00,71,78,56,-28.6,5.76,25201.94,-24.8,-21.5,-27.6,10.5,14.0,294,0.04,0.14
2015-01-13,0.00,0.00,0.14,67,73,58,-26.1,4.01,16046.89,-21.6,-15.6,-24.2,16.2,18.6,215,0.07,0.24
2015-01-14,0.60,0.00,0.63,81,86,73,-17.3,2.97,1231.67,-14.8,-12.5,-15.7,8.9,13.3,232,0.06,0.17
2015-01-15,1.50,0.00,1.12,78,89,63,-14.5,4.84,25025.27,-11.3,-6.7,-15.6,16.8,22.2,287,0.08,0.29
2015-01-16,0.00,0.00,0.00,76,81,63,-23.3,4.79,19469.11,-20.2,-16.3,-23.2,9.7,15.8,84,0.05,0.15
2015-01-17,3.90,0.00,2.94,81,89,66,-13.9,2.65,0.00,-11.2,-6.8,-18.1,13.3,18.3,189,0.08,0.27
2015-01-18,0.00,0.00,0.00,75,85,62,-15.8,5.82,25296.70,-12.3,-7.3,-16.2,11.6,14.9,344,0.07,0.28
2015-01-19,0.00,0.00,0.00,78,81,73,-21.2,5.63,25778.02,-18.3,-15.1,-20.4,9.4,12.8,120,0.05,0.20
2015-01-20,0.00,0.00,0.00,84,89,81,-14.4,2.32,0.00,-12.3,-9.4,-16.1,5.4,7.3,248,0.06,0.16
2015-01-21,0.00,0.00,0.00,81,91,71,-15.1,3.93,10910.13,-12.5,-9.4,-14.7,8.4,9.9,332,0.06,0.19
2015-01-22,0.00,0.00,0.00,81,85,72,-15.2,3.10,381.62,-12.6,-3.9,-15.9,14.6,24.2,213,0.13,0.26
2015-01-23,0.70,0.00,0.91,86,94,74,-2.4,2.24,0.00,-0.4,1.1,-3.3,15.2,18.6,262,0.13,0.35
