latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.362038,-82.656006,310.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.30,0.00,0.70,78,81,72,-13.2,4.20,14548.23,-10.0,-6.8,-13.0,19.0,23.1,258,0.09,0.39
2015-01-02,0.00,0.00,0.00,75,81,64,-17.8,5.19,23631.08,-14.3,-9.1,-18.7,7.3,16.4,305,0.09,0.27
2015-01-03,1.60,0.00,1.33,86,93,79,-11.5,2.63,0.00,-9.6,-3.3,-14.6,11.6,16.6,135,0.06,0.21
2015-01-04,3.40,0.00,2.73,84,92,71,-9.5,2.81,2831.97,-7.3,-4.1,-13.8,13.4,18.4,23,0.08,0.24
2015-01-05,0.40,0.00,0.35,70,76,64,-24.1,5.89,25392.80,-20.0,-15.0,-24.7,12.3,18.0,300,0.06,0.25
2015-01-06,0.40,0.00,0.63,79,83,76,-18.6,4.54,14311.32,-15.8,-12.0,-17.8,13.5,17.9,249,0.06,0.24
2015-01-07,0.00,0.00,0.14,65,83,51,-26.4,7.35,26951.66,-21.5,-12.9,-26.5,16.5,21.4,340,0.05,0.23
2015-01-08,1.80,0.00,1.75,79,83,71,-19.2,3.78,1172.17,-16.3,-11.0,-24.2,17.0,20.2,242,0.07,0.25
2015-01-09,3.60,0.00,2.59,75,86,56,-18.2,6.80,26561.62,-14.6,-10.8,-17.3,12.6,17.8,273,0.08,0.29
2015-01-10,0.90,0.00,0.77,77,84,70,-18.9,5.56,25889.75,-15.8,-12.9,-17.7,15.5,20.5,247,0.07,0.27
2015-01-11,0.00,0.00,0.28,82,89,74,-14.4,4.67,14583.17,-11.9,-8.2,-15.4,8.9,13.9,238,0.09,0.27
2015-01-12,0.60,0.00,0.63,77,87,58,-16.0,7.61,27094.37,-12.7,-9.1,-19.5,11.6,17.7,351,0.07,0.26
2015-01-13,0.00,0.00,0.00,71,78,60,-25.6,7.12,27938.72,-21.8,-17.5,-24.6,8.3,13.0,283,0.05,0.22
2015-01-14,0.00,0.00,0.21,85,87,78,-15.7,3.86,5693.06,-13.7,-8.9,-17.5,11.0,13.4,217,0.06,0.21
2015-01-15,2.40,0.00,1.96,90,92,86,-8.3,2.58,0.00,-6.9,-3.3,-9.5,13.7,21.4,220,0.06,0.20
2015-01-16,0.20,0.00,0.21,67,89,53,-17.9,8.15,28402.26,-13.1,-3.0,-18.0,14.7,22.5,323,0.13,0.45
2015-01-17,3.60,0.00,2.52,81,95,69,-17.0,2.04,0.00,-14.5,-2.8,-20.4,15.1,22.7,135,0.05,0.20
2015-01-18,2.50,0.00,2.03,90,98,73,-2.3,3.72,3594.07,-0.8,-0.1,-2.4,12.6,16.9,249,0.16,0.38
2015-01-19,0.00,0.00,0.00,72,82,56,-16.6,8.34,28702.85,-12.5,-3.6,-16.7,14.7,18.3,11,0.10,0.43
2015-01-20,0.00,0.00,0.00,69,78,41,-23.5,8.62,28952.41,-19.1,-13.3,-23.1,8.0,11.4,18,0.13,0.35
2015-01-21,0.00,0.00,0.00,67,76,47,-22.4,7.89,29099.18,-17.6,-9.8,-21.3,3.2,6.5,330,0.15,0.38
2015-01-22,0.00,0.00,0.00,78,86,67,-16.0,8.00,28516.79,-12.9,-8.2,-15.6,8.0,12.1,299,0.11,0.39
2015-01-23,1.00,0.00,1.05,88,93,83,-7.4,2.74,1142.65,-5.8,-2.0,-10.6,18.1,22.6,235,0.07,0.28
2015-01-24,0.30,0.00,0.91,90,96,73,-2.9,4.55,17351.57,-1.4,1.0,-3.2,12.1,20.2,272,0.17,0.44
2015-01-25,0.00,0.00,0.00,69,77,52,-19.6,9.39,29727.00,-15.0,-5.1,-19.5,14.8,22.0,3,0.10,0.45
2015-01-26,0.00,0.00,0.00,68,75,55,-23.2,7.92,29545.06,-18.8,-14.8,-22.0,7.4,10.0,75,0.09,0.31
2015-01-27,0.00,0.00,0.00,67,75,45,-21.4,9.47,30061.44,-16.5,-11.6,-19.5,10.3,12.5,43,0.14,0.45
2015-01-28,0.00,0.00,0.00,67,77,43,-19.9,8.66,28396.15,-15.0,-10.7,-18.3,7.0,9.7,3,0.15,0.46
2015-01-29,4.00,0.00,2.94,83,92,70,-9.0,4.20,7262.38,-6.6,-2.6,-11.9,12.4,16.3,169,0.15,0.40
2015-01-30,0.00,0.00,0.00,65,79,49,-20.0,9.99,30587.94,-14.9,-3.7,-19.9,17.2,24.9,347,0.10,0.49
2015-01-31,0.00,0.00,0.35,80,85,67,-18.2,6.21,25200.00,-15.5,-9.5,-18.6,8.7,10.8,230,0.06,0.30
2015-02-01,0.00,0.00,0.00,66,84,50,-24.6,6.94,17753.70,-19.8,-10.9,-24.6,14.5,18.6,23,0.07,0.29
2015-02-02,0.00,0.00,0.00,64,72,51,-26.5,10.60,30975.24,-21.4,-17.6,-24.7,11.9,16.5,16,0.07,0.38
2015-02-03,0.00,0.00,0.00,78,83,69,-19.2,9.39,30975.46,-16.2,-11.1,-19.9,10.0,13.2,246,0.08,0.39
2015-02-04,0.00,0.00,0.49,76,86,57,-15.9,8.16,27910.32,-12.4,-9.8,-13.7,9.5,16.0,281,0.12,0.43
2015-02-05,0.00,0.00,0.00,71,79,57,-21.4,10.94,31147.59,-17.4,-12.5,-21.3,10.5,16.9,283,0.08,0.38
2015-02-06,0.40,0.00,0.35,73,85,57,-16.4,10.43,31405.32,-12.4,-9.2,-16.5,14.0,20.2,264,0.13,0.55
2015-02-07,3.90,0.00,2.94,75,82,62,-16.8,5.40,7295.01,-13.2,-11.3,-14.5,9.0,15.0,54,0.09,0.33
2015-02-08,6.50,0.00,4.62,69,75,55,-19.6,9.35,25767.83,-15.0,-12.7,-16.9,18.4,21.2,55,0.10,0.49
2015-02-09,0.00,0.00,0.00,66,75,53,-22.1,10.77,31785.49,-17.2,-12.4,-20.9,11.4,18.1,33,0.11,0.51
2015-02-10,0.00,0.00,0.00,69,78,58,-19.4,10.06,31598.19,-15.0,-10.5,-17.8,9.5,13.0,30,0.11,0.49
2015-02-11,3.80,0.00,2.80,80,89,73,-13.1,5.52,5242.48,-10.3,-5.8,-13.1,10.4,13.2,143,0.07,0.42
2015-02-12,0.20,0.00,0.28,66,87,50,-21.5,12.23,32995.17,-16.6,-6.3,-21.9,20.4,26.4,353,0.07,0.43
2015-02-13,1.70,0.00,1.26,73,86,64,-25.1,8.40,18473.64,-21.5,-15.1,-24.8,9.8,15.0,167,0.05,0.27
2015-02-14,1.40,0.00,1.05,71,87,54,-22.1,10.61,29100.60,-18.0,-13.9,-22.8,20.8,32.8,338,0.06,0.30
2015-02-15,0.00,0.00,0.00,59,68,43,-31.7,13.34,33586.09,-25.9,-21.5,-29.5,18.1,27.7,0,0.06,0.33
2015-02-16,0.00,0.00,0.00,63,70,50,-29.0,12.58,32125.97,-23.9,-19.2,-26.6,6.5,9.1,131,0.07,0.35
2015-02-17,0.00,0.00,0.42,78,84,70,-21.1,9.59,28750.51,-18.2,-13.2,-21.6,7.1,9.4,190,0.06,0.38
2015-02-18,0.00,0.00,0.00,71,80,52,-20.9,9.19,23437.92,-16.7,-14.3,-19.2,11.0,14.8,349,0.10,0.39
2015-02-19,0.00,0.00,0.00,62,74,45,-27.9,13.83,34282.77,-22.6,-16.5,-26.4,14.3,15.8,351,0.06,0.34
2015-02-20,0.00,0.00,0.00,68,79,58,-28.8,13.13,34389.21,-24.5,-19.2,-28.1,10.4,14.1,269,0.05,0.32
2015-02-21,1.50,0.00,1.33,80,86,72,-16.6,9.02,29839.38,-13.9,-9.6,-18.8,11.8,18.2,195,0.08,0.48
2015-02-22,0.00,0.00,0.00,73,85,50,-18.6,12.54,34560.18,-14.6,-11.2,-18.0,11.7,18.8,304,0.10,0.48
2015-02-23,0.00,0.00,0.00,66,75,56,-27.5,14.21,34911.54,-22.8,-19.5,-26.2,13.8,19.6,280,0.05,0.37
2015-02-24,3.00,0.00,2.17,77,82,67,-18.5,7.46,9128.07,-15.4,-9.0,-21.0,18.1,19.6,220,0.10,0.41
2015-02-25,0.00,0.00,0.00,66,83,48,-21.0,14.85,35087.68,-15.9,-11.0,-19.6,12.7,14.8,303,0.09,0.54
2015-02-26,0.00,0.00,0.00,66,77,47,-25.0,15.45,35661.94,-20.2,-16.5,-24.0,9.7,12.5,340,0.09,0.51
2015-02-27,0.00,0.00,0.00,72,79,59,-23.0,15.35,35893.80,-19.1,-14.0,-22.4,11.8,13.8,277,0.08,0.52
2015-02-28,0.00,0.00,0.00,77,84,65,-18.7,15.69,36204.04,-15.5,-11.4,-18.0,11.3,14.0,236,0.09,0.61
2015-03-01,0.00,0.00,0.00,82,89,71,-15.7,12.66,32586.83,-13.1,-9.4,-16.0,10.4,17.1,211,0.09,0.54
2015-03-02,0.50,0.00,0.42,72,90,45,-13.8,15.52,35789.24,-9.3,-7.0,-11.2,14.6,21.4,283,0.20,0.86
2015-03-03,7.20,0.00,5.04,85,93,76,-13.3,4.53,1568.39,-11.2,-8.0,-14.2,10.9,15.8,187,0.07,0.28
2015-03-04,0.80,0.00,0.63,73,94,53,-14.1,15.67,36101.00,-10.0,-7.2,-14.5,18.3,22.1,277,0.12,0.71
2015-03-05,0.00,0.00,0.00,67,77,50,-22.6,17.05,37211.70,-17.8,-14.7,-21.6,11.0,20.1,294,0.09,0.64
2015-03-06,0.00,0.00,0.00,76,82,67,-18.9,15.79,37415.54,-15.7,-10.5,-18.3,14.5,20.3,223,0.09,0.58
2015-03-07,0.80,0.00,0.77,84,89,76,-11.8,9.46,19607.55,-9.6,-5.2,-12.5,9.8,14.7,238,0.10,0.56
2015-03-08,1.40,0.00,0.98,81,89,59,-9.9,11.47,24462.41,-7.2,-5.5,-9.1,9.6,12.1,278,0.17,0.71
2015-03-09,0.10,0.00,0.07,83,92,66,-7.3,14.58,38029.13,-4.8,1.3,-8.4,10.6,13.4,254,0.23,1.06
2015-03-10,0.00,0.00,0.00,85,91,78,-1.3,16.56,38233.88,1.0,3.4,-1.1,14.6,18.9,213,0.17,1.28
2015-03-11,0.00,0.00,0.00,80,93,61,-2.1,14.72,36218.86,1.2,3.0,-0.3,16.8,24.8,289,0.29,1.28
2015-03-12,0.00,0.00,0.00,72,87,53,-8.9,16.40,34879.60,-4.4,0.3,-8.4,9.3,17.3,340,0.24,1.30
2015-03-13,3.50,1.60,1.33,75,83,69,-7.6,6.39,14913.37,-3.9,-0.0,-5.7,12.0,14.0,127,0.19,0.75
2015-03-14,5.00,2.10,2.10,86,96,74,-2.1,6.78,2076.57,-0.0,2.1,-1.6,11.5,19.5,350,0.18,0.72
2015-03-15,0.00,0.00,0.00,78,89,58,-4.0,16.89,35430.66,-0.5,2.9,-3.5,14.2,20.8,342,0.31,1.65
2015-03-16,0.40,0.40,0.00,86,95,70,-0.7,9.95,6854.12,1.4,5.5,-1.1,9.4,14.4,222,0.27,1.12
2015-03-17,1.80,1.80,0.00,70,93,47,-6.7,17.06,39071.43,-1.8,2.8,-5.3,19.5,26.0,320,0.27,1.29
2015-03-18,0.00,0.00,0.00,65,83,39,-14.1,19.70,39343.85,-8.2,-4.4,-12.4,12.6,20.2,303,0.27,1.30
2015-03-19,0.00,0.00,0.00,70,83,51,-13.9,18.58,37211.07,-9.1,-4.7,-13.7,9.6,14.3,283,0.21,1.19
2015-03-20,0.80,0.00,0.63,81,91,67,-7.9,11.83,19198.74,-5.1,-0.4,-8.2,9.9,13.2,182,0.20,0.92
2015-03-21,3.50,0.00,2.66,80,98,51,-6.0,16.47,39214.41,-2.7,-1.2,-6.3,12.0,18.5,318,0.23,1.14
2015-03-22,0.00,0.00,0.00,65,83,43,-16.7,20.26,40101.96,-11.2,-7.1,-15.6,13.3,20.4,309,0.20,1.02
2015-03-23,0.00,0.00,0.00,62,79,34,-19.0,21.33,40558.49,-12.7,-7.5,-17.5,6.5,11.2,1,0.21,1.24
2015-03-24,0.00,0.00,0.00,70,83,50,-15.4,21.41,40716.42,-10.8,-5.7,-14.9,6.4,9.2,242,0.18,1.25
2015-03-25,6.40,0.00,4.62,78,91,66,-10.3,7.11,8289.80,-7.1,-1.1,-10.5,12.8,20.4,139,0.14,0.59
2015-03-26,0.70,0.00,0.91,80,92,61,-3.8,12.95,34238.58,-0.7,1.3,-2.3,12.1,20.0,291,0.26,1.22
2015-03-27,0.00,0.00,0.00,62,74,43,-16.2,22.02,39600.00,-10.1,-2.3,-15.1,17.5,19.8,8,0.18,1.14
2015-03-28,0.00,0.00,0.00,65,78,46,-16.9,22.43,41448.71,-11.3,-4.9,-16.3,9.6,12.7,324,0.22,1.33
2015-03-29,1.40,0.00,0.98,74,82,61,-10.4,17.67,29712.33,-6.4,-0.5,-10.4,16.0,25.6,206,0.20,1.16
2015-03-30,3.00,0.10,2.10,77,97,55,-3.7,16.37,38766.55,0.1,2.4,-1.1,18.0,23.2,293,0.32,1.49
