latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.83831,-79.86755,208.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,1.10,0.00,0.98,71,80,54,-15.4,4.13,14894.89,-11.1,-7.4,-13.1,15.1,21.7,235,0.14,0.43
2015-01-02,0.00,0.00,0.00,72,80,52,-23.1,6.40,26037.50,-19.3,-10.3,-24.8,11.8,19.1,291,0.07,0.22
2015-01-03,1.20,0.00,1.05,78,82,71,-21.0,3.06,4778.53,-18.1,-7.9,-27.1,11.5,15.1,151,0.08,0.22
2015-01-04,5.10,0.00,3.78,83,89,73,-13.0,1.93,0.00,-10.7,-8.8,-16.1,12.3,19.8,22,0.07,0.18
2015-01-05,1.80,0.00,1.33,65,73,51,-29.2,6.44,25835.77,-24.4,-17.2,-29.1,15.2,19.9,295,0.04,0.19
2015-01-06,0.00,0.00,0.70,76,82,65,-25.2,3.18,1422.01,-22.0,-15.8,-27.7,10.1,13.1,241,0.06,0.16
2015-01-07,0.00,0.00,0.07,65,74,51,-29.4,5.90,25374.67,-24.7,-18.1,-28.4,15.6,18.7,323,0.04,0.17
2015-01-08,1.00,0.00,0.84,73,80,65,-25.6,3.03,0.00,-22.0,-11.3,-28.7,12.6,21.1,219,0.09,0.21
2015-01-09,3.30,0.00,2.45,71,88,48,-19.6,5.54,24657.66,-15.4,-11.9,-21.1,12.6,18.6,278,0.08,0.26
2015-01-10,0.30,0.00,0.42,71,75,65,-25.1,4.14,11598.08,-21.1,-12.6,-25.8,10.4,17.6,238,0.08,0.21
2015-01-11,0.00,0.00,0.00,77,84,64,-19.1,5.58,20798.01,-16.0,-9.7,-20.8,8.5,13.2,223,0.10,0.27
2015-01-12,0.00,0.00,0.28,75,86,54,-20.3,6.32,26627.65,-16.8,-11.2,-23.3,10.0,16.8,335,0.06,0.18
2015-01-13,0.00,0.00,0.00,71,74,63,-27.5,7.06,27207.30,-23.7,-13.3,-28.7,10.9,15.9,238,0.08,0.24
2015-01-14,0.20,0.00,0.21,76,82,66,-15.9,3.74,7970.10,-12.6,-7.3,-17.2,14.7,18.0,212,0.12,0.33
2015-01-15,2.40,0.00,1.96,84,89,77,-11.0,2.25,0.00,-8.7,-3.3,-14.4,14.4,22.3,196,0.10,0.28
2015-01-16,1.00,0.00,0.77,67,79,52,-21.0,7.02,27151.68,-16.2,-3.3,-22.9,18.3,26.0,307,0.11,0.36
2015-01-17,2.20,0.10,1.47,70,79,58,-26.5,2.89,0.00,-22.5,-12.7,-28.6,12.5,19.3,150,0.07,0.19
2015-01-18,5.10,0.00,3.57,88,96,79,-5.4,2.52,0.00,-3.6,-0.1,-11.2,12.1,18.3,201,0.11,0.30
2015-01-19,0.30,0.00,0.28,74,81,57,-17.9,7.18,26769.69,-14.3,-8.4,-18.4,15.7,17.8,342,0.08,0.33
2015-01-20,0.00,0.00,0.00,72,79,56,-26.1,7.95,28203.18,-22.4,-17.8,-26.8,9.1,12.5,313,0.07,0.23
2015-01-21,0.00,0.00,0.00,67,76,44,-24.7,7.16,27942.95,-19.9,-8.8,-25.1,5.2,8.4,187,0.17,0.34
2015-01-22,0.00,0.00,0.00,76,85,59,-18.6,6.79,27164.08,-15.2,-10.2,-19.3,7.3,10.5,251,0.12,0.32
2015-01-23,2.70,0.00,1.96,78,85,74,-9.6,2.15,0.00,-6.3,-1.2,-13.7,16.2,22.7,218,0.14,0.44
2015-01-24,1.70,0.00,1.75,82,92,64,-5.6,3.50,7951.93,-2.9,-0.4,-11.3,14.0,21.2,271,0.13,0.37
2015-01-25,0.00,0.00,0.00,70,79,53,-22.8,8.47,29030.58,-18.6,-13.1,-22.2,14.8,20.4,324,0.08,0.33
2015-01-26,0.00,0.00,0.00,71,77,59,-27.1,7.73,29207.40,-23.3,-16.9,-29.1,6.8,10.9,178,0.06,0.24
2015-01-27,0.00,0.00,0.00,68,76,47,-25.2,8.89,29387.31,-20.8,-14.7,-25.1,7.9,9.7,51,0.09,0.32
2015-01-28,0.00,0.00,0.00,68,78,42,-24.1,8.69,29570.03,-19.5,-8.6,-27.1,6.9,9.9,283,0.13,0.41
2015-01-29,7.10,0.00,5.11,81,88,76,-12.9,2.16,0.00,-10.3,-5.5,-15.1,10.6,14.2,174,0.08,0.25
2015-01-30,0.00,0.00,0.21,69,88,50,-22.5,9.09,29942.85,-18.0,-6.7,-23.0,16.9,24.5,330,0.07,0.33
2015-01-31,0.30,0.00,0.35,72,77,64,-24.5,6.96,21418.52,-20.8,-9.4,-26.8,9.7,17.6,220,0.09,0.33
2015-02-01,0.00,0.00,0.00,66,74,49,-29.0,9.32,30323.79,-24.3,-14.5,-30.3,10.5,21.8,341,0.06,0.25
2015-02-02,0.00,0.00,0.00,64,72,49,-31.5,9.83,30516.68,-26.6,-19.8,-31.4,5.9,8.5,28,0.06,0.25
2015-02-03,0.00,0.00,0.07,71,84,51,-24.2,9.14,29790.52,-20.1,-11.8,-25.9,9.4,12.7,240,0.12,0.38
2015-02-04,0.00,0.00,0.00,71,82,47,-22.3,8.78,29903.43,-18.1,-13.8,-21.9,8.6,11.5,283,0.11,0.35
2015-02-05,0.00,0.00,0.00,67,77,47,-27.5,10.46,31102.34,-22.9,-16.9,-28.8,9.5,11.6,279,0.09,0.31
2015-02-06,0.70,0.00,0.63,69,85,49,-19.9,8.95,31299.14,-15.3,-12.8,-19.9,13.8,16.5,254,0.12,0.44
2015-02-07,0.00,0.00,0.21,69,79,50,-24.2,9.60,29796.82,-19.7,-16.5,-22.3,7.8,11.6,347,0.08,0.34
2015-02-08,0.30,0.00,0.35,62,72,45,-25.7,9.47,30341.92,-20.2,-16.8,-23.2,13.7,18.4,55,0.09,0.37
2015-02-09,0.00,0.00,0.00,66,76,42,-25.6,10.57,31893.30,-20.8,-12.6,-26.3,7.8,13.2,46,0.13,0.40
2015-02-10,0.00,0.00,0.00,68,79,49,-22.8,11.15,32024.83,-18.1,-13.1,-21.8,7.9,11.5,345,0.11,0.43
2015-02-11,3.70,0.00,2.66,75,87,70,-19.0,4.07,1515.23,-15.6,-8.7,-19.5,10.6,13.7,119,0.08,0.30
2015-02-12,0.40,0.00,0.42,67,88,51,-23.8,10.25,30703.83,-19.2,-10.8,-23.4,19.2,22.8,338,0.06,0.32
2015-02-13,0.10,0.00,0.14,66,74,49,-30.6,9.33,28718.71,-25.9,-17.8,-32.2,10.2,16.2,271,0.07,0.28
2015-02-14,3.80,0.00,3.08,72,83,57,-23.2,7.25,12189.18,-19.4,-17.7,-23.4,17.4,28.5,20,0.05,0.24
2015-02-15,0.00,0.00,0.14,61,71,45,-32.4,12.44,32862.23,-27.0,-23.2,-30.9,18.5,23.1,340,0.05,0.28
2015-02-16,0.00,0.00,0.00,62,72,42,-31.2,12.62,33060.79,-25.8,-16.3,-32.1,8.3,12.9,267,0.10,0.39
2015-02-17,0.00,0.00,0.91,73,81,56,-22.8,8.23,19135.85,-19.0,-10.7,-24.2,10.4,14.2,191,0.12,0.39
2015-02-18,0.00,0.00,1.05,76,86,58,-19.5,7.98,11774.69,-16.0,-12.6,-18.2,8.8,16.3,341,0.08,0.33
2015-02-19,0.00,0.00,0.00,65,75,50,-27.8,11.34,31788.93,-22.9,-17.7,-26.6,16.6,18.7,334,0.05,0.30
2015-02-20,0.00,0.00,0.00,62,75,40,-30.3,13.44,33073.82,-24.8,-16.4,-31.4,11.8,16.4,281,0.10,0.41
2015-02-21,1.50,0.00,1.33,69,79,57,-19.2,10.21,32501.37,-14.8,-8.0,-18.8,12.9,15.6,187,0.14,0.58
2015-02-22,0.00,0.00,0.07,71,85,48,-20.2,12.41,33705.89,-16.0,-11.0,-20.5,11.2,14.5,311,0.08,0.41
2015-02-23,0.00,0.00,0.00,63,73,45,-30.6,13.90,34835.57,-25.3,-18.7,-30.8,11.9,14.7,273,0.08,0.34
2015-02-24,2.20,0.00,1.68,69,74,62,-20.4,6.30,0.00,-15.9,-10.3,-21.5,19.4,24.7,196,0.10,0.45
2015-02-25,0.40,0.00,0.35,64,84,43,-22.4,13.64,34199.29,-16.9,-11.1,-21.7,14.5,19.7,295,0.09,0.48
2015-02-26,0.00,0.00,0.00,65,74,47,-27.7,14.68,35476.32,-22.7,-16.4,-28.6,9.1,12.4,302,0.09,0.46
2015-02-27,0.00,0.00,0.00,66,77,45,-24.5,14.81,35688.55,-19.4,-9.8,-24.9,11.0,14.6,251,0.16,0.61
2015-02-28,0.00,0.00,0.00,65,80,40,-18.5,15.11,35899.84,-12.9,-5.3,-18.4,14.2,18.6,228,0.25,0.89
2015-03-01,0.00,0.00,0.00,72,85,49,-15.3,11.98,34374.25,-10.9,-5.0,-15.7,14.6,19.9,208,0.22,0.75
2015-03-02,0.00,0.00,0.00,69,86,40,-14.8,13.91,34891.00,-9.8,-7.6,-11.1,15.7,22.9,279,0.19,0.78
2015-03-03,4.30,0.00,3.01,73,84,60,-17.1,9.75,19370.54,-13.2,-5.4,-19.5,13.2,22.2,198,0.16,0.59
2015-03-04,1.80,0.00,1.40,69,89,44,-13.9,14.23,34775.34,-8.8,-7.4,-12.4,17.4,23.1,259,0.18,0.80
2015-03-05,0.00,0.00,0.00,66,79,45,-22.8,16.32,36963.36,-17.7,-12.5,-24.2,10.2,15.6,285,0.13,0.67
2015-03-06,0.00,0.00,0.00,66,78,44,-20.3,15.70,36484.91,-15.1,-6.8,-20.3,16.6,25.5,215,0.20,0.79
2015-03-07,1.30,0.00,1.26,74,87,58,-12.5,9.37,10464.78,-8.6,-2.8,-14.2,10.8,21.7,241,0.21,0.76
2015-03-08,0.00,0.00,0.14,71,86,44,-14.5,15.90,33266.54,-9.9,-4.9,-15.4,8.1,10.9,325,0.23,0.98
2015-03-09,0.80,0.00,0.91,74,90,43,-10.4,9.95,25312.54,-6.1,1.3,-11.2,12.2,20.3,255,0.39,0.92
2015-03-10,0.70,0.00,0.63,76,95,55,-4.5,15.68,38041.36,-0.5,7.6,-7.4,16.0,25.8,188,0.47,1.62
2015-03-11,1.50,1.40,0.28,73,86,53,-3.6,10.49,22818.72,0.8,3.6,-2.2,18.0,23.6,290,0.32,1.20
2015-03-12,0.00,0.00,0.00,61,79,40,-15.3,17.63,38472.52,-8.9,-2.0,-15.6,12.6,22.8,319,0.24,1.23
2015-03-13,6.00,0.00,4.20,78,90,57,-9.4,5.88,0.00,-6.1,-1.7,-9.9,9.1,13.0,153,0.15,0.58
2015-03-14,10.00,0.00,7.14,87,92,82,-4.5,4.51,0.00,-2.6,-0.2,-3.9,12.0,14.3,99,0.10,0.49
2015-03-15,1.10,0.00,0.91,76,89,37,-5.7,16.82,33875.16,-1.7,5.0,-5.1,12.3,17.8,352,0.55,1.59
2015-03-16,0.00,0.00,0.00,78,94,62,-1.5,11.37,21909.85,1.9,7.1,-0.8,11.3,16.7,214,0.38,1.37
2015-03-17,1.10,0.90,0.28,71,95,40,-8.9,16.55,37795.81,-4.0,2.8,-10.6,17.9,25.7,330,0.26,1.12
2015-03-18,0.00,0.00,0.00,64,82,36,-17.2,16.52,38935.71,-11.1,-6.3,-17.2,11.9,20.1,312,0.25,1.01
2015-03-19,0.00,0.00,0.00,61,77,36,-17.1,19.10,39705.52,-10.4,1.7,-19.3,10.7,14.6,252,0.43,1.51
2015-03-20,0.00,0.00,0.00,62,75,46,-9.3,13.26,30973.42,-2.8,4.2,-7.6,15.5,20.9,203,0.43,1.55
2015-03-21,2.10,0.00,1.54,68,94,44,-11.5,17.20,32400.00,-6.2,1.7,-11.2,14.8,17.6,328,0.21,0.99
2015-03-22,0.00,0.00,0.28,63,77,42,-22.3,16.40,39896.36,-16.5,-11.4,-22.5,13.6,22.9,307,0.15,0.73
2015-03-23,0.00,0.00,0.00,60,78,36,-22.3,20.35,40149.48,-15.7,-7.1,-21.6,10.5,12.4,324,0.22,1.06
2015-03-24,0.00,0.00,0.00,58,78,34,-18.1,20.76,40516.43,-10.7,0.7,-20.0,8.4,12.0,202,0.42,1.61
