latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.291737,-81.805115,204.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,1.30,0.00,1.12,76,79,73,-12.0,3.33,6582.68,-8.5,-5.5,-12.0,19.6,26.3,263,0.10,0.45
2015-01-02,0.00,0.00,0.00,74,81,58,-17.8,6.08,25610.03,-14.1,-7.8,-20.2,8.5,17.1,301,0.10,0.32
2015-01-03,1.90,0.00,1.47,85,90,79,-11.7,2.34,0.00,-9.6,-3.0,-16.3,12.5,21.1,117,0.07,0.23
2015-01-04,7.30,0.00,5.25,83,91,69,-9.8,2.57,2071.33,-7.4,-4.5,-12.7,14.0,18.1,26,0.10,0.25
2015-01-05,1.10,0.00,0.84,66,71,54,-24.6,6.43,25684.72,-19.7,-14.2,-25.1,13.6,17.3,304,0.06,0.29
2015-01-06,0.00,0.00,0.28,76,79,68,-17.8,4.39,10660.44,-14.4,-10.1,-16.6,14.1,20.5,269,0.09,0.30
2015-01-07,0.00,0.00,0.00,62,82,47,-26.5,6.80,26469.21,-21.2,-11.9,-26.1,16.5,20.7,336,0.05,0.25
2015-01-08,1.10,0.00,1.19,76,82,69,-18.9,3.11,0.00,-15.5,-9.7,-24.9,18.9,23.1,254,0.09,0.29
2015-01-09,4.50,0.00,3.15,73,85,49,-17.5,7.21,26505.71,-13.5,-9.9,-16.4,14.4,20.7,272,0.10,0.33
2015-01-10,0.00,0.00,0.21,74,83,64,-18.5,5.31,18376.94,-14.9,-10.6,-17.7,18.4,24.0,259,0.10,0.35
2015-01-11,0.20,0.00,0.56,82,90,75,-12.3,3.81,4968.94,-9.9,-5.2,-14.6,11.6,17.0,251,0.10,0.31
2015-01-12,2.80,0.00,1.96,76,87,54,-14.9,7.32,26908.96,-11.4,-6.8,-19.6,11.4,17.3,348,0.09,0.28
2015-01-13,0.00,0.00,0.00,68,78,51,-26.8,7.11,27789.42,-22.3,-14.5,-27.8,8.5,13.4,319,0.08,0.26
2015-01-14,0.00,0.00,0.00,81,87,72,-13.4,4.10,5190.75,-10.8,-6.6,-16.0,11.9,15.1,228,0.10,0.29
2015-01-15,2.10,0.00,2.03,87,90,81,-7.6,2.60,0.00,-5.8,-2.5,-8.6,14.9,23.9,229,0.09,0.26
2015-01-16,0.30,0.00,0.28,66,89,50,-17.5,7.99,28438.31,-12.4,-2.3,-18.1,15.2,22.9,312,0.14,0.47
2015-01-17,2.90,0.00,2.24,79,92,68,-18.4,1.90,0.00,-15.5,-1.5,-22.2,14.9,21.3,125,0.05,0.21
2015-01-18,3.70,1.10,1.89,90,97,77,-0.9,3.91,4617.32,0.6,1.4,-1.0,13.6,19.6,231,0.15,0.41
2015-01-19,0.00,0.00,0.28,71,84,53,-16.3,8.37,28844.99,-12.1,-2.1,-16.9,14.2,19.1,1,0.11,0.44
2015-01-20,0.00,0.00,0.00,67,76,41,-24.4,8.40,28986.73,-19.6,-12.6,-24.2,6.9,10.4,9,0.14,0.34
2015-01-21,0.00,0.00,0.00,67,78,44,-23.5,7.48,28352.96,-18.6,-9.2,-24.5,3.8,8.2,356,0.17,0.37
2015-01-22,0.00,0.00,0.00,75,85,62,-16.7,8.23,28120.54,-13.2,-5.8,-19.3,7.3,13.1,287,0.15,0.46
2015-01-23,1.10,0.00,0.84,86,92,80,-7.4,3.08,2505.23,-5.5,-1.0,-10.9,19.0,26.1,239,0.11,0.35
2015-01-24,1.30,0.10,1.19,89,97,76,-2.5,4.60,18826.50,-0.8,1.5,-3.1,13.6,19.4,263,0.14,0.45
2015-01-25,0.00,0.00,0.00,68,78,49,-19.9,9.20,29758.93,-15.1,-4.7,-20.1,13.3,21.6,360,0.12,0.46
2015-01-26,0.00,0.00,0.00,67,75,50,-23.7,8.01,29924.17,-19.0,-13.0,-23.2,8.0,11.6,55,0.11,0.34
2015-01-27,0.00,0.00,0.00,66,78,40,-21.5,9.31,30092.36,-16.3,-9.4,-20.5,11.7,13.6,42,0.18,0.49
