latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.6116,-93.33896,344.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.60,0.00,0.42,72,84,58,-16.4,5.65,25143.36,-12.3,-8.4,-17.1,17.7,19.4,287,0.09,0.35
2015-01-02,0.90,0.00,0.77,72,77,67,-22.1,3.16,14440.18,-18.2,-12.2,-22.5,8.1,12.1,225,0.08,0.20
2015-01-03,13.00,0.00,9.10,80,87,68,-16.0,3.66,13893.38,-13.2,-10.7,-17.9,14.3,21.6,28,0.06,0.19
2015-01-04,0.00,0.00,0.00,70,75,58,-30.4,6.03,25730.15,-26.6,-19.1,-31.3,13.9,17.1,312,0.04,0.13
2015-01-05,0.00,0.00,0.00,72,77,61,-32.2,5.88,25822.62,-28.7,-21.5,-32.2,13.9,17.9,250,0.04,0.14
2015-01-06,0.00,0.00,0.00,73,81,54,-26.4,5.44,24913.61,-22.7,-18.2,-25.6,17.5,26.0,281,0.07,0.21
2015-01-07,0.00,0.00,0.00,69,74,62,-28.9,6.08,25990.36,-24.8,-20.5,-28.5,17.9,21.9,297,0.05,0.20
2015-01-08,1.90,0.00,1.54,70,75,66,-22.6,3.44,8181.34,-18.4,-15.1,-21.3,13.9,23.5,263,0.07,0.24
2015-01-09,0.00,0.00,0.00,67,75,57,-25.2,6.00,25404.42,-20.7,-17.2,-22.5,20.9,23.9,294,0.06,0.27
2015-01-10,0.00,0.00,0.00,73,79,57,-25.5,6.68,26345.48,-21.8,-17.8,-24.7,11.8,17.7,259,0.07,0.22
2015-01-11,0.00,0.00,0.00,74,81,60,-26.7,6.15,25266.40,-23.3,-18.0,-26.5,8.7,11.6,269,0.06,0.18
2015-01-12,0.00,0.00,0.00,72,81,50,-27.7,6.75,26534.30,-23.9,-19.9,-27.5,9.4,14.2,309,0.06,0.19
2015-01-13,0.00,0.00,0.00,68,75,53,-27.2,6.67,26456.91,-22.7,-12.9,-26.8,14.2,19.5,206,0.10,0.28
2015-01-14,0.00,0.00,0.14,79,87,61,-15.2,3.37,3281.99,-12.2,-8.1,-14.9,10.0,18.1,232,0.09,0.27
2015-01-15,0.80,0.00,0.63,79,89,65,-9.1,5.54,25721.35,-6.1,-2.2,-10.9,17.5,24.7,276,0.11,0.40
2015-01-16,0.00,0.00,0.00,75,83,56,-20.5,5.88,26334.22,-17.1,-12.2,-22.3,10.6,15.0,85,0.10,0.24
2015-01-17,5.70,0.00,4.06,83,92,71,-8.6,2.02,0.00,-6.3,-1.8,-12.2,16.0,20.7,204,0.09,0.31
2015-01-18,0.40,0.00,0.63,82,93,64,-7.3,4.33,12826.40,-4.6,-2.4,-8.9,14.2,17.1,310,0.13,0.35
2015-01-19,0.00,0.00,0.00,82,87,74,-14.0,5.41,26639.23,-11.5,-5.4,-14.5,9.4,10.9,109,0.11,0.31
2015-01-20,0.00,0.00,0.00,86,92,77,-8.4,3.01,5839.93,-6.4,-3.5,-8.4,3.9,8.8,129,0.11,0.25
2015-01-21,0.00,0.00,0.21,85,93,71,-8.7,3.73,339.01,-6.6,-4.2,-9.1,7.7,12.8,330,0.11,0.28
2015-01-22,0.00,0.00,0.00,79,86,65,-13.5,6.20,25568.78,-10.4,-2.0,-14.6,13.4,26.9,219,0.18,0.42
2015-01-23,0.00,0.00,0.00,77,88,65,-2.8,3.16,6946.17,0.9,2.6,-1.4,19.5,26.0,254,0.22,0.75
2015-01-24,0.20,0.00,0.28,86,94,69,-3.4,4.28,16987.22,-1.3,1.9,-8.1,12.1,15.6,330,0.13,0.35
2015-01-25,0.00,0.00,0.00,79,84,66,-17.2,6.94,25566.85,-14.3,-8.6,-19.8,9.6,13.8,79,0.10,0.34
2015-01-26,3.40,0.00,2.59,85,93,76,-7.7,3.14,2025.20,-5.5,-0.9,-10.8,13.3,18.2,231,0.12,0.34
2015-01-27,0.00,0.00,0.00,87,92,75,-6.6,5.37,16044.62,-4.7,-1.5,-6.7,7.8,11.4,219,0.14,0.39
2015-01-28,0.10,0.00,0.28,86,91,79,-4.5,3.07,0.00,-2.6,-0.6,-4.2,10.8,13.0,162,0.12,0.33
2015-01-29,0.20,0.00,0.28,80,94,62,-9.4,6.07,22362.13,-6.4,-1.1,-13.9,17.3,23.5,318,0.10,0.38
2015-01-30,2.00,0.00,1.47,76,82,63,-20.8,3.98,2826.26,-17.6,-10.7,-22.2,8.3,14.3,233,0.08,0.24
2015-01-31,0.20,0.00,0.21,74,88,54,-17.3,8.23,27315.19,-13.6,-10.1,-17.8,12.1,15.0,332,0.08,0.32
2015-02-01,0.00,0.00,0.00,70,76,55,-28.4,9.25,29990.87,-24.5,-19.1,-29.3,8.6,11.4,3,0.05,0.23
2015-02-02,0.00,0.00,0.00,69,78,53,-27.6,7.02,28304.21,-23.3,-13.9,-28.9,9.5,11.7,245,0.09,0.28
2015-02-03,0.00,0.00,0.00,75,82,58,-23.1,8.99,30391.08,-19.6,-13.9,-23.9,8.7,12.1,283,0.09,0.32
2015-02-04,0.00,0.00,0.00,72,82,54,-25.2,9.23,30592.90,-21.3,-17.2,-25.2,13.6,19.3,291,0.06,0.25
