latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.32337,-76.238525,87.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,1.80,0.00,1.61,60,74,52,-10.6,2.45,804.83,-4.0,-1.8,-5.8,24.3,33.9,245,0.22,0.96
2015-01-02,0.00,0.00,0.00,56,73,40,-11.1,6.74,27910.90,-3.3,-1.8,-5.1,18.9,25.5,273,0.28,1.09
2015-01-03,4.20,0.00,2.94,64,85,46,-11.6,2.97,0.00,-5.7,-1.2,-8.2,10.9,17.6,90,0.24,0.56
2015-01-04,19.50,13.80,3.99,93,99,88,2.3,1.29,0.00,3.3,6.0,-0.9,19.7,31.2,191,0.08,0.24
2015-01-05,0.40,0.20,0.21,61,94,39,-13.9,7.15,28009.06,-7.4,2.4,-12.6,22.5,29.4,281,0.16,0.70
2015-01-06,1.50,0.00,1.12,60,68,52,-15.6,4.37,5899.03,-9.3,-6.1,-12.4,13.0,21.2,261,0.16,0.59
2015-01-07,0.50,0.00,0.77,60,71,48,-18.4,7.16,27955.00,-12.3,-7.0,-20.1,19.5,25.9,301,0.14,0.53
2015-01-08,0.30,0.00,0.56,65,80,56,-19.6,5.11,17608.28,-14.4,-6.2,-22.0,16.3,28.4,254,0.16,0.50
2015-01-09,4.60,0.00,3.50,66,76,48,-12.2,6.39,21667.42,-6.8,-5.1,-7.8,23.0,30.8,232,0.21,0.80
2015-01-10,0.00,0.00,0.35,67,77,51,-14.9,6.78,27313.11,-9.9,-7.7,-12.1,17.1,25.1,254,0.16,0.57
2015-01-11,0.00,0.00,0.21,71,82,56,-11.2,7.07,24159.53,-6.7,-2.1,-9.2,16.2,24.3,225,0.22,0.67
2015-01-12,6.60,0.20,4.55,84,96,74,-4.0,2.61,0.00,-1.7,-0.8,-3.9,12.3,22.4,232,0.13,0.39
2015-01-13,0.00,0.00,0.00,69,80,52,-21.6,8.88,28997.83,-17.1,-5.2,-22.8,13.3,24.9,9,0.11,0.37
2015-01-14,0.00,0.00,0.00,68,80,55,-19.3,9.22,29165.46,-14.6,-7.9,-18.9,6.4,9.5,122,0.13,0.43
2015-01-15,0.00,0.00,0.00,83,90,74,-12.4,4.42,4957.85,-10.1,-5.2,-14.1,8.3,19.6,202,0.10,0.32
2015-01-16,1.70,0.00,1.33,71,87,49,-11.3,9.00,29399.72,-6.7,-2.5,-12.6,20.2,24.1,271,0.13,0.62
2015-01-17,0.00,0.00,0.00,63,74,48,-21.1,8.15,28572.35,-15.7,-8.9,-19.9,9.8,13.5,45,0.15,0.44
2015-01-18,1.00,1.00,0.00,76,92,61,-4.3,4.85,13605.88,-0.5,3.0,-7.4,23.4,27.8,186,0.17,0.87
2015-01-19,1.30,0.00,1.05,88,97,69,-2.9,4.95,18823.79,-1.0,0.9,-4.5,12.1,17.7,271,0.16,0.43
2015-01-20,0.00,0.00,0.00,71,82,59,-15.8,9.87,29902.51,-11.6,-5.5,-14.6,8.7,12.7,302,0.12,0.49
2015-01-21,0.00,0.00,0.00,75,84,60,-17.9,9.39,29134.83,-14.3,-9.2,-19.0,8.4,12.7,27,0.12,0.41
2015-01-22,0.00,0.00,0.00,75,82,55,-17.3,9.38,30175.16,-13.8,-8.7,-18.0,9.2,13.0,19,0.12,0.46
2015-01-23,0.00,0.00,0.00,78,86,70,-9.2,7.28,29428.57,-5.9,-1.2,-9.6,15.3,27.0,230,0.15,0.57
2015-01-24,0.00,0.00,0.21,88,94,79,-4.8,5.14,13121.94,-3.0,-1.4,-4.3,13.1,17.7,225,0.12,0.43
2015-01-25,0.20,0.00,0.21,73,91,55,-12.4,9.91,30611.96,-8.3,-1.2,-14.6,13.9,21.7,310,0.12,0.49
2015-01-26,0.00,0.00,0.00,69,79,55,-20.3,7.62,23220.94,-15.8,-11.9,-19.8,13.9,19.6,35,0.11,0.39
2015-01-27,0.00,0.00,0.00,66,76,51,-18.9,9.50,30763.04,-13.8,-9.9,-16.4,19.2,22.2,27,0.14,0.55
2015-01-28,0.00,0.00,0.00,66,73,53,-18.9,10.99,31028.48,-13.8,-8.4,-17.3,9.8,16.3,345,0.15,0.59
2015-01-29,1.40,0.00,0.98,71,85,53,-14.0,4.24,5630.36,-9.6,-1.0,-13.8,12.0,22.5,173,0.23,0.51
2015-01-30,6.40,0.00,4.55,77,95,58,-9.5,9.42,29591.89,-6.0,-1.4,-13.4,18.2,22.7,302,0.11,0.53
2015-01-31,0.00,0.00,0.00,69,75,55,-22.6,11.24,31300.10,-18.2,-13.8,-22.0,9.2,15.6,317,0.09,0.44
2015-02-01,0.00,0.00,0.00,73,85,54,-17.8,9.50,21600.00,-13.9,-10.1,-16.5,12.7,17.3,7,0.09,0.39
2015-02-02,11.00,0.00,7.84,71,78,65,-21.4,4.45,3732.97,-17.4,-15.9,-18.8,21.9,28.5,32,0.06,0.30
2015-02-03,0.00,0.00,0.21,74,80,69,-19.9,7.63,30538.01,-16.4,-7.9,-21.0,10.0,18.8,263,0.10,0.38
2015-02-04,4.60,0.00,3.36,84,93,77,-7.4,5.31,1725.32,-5.2,-0.6,-7.8,15.5,21.9,214,0.10,0.46
2015-02-05,3.10,0.00,2.24,71,93,48,-14.6,12.00,31917.66,-10.1,-1.4,-15.4,13.8,16.6,336,0.12,0.55
2015-02-06,0.70,0.00,0.70,74,85,63,-16.1,9.06,26058.59,-12.4,-4.9,-17.8,12.1,20.4,237,0.15,0.56
2015-02-07,2.70,0.00,2.03,79,88,68,-11.5,6.04,1480.93,-8.5,-5.3,-11.2,11.7,19.6,344,0.10,0.43
2015-02-08,9.60,0.00,6.79,78,81,74,-16.1,2.98,0.00,-13.0,-9.5,-14.6,20.7,25.2,35,0.07,0.29
2015-02-09,0.60,0.00,1.12,77,80,73,-16.0,5.05,1260.86,-12.8,-10.3,-14.5,19.7,23.5,29,0.07,0.40
2015-02-10,0.00,0.00,0.00,76,86,61,-13.9,12.62,32662.84,-10.5,-6.1,-13.1,10.6,13.6,19,0.15,0.67
2015-02-11,0.00,0.00,0.00,72,84,48,-15.0,10.88,26150.91,-10.7,-5.1,-14.9,8.4,13.6,37,0.19,0.68
2015-02-12,1.60,0.00,1.40,77,94,60,-10.4,10.32,27804.16,-6.9,-4.8,-12.6,11.3,19.5,300,0.17,0.59
2015-02-13,0.00,0.00,0.21,64,74,49,-25.1,13.87,33736.77,-19.8,-13.9,-23.7,12.3,20.8,305,0.07,0.45
2015-02-14,2.50,0.00,1.96,74,80,68,-16.1,8.41,9000.00,-12.5,-5.1,-19.2,13.3,17.3,177,0.13,0.57
2015-02-15,1.20,0.00,1.26,68,86,50,-20.7,13.81,32515.05,-16.0,-7.6,-20.8,19.9,24.1,343,0.07,0.44
2015-02-16,0.00,0.00,0.00,62,71,49,-27.2,14.49,34159.07,-21.8,-17.4,-24.8,10.6,17.8,299,0.08,0.45
2015-02-17,0.00,0.00,0.00,66,80,32,-23.8,14.05,33810.66,-18.6,-13.2,-23.0,5.5,10.2,168,0.15,0.59
2015-02-18,0.00,0.00,0.14,73,80,59,-16.7,12.21,27940.47,-12.8,-7.3,-15.5,9.8,14.4,179,0.12,0.62
2015-02-19,1.00,0.00,0.91,72,86,50,-16.2,13.49,32672.08,-12.0,-7.8,-14.9,14.6,19.4,306,0.11,0.55
2015-02-20,0.00,0.00,0.07,65,73,54,-23.6,14.89,33896.20,-18.6,-15.2,-21.1,15.8,19.3,271,0.08,0.52
2015-02-21,4.20,0.00,3.15,72,85,60,-18.0,6.48,1888.82,-14.0,-7.8,-17.8,12.7,16.6,187,0.10,0.44
2015-02-22,1.60,0.00,1.26,82,92,63,-9.7,14.14,34517.75,-7.0,-4.7,-9.9,10.6,15.5,228,0.15,0.80
2015-02-23,0.50,0.00,0.42,67,88,45,-19.1,15.30,35310.89,-14.0,-5.3,-18.2,15.5,21.6,286,0.11,0.57
2015-02-24,0.00,0.00,0.00,66,81,47,-21.7,13.55,33036.60,-16.7,-9.5,-20.0,15.5,21.1,203,0.14,0.59
2015-02-25,1.00,0.00,0.98,70,87,52,-13.0,13.56,32955.54,-8.3,-6.7,-9.3,17.3,21.7,231,0.18,0.86
2015-02-26,0.00,0.00,0.00,67,80,47,-18.8,12.39,30187.10,-13.8,-9.6,-17.3,9.6,14.9,3,0.13,0.58
2015-02-27,0.00,0.00,0.00,66,80,47,-19.5,16.94,36407.94,-14.3,-11.2,-18.0,8.2,16.1,262,0.13,0.69
2015-02-28,0.00,0.00,0.00,72,78,64,-17.0,15.92,36148.41,-13.0,-8.2,-16.4,12.2,18.8,234,0.12,0.72
2015-03-01,0.40,0.00,0.77,77,88,67,-12.4,11.22,19309.84,-9.0,-4.4,-12.2,10.9,13.8,189,0.11,0.70
2015-03-02,2.20,0.00,1.89,77,93,50,-8.7,12.79,31426.94,-5.1,-2.4,-7.4,15.1,25.2,265,0.26,0.89
2015-03-03,3.40,0.00,2.45,78,90,62,-11.9,9.89,11381.93,-8.7,-5.1,-12.9,10.9,19.4,218,0.15,0.65
2015-03-04,6.10,0.00,4.34,77,92,63,-5.1,10.84,24338.06,-1.4,0.6,-4.8,20.2,27.4,236,0.23,1.03
2015-03-05,0.00,0.00,0.00,63,78,45,-15.1,15.24,37324.20,-9.2,-2.2,-12.2,13.2,19.1,308,0.16,0.93
2015-03-06,0.00,0.00,0.00,72,81,62,-17.6,17.11,37141.18,-13.5,-9.2,-17.9,12.3,21.6,232,0.11,0.69
2015-03-07,0.70,0.00,0.63,78,87,71,-10.5,10.87,18229.09,-7.2,-3.0,-9.9,15.7,18.9,218,0.14,0.79
2015-03-08,0.40,0.00,0.49,83,96,54,-6.6,12.54,27761.98,-3.8,0.2,-6.7,12.6,21.9,241,0.29,0.93
2015-03-09,0.60,0.00,0.63,79,94,61,-4.8,17.56,38093.62,-1.5,2.0,-3.7,14.1,21.7,230,0.26,1.35
2015-03-10,0.00,0.00,0.00,81,91,65,-2.6,14.18,31059.78,0.5,4.9,-2.8,11.7,18.3,209,0.30,1.36
2015-03-11,0.00,0.00,0.00,83,97,63,-0.0,15.20,38293.47,2.7,4.9,0.8,16.2,21.9,232,0.31,1.43
2015-03-12,0.00,0.00,0.00,67,84,48,-7.9,18.94,38423.55,-2.3,2.2,-5.8,16.4,24.1,309,0.28,1.49
2015-03-13,0.00,0.00,0.00,70,88,49,-9.6,15.37,34892.52,-4.7,1.4,-9.3,6.3,11.5,96,0.32,1.25
2015-03-14,2.00,2.00,0.00,82,92,73,-1.2,3.91,0.00,1.6,3.2,0.1,10.0,13.8,161,0.17,0.64
2015-03-15,2.10,0.90,1.19,82,95,63,-1.9,10.07,16199.27,1.0,2.2,-0.2,16.2,22.9,306,0.26,0.96
