latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.88576,-79.41177,262.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,4.20,0.00,3.36,71,82,61,-10.7,2.84,0.00,-6.3,-4.0,-8.6,22.1,25.8,234,0.13,0.60
2015-01-02,1.30,0.10,1.47,77,87,63,-11.9,6.01,26801.20,-8.5,-3.8,-11.8,12.1,23.2,294,0.11,0.41
2015-01-03,6.10,0.00,4.48,85,91,80,-11.6,1.97,0.00,-9.5,-3.6,-12.8,13.3,20.6,117,0.08,0.21
2015-01-04,12.60,2.70,7.07,93,96,85,-2.7,1.98,2693.31,-1.8,1.3,-5.8,10.5,16.1,63,0.07,0.21
2015-01-05,1.30,0.00,1.54,75,85,65,-16.4,6.25,26384.84,-12.9,-6.3,-17.3,13.9,20.8,305,0.07,0.30
2015-01-06,2.40,0.00,2.31,76,83,63,-15.1,4.53,9361.89,-11.6,-8.6,-13.1,13.9,21.7,218,0.12,0.34
2015-01-07,2.30,0.10,1.54,70,81,56,-21.8,7.64,28156.39,-17.6,-9.9,-24.6,17.3,20.3,312,0.07,0.27
2015-01-08,2.30,0.00,1.82,75,83,66,-20.2,3.98,1063.32,-16.7,-9.2,-25.4,13.6,22.3,220,0.10,0.30
2015-01-09,3.50,0.00,2.73,72,80,63,-15.6,6.90,26805.30,-11.6,-9.7,-12.9,16.6,21.5,233,0.10,0.46
2015-01-10,3.20,0.00,2.59,71,80,60,-16.0,5.64,25394.60,-11.7,-9.9,-12.9,15.0,23.6,238,0.11,0.42
2015-01-11,1.00,0.00,0.84,75,84,61,-13.3,5.81,22951.56,-9.6,-5.4,-12.6,13.6,18.6,204,0.14,0.45
2015-01-12,1.10,0.00,0.98,80,93,63,-8.6,5.53,18624.39,-5.7,-4.4,-11.1,11.2,18.0,279,0.16,0.42
2015-01-13,0.00,0.00,0.00,68,79,41,-23.7,8.62,28778.79,-19.2,-12.7,-23.1,7.7,16.4,2,0.10,0.32
2015-01-14,0.00,0.00,0.00,75,83,65,-20.5,6.99,27628.88,-17.1,-11.5,-20.4,7.5,10.2,142,0.06,0.32
2015-01-15,0.50,0.00,0.49,80,87,72,-13.8,4.38,14842.34,-11.1,-6.1,-13.4,10.0,15.7,175,0.10,0.29
2015-01-16,2.30,0.00,1.75,73,88,57,-13.7,8.58,29134.11,-9.6,-2.8,-16.3,18.0,23.3,297,0.11,0.47
2015-01-17,0.00,0.00,0.07,74,80,66,-20.2,5.04,13967.10,-16.5,-6.7,-21.3,14.0,23.3,124,0.09,0.29
2015-01-18,10.20,4.00,4.34,88,99,79,-1.6,3.03,809.30,0.2,2.1,-6.0,14.4,20.1,191,0.14,0.42
2015-01-19,0.50,0.00,0.63,84,96,71,-8.1,6.47,24690.86,-5.8,-0.2,-11.3,12.8,15.4,307,0.09,0.36
2015-01-20,0.00,0.00,0.00,75,84,57,-19.7,9.27,29649.36,-16.2,-12.0,-20.0,7.6,10.5,322,0.09,0.34
2015-01-21,0.00,0.00,0.00,70,77,50,-21.0,9.33,29786.94,-16.7,-10.8,-20.6,6.4,10.0,67,0.13,0.40
2015-01-22,0.00,0.00,0.00,77,87,54,-17.7,7.32,27934.89,-14.4,-8.6,-18.9,5.8,8.5,334,0.11,0.35
2015-01-23,0.00,0.00,0.00,83,91,69,-8.5,6.56,28351.38,-6.0,-0.9,-9.3,14.2,21.4,230,0.18,0.53
2015-01-24,1.80,0.00,1.82,89,95,78,-4.2,2.87,88.23,-2.6,-0.6,-3.9,12.1,16.3,228,0.12,0.33
