latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.502636,-81.043365,261.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.90,0.00,0.91,75,78,69,-13.0,3.01,7200.00,-9.3,-5.4,-13.0,17.9,22.7,246,0.12,0.42
2015-01-02,0.00,0.00,0.00,74,84,57,-18.6,6.19,26144.61,-14.9,-8.1,-21.0,7.8,13.2,290,0.09,0.27
2015-01-03,1.30,0.00,1.05,85,89,77,-14.9,2.24,0.00,-12.9,-5.7,-20.8,11.3,18.0,127,0.07,0.20
2015-01-04,7.70,0.00,5.39,83,90,72,-10.8,2.24,3361.86,-8.4,-6.2,-13.3,13.4,18.4,23,0.09,0.22
2015-01-05,1.50,0.00,1.19,67,77,52,-25.8,7.00,26742.76,-21.2,-14.8,-26.9,12.5,16.6,297,0.06,0.25
2015-01-06,0.30,0.00,0.56,76,81,67,-19.2,3.73,1682.84,-15.8,-10.2,-19.1,13.2,18.3,250,0.09,0.26
2015-01-07,0.40,0.00,0.42,65,85,50,-27.0,7.06,26961.21,-22.1,-12.1,-27.1,15.5,20.0,338,0.05,0.21
2015-01-08,1.20,0.00,1.12,76,83,67,-20.9,3.16,0.00,-17.6,-10.5,-27.2,14.4,22.7,239,0.09,0.25
2015-01-09,4.10,0.00,2.94,73,85,48,-17.8,6.99,26422.93,-13.8,-10.4,-18.0,12.4,15.8,267,0.10,0.29
2015-01-10,0.00,0.00,0.21,74,83,60,-20.6,5.10,16704.02,-17.0,-10.7,-23.1,14.0,24.5,245,0.11,0.29
2015-01-11,0.10,0.00,0.70,81,89,71,-13.6,4.03,7491.95,-10.9,-4.7,-16.6,11.1,15.1,240,0.13,0.32
2015-01-12,3.20,0.00,2.31,77,89,56,-15.2,6.93,24280.64,-12.0,-6.5,-20.9,11.4,17.6,344,0.08,0.25
2015-01-13,0.00,0.00,0.00,69,80,54,-27.9,7.52,27947.45,-23.8,-14.7,-30.9,9.8,12.8,270,0.08,0.24
2015-01-14,0.00,0.00,0.00,80,88,67,-13.8,3.81,3050.32,-11.0,-6.8,-16.9,12.8,16.0,215,0.12,0.30
2015-01-15,1.40,0.00,1.61,86,91,77,-8.5,2.53,0.00,-6.6,-3.0,-10.2,15.2,26.5,216,0.11,0.28
2015-01-16,0.50,0.00,0.49,67,88,51,-18.2,8.06,28329.75,-13.4,-2.7,-19.0,15.2,20.5,314,0.12,0.42
2015-01-17,2.00,0.00,1.54,75,86,68,-22.4,2.16,0.00,-19.0,-5.3,-25.2,12.8,19.5,130,0.06,0.19
2015-01-18,5.30,0.50,3.85,92,97,81,-0.9,3.36,1151.90,0.3,1.2,-3.3,12.9,20.3,212,0.13,0.35
2015-01-19,0.60,0.00,0.42,73,84,55,-16.8,8.42,28740.33,-12.8,-2.3,-17.1,15.4,20.2,357,0.10,0.41
2015-01-20,0.00,0.00,0.00,69,79,44,-24.7,8.49,28883.43,-20.3,-12.9,-24.9,7.4,11.3,351,0.13,0.30
2015-01-21,0.00,0.00,0.00,66,80,38,-24.7,8.14,29031.11,-19.5,-9.5,-25.6,3.0,7.9,296,0.19,0.39
2015-01-22,0.00,0.00,0.00,71,81,55,-18.1,7.81,26975.72,-13.9,-6.0,-20.6,7.4,12.1,275,0.18,0.45
2015-01-23,1.60,0.00,1.19,85,90,79,-8.3,2.81,77.38,-6.2,-1.0,-12.1,18.7,23.2,230,0.11,0.36
2015-01-24,2.00,0.10,1.82,87,96,74,-3.3,3.92,8094.59,-1.4,1.1,-4.9,13.2,20.2,257,0.17,0.43
2015-01-25,0.00,0.00,0.00,68,78,50,-21.0,9.31,29662.82,-16.3,-6.6,-21.0,14.4,22.0,353,0.10,0.42
2015-01-26,0.00,0.00,0.00,69,77,51,-24.4,8.41,29829.57,-20.0,-13.4,-24.5,8.3,10.8,50,0.11,0.34
2015-01-27,0.00,0.00,0.00,68,78,43,-22.8,9.50,29999.28,-18.0,-11.3,-22.2,11.4,12.7,37,0.15,0.43
2015-01-28,0.00,0.00,0.00,65,76,41,-21.9,9.39,30171.73,-16.5,-6.8,-23.6,8.1,11.6,324,0.21,0.54
2015-01-29,4.60,0.00,3.50,83,92,72,-10.8,2.25,0.00,-8.3,-4.2,-13.0,10.6,14.2,162,0.10,0.29
2015-01-30,0.00,0.00,0.00,67,91,48,-20.8,9.94,30523.77,-16.0,-5.8,-21.5,17.1,25.3,345,0.08,0.42
2015-01-31,0.30,0.00,0.28,75,83,66,-21.5,6.26,18649.72,-18.1,-6.5,-25.0,8.8,11.8,230,0.08,0.33
2015-02-01,0.00,0.00,0.00,67,84,50,-25.7,7.74,21085.08,-21.0,-8.3,-27.2,14.3,20.2,15,0.06,0.27
2015-02-02,0.00,0.00,0.00,63,71,47,-27.5,10.53,31066.11,-22.2,-16.7,-25.5,11.3,15.5,22,0.09,0.36
2015-02-03,0.00,0.00,0.14,73,84,56,-20.4,9.27,29457.92,-16.6,-7.9,-23.6,10.2,14.8,240,0.15,0.49
2015-02-04,1.20,0.00,1.26,76,85,55,-16.2,7.21,21675.70,-12.7,-9.1,-14.7,7.9,13.1,294,0.14,0.42
2015-02-05,0.30,0.00,0.35,69,78,48,-22.6,11.05,31527.34,-18.2,-12.7,-23.9,9.5,14.0,305,0.10,0.39
2015-02-06,0.50,0.00,0.35,72,85,48,-16.9,10.51,31596.55,-12.6,-8.7,-17.6,13.3,16.9,253,0.16,0.56
2015-02-07,2.10,0.00,1.61,69,77,53,-20.1,7.82,20910.13,-15.5,-12.5,-17.3,9.6,14.9,39,0.10,0.39
2015-02-08,6.50,0.00,4.55,68,75,54,-21.2,8.25,21728.89,-16.6,-14.2,-18.3,17.4,19.9,50,0.09,0.42
2015-02-09,0.00,0.00,0.00,67,78,52,-23.1,11.04,31867.81,-18.3,-12.2,-22.8,12.4,17.6,37,0.11,0.49
2015-02-10,0.00,0.00,0.00,67,77,50,-21.2,11.08,32184.60,-16.3,-10.2,-20.1,8.7,12.6,17,0.14,0.51
2015-02-11,2.70,0.00,1.96,79,90,75,-15.1,3.70,0.00,-12.2,-5.6,-16.1,10.5,14.8,125,0.07,0.31
