latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
49.736378,-87.19238,340.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,1.10,0.00,1.19,72,84,54,-19.0,4.18,23527.22,-14.9,-13.0,-20.1,17.2,20.2,287,0.08,0.28
2015-01-02,0.00,0.00,0.00,73,77,63,-26.5,5.17,24795.83,-22.9,-19.6,-25.5,10.7,14.3,281,0.05,0.17
2015-01-03,6.10,0.00,4.34,78,82,74,-22.1,1.34,0.00,-19.3,-17.9,-21.5,10.2,17.1,50,0.04,0.11
2015-01-04,0.50,0.00,0.42,70,76,58,-29.6,4.15,21678.58,-25.8,-20.2,-28.9,13.7,15.8,352,0.03,0.12
2015-01-05,0.00,0.00,0.00,72,78,62,-31.1,4.87,24437.89,-27.6,-22.1,-30.2,14.0,16.9,283,0.04,0.13
2015-01-06,0.00,0.00,0.35,73,80,58,-24.4,4.20,19543.87,-20.7,-19.9,-22.1,14.9,17.4,295,0.05,0.19
2015-01-07,0.20,0.00,0.28,68,73,61,-30.9,4.50,18311.65,-26.8,-22.6,-30.6,18.8,22.6,305,0.03,0.15
2015-01-08,0.90,0.00,1.40,73,76,64,-21.8,3.09,70.51,-18.1,-15.5,-22.0,17.8,22.7,277,0.07,0.25
2015-01-09,0.00,0.00,0.07,64,73,49,-26.7,3.97,18626.02,-21.6,-17.2,-24.2,17.1,20.8,305,0.05,0.22
2015-01-10,0.30,0.00,0.49,71,80,57,-24.6,4.60,21692.14,-20.6,-17.3,-22.9,13.5,16.8,277,0.07,0.22
2015-01-11,0.00,0.00,0.00,76,82,63,-24.8,5.95,25782.01,-21.7,-17.3,-24.7,9.3,12.9,257,0.06,0.16
2015-01-12,0.00,0.00,0.00,73,79,55,-26.8,6.04,25918.58,-23.2,-19.8,-26.7,11.4,14.0,314,0.05,0.16
2015-01-13,0.00,0.00,0.00,66,78,45,-24.0,5.73,25979.84,-19.0,-12.0,-23.5,18.2,23.2,229,0.11,0.37
2015-01-14,1.80,0.00,1.33,73,84,65,-16.0,4.55,22500.88,-12.1,-11.4,-13.3,12.6,22.7,250,0.09,0.35
2015-01-15,2.80,0.00,2.17,76,86,58,-12.9,3.85,17796.81,-9.4,-5.5,-14.1,18.9,27.1,263,0.13,0.37
2015-01-16,0.00,0.00,0.00,73,80,64,-24.5,6.45,26507.11,-21.0,-15.0,-24.8,10.1,18.8,321,0.06,0.21
2015-01-17,3.40,0.00,2.52,82,90,71,-13.9,1.87,0.00,-11.4,-3.3,-22.1,14.4,19.1,173,0.07,0.27
2015-01-18,0.90,0.00,0.98,78,91,63,-12.6,3.91,14741.23,-9.5,-4.0,-16.1,12.9,14.8,341,0.09,0.27
2015-01-19,0.00,0.00,0.00,75,81,65,-24.5,5.81,26707.89,-21.2,-17.0,-24.6,8.1,12.4,77,0.05,0.18
2015-01-20,0.00,0.00,0.21,76,86,71,-22.4,3.55,8208.63,-19.2,-11.8,-23.1,8.2,10.2,193,0.06,0.19
2015-01-21,0.20,0.00,0.28,83,90,66,-15.3,5.23,20520.95,-12.9,-10.9,-15.4,6.7,10.5,323,0.08,0.25
2015-01-22,0.00,0.00,0.00,77,84,59,-17.9,5.30,21245.38,-14.7,-8.0,-18.2,13.1,24.5,251,0.11,0.31
2015-01-23,3.90,0.00,2.87,81,88,72,-5.0,2.79,238.98,-2.2,0.9,-6.9,17.7,25.4,244,0.14,0.51
2015-01-24,0.10,0.00,0.49,76,91,59,-11.4,5.82,23879.95,-7.9,-0.4,-17.0,15.5,19.1,327,0.10,0.33
2015-01-25,0.00,0.00,0.00,74,80,53,-24.9,7.47,28057.56,-21.4,-17.8,-25.0,7.2,12.3,344,0.06,0.23
2015-01-26,0.50,0.00,1.05,78,86,69,-18.3,3.67,0.00,-15.4,-8.2,-21.5,11.4,14.5,172,0.09,0.27
2015-01-27,0.10,0.00,0.28,84,90,69,-9.8,4.10,11638.18,-7.5,-3.8,-9.4,11.7,14.8,185,0.14,0.34
2015-01-28,1.90,0.00,1.47,88,92,80,-6.8,2.60,0.00,-5.0,-2.2,-6.6,10.6,13.4,209,0.11,0.28
2015-01-29,8.90,0.00,6.23,82,96,60,-11.1,6.54,25224.35,-8.5,-3.6,-17.0,14.4,20.3,359,0.08,0.29
2015-01-30,0.00,0.00,0.00,72,79,57,-24.2,7.79,28794.04,-20.4,-17.1,-23.7,10.2,16.1,297,0.07,0.27
2015-01-31,0.50,0.00,0.56,71,85,52,-22.3,7.73,28925.22,-18.2,-15.5,-22.0,13.6,18.5,301,0.06,0.26
2015-02-01,0.00,0.00,0.00,69,77,53,-29.7,8.49,29128.01,-25.6,-22.7,-28.6,7.9,10.0,305,0.05,0.18
2015-02-02,0.00,0.00,0.00,70,76,59,-28.8,7.15,29151.48,-24.8,-18.9,-27.5,9.8,12.1,269,0.06,0.21
2015-02-03,0.00,0.00,0.00,74,80,58,-24.8,7.97,28885.30,-21.2,-18.2,-23.1,11.1,13.0,282,0.06,0.25
2015-02-04,0.00,0.00,0.00,71,78,55,-26.3,8.48,29395.21,-22.3,-20.5,-24.6,11.4,16.6,291,0.05,0.21
2015-02-05,0.40,0.00,0.35,71,76,54,-26.9,5.82,15814.48,-23.0,-16.1,-26.9,15.1,20.1,235,0.06,0.23
2015-02-06,0.00,0.00,0.00,72,82,55,-21.9,8.77,30098.81,-18.1,-16.1,-20.3,13.7,16.6,299,0.07,0.30
2015-02-07,1.80,0.00,1.33,70,80,57,-25.5,4.89,12180.87,-21.5,-20.1,-23.4,10.1,17.0,58,0.05,0.17
2015-02-08,1.20,0.00,1.05,65,76,48,-27.8,9.63,30603.04,-22.9,-19.7,-25.5,14.3,17.9,69,0.07,0.30
2015-02-09,0.00,0.00,0.00,70,77,61,-25.3,7.95,30179.62,-21.1,-14.7,-24.3,7.4,11.8,224,0.08,0.30
2015-02-10,0.80,0.00,0.63,72,80,55,-22.9,5.49,14412.38,-19.0,-16.0,-22.3,9.6,12.8,62,0.08,0.24
2015-02-11,9.50,0.00,6.72,75,85,60,-19.6,7.11,22439.72,-16.1,-14.6,-19.0,14.0,22.0,31,0.06,0.27
2015-02-12,0.00,0.00,0.00,68,76,53,-28.5,10.08,31824.32,-24.2,-19.5,-27.8,14.1,19.8,341,0.04,0.25
2015-02-13,0.40,0.00,0.63,70,80,55,-25.8,6.99,23246.21,-21.6,-16.6,-25.9,11.3,17.3,247,0.07,0.28
2015-02-14,0.00,0.00,0.21,62,72,46,-28.3,10.75,31925.23,-22.8,-18.3,-25.7,20.7,24.9,356,0.05,0.29
2015-02-15,0.00,0.00,0.00,65,74,49,-32.2,10.87,31211.32,-27.5,-22.8,-31.7,8.0,15.9,326,0.05,0.25
2015-02-16,0.00,0.00,0.00,70,77,58,-26.8,9.91,31177.83,-22.7,-16.1,-26.3,12.4,13.4,223,0.07,0.33
2015-02-17,0.00,0.00,0.00,72,80,54,-25.2,9.99,30053.79,-21.4,-17.8,-25.0,8.6,10.8,305,0.06,0.28
2015-02-18,0.00,0.00,0.00,67,78,46,-29.1,11.06,32371.51,-24.6,-21.2,-27.6,10.3,13.8,333,0.04,0.23
2015-02-19,0.00,0.00,0.00,65,73,48,-32.7,12.30,33416.84,-28.0,-24.4,-31.4,7.8,11.0,314,0.04,0.24
2015-02-20,0.80,0.00,0.56,68,77,52,-27.6,7.87,18256.99,-23.3,-16.2,-27.9,13.7,16.2,202,0.08,0.31
2015-02-21,0.00,0.00,0.07,73,82,52,-22.9,11.90,33878.24,-19.1,-17.2,-21.3,9.5,12.6,319,0.08,0.37
2015-02-22,0.00,0.00,0.00,67,77,51,-30.3,12.43,34108.99,-25.9,-20.2,-29.8,12.4,16.6,316,0.04,0.22
2015-02-23,0.00,0.00,0.00,65,75,45,-30.3,10.45,30703.72,-25.5,-18.7,-28.9,15.6,21.6,245,0.08,0.30
2015-02-24,1.90,0.00,1.82,66,84,51,-20.8,10.64,30607.35,-15.7,-13.1,-20.1,20.2,25.4,270,0.09,0.50
2015-02-25,0.00,0.00,0.00,63,76,50,-28.1,13.13,34799.21,-23.0,-19.3,-26.2,15.1,19.7,312,0.06,0.36
2015-02-26,0.00,0.00,0.00,69,76,55,-28.5,13.53,35028.02,-24.2,-20.1,-28.1,12.3,16.9,288,0.05,0.31
2015-02-27,0.00,0.00,0.00,67,79,44,-23.7,13.68,35255.91,-18.7,-11.5,-22.0,14.7,16.0,264,0.14,0.57
2015-02-28,0.00,0.00,0.00,66,81,46,-18.0,13.56,35482.71,-12.8,-8.0,-15.9,15.7,17.8,234,0.18,0.77
