latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
49.66608,-83.615906,239.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.10,0.00,0.28,74,83,60,-18.8,4.29,21775.28,-15.2,-13.3,-18.2,15.2,17.6,272,0.08,0.28
2015-01-02,0.00,0.00,0.00,70,77,55,-27.8,5.44,24735.58,-23.8,-19.2,-27.4,11.8,15.3,269,0.05,0.16
2015-01-03,4.30,0.00,3.15,79,85,75,-22.0,1.75,0.00,-19.3,-13.6,-24.8,10.0,13.0,162,0.05,0.14
2015-01-04,2.80,0.00,2.31,72,81,61,-26.1,3.07,1889.61,-22.5,-17.6,-26.8,15.1,17.6,354,0.03,0.14
2015-01-05,0.00,0.00,0.00,68,74,56,-34.0,5.55,24739.19,-30.0,-26.7,-33.0,13.2,15.3,273,0.03,0.11
2015-01-06,0.00,0.00,0.49,72,79,54,-27.2,4.73,24217.97,-23.4,-20.4,-28.0,11.9,13.3,268,0.06,0.17
2015-01-07,0.00,0.00,0.00,67,74,56,-31.4,4.95,21019.82,-27.1,-22.9,-30.4,16.8,18.4,300,0.03,0.14
2015-01-08,0.50,0.00,0.63,71,77,58,-24.3,3.25,4080.79,-20.3,-15.5,-25.2,15.0,18.8,259,0.08,0.22
2015-01-09,0.40,0.00,0.56,68,80,45,-25.5,4.17,17598.38,-20.9,-17.1,-24.2,13.8,17.3,295,0.06,0.19
2015-01-10,0.00,0.00,0.00,69,76,58,-27.1,4.30,14311.37,-23.0,-18.9,-25.6,12.3,14.7,249,0.06,0.18
2015-01-11,0.00,0.00,0.00,72,76,58,-27.5,6.09,25827.88,-23.7,-17.8,-27.6,10.5,12.4,235,0.06,0.19
2015-01-12,0.00,0.00,0.00,73,79,57,-27.6,5.99,25963.96,-24.0,-21.0,-26.6,11.7,13.5,296,0.04,0.15
2015-01-13,0.00,0.00,0.00,69,76,63,-22.7,5.49,25001.64,-18.4,-7.9,-25.6,18.7,25.0,233,0.13,0.38
2015-01-14,1.60,0.00,1.26,71,83,59,-13.8,4.73,21112.72,-9.4,-8.1,-11.9,16.1,25.7,248,0.12,0.46
2015-01-15,3.50,0.00,2.52,78,87,61,-12.5,2.77,9255.59,-9.3,-3.9,-13.1,15.8,24.5,235,0.16,0.35
2015-01-16,0.00,0.00,0.28,69,79,55,-25.1,6.16,26550.37,-20.9,-13.5,-24.8,15.1,23.2,312,0.07,0.23
2015-01-17,4.40,0.00,3.15,71,82,63,-23.4,1.66,0.00,-19.5,-11.4,-26.3,13.8,18.5,155,0.05,0.21
2015-01-18,2.70,0.00,2.38,80,92,63,-14.1,3.74,7658.78,-11.2,-8.0,-15.5,13.5,15.4,326,0.08,0.24
2015-01-19,0.00,0.00,0.00,77,83,68,-24.2,6.43,27027.80,-21.2,-16.3,-24.8,7.7,13.3,357,0.04,0.18
2015-01-20,0.00,0.00,0.00,71,77,55,-28.6,6.43,25300.85,-24.8,-18.4,-29.6,5.8,11.2,235,0.06,0.18
2015-01-21,0.20,0.00,0.49,77,87,63,-20.1,6.68,27238.32,-16.9,-14.1,-19.8,8.6,10.9,269,0.08,0.25
2015-01-22,0.00,0.00,0.00,75,83,57,-20.3,5.95,22606.78,-16.7,-11.7,-20.0,10.7,20.4,250,0.10,0.28
2015-01-23,4.40,0.00,3.43,81,88,69,-5.9,2.29,0.00,-3.1,0.4,-10.5,18.0,25.3,236,0.12,0.48
2015-01-24,1.40,0.00,1.40,77,96,58,-11.1,5.17,27555.08,-7.8,-0.9,-16.7,16.0,20.4,312,0.10,0.32
2015-01-25,0.00,0.00,0.00,74,82,59,-24.5,7.45,27847.26,-21.1,-17.3,-24.6,11.2,15.6,315,0.06,0.23
2015-01-26,0.00,0.00,0.00,69,75,58,-24.9,5.89,20572.68,-20.7,-12.9,-25.1,10.1,12.6,182,0.10,0.28
2015-01-27,0.00,0.00,0.00,71,81,46,-20.5,7.69,28294.92,-16.2,-9.2,-20.0,10.9,13.6,173,0.17,0.41
2015-01-28,0.10,0.00,0.42,83,90,72,-11.5,3.21,825.95,-9.1,-3.0,-13.0,11.5,14.0,215,0.12,0.32
2015-01-29,10.50,0.00,7.56,83,91,65,-10.3,4.81,16025.89,-7.9,-4.7,-16.5,13.8,21.7,307,0.08,0.26
2015-01-30,0.00,0.00,0.00,69,79,51,-25.5,8.00,28833.82,-21.2,-17.5,-24.5,11.6,21.4,306,0.07,0.28
2015-01-31,0.60,0.00,0.56,73,83,52,-24.1,6.95,23814.79,-20.3,-17.4,-23.4,13.4,20.1,281,0.06,0.23
2015-02-01,0.00,0.00,0.00,68,77,51,-31.1,8.67,29497.98,-26.9,-23.0,-30.6,7.7,11.4,285,0.05,0.18
2015-02-02,0.00,0.00,0.00,65,73,49,-32.0,7.08,28571.51,-27.3,-20.6,-32.4,8.9,11.0,245,0.06,0.19
2015-02-03,0.00,0.00,0.00,71,78,55,-26.9,8.41,29540.84,-23.0,-17.2,-26.0,10.0,12.0,258,0.07,0.26
2015-02-04,0.00,0.00,0.00,70,78,53,-27.3,8.29,30125.26,-23.3,-20.1,-26.9,9.5,12.6,271,0.06,0.22
2015-02-05,0.10,0.00,0.07,68,76,48,-28.5,8.30,23847.79,-24.1,-16.4,-29.0,12.4,16.6,234,0.08,0.27
2015-02-06,0.70,0.00,0.56,71,83,53,-22.1,8.23,29905.17,-18.0,-15.7,-20.3,14.4,18.3,283,0.07,0.30
2015-02-07,0.00,0.00,0.14,68,79,48,-27.3,8.29,26851.09,-22.9,-20.6,-25.6,8.4,13.5,9,0.06,0.22
2015-02-08,0.00,0.00,0.21,63,76,47,-29.0,9.68,30821.35,-23.8,-20.5,-26.6,11.9,13.6,65,0.06,0.28
2015-02-09,0.00,0.00,0.00,66,77,45,-27.8,8.14,30924.60,-23.0,-14.8,-27.5,6.9,11.9,140,0.11,0.31
2015-02-10,0.00,0.00,0.00,70,80,51,-24.5,9.32,27165.62,-20.3,-16.7,-24.8,8.4,12.2,352,0.08,0.33
2015-02-11,8.40,0.00,6.16,72,81,63,-20.4,5.50,4907.80,-16.6,-13.4,-19.8,12.9,20.0,70,0.07,0.30
2015-02-12,0.00,0.00,0.28,65,76,50,-29.1,10.34,31850.70,-24.3,-20.5,-27.6,16.8,21.7,339,0.04,0.26
2015-02-13,1.80,0.00,1.40,69,78,61,-29.2,5.33,3877.36,-25.1,-17.0,-29.9,8.6,11.7,182,0.06,0.20
2015-02-14,1.00,0.00,1.12,66,82,46,-29.5,9.90,29196.31,-24.7,-19.5,-27.6,19.7,23.9,352,0.04,0.22
2015-02-15,0.00,0.00,0.00,65,75,50,-33.1,11.33,32524.43,-28.4,-23.9,-32.8,10.3,17.2,325,0.04,0.24
2015-02-16,0.00,0.00,0.00,66,75,53,-28.7,11.24,32747.73,-24.1,-14.2,-28.7,11.3,14.0,214,0.09,0.37
2015-02-17,0.00,0.00,0.28,72,83,47,-23.1,10.33,31891.02,-19.1,-16.8,-22.9,8.1,13.0,286,0.09,0.35
2015-02-18,0.00,0.00,0.00,69,80,46,-27.0,10.64,33209.10,-22.7,-19.7,-25.8,8.4,12.2,342,0.06,0.26
2015-02-19,0.00,0.00,0.00,66,76,48,-32.6,11.97,33438.72,-28.1,-24.2,-32.5,9.4,11.2,317,0.05,0.22
2015-02-20,0.00,0.00,0.07,62,73,45,-30.7,10.14,28325.89,-25.5,-15.3,-31.0,12.4,15.3,211,0.10,0.35
2015-02-21,0.80,0.00,0.70,73,83,55,-21.1,10.72,32476.82,-17.3,-14.8,-19.9,10.2,14.1,267,0.09,0.40
2015-02-22,0.00,0.00,0.00,66,79,43,-29.5,12.14,34128.98,-24.8,-18.6,-28.9,11.9,14.5,314,0.05,0.25
2015-02-23,0.00,0.00,0.00,63,74,42,-31.1,12.24,29873.02,-25.8,-17.7,-30.4,14.3,19.8,247,0.09,0.34
2015-02-24,1.80,0.00,1.68,63,76,49,-20.5,7.55,12207.34,-14.9,-12.0,-18.7,19.3,23.6,239,0.12,0.56
2015-02-25,0.00,0.00,0.00,61,75,46,-26.9,12.63,34677.14,-21.2,-17.0,-24.2,16.4,20.9,299,0.07,0.41
2015-02-26,0.00,0.00,0.00,67,77,47,-28.1,13.57,34844.99,-23.4,-17.2,-28.2,11.8,15.5,276,0.08,0.37
2015-02-27,0.00,0.00,0.00,65,79,39,-23.5,13.83,35008.60,-18.1,-9.4,-22.3,15.2,18.0,254,0.18,0.64
2015-02-28,0.00,0.00,0.00,63,78,43,-18.3,13.82,34988.93,-12.5,-6.4,-15.6,17.4,20.3,236,0.22,0.86
2015-03-01,0.00,0.00,0.00,68,79,52,-15.0,11.75,31491.43,-10.1,-5.3,-12.3,18.8,23.7,223,0.20,0.81
2015-03-02,0.30,0.00,0.49,64,84,40,-17.1,13.73,35237.71,-11.3,-8.1,-14.3,16.1,20.4,281,0.17,0.76
2015-03-03,3.00,0.00,2.17,77,84,64,-14.8,7.03,14229.89,-11.5,-6.5,-14.8,16.0,21.1,204,0.13,0.50
2015-03-04,1.20,0.00,1.19,65,83,45,-17.4,12.17,35397.33,-12.0,-7.3,-15.3,19.3,23.2,281,0.11,0.63
2015-03-05,0.00,0.00,0.00,65,82,42,-24.1,15.33,36631.80,-18.8,-13.5,-23.9,12.5,18.1,259,0.12,0.56
2015-03-06,0.10,0.00,0.28,67,78,55,-18.7,10.04,28733.76,-13.7,-7.3,-18.2,19.0,23.5,230,0.15,0.67
2015-03-07,0.50,0.00,0.63,74,88,50,-14.7,12.44,28996.27,-10.7,-8.4,-13.4,8.9,12.6,309,0.16,0.70
2015-03-08,0.00,0.00,0.07,71,84,49,-16.7,14.29,35345.30,-12.2,-5.8,-17.3,8.6,13.3,249,0.19,0.81
2015-03-09,0.40,0.00,0.28,74,89,44,-12.0,13.66,37553.31,-7.8,-1.6,-11.9,10.9,15.1,263,0.31,0.93
2015-03-10,0.80,0.80,0.00,78,94,59,-4.3,9.62,25275.69,-0.7,6.9,-6.5,16.6,24.6,206,0.40,1.18
2015-03-11,2.30,0.70,1.33,77,91,55,-5.7,12.64,32370.88,-2.1,2.2,-4.8,16.7,26.8,311,0.24,0.97
2015-03-12,0.00,0.00,0.00,65,87,38,-15.8,14.18,30847.33,-10.0,-4.3,-16.5,7.3,16.3,314,0.27,1.01
2015-03-13,1.90,0.00,1.75,77,89,62,-7.5,12.71,33542.91,-4.0,2.0,-7.6,10.7,11.8,124,0.27,1.11
2015-03-14,7.80,0.00,5.46,84,96,65,-4.2,8.80,18456.64,-1.7,0.5,-2.9,12.3,18.1,45,0.22,0.79
2015-03-15,0.00,0.00,0.00,70,92,36,-8.5,14.22,29465.83,-3.0,5.0,-10.8,11.6,23.1,178,0.54,1.52
2015-03-16,0.10,0.00,0.14,77,90,55,-1.6,6.61,0.00,2.1,3.5,0.6,16.5,22.5,265,0.36,1.02
2015-03-17,0.40,0.00,0.70,64,90,40,-12.2,14.94,37179.04,-6.2,-0.7,-8.6,18.1,24.3,313,0.23,1.06
2015-03-18,0.00,0.00,0.00,66,86,38,-17.5,18.00,38876.25,-11.8,-8.1,-16.9,10.0,13.9,293,0.21,0.93
2015-03-19,0.00,0.00,0.00,64,81,41,-13.7,15.80,39573.82,-7.6,3.6,-14.8,14.6,20.8,228,0.47,1.50
2015-03-20,1.40,0.20,1.33,74,83,60,-5.9,8.95,24501.88,-1.8,2.1,-4.9,18.0,21.6,241,0.23,1.02
2015-03-21,0.00,0.00,0.00,61,85,41,-19.9,17.38,39409.78,-13.7,-6.3,-17.7,13.0,19.5,325,0.13,0.73
2015-03-22,0.00,0.00,0.00,65,81,43,-22.0,18.28,39812.34,-16.7,-12.9,-19.7,13.3,18.9,305,0.13,0.70
2015-03-23,0.00,0.00,0.00,60,75,37,-22.1,19.55,40538.80,-15.6,-6.9,-22.3,5.5,9.0,259,0.22,1.09
2015-03-24,0.00,0.00,0.00,62,82,36,-15.5,19.26,40304.96,-8.9,2.0,-15.1,12.1,13.3,217,0.45,1.59
2015-03-25,2.80,0.00,1.96,73,91,51,-8.0,8.92,13635.54,-3.7,0.2,-6.2,10.7,14.3,180,0.31,0.94
2015-03-26,4.60,0.00,3.29,72,95,46,-11.6,15.46,36000.00,-7.1,-2.6,-10.3,15.3,19.0,343,0.17,0.89
2015-03-27,0.00,0.00,0.00,65,83,40,-19.8,20.29,40171.53,-14.2,-8.5,-19.8,9.8,13.8,332,0.19,0.99
2015-03-28,0.00,0.00,0.00,59,77,34,-17.6,20.92,41421.91,-10.5,-0.8,-17.8,12.0,15.5,249,0.37,1.52
2015-03-29,2.90,0.00,2.03,65,84,55,-9.5,5.77,487.14,-4.0,-0.1,-7.2,19.7,24.0,211,0.21,0.98
2015-03-30,4.60,0.00,3.36,74,94,46,-8.1,15.53,28494.84,-3.8,-1.3,-6.4,16.6,22.2,317,0.25,1.10
2015-03-31,0.00,0.00,0.00,66,84,40,-14.3,21.47,42171.11,-8.5,-2.6,-15.1,5.2,7.3,25,0.30,1.56
2015-04-01,0.00,0.00,0.00,62,79,41,-13.0,20.71,41721.27,-6.4,3.3,-13.6,7.3,9.7,177,0.45,1.83
2015-04-02,5.60,0.60,3.57,78,92,49,-1.4,9.31,12592.47,2.4,8.4,-1.5,15.6,24.0,188,0.56,1.28
2015-04-03,0.70,0.60,0.07,64,86,42,-10.7,17.69,35113.74,-4.7,4.8,-10.0,18.9,26.5,299,0.32,1.27
