latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
49.244286,-84.760284,335.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.10,0.00,0.35,73,82,57,-18.7,4.93,24505.19,-14.8,-13.2,-17.7,15.3,17.5,275,0.09,0.30
2015-01-02,0.00,0.00,0.00,71,78,58,-27.4,5.76,25138.41,-23.6,-18.7,-27.7,10.6,13.3,270,0.05,0.16
2015-01-03,5.20,0.00,3.71,82,89,74,-18.4,1.94,0.00,-16.0,-9.1,-23.3,10.3,16.3,153,0.05,0.17
2015-01-04,2.60,0.00,2.24,72,82,60,-26.4,3.32,3347.04,-22.8,-16.3,-27.1,15.9,18.8,0,0.03,0.15
2015-01-05,0.00,0.00,0.00,68,74,55,-33.8,5.80,25308.27,-29.8,-25.0,-33.4,12.3,13.6,273,0.04,0.12
2015-01-06,0.20,0.00,0.49,71,80,54,-25.7,4.53,23394.59,-21.9,-19.7,-25.7,11.7,14.1,276,0.06,0.18
2015-01-07,0.00,0.00,0.00,67,74,56,-31.3,5.22,21991.12,-27.0,-22.1,-30.9,16.4,18.5,306,0.03,0.15
2015-01-08,0.90,0.00,1.19,72,79,63,-22.9,3.22,5346.21,-19.0,-14.8,-24.2,15.2,19.4,261,0.07,0.23
2015-01-09,0.50,0.00,0.49,67,80,46,-25.7,4.47,20834.65,-21.0,-16.0,-24.5,13.8,16.9,304,0.06,0.19
2015-01-10,0.00,0.00,0.21,70,76,58,-26.4,4.50,17318.79,-22.3,-17.6,-25.8,11.5,13.7,255,0.07,0.20
2015-01-11,0.00,0.00,0.00,73,78,58,-25.8,6.11,26099.10,-22.1,-16.6,-25.6,9.0,11.3,247,0.07,0.19
2015-01-12,0.00,0.00,0.00,72,78,55,-27.3,6.31,26232.24,-23.5,-19.8,-26.6,11.0,13.0,309,0.05,0.16
2015-01-13,0.00,0.00,0.00,75,83,65,-20.6,4.82,25512.47,-17.2,-7.9,-25.5,19.5,25.7,234,0.12,0.34
2015-01-14,1.10,0.00,0.98,74,83,61,-13.5,5.25,22305.49,-9.6,-8.4,-11.4,15.7,25.5,243,0.12,0.43
2015-01-15,1.70,0.00,1.33,77,87,59,-11.5,2.58,5396.05,-8.1,-3.3,-12.4,16.9,24.2,244,0.17,0.38
2015-01-16,0.00,0.00,0.00,71,80,56,-24.7,6.64,26806.23,-20.7,-13.3,-24.7,12.8,21.6,318,0.08,0.23
2015-01-17,4.60,0.00,3.22,74,86,68,-19.8,1.70,0.00,-16.2,-6.4,-24.9,13.6,18.7,165,0.07,0.25
2015-01-18,2.90,0.00,2.52,80,94,62,-11.8,4.19,15038.20,-8.8,-4.8,-14.9,12.6,15.1,341,0.09,0.29
2015-01-19,0.00,0.00,0.00,76,82,67,-24.3,6.65,27273.80,-21.2,-15.8,-25.2,8.1,14.8,24,0.05,0.19
2015-01-20,0.00,0.00,0.00,71,78,51,-26.6,6.71,26670.26,-22.6,-15.7,-28.3,5.8,10.5,185,0.07,0.22
2015-01-21,0.10,0.00,0.49,80,89,67,-16.7,6.63,27604.26,-13.9,-12.2,-16.5,7.2,10.9,289,0.08,0.29
2015-01-22,0.00,0.00,0.00,76,83,59,-19.1,6.35,24370.77,-15.8,-9.8,-19.7,11.0,22.1,255,0.10,0.29
2015-01-23,3.70,0.00,2.73,83,89,75,-5.1,2.26,0.00,-2.6,0.4,-8.9,20.0,27.3,235,0.11,0.46
