latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.307556,79.171875,982.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.00,0.00,0.00,66,71,57,-8.6,6.76,25207.06,-3.2,2.9,-10.9,8.0,9.8,166,0.26,0.71
2015-01-02,4.80,0.00,3.36,76,94,45,-5.6,4.70,10773.36,-1.5,1.5,-4.3,5.8,11.7,232,0.35,0.55
2015-01-03,1.60,0.00,1.47,84,93,69,-9.1,4.92,15968.28,-6.7,-4.6,-8.7,7.0,12.9,219,0.10,0.33
2015-01-04,0.00,0.00,0.00,61,68,54,-14.3,7.35,27520.69,-8.2,-3.2,-12.6,6.4,8.4,143,0.18,0.61
2015-01-05,0.00,0.00,0.00,63,70,59,-11.5,5.44,13150.75,-5.6,-0.1,-12.4,5.5,7.1,171,0.25,0.56
2015-01-06,4.40,1.50,2.03,77,86,71,-6.8,4.02,5650.42,-3.3,0.1,-8.5,7.3,10.2,174,0.13,0.43
2015-01-07,0.00,0.00,0.00,67,81,60,-9.7,6.99,27404.11,-4.4,2.4,-9.2,6.7,8.9,151,0.27,0.71
2015-01-08,0.00,0.00,0.00,60,68,55,-12.3,7.97,27819.62,-5.8,1.0,-9.8,6.5,8.0,155,0.24,0.77
2015-01-09,2.90,0.90,1.40,66,91,42,-6.8,7.21,25307.51,-1.0,5.6,-8.6,10.3,15.7,203,0.52,0.90
2015-01-10,0.00,0.00,0.00,87,93,71,-6.6,4.20,22642.60,-4.8,-1.9,-7.7,6.0,8.9,83,0.11,0.35
2015-01-11,0.60,0.00,0.49,66,81,52,-8.0,6.58,27291.53,-2.3,1.6,-7.0,9.8,17.1,188,0.32,0.80
2015-01-12,0.00,0.00,0.00,82,93,60,-6.0,6.25,28094.38,-3.3,-0.9,-5.7,4.8,9.8,201,0.17,0.50
2015-01-13,0.00,0.00,0.00,59,69,43,-13.7,7.87,28174.45,-7.0,-2.5,-13.5,4.9,7.7,142,0.18,0.70
2015-01-14,0.00,0.00,0.07,53,71,39,-14.1,8.09,28340.59,-5.9,1.8,-13.6,6.1,8.0,165,0.36,0.88
2015-01-15,8.10,0.00,5.81,83,91,70,-8.6,3.75,50.94,-6.1,-2.0,-13.0,10.6,17.2,219,0.08,0.35
2015-01-16,0.00,0.00,0.00,49,67,30,-18.3,8.23,28420.65,-9.0,-4.8,-13.6,7.1,9.1,137,0.21,0.80
2015-01-17,0.00,0.00,0.00,43,58,34,-16.6,8.76,28754.26,-5.8,1.9,-12.3,6.4,8.1,163,0.39,0.99
2015-01-18,0.00,0.00,0.00,64,72,48,-9.1,7.70,28588.20,-3.1,1.9,-7.7,7.6,9.7,185,0.25,0.82
2015-01-19,0.00,0.00,0.00,59,64,49,-9.8,8.16,27977.42,-2.9,0.4,-8.2,4.7,6.5,158,0.28,0.80
2015-01-20,2.20,0.00,1.54,64,82,46,-8.9,7.32,25200.00,-2.7,0.6,-5.6,7.8,22.8,206,0.33,0.80
2015-01-21,0.60,0.00,0.49,75,79,72,-8.9,8.30,28800.00,-5.1,-3.2,-7.2,9.7,22.7,221,0.13,0.63
2015-01-22,0.30,0.00,0.35,73,84,61,-9.8,6.51,19482.88,-5.8,-3.8,-7.0,5.9,9.4,214,0.18,0.55
2015-01-23,9.60,0.00,6.72,91,95,86,-7.7,4.50,0.00,-6.5,-4.8,-8.5,7.0,12.8,261,0.06,0.31
2015-01-24,3.40,0.00,2.87,90,94,88,-12.8,5.12,0.00,-11.4,-8.7,-14.2,2.0,3.7,335,0.04,0.31
2015-01-25,0.00,0.00,0.35,86,87,84,-16.8,7.34,22049.45,-15.0,-13.6,-16.5,3.3,5.5,199,0.03,0.33
2015-01-26,0.00,0.00,0.00,77,82,73,-19.0,8.28,29322.14,-15.9,-14.1,-18.3,3.5,6.1,172,0.06,0.36
2015-01-27,0.00,0.00,0.00,49,75,34,-24.2,10.09,29903.48,-15.6,-13.5,-18.4,5.5,7.1,139,0.12,0.54
2015-01-28,0.00,0.00,0.00,23,32,18,-30.5,10.54,30428.98,-13.7,-10.8,-17.0,6.1,7.1,144,0.21,0.78
2015-01-29,0.00,0.00,0.00,30,34,26,-28.2,10.69,30691.95,-14.2,-8.9,-17.6,6.6,7.8,161,0.22,0.78
2015-01-30,0.00,0.00,0.00,33,46,26,-26.0,10.63,30821.66,-12.9,-6.8,-17.1,6.3,7.8,158,0.27,0.82
2015-01-31,0.00,0.00,0.00,50,60,39,-19.9,9.10,28709.24,-11.2,-4.2,-18.4,5.6,6.6,160,0.28,0.71
2015-02-01,0.00,0.00,0.00,62,69,51,-14.1,10.43,30611.37,-8.0,-3.2,-12.5,4.9,6.8,161,0.23,0.80
2015-02-02,0.00,0.00,0.00,54,66,46,-15.7,10.38,31291.50,-7.9,-3.9,-12.2,5.1,6.9,149,0.22,0.86
2015-02-03,0.00,0.00,0.00,45,50,39,-16.9,11.03,31628.26,-6.8,-2.6,-9.9,5.8,7.3,170,0.30,1.01
2015-02-04,0.00,0.00,0.00,45,52,39,-15.1,7.78,20964.72,-5.0,-2.5,-7.1,4.6,6.5,167,0.30,0.84
2015-02-05,0.00,0.00,0.00,49,54,42,-15.7,11.16,31980.25,-6.7,-1.6,-10.4,5.4,7.3,156,0.31,1.06
2015-02-06,0.00,0.00,0.00,44,56,30,-17.4,11.74,32157.50,-7.1,1.3,-12.2,6.1,7.9,158,0.43,1.17
