latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.752193,-80.71066,279.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,2.00,0.00,1.54,75,85,56,-16.4,4.45,18160.92,-12.8,-10.3,-14.1,12.9,20.9,246,0.11,0.30
2015-01-02,0.00,0.00,0.00,71,79,55,-25.9,5.63,25234.80,-22.0,-15.0,-26.1,11.6,16.3,279,0.05,0.17
2015-01-03,2.60,0.00,1.89,77,84,70,-21.9,2.43,0.00,-18.8,-8.7,-25.5,11.0,13.6,166,0.06,0.19
2015-01-04,5.80,0.00,4.20,82,90,70,-15.5,1.94,0.00,-13.0,-8.6,-21.3,12.7,18.6,8,0.05,0.14
2015-01-05,1.00,0.00,0.77,66,73,56,-32.1,5.17,22767.31,-27.7,-22.2,-31.6,14.7,18.2,285,0.03,0.14
2015-01-06,0.10,0.00,0.28,72,78,58,-28.5,4.57,20914.00,-24.8,-20.3,-29.0,9.6,11.8,245,0.05,0.15
2015-01-07,0.00,0.00,0.00,68,76,52,-31.3,5.23,25200.00,-27.1,-23.0,-29.7,14.7,17.1,307,0.03,0.13
2015-01-08,0.90,0.00,0.91,74,83,67,-25.9,3.04,0.00,-22.6,-14.5,-28.0,11.2,14.7,229,0.05,0.16
2015-01-09,2.00,0.00,1.61,72,87,47,-22.8,5.04,25200.00,-18.8,-14.3,-23.6,12.4,16.8,302,0.06,0.18
2015-01-10,0.20,0.00,0.35,72,78,63,-27.7,3.68,1434.55,-24.0,-19.0,-27.5,10.4,13.0,228,0.04,0.15
2015-01-11,0.00,0.00,0.00,76,80,65,-25.0,5.63,24507.23,-21.9,-16.9,-24.9,7.6,11.5,219,0.06,0.18
2015-01-12,0.00,0.00,0.00,73,82,54,-26.8,5.97,24122.72,-23.2,-18.5,-26.0,11.0,14.5,307,0.05,0.15
2015-01-13,0.00,0.00,0.00,72,75,67,-26.2,5.94,26344.60,-22.5,-11.8,-28.1,13.8,20.7,230,0.08,0.25
2015-01-14,1.20,0.00,0.98,74,84,67,-16.2,3.72,10688.04,-12.5,-7.7,-15.3,16.6,20.8,217,0.10,0.36
2015-01-15,3.40,0.10,2.52,84,89,75,-10.8,2.07,0.00,-8.6,-3.8,-11.3,13.6,25.1,202,0.10,0.27
2015-01-16,0.20,0.00,0.21,67,77,52,-23.7,6.18,26372.96,-19.1,-7.7,-24.4,17.7,24.8,308,0.11,0.29
2015-01-17,3.20,0.00,2.24,70,78,61,-26.8,2.25,0.00,-22.8,-14.6,-28.5,12.9,21.1,156,0.06,0.17
2015-01-18,2.90,0.00,2.52,84,93,70,-11.5,3.93,9412.99,-9.2,-7.1,-14.0,12.0,15.9,274,0.09,0.28
2015-01-19,0.00,0.00,0.35,76,83,59,-20.5,6.27,26600.74,-17.2,-13.0,-20.7,13.3,15.6,340,0.06,0.24
2015-01-20,0.00,0.00,0.00,73,79,60,-28.2,7.24,27709.76,-24.7,-21.2,-28.8,8.3,11.5,307,0.05,0.18
2015-01-21,0.00,0.00,0.00,73,78,67,-23.5,5.07,24456.06,-19.9,-11.7,-24.2,6.3,7.9,210,0.07,0.22
2015-01-22,0.00,0.00,0.00,77,84,60,-19.1,6.84,26483.86,-15.8,-13.4,-18.2,7.7,12.4,289,0.09,0.26
2015-01-23,2.00,0.00,1.96,77,88,70,-9.3,2.19,0.00,-6.0,-1.0,-13.6,17.4,22.0,224,0.11,0.45
2015-01-24,1.70,0.00,1.54,81,97,59,-8.0,4.87,18347.06,-5.2,-1.2,-15.3,14.8,20.1,295,0.12,0.34
2015-01-25,0.00,0.00,0.00,72,80,57,-24.0,7.68,28366.91,-20.2,-16.0,-23.2,13.6,17.0,314,0.06,0.25
2015-01-26,0.00,0.00,0.00,71,78,53,-26.7,6.76,24882.08,-22.7,-16.5,-26.6,7.8,10.4,190,0.08,0.23
2015-01-27,0.00,0.00,0.00,70,80,41,-24.7,8.31,28944.39,-20.4,-13.2,-24.5,6.4,10.9,116,0.13,0.31
2015-01-28,0.00,0.00,0.00,74,79,69,-21.8,5.66,22880.96,-18.2,-7.9,-23.9,8.4,11.2,213,0.10,0.31
2015-01-29,7.40,0.00,5.25,80,86,75,-11.0,3.09,0.00,-8.2,-4.8,-11.0,12.2,22.9,194,0.10,0.33
2015-01-30,0.00,0.00,0.14,68,78,52,-25.1,8.33,29522.79,-20.7,-12.7,-24.7,14.8,23.7,322,0.06,0.28
2015-01-31,0.90,0.00,0.70,71,78,62,-25.2,5.41,14232.99,-21.3,-12.7,-25.5,11.9,18.4,236,0.07,0.26
2015-02-01,0.00,0.00,0.00,66,73,53,-31.3,8.96,29919.12,-26.9,-20.1,-31.7,8.8,18.2,312,0.04,0.20
2015-02-02,0.00,0.00,0.00,65,74,51,-33.0,8.73,30119.73,-28.4,-23.0,-34.7,5.7,10.0,230,0.04,0.18
2015-02-03,0.00,0.00,0.00,72,81,56,-26.4,9.01,30321.66,-22.6,-15.9,-27.0,9.9,11.5,244,0.08,0.28
2015-02-04,0.00,0.00,0.00,69,80,49,-26.1,9.29,30524.65,-21.7,-17.2,-27.1,5.9,11.3,298,0.08,0.26
2015-02-05,0.00,0.00,0.00,68,77,47,-28.9,9.78,30728.49,-24.6,-18.8,-29.7,10.4,13.5,256,0.07,0.26
2015-02-06,0.50,0.00,0.49,69,85,51,-21.7,8.82,30932.95,-17.2,-15.7,-19.9,14.8,18.1,262,0.09,0.36
2015-02-07,0.00,0.00,0.00,69,79,49,-26.5,9.52,31067.08,-22.3,-19.1,-24.7,8.1,11.0,341,0.06,0.26
2015-02-08,0.00,0.00,0.07,62,71,47,-27.9,9.84,29658.11,-22.5,-19.4,-24.8,12.8,14.1,66,0.07,0.32
2015-02-09,0.00,0.00,0.00,64,76,38,-27.4,10.07,31536.40,-22.1,-14.6,-26.7,6.8,13.4,75,0.12,0.37
2015-02-10,0.00,0.00,0.00,70,82,50,-24.4,10.49,31659.22,-20.3,-16.2,-24.8,7.9,10.3,337,0.08,0.35
2015-02-11,4.50,0.00,3.57,72,79,69,-20.6,4.58,2451.63,-16.8,-11.3,-19.8,10.3,14.2,112,0.07,0.32
