latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
49.384884,-82.4227,222.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.00,0.00,0.28,73,83,62,-18.1,4.17,24654.45,-14.3,-12.1,-16.2,14.0,17.3,265,0.09,0.29
2015-01-02,0.00,0.00,0.00,69,77,54,-27.1,5.28,24968.74,-22.9,-17.3,-26.4,11.9,17.3,272,0.05,0.17
2015-01-03,3.60,0.00,2.59,78,87,73,-21.9,1.93,0.00,-19.1,-11.2,-25.4,10.7,13.6,171,0.06,0.16
2015-01-04,4.20,0.00,3.15,75,88,65,-22.8,2.61,0.00,-19.5,-11.9,-24.4,15.8,18.0,356,0.04,0.15
2015-01-05,0.00,0.00,0.07,67,73,55,-33.3,5.64,25150.40,-29.0,-25.0,-32.1,13.1,15.6,277,0.03,0.13
2015-01-06,0.00,0.00,0.21,72,79,54,-28.1,4.42,23492.85,-24.5,-20.3,-28.8,10.6,12.0,261,0.06,0.15
2015-01-07,0.00,0.00,0.00,67,75,55,-31.2,5.16,22862.25,-26.9,-22.9,-29.8,15.5,16.9,301,0.03,0.14
2015-01-08,0.30,0.00,0.63,71,76,60,-24.9,2.95,924.95,-21.0,-14.9,-25.7,13.1,17.1,252,0.08,0.20
2015-01-09,0.60,0.00,0.56,69,81,44,-24.7,4.62,24370.72,-20.3,-16.5,-23.2,12.4,15.6,295,0.06,0.17
2015-01-10,0.00,0.00,0.00,70,76,62,-27.4,3.96,12051.78,-23.5,-19.0,-26.1,11.3,13.9,237,0.05,0.16
2015-01-11,0.00,0.00,0.00,72,76,59,-27.9,6.18,26021.39,-24.2,-18.6,-28.1,9.5,12.0,229,0.06,0.18
2015-01-12,0.00,0.00,0.00,72,78,55,-27.7,6.17,26144.90,-23.9,-21.3,-26.3,11.5,13.2,297,0.04,0.16
2015-01-13,0.00,0.00,0.00,73,80,65,-23.6,5.33,25835.25,-19.9,-8.8,-26.3,16.8,23.7,230,0.11,0.31
2015-01-14,1.40,0.00,1.12,72,81,59,-13.4,4.57,20937.78,-9.2,-7.8,-10.9,16.5,24.0,240,0.13,0.47
2015-01-15,3.60,0.00,2.66,80,88,64,-12.0,2.45,6296.78,-9.0,-3.4,-13.1,15.2,25.2,221,0.14,0.33
2015-01-16,0.00,0.00,0.14,67,76,53,-24.6,6.18,26538.31,-20.1,-11.6,-24.4,15.7,25.0,312,0.08,0.26
2015-01-17,3.20,0.00,2.24,71,78,63,-25.0,1.56,0.00,-21.1,-12.5,-27.7,13.8,19.5,156,0.06,0.19
2015-01-18,2.10,0.00,2.17,80,91,64,-13.7,3.51,266.50,-10.9,-8.8,-14.2,13.0,15.7,316,0.09,0.24
2015-01-19,0.00,0.00,0.00,77,83,63,-22.4,5.99,25918.19,-19.3,-14.7,-22.2,10.2,14.4,350,0.05,0.20
2015-01-20,0.00,0.00,0.00,71,78,49,-28.5,6.87,27200.88,-24.6,-18.6,-29.0,6.1,9.4,296,0.07,0.19
2015-01-21,0.20,0.00,0.49,75,85,63,-20.9,6.27,26750.26,-17.5,-13.0,-21.4,8.1,9.7,245,0.08,0.26
2015-01-22,0.00,0.00,0.00,75,83,58,-20.9,6.65,25369.46,-17.4,-13.2,-21.4,9.6,17.0,254,0.09,0.26
2015-01-23,4.10,0.00,3.08,80,89,66,-7.1,1.92,0.00,-4.1,0.1,-12.6,17.3,22.8,229,0.11,0.43
2015-01-24,1.10,0.00,0.91,78,96,58,-9.8,5.09,25292.18,-6.5,-0.5,-15.9,15.5,19.9,307,0.10,0.34
2015-01-25,0.00,0.00,0.00,73,81,57,-23.9,7.50,27733.47,-20.3,-16.4,-23.5,11.8,16.4,316,0.06,0.25
2015-01-26,0.00,0.00,0.00,69,76,51,-26.1,6.29,20873.20,-21.7,-14.8,-26.0,8.9,11.5,189,0.09,0.26
2015-01-27,0.00,0.00,0.00,71,79,49,-22.7,7.93,28625.14,-18.6,-12.4,-22.9,9.6,11.5,168,0.12,0.33
2015-01-28,0.00,0.00,0.07,79,87,73,-15.5,3.06,1666.09,-12.6,-5.2,-17.1,11.5,13.5,213,0.11,0.30
2015-01-29,9.90,0.00,7.21,82,88,68,-10.4,3.83,3412.86,-7.8,-4.5,-14.7,13.4,21.9,239,0.09,0.29
2015-01-30,0.00,0.00,0.00,69,79,53,-25.3,7.95,29079.71,-20.9,-15.9,-24.3,12.1,21.8,315,0.07,0.28
2015-01-31,0.80,0.00,0.70,72,82,53,-24.4,6.18,21039.72,-20.7,-16.2,-23.5,12.7,18.6,263,0.07,0.24
2015-02-01,0.00,0.00,0.00,67,76,51,-31.2,8.79,29627.79,-26.7,-22.9,-30.9,8.0,15.3,289,0.05,0.19
2015-02-02,0.00,0.00,0.00,65,73,47,-32.7,7.78,28872.16,-27.9,-21.3,-33.1,7.4,11.4,241,0.06,0.18
2015-02-03,0.00,0.00,0.00,71,78,56,-27.4,8.72,28923.32,-23.6,-16.9,-28.0,9.7,11.1,249,0.07,0.26
2015-02-04,0.00,0.00,0.00,70,78,51,-27.7,8.58,30250.14,-23.6,-18.3,-27.5,8.2,11.4,276,0.07,0.24
2015-02-05,0.00,0.00,0.00,68,77,47,-28.8,9.02,26994.87,-24.4,-17.6,-29.2,11.5,15.3,238,0.08,0.26
2015-02-06,0.60,0.00,0.70,69,83,51,-22.2,8.76,30669.59,-17.8,-16.2,-19.5,14.2,17.8,273,0.08,0.33
2015-02-07,0.00,0.00,0.14,69,79,47,-27.0,9.02,29901.34,-22.6,-20.3,-25.0,8.2,12.5,356,0.06,0.23
2015-02-08,0.00,0.00,0.14,62,74,45,-28.4,9.90,30970.97,-23.0,-19.4,-25.6,11.3,12.3,57,0.07,0.30
2015-02-09,0.00,0.00,0.00,66,77,48,-27.3,8.76,31001.63,-22.5,-14.9,-26.8,6.5,12.0,112,0.10,0.32
2015-02-10,0.00,0.00,0.00,70,80,50,-24.5,9.81,29262.25,-20.3,-16.8,-24.7,8.2,11.6,345,0.08,0.34
2015-02-11,7.10,0.00,5.11,71,77,68,-20.3,5.24,3523.91,-16.2,-11.8,-18.5,11.8,19.6,90,0.08,0.35
2015-02-12,0.00,0.00,0.21,64,75,49,-28.5,10.41,31865.78,-23.6,-19.3,-26.5,17.8,21.9,341,0.05,0.28
2015-02-13,1.00,0.00,0.77,68,75,55,-30.1,6.17,9027.97,-25.9,-17.8,-30.7,8.9,12.7,187,0.06,0.21
2015-02-14,1.50,0.00,1.19,67,82,48,-28.1,9.00,26126.70,-23.6,-18.7,-27.3,19.3,25.3,2,0.04,0.21
2015-02-15,0.00,0.00,0.00,64,74,47,-33.0,11.44,32621.37,-28.2,-23.8,-32.2,11.8,19.1,332,0.05,0.24
2015-02-16,0.00,0.00,0.00,62,71,46,-30.6,11.51,32846.14,-25.3,-15.5,-30.5,10.1,12.7,215,0.10,0.36
2015-02-17,0.00,0.00,0.00,71,84,47,-22.1,9.14,28090.46,-17.8,-14.8,-19.5,8.0,13.4,262,0.10,0.38
2015-02-18,0.00,0.00,0.00,69,81,45,-25.7,10.03,31809.69,-21.3,-17.7,-24.2,9.5,12.3,353,0.07,0.29
2015-02-19,0.00,0.00,0.00,67,76,48,-31.7,11.93,33525.51,-27.2,-23.1,-31.7,10.4,12.4,326,0.05,0.24
2015-02-20,0.00,0.00,0.00,62,72,43,-31.6,10.94,30596.48,-26.2,-16.3,-31.7,11.4,14.7,219,0.10,0.33
2015-02-21,0.80,0.00,0.63,71,84,53,-19.8,10.09,31567.10,-15.5,-11.4,-17.8,10.4,13.9,223,0.12,0.51
