latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.253075,-79.41986,233.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.00,0.00,0.00,59,66,48,-13.1,3.36,3085.29,-6.3,-3.5,-8.3,22.1,25.4,231,0.22,0.88
2015-01-02,0.80,0.00,0.77,69,78,54,-10.0,5.47,27450.32,-5.2,-3.1,-7.0,12.8,21.1,281,0.20,0.61
2015-01-03,8.40,0.10,5.88,81,94,71,-8.6,1.81,0.00,-5.8,-1.2,-9.5,14.8,24.1,123,0.12,0.30
2015-01-04,11.60,10.20,1.05,94,99,84,-0.4,2.38,7093.77,0.4,4.1,-3.0,11.3,21.7,179,0.10,0.26
2015-01-05,2.30,0.00,2.03,70,85,54,-13.6,5.19,16448.82,-9.1,-3.4,-12.3,22.6,26.0,284,0.12,0.51
2015-01-06,0.00,0.00,0.00,68,76,55,-17.0,5.57,19295.51,-12.4,-8.5,-14.5,15.7,19.5,228,0.14,0.47
2015-01-07,0.20,0.00,0.35,69,80,59,-20.2,7.62,27758.09,-15.9,-10.0,-20.9,19.9,22.2,306,0.10,0.34
2015-01-08,0.00,0.00,0.35,70,81,59,-19.1,5.53,11186.90,-14.8,-9.6,-21.3,17.7,23.4,224,0.12,0.43
2015-01-09,2.80,0.00,2.17,70,76,58,-15.2,6.69,27169.37,-10.7,-8.1,-12.4,20.5,25.6,237,0.14,0.56
2015-01-10,0.00,0.00,0.07,67,72,56,-17.5,7.46,27364.04,-12.7,-10.2,-14.8,20.2,22.8,235,0.12,0.52
2015-01-11,0.00,0.00,0.00,69,75,56,-14.8,7.49,26513.12,-10.1,-2.5,-14.6,14.3,19.9,205,0.22,0.63
2015-01-12,2.30,0.00,1.82,79,90,68,-7.7,4.62,14146.62,-4.4,-3.0,-8.6,13.0,21.3,268,0.15,0.45
2015-01-13,0.00,0.00,0.00,71,80,53,-22.1,9.17,29086.91,-18.1,-10.3,-22.8,9.9,18.9,5,0.09,0.35
2015-01-14,0.00,0.00,0.00,74,87,60,-17.9,8.33,29198.91,-14.2,-7.1,-18.6,7.4,11.1,119,0.14,0.46
2015-01-15,0.00,0.00,0.00,79,89,64,-13.9,5.23,18398.12,-10.8,-5.0,-14.9,12.1,18.9,199,0.15,0.39
2015-01-16,0.70,0.00,0.70,73,85,62,-12.4,8.96,29432.44,-8.3,-2.7,-14.3,20.1,26.3,298,0.12,0.55
2015-01-17,0.00,0.00,0.00,75,85,61,-17.6,6.25,18783.45,-14.0,-3.7,-20.3,16.0,26.5,138,0.13,0.41
2015-01-18,3.70,3.30,0.28,83,93,73,-0.7,4.01,7661.95,1.9,3.5,-2.6,17.5,24.5,198,0.21,0.67
2015-01-19,0.30,0.10,0.14,84,95,72,-7.3,6.32,24674.50,-4.9,-0.0,-9.5,17.9,20.7,303,0.10,0.40
2015-01-20,0.00,0.00,0.00,71,79,54,-17.3,9.67,29933.71,-13.1,-10.0,-17.1,9.2,15.3,336,0.12,0.46
2015-01-21,0.00,0.00,0.00,75,84,52,-18.1,8.26,29404.26,-14.5,-8.6,-19.7,6.5,10.9,58,0.15,0.41
2015-01-22,0.00,0.00,0.00,79,87,63,-14.2,8.47,30205.55,-11.2,-4.7,-15.9,8.0,11.8,317,0.13,0.48
2015-01-23,0.00,0.00,0.00,76,86,55,-8.4,9.06,30347.27,-4.7,0.5,-7.5,15.4,22.1,220,0.26,0.77
2015-01-24,0.70,0.00,0.77,83,88,76,-5.9,3.84,2958.41,-3.4,-0.1,-5.9,11.5,16.9,223,0.14,0.46
2015-01-25,0.20,0.00,0.35,74,88,59,-13.5,10.36,30641.04,-9.7,-0.1,-15.7,16.1,21.1,326,0.10,0.51
2015-01-26,0.00,0.00,0.00,67,75,52,-20.5,9.66,30792.61,-15.7,-11.0,-18.9,10.7,13.5,55,0.13,0.45
2015-01-27,0.00,0.00,0.00,66,76,50,-19.0,10.23,30946.96,-13.9,-10.1,-16.1,11.1,14.3,20,0.14,0.54
2015-01-28,0.00,0.00,0.00,67,76,40,-18.8,10.91,31103.86,-13.7,-5.9,-17.6,10.1,13.3,332,0.24,0.60
2015-01-29,5.20,0.00,3.64,74,92,65,-11.6,2.07,0.00,-7.7,-2.5,-12.9,14.7,22.7,156,0.13,0.46
2015-01-30,1.60,0.00,1.47,78,93,64,-13.1,10.88,31424.43,-10.0,-2.6,-16.4,21.7,27.8,322,0.07,0.40
2015-01-31,0.00,0.00,0.00,72,81,62,-19.4,9.68,31587.66,-15.5,-6.6,-21.2,9.0,14.6,250,0.14,0.50
2015-02-01,0.30,0.00,0.42,76,88,61,-14.4,7.07,10589.63,-10.9,-6.1,-14.8,12.4,15.2,9,0.09,0.38
2015-02-02,10.60,0.00,7.49,70,76,60,-20.5,8.00,17851.17,-16.3,-14.3,-17.7,18.5,21.6,17,0.08,0.40
2015-02-03,0.00,0.00,0.00,74,82,59,-18.0,8.74,25790.47,-14.2,-6.5,-19.1,13.1,17.8,238,0.15,0.53
2015-02-04,2.40,0.00,1.96,81,89,67,-9.8,6.20,12550.04,-7.1,-2.8,-9.6,12.0,16.3,222,0.16,0.52
2015-02-05,0.10,0.00,0.21,73,83,55,-16.6,11.97,32308.00,-12.7,-7.0,-15.9,12.4,16.6,314,0.10,0.48
2015-02-06,0.70,0.00,0.77,72,78,63,-15.4,7.70,27685.61,-11.3,-4.7,-16.8,16.1,22.5,241,0.16,0.59
2015-02-07,5.60,0.00,4.20,86,90,77,-8.9,2.92,0.00,-7.0,-5.2,-8.2,8.2,14.3,92,0.09,0.29
2015-02-08,6.40,0.00,4.90,81,91,74,-12.9,2.84,0.00,-10.3,-5.5,-12.3,16.0,18.0,74,0.07,0.28
2015-02-09,0.00,0.00,0.00,74,81,66,-17.2,8.63,26279.02,-13.5,-10.1,-16.4,12.3,17.0,33,0.09,0.47
2015-02-10,0.00,0.00,0.00,76,87,60,-14.8,12.96,32572.89,-11.2,-7.1,-15.0,7.3,9.9,355,0.14,0.63
2015-02-11,1.30,0.00,0.91,77,87,73,-12.4,5.33,658.65,-9.2,-4.0,-12.6,12.3,19.7,144,0.11,0.43
2015-02-12,0.60,0.00,0.84,78,89,61,-13.3,12.66,32647.22,-10.2,-3.8,-18.5,19.7,29.9,308,0.06,0.38
2015-02-13,0.00,0.00,0.00,68,75,58,-24.6,13.41,32985.18,-20.1,-14.2,-24.5,11.5,22.3,312,0.09,0.48
2015-02-14,2.50,0.00,1.75,74,84,58,-16.0,12.41,31707.60,-12.3,-10.5,-14.4,16.9,20.9,248,0.10,0.57
2015-02-15,0.10,0.00,0.21,67,76,57,-26.9,14.05,33734.94,-22.5,-14.6,-26.6,25.3,27.2,324,0.05,0.32
2015-02-16,0.00,0.00,0.00,62,72,34,-28.5,14.42,34305.42,-22.9,-16.1,-26.8,10.0,18.3,330,0.11,0.49
2015-02-17,0.00,0.00,0.00,64,76,45,-24.1,13.00,32791.81,-18.9,-11.5,-23.3,8.2,12.2,150,0.14,0.56
2015-02-18,0.00,0.00,0.35,74,85,52,-17.5,11.74,32400.00,-13.8,-9.9,-16.8,11.4,14.5,231,0.14,0.59
2015-02-19,0.00,0.00,0.00,72,83,58,-21.7,14.45,34612.12,-17.9,-12.3,-21.9,18.7,26.0,310,0.06,0.37
2015-02-20,0.00,0.00,0.00,64,73,50,-26.7,15.29,35111.63,-21.6,-15.3,-25.0,15.1,20.2,297,0.09,0.51
