latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.198593,-81.94028,207.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.00,0.00,0.00,62,67,55,-10.9,4.11,10880.18,-4.6,-1.3,-6.5,32.3,38.0,235,0.23,1.05
2015-01-02,1.00,0.00,0.84,64,76,43,-7.8,5.90,26751.59,-1.7,-0.2,-2.8,21.8,31.7,274,0.35,1.04
2015-01-03,15.60,8.80,4.76,78,95,57,-4.8,0.80,0.00,-1.4,1.5,-3.7,17.9,29.2,127,0.23,0.40
2015-01-04,9.50,7.70,1.40,95,100,82,0.3,1.84,1700.16,0.9,2.3,-0.9,12.7,28.9,279,0.12,0.25
2015-01-05,2.20,0.00,2.24,72,83,56,-13.7,6.56,27135.75,-9.6,-2.3,-14.2,35.5,41.0,282,0.11,0.59
2015-01-06,0.80,0.00,0.98,64,69,59,-16.4,5.86,21325.11,-10.9,-8.0,-12.2,19.8,31.0,251,0.14,0.59
2015-01-07,4.60,0.00,3.22,69,81,61,-16.2,6.11,23082.10,-11.5,-7.9,-14.8,39.2,46.4,304,0.13,0.59
2015-01-08,1.20,0.00,1.26,69,78,62,-17.8,6.44,25200.00,-13.4,-11.6,-14.3,33.2,37.7,250,0.09,0.51
2015-01-09,4.80,0.00,3.92,69,77,52,-15.1,7.56,27812.48,-10.4,-9.3,-13.1,35.2,39.1,249,0.14,0.66
2015-01-10,0.00,0.00,0.28,69,80,57,-18.2,8.10,29280.54,-13.7,-11.3,-15.6,29.3,34.7,245,0.11,0.54
2015-01-11,0.00,0.00,0.00,67,73,56,-13.0,8.06,26298.35,-7.8,-1.8,-13.2,19.9,25.1,204,0.23,0.83
2015-01-12,4.10,0.00,3.22,81,90,67,-5.9,3.90,169.27,-3.1,-2.2,-5.0,19.2,28.6,290,0.17,0.48
2015-01-13,0.00,0.00,0.14,70,79,59,-17.3,9.72,29581.04,-12.8,-5.9,-18.3,16.2,25.7,43,0.12,0.55
2015-01-14,0.00,0.00,0.00,76,87,63,-16.3,7.15,29687.99,-12.9,-8.5,-15.6,8.7,11.7,136,0.10,0.41
2015-01-15,0.00,0.00,0.00,78,87,68,-12.2,8.14,27711.71,-9.1,-5.0,-11.9,18.3,27.0,200,0.13,0.51
2015-01-16,0.50,0.00,0.56,73,88,58,-9.2,8.36,29911.07,-5.1,-1.4,-8.6,26.0,31.3,302,0.14,0.71
2015-01-17,0.00,0.00,0.00,75,80,66,-11.2,6.73,23746.12,-7.5,2.7,-13.1,22.9,35.7,150,0.16,0.62
2015-01-18,5.40,4.70,0.56,89,98,79,0.1,3.65,1290.18,1.8,3.1,0.3,23.4,33.4,216,0.16,0.52
2015-01-19,0.40,0.00,0.49,82,90,69,-5.6,5.29,20491.72,-2.8,-0.4,-4.9,18.0,21.9,311,0.15,0.51
2015-01-20,0.00,0.00,0.00,75,79,73,-9.2,6.79,20665.75,-5.5,-4.4,-6.5,9.0,13.9,27,0.12,0.56
2015-01-21,0.10,0.00,0.14,73,77,71,-10.6,6.22,10976.41,-6.6,-3.9,-8.6,9.3,13.5,79,0.12,0.51
2015-01-22,0.10,0.00,0.14,78,86,65,-7.8,7.94,28492.54,-4.5,-2.7,-5.5,10.8,13.8,318,0.18,0.58
2015-01-23,0.00,0.00,0.00,78,83,70,-6.6,9.32,30785.76,-3.4,-0.5,-4.8,19.5,26.2,214,0.17,0.73
2015-01-24,0.70,0.00,0.56,87,90,85,-4.4,3.03,2231.78,-2.6,0.6,-4.0,16.2,22.1,226,0.09,0.35
2015-01-25,0.80,0.20,0.42,77,91,62,-8.9,9.17,29711.99,-5.4,0.8,-10.2,20.0,24.2,1,0.12,0.60
2015-01-26,0.00,0.00,0.00,70,76,66,-15.0,10.66,31181.57,-10.6,-6.4,-13.3,14.5,19.9,56,0.13,0.69
2015-01-27,0.00,0.00,0.00,72,77,68,-15.6,10.56,31243.01,-11.5,-8.0,-14.8,12.8,20.3,29,0.10,0.55
2015-01-28,0.00,0.00,0.00,76,81,62,-12.6,11.08,31306.41,-9.1,-3.3,-12.3,8.5,15.7,9,0.19,0.74
2015-01-29,4.90,0.00,3.50,76,93,65,-7.4,2.52,0.00,-3.7,-0.5,-6.0,21.8,30.2,164,0.17,0.64
2015-01-30,2.50,0.00,2.10,77,89,64,-10.1,6.58,12414.74,-6.7,-1.6,-10.4,31.8,40.8,331,0.10,0.55
2015-01-31,0.00,0.00,0.00,70,78,66,-13.4,9.07,25949.39,-9.0,-2.5,-12.2,13.7,17.4,225,0.16,0.71
2015-02-01,5.10,0.00,3.64,82,88,78,-8.1,4.50,0.00,-5.5,-2.3,-8.2,17.4,27.8,39,0.10,0.40
2015-02-02,12.30,0.00,8.68,77,81,71,-14.6,7.91,25125.38,-11.4,-8.8,-13.2,29.1,33.5,17,0.08,0.49
2015-02-03,0.00,0.00,0.00,77,84,70,-15.0,10.86,31722.69,-11.8,-7.6,-14.1,18.0,22.1,224,0.10,0.54
2015-02-04,4.80,0.00,3.50,86,93,75,-7.6,6.07,2992.34,-5.5,-3.5,-8.4,16.0,22.9,248,0.12,0.47
2015-02-05,0.00,0.00,0.07,69,76,54,-17.0,12.47,32625.95,-12.5,-5.6,-16.3,20.9,30.2,305,0.12,0.64
2015-02-06,0.30,0.00,0.21,74,81,66,-13.8,10.35,32573.33,-10.1,-4.1,-13.8,20.3,26.8,237,0.15,0.69
2015-02-07,0.80,0.80,0.07,83,87,77,-6.6,5.86,3034.79,-4.2,0.0,-6.7,10.1,13.7,190,0.14,0.54
2015-02-08,2.80,1.40,0.98,89,94,84,-2.6,2.73,0.00,-1.1,0.4,-4.7,18.5,24.3,108,0.08,0.34
2015-02-09,1.00,0.00,0.91,78,84,73,-12.9,12.30,32186.73,-9.8,-5.4,-13.1,15.7,19.7,35,0.08,0.60
2015-02-10,0.00,0.00,0.00,78,85,65,-12.7,13.14,32268.86,-9.5,-5.6,-12.5,8.4,13.1,33,0.14,0.74
2015-02-11,0.90,0.00,0.70,85,90,78,-8.7,5.45,4992.53,-6.5,-1.7,-9.0,14.7,20.2,181,0.09,0.41
2015-02-12,1.20,0.00,1.61,75,90,63,-12.7,10.01,24081.31,-9.1,-1.5,-14.4,31.0,40.0,324,0.09,0.52
2015-02-13,0.00,0.00,0.35,72,78,62,-19.3,12.06,32400.00,-15.4,-11.2,-18.3,19.9,29.3,276,0.09,0.53
2015-02-14,3.60,0.10,2.73,78,87,68,-13.5,11.51,23342.49,-10.4,-7.8,-15.1,28.8,45.9,292,0.08,0.48
2015-02-15,0.40,0.00,0.63,67,69,64,-23.7,10.54,33555.90,-19.1,-15.7,-22.0,29.4,42.3,351,0.06,0.42
2015-02-16,0.00,0.00,0.00,72,81,57,-22.7,14.03,33614.20,-18.8,-14.5,-24.0,7.7,14.5,239,0.08,0.48
2015-02-17,0.00,0.00,0.00,72,82,59,-20.3,13.78,32510.19,-16.4,-10.2,-21.0,10.8,18.5,179,0.09,0.50
2015-02-18,1.00,0.00,0.98,80,85,74,-14.8,9.72,18566.12,-12.0,-10.3,-15.4,12.2,27.9,244,0.07,0.48
2015-02-19,0.50,0.00,0.49,69,77,54,-21.2,13.68,33646.12,-16.8,-11.4,-19.7,26.6,30.3,317,0.07,0.47
2015-02-20,0.00,0.00,0.00,63,73,51,-25.6,15.85,35178.46,-20.2,-16.3,-23.6,17.2,22.9,270,0.08,0.52
2015-02-21,2.20,0.00,1.96,76,83,67,-15.2,8.05,8004.36,-11.9,-6.9,-17.7,13.5,24.4,172,0.08,0.60
2015-02-22,0.10,0.00,0.49,83,90,67,-11.3,9.26,14252.45,-8.9,-7.5,-10.9,11.9,23.8,304,0.10,0.46
2015-02-23,0.10,0.00,0.21,64,72,54,-22.2,16.32,35460.56,-17.0,-9.4,-21.1,19.6,31.2,315,0.10,0.57
2015-02-24,0.20,0.00,0.28,73,78,67,-18.9,11.18,22576.55,-15.2,-9.5,-18.0,26.8,36.1,197,0.08,0.49
2015-02-25,0.60,0.00,0.70,71,84,59,-15.9,16.17,35369.88,-11.7,-8.1,-14.8,22.3,29.4,296,0.09,0.71
2015-02-26,0.00,0.00,0.21,71,76,66,-18.8,11.31,31791.06,-14.7,-13.4,-15.6,13.0,23.0,14,0.07,0.47
2015-02-27,0.00,0.00,0.00,69,79,53,-20.1,17.28,36616.83,-15.6,-11.8,-18.5,11.4,18.9,318,0.12,0.71
2015-02-28,0.00,0.00,0.00,73,82,59,-17.4,17.41,36795.13,-13.5,-8.2,-17.2,12.0,14.8,205,0.13,0.81
2015-03-01,0.90,0.00,0.98,79,85,73,-12.9,10.85,16555.81,-10.0,-5.1,-13.3,8.4,13.0,174,0.09,0.70
2015-03-02,0.00,0.00,0.14,76,86,59,-9.7,15.89,37151.89,-6.0,-4.9,-7.2,18.8,26.3,286,0.17,0.90
