latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.010544,-81.85712,183.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,7.00,0.00,4.97,74,81,68,-9.7,2.47,776.49,-5.8,-3.9,-8.4,43.1,48.8,265,0.13,0.70
2015-01-02,0.10,0.00,0.28,70,75,63,-14.3,5.85,23537.37,-9.8,-6.1,-13.3,18.6,35.3,305,0.14,0.59
2015-01-03,2.10,0.00,1.68,80,90,70,-7.7,2.00,0.00,-4.8,-2.0,-8.3,19.0,33.4,136,0.10,0.35
2015-01-04,8.20,0.00,6.02,85,92,74,-7.5,2.38,4272.39,-5.4,-2.4,-9.6,22.7,26.2,37,0.10,0.30
2015-01-05,1.30,0.00,1.40,73,79,65,-18.9,5.45,25333.85,-15.2,-11.0,-18.6,29.3,39.3,302,0.09,0.39
2015-01-06,1.60,0.00,1.61,71,79,65,-14.7,5.08,14619.50,-10.4,-8.3,-11.5,28.5,36.0,272,0.10,0.55
2015-01-07,0.20,0.00,0.35,70,81,63,-22.9,7.17,26826.89,-18.8,-9.9,-24.0,26.1,31.9,334,0.06,0.29
2015-01-08,1.20,0.00,1.40,76,81,69,-15.6,3.53,0.00,-12.2,-8.2,-20.5,36.8,48.2,262,0.10,0.44
2015-01-09,4.90,0.00,3.43,74,81,60,-15.9,7.64,26180.30,-12.1,-8.3,-14.5,25.8,37.6,274,0.08,0.45
2015-01-10,0.70,0.00,0.56,73,80,64,-16.1,5.61,17863.82,-12.2,-8.9,-14.5,34.0,42.1,268,0.11,0.50
2015-01-11,0.40,0.00,1.05,80,85,74,-9.7,3.98,617.20,-6.8,-3.8,-10.2,20.2,29.6,254,0.11,0.45
2015-01-12,3.40,0.00,2.45,78,87,63,-12.4,7.56,26995.99,-9.2,-5.0,-16.6,16.1,24.3,350,0.08,0.34
2015-01-13,0.00,0.00,0.00,73,79,64,-21.7,7.31,27802.19,-18.0,-11.8,-20.8,9.8,22.0,348,0.07,0.31
2015-01-14,0.00,0.00,0.07,77,80,73,-11.5,5.12,10934.11,-8.3,-5.7,-11.5,17.3,21.3,230,0.11,0.44
2015-01-15,2.10,0.00,2.24,85,88,82,-6.5,2.70,0.00,-4.3,-1.6,-6.0,21.9,35.8,234,0.08,0.32
2015-01-16,0.50,0.00,0.35,66,90,57,-16.1,8.45,28581.29,-11.0,-1.5,-16.1,23.8,41.4,309,0.15,0.59
2015-01-17,2.10,0.00,1.68,78,90,63,-14.2,2.43,0.00,-11.2,-0.6,-16.2,21.5,32.6,135,0.07,0.30
2015-01-18,2.70,2.00,0.63,91,97,85,-0.7,4.26,7365.73,0.6,1.7,-0.7,22.4,29.6,240,0.09,0.40
2015-01-19,0.00,0.00,0.21,72,88,60,-14.7,8.61,28982.85,-10.7,-1.2,-15.2,18.0,24.9,2,0.10,0.49
2015-01-20,0.00,0.00,0.00,74,80,60,-21.1,8.85,29122.83,-17.6,-13.3,-20.9,9.3,14.6,35,0.08,0.33
2015-01-21,0.00,0.00,0.00,82,86,76,-17.5,7.69,26499.84,-15.1,-10.6,-17.8,5.0,9.3,68,0.06,0.31
2015-01-22,0.00,0.00,0.00,84,89,78,-13.0,8.58,27948.21,-10.8,-6.6,-13.8,7.9,18.8,281,0.08,0.40
2015-01-23,1.10,0.00,0.77,86,91,83,-6.8,4.33,10801.47,-4.8,-0.5,-8.3,26.8,34.3,241,0.08,0.42
2015-01-24,1.20,0.00,1.26,92,97,83,-1.6,5.22,19443.50,-0.4,0.8,-1.0,20.9,27.4,264,0.10,0.40
