latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.681896,-85.59122,325.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,1.00,0.00,0.91,74,82,56,-17.0,5.27,25105.35,-13.2,-11.1,-16.9,14.9,17.3,289,0.09,0.32
2015-01-02,0.00,0.00,0.00,73,79,59,-26.4,6.01,25517.44,-22.8,-18.0,-26.4,7.1,14.5,305,0.05,0.17
2015-01-03,6.80,0.00,4.83,85,93,77,-13.7,1.71,0.00,-11.8,-3.8,-22.0,9.1,15.8,150,0.07,0.18
2015-01-04,2.00,0.00,1.75,72,91,60,-24.6,3.68,6169.44,-20.9,-9.0,-26.1,17.7,21.1,15,0.04,0.17
2015-01-05,0.00,0.00,0.00,71,77,63,-32.4,5.72,25621.19,-28.8,-22.4,-32.3,9.4,12.7,303,0.03,0.12
2015-01-06,0.60,0.00,0.84,73,82,59,-23.4,4.61,20848.38,-19.8,-18.4,-23.0,10.5,14.6,301,0.06,0.19
2015-01-07,0.00,0.00,0.14,68,74,58,-30.3,5.39,20449.56,-26.1,-20.9,-30.7,15.4,18.4,321,0.04,0.16
2015-01-08,2.00,0.00,1.89,77,83,71,-19.6,2.65,0.00,-16.4,-12.4,-21.9,14.4,18.6,274,0.07,0.23
2015-01-09,0.30,0.00,0.42,67,83,51,-24.9,5.14,23061.45,-20.3,-14.3,-24.0,14.2,17.1,320,0.06,0.22
2015-01-10,0.20,0.00,0.56,72,78,62,-24.6,4.33,15695.57,-20.8,-16.0,-23.6,9.3,11.7,287,0.07,0.19
2015-01-11,0.00,0.00,0.00,75,81,58,-23.5,5.67,26450.40,-20.2,-15.8,-25.0,4.5,9.0,247,0.07,0.19
2015-01-12,0.00,0.00,0.00,71,78,54,-26.4,6.53,26579.80,-22.5,-17.4,-26.1,9.8,13.3,339,0.05,0.17
2015-01-13,0.00,0.00,0.00,76,87,66,-19.4,3.42,5702.13,-16.2,-8.7,-24.9,17.0,26.2,229,0.10,0.28
2015-01-14,1.90,0.00,1.47,76,86,65,-12.5,5.38,23745.60,-9.0,-7.8,-10.1,14.4,23.7,238,0.11,0.43
2015-01-15,2.80,0.00,2.10,80,90,61,-9.8,2.83,7171.65,-6.9,-2.9,-10.8,17.8,24.2,246,0.16,0.38
2015-01-16,0.00,0.00,0.00,71,80,51,-23.8,7.07,27137.92,-19.8,-12.3,-24.0,10.4,19.8,335,0.08,0.25
2015-01-17,3.10,0.00,2.17,79,89,70,-15.6,2.04,0.00,-12.8,-4.3,-22.7,15.3,21.7,165,0.08,0.28
2015-01-18,2.60,0.00,2.10,82,96,63,-9.6,4.00,7430.65,-6.9,-3.3,-12.8,11.9,14.9,345,0.10,0.30
2015-01-19,0.00,0.00,0.00,75,82,62,-23.0,7.08,27592.87,-19.6,-13.8,-23.8,10.5,15.5,49,0.06,0.24
