latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.291737,-78.78595,163.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,4.60,0.00,3.57,76,81,70,-10.5,2.79,913.81,-7.0,-4.0,-8.9,20.5,25.9,246,0.12,0.47
2015-01-02,0.00,0.00,0.07,75,85,54,-16.9,6.88,26784.26,-13.3,-5.1,-18.8,11.0,19.5,288,0.11,0.31
2015-01-03,2.00,0.00,1.47,79,85,71,-17.9,2.59,0.00,-15.1,-8.3,-23.8,11.3,17.3,129,0.09,0.23
2015-01-04,9.70,0.00,7.21,84,88,78,-10.1,1.79,1779.70,-7.9,-6.0,-9.1,11.4,15.4,53,0.07,0.20
2015-01-05,0.80,0.00,0.91,69,81,51,-23.5,7.27,26969.68,-19.2,-9.9,-23.7,15.1,18.1,290,0.06,0.25
2015-01-06,0.90,0.00,0.77,76,84,67,-20.3,4.34,11078.93,-17.1,-9.0,-22.6,10.2,14.7,222,0.10,0.25
2015-01-07,1.50,0.00,1.12,67,85,50,-24.9,6.67,25666.05,-20.2,-10.2,-26.9,15.6,20.7,325,0.05,0.21
2015-01-08,1.70,0.00,1.61,75,82,66,-22.4,3.62,0.00,-19.1,-8.1,-27.9,13.9,24.6,236,0.11,0.27
2015-01-09,3.30,0.00,2.52,74,85,61,-15.9,5.84,26585.21,-12.2,-9.0,-17.0,15.5,22.8,229,0.09,0.37
2015-01-10,0.90,0.00,0.63,75,82,61,-19.5,5.84,17097.77,-16.0,-9.2,-20.2,12.7,22.1,238,0.11,0.33
2015-01-11,1.00,0.00,1.12,78,87,68,-12.7,4.08,13011.43,-9.5,-4.9,-13.1,14.2,18.7,216,0.12,0.38
2015-01-12,5.40,0.00,3.85,81,94,60,-10.7,5.77,22275.40,-7.9,-4.9,-17.6,10.9,16.7,325,0.10,0.32
2015-01-13,0.00,0.00,0.00,68,77,45,-27.3,7.96,28059.70,-22.9,-16.6,-29.5,8.8,13.6,284,0.09,0.25
2015-01-14,0.00,0.00,0.00,70,82,64,-21.8,5.72,25805.25,-17.7,-9.6,-21.8,11.7,15.1,203,0.11,0.32
2015-01-15,0.50,0.00,0.49,82,86,74,-11.6,3.22,1897.20,-9.0,-5.4,-12.1,14.9,22.5,199,0.10,0.31
2015-01-16,2.00,0.00,1.47,69,86,54,-16.7,7.54,28238.51,-12.2,-2.8,-18.6,18.0,23.9,296,0.11,0.42
2015-01-17,0.70,0.00,0.56,70,78,52,-24.7,2.93,1548.51,-20.5,-10.4,-27.2,12.1,20.9,134,0.08,0.22
2015-01-18,3.90,0.80,2.45,85,96,76,-2.4,3.33,1279.20,-0.2,3.2,-9.2,15.5,21.3,202,0.16,0.47
2015-01-19,0.90,0.00,0.91,79,98,60,-11.9,6.88,26813.80,-8.8,0.5,-15.8,13.0,17.2,333,0.09,0.35
2015-01-20,0.00,0.00,0.00,73,81,54,-23.4,8.64,28986.73,-19.7,-15.1,-24.2,7.7,11.0,311,0.09,0.28
2015-01-21,0.00,0.00,0.00,65,79,37,-24.4,8.69,29133.04,-19.0,-9.7,-26.4,4.5,8.8,148,0.18,0.39
2015-01-22,0.00,0.00,0.00,72,81,53,-19.7,6.45,28648.02,-15.7,-8.0,-22.9,6.3,10.8,216,0.13,0.34
2015-01-23,1.80,0.00,1.33,84,88,78,-8.7,3.60,5059.86,-6.4,-0.6,-12.0,19.3,25.5,231,0.12,0.41
2015-01-24,3.50,0.00,2.94,87,92,77,-2.2,3.27,653.84,-0.3,1.3,-1.1,16.2,20.2,243,0.16,0.41
2015-01-25,0.30,0.00,0.28,70,82,53,-19.7,9.12,29758.94,-15.3,-3.8,-19.7,13.4,21.7,335,0.10,0.41
2015-01-26,0.00,0.00,0.00,69,79,50,-25.0,9.37,29924.17,-20.7,-14.0,-26.5,8.3,11.2,78,0.10,0.33
2015-01-27,0.00,0.00,0.00,68,79,44,-23.5,9.72,30092.36,-18.8,-12.0,-23.6,10.6,12.2,52,0.14,0.41
2015-01-28,0.00,0.00,0.00,67,77,45,-21.8,9.85,30263.25,-16.9,-8.6,-22.6,7.5,10.9,319,0.17,0.50
2015-01-29,5.90,0.00,4.13,71,90,57,-14.1,1.71,0.00,-9.7,-4.9,-15.1,11.4,17.9,170,0.14,0.41
2015-01-30,0.70,0.00,0.70,72,93,52,-17.8,9.69,30612.17,-13.7,-5.5,-19.9,15.5,21.9,333,0.07,0.38
2015-01-31,0.30,0.00,0.35,70,80,51,-24.0,9.17,26524.09,-19.7,-9.4,-27.1,8.4,11.8,226,0.12,0.41
2015-02-01,0.50,0.00,0.35,69,88,49,-23.4,8.52,25132.88,-19.0,-9.8,-24.2,11.8,18.4,5,0.06,0.28
2015-02-02,0.00,0.00,0.00,63,72,48,-26.9,9.37,26401.69,-21.7,-17.4,-24.1,10.3,13.0,36,0.08,0.34
2015-02-03,0.00,0.00,0.21,71,82,59,-21.0,9.44,29199.41,-16.8,-7.8,-23.2,11.9,18.9,238,0.14,0.51
2015-02-04,1.80,0.00,1.47,80,88,61,-13.3,6.00,9192.53,-10.4,-7.0,-12.1,8.4,13.6,252,0.14,0.41
2015-02-05,0.00,0.00,0.14,70,81,49,-21.9,11.06,31699.08,-17.6,-11.4,-22.8,8.9,11.6,310,0.09,0.36
2015-02-06,0.80,0.00,0.70,72,87,52,-17.7,8.02,29990.61,-13.6,-8.7,-19.8,15.2,18.8,242,0.15,0.51
2015-02-07,0.70,0.00,0.70,70,82,53,-19.3,8.57,23385.98,-14.9,-11.5,-17.1,7.9,11.8,12,0.11,0.42
2015-02-08,5.90,0.00,4.27,67,74,51,-20.8,6.20,16542.10,-16.0,-13.8,-17.9,15.5,16.9,67,0.10,0.39
2015-02-09,0.00,0.00,0.00,69,79,57,-21.7,11.01,32397.65,-17.2,-11.8,-21.4,11.2,15.5,60,0.11,0.50
2015-02-10,0.00,0.00,0.00,69,80,47,-20.9,11.77,32437.62,-16.3,-9.9,-21.8,6.7,9.6,5,0.15,0.54
2015-02-11,2.60,0.00,1.89,75,83,58,-17.5,4.07,0.00,-13.9,-8.4,-17.4,10.6,13.0,118,0.12,0.34
2015-02-12,1.90,0.00,1.40,71,91,51,-19.1,10.53,32437.75,-15.0,-8.5,-20.4,15.8,19.4,339,0.07,0.35
2015-02-13,0.00,0.00,0.00,65,75,45,-28.7,11.02,31153.19,-23.8,-18.1,-28.9,10.1,16.3,298,0.07,0.32
2015-02-14,2.40,0.00,2.38,71,85,49,-18.5,8.47,22775.87,-14.2,-9.6,-19.4,13.7,24.2,202,0.15,0.53
2015-02-15,0.00,0.00,0.28,62,73,45,-29.5,12.83,32838.37,-24.3,-16.9,-29.0,17.9,23.4,345,0.06,0.31
2015-02-16,0.00,0.00,0.00,62,74,40,-30.3,12.94,33536.41,-24.8,-17.5,-30.4,8.0,13.0,297,0.09,0.39
2015-02-17,0.00,0.00,0.00,63,77,40,-25.1,11.35,30059.66,-19.5,-10.9,-24.2,8.8,10.8,200,0.16,0.54
2015-02-18,0.40,0.00,0.56,74,83,57,-18.4,7.97,10603.00,-14.7,-10.0,-18.7,8.1,11.2,197,0.12,0.45
2015-02-19,0.00,0.00,0.07,70,83,51,-23.7,12.63,32874.66,-19.4,-12.8,-23.1,13.9,16.8,326,0.06,0.34
2015-02-20,0.00,0.00,0.00,63,76,41,-28.2,14.23,34518.62,-22.8,-17.8,-27.1,12.9,15.3,286,0.09,0.42
2015-02-21,1.40,0.00,1.05,68,75,57,-19.6,10.81,25401.20,-15.0,-7.4,-20.6,10.8,14.8,199,0.15,0.65
2015-02-22,0.00,0.00,0.14,75,88,53,-14.9,11.21,32592.75,-11.2,-8.6,-13.4,9.8,15.1,256,0.15,0.60
2015-02-23,0.20,0.00,0.28,62,75,45,-26.6,14.29,35213.16,-21.0,-12.8,-26.4,14.8,18.2,289,0.07,0.40
2015-02-24,0.90,0.00,0.63,67,78,48,-21.3,9.65,17780.11,-16.4,-9.9,-22.0,20.1,25.0,214,0.14,0.56
2015-02-25,0.50,0.00,0.63,68,88,44,-18.4,14.31,34952.90,-13.6,-10.2,-17.0,14.4,18.6,271,0.11,0.55
2015-02-26,0.00,0.00,0.00,64,79,43,-25.4,15.47,35818.03,-20.1,-15.5,-26.7,7.0,9.4,326,0.10,0.55
2015-02-27,0.00,0.00,0.00,66,77,47,-24.6,15.58,36018.46,-19.7,-12.7,-24.8,12.0,17.8,249,0.12,0.56
2015-02-28,0.00,0.00,0.00,72,83,52,-17.8,15.50,36218.04,-13.6,-6.9,-17.2,17.0,20.3,239,0.17,0.79
2015-03-01,0.00,0.00,0.00,71,86,45,-15.2,13.08,36417.12,-10.6,-5.1,-14.2,13.0,17.0,218,0.23,0.84
2015-03-02,0.20,0.00,0.49,72,90,42,-12.9,13.56,34875.61,-8.2,-6.2,-9.8,16.5,23.4,274,0.22,0.84
2015-03-03,3.90,0.00,2.80,74,84,54,-14.8,8.98,17455.88,-10.9,-5.1,-16.1,12.1,17.3,194,0.19,0.62
2015-03-04,2.20,0.00,1.68,75,90,53,-10.6,13.06,30993.02,-6.6,-5.3,-8.8,18.1,23.8,247,0.19,0.83
2015-03-05,0.00,0.00,0.14,65,82,41,-19.7,16.64,37223.13,-14.2,-10.0,-19.0,11.5,19.0,298,0.14,0.77
2015-03-06,0.00,0.00,0.00,69,82,47,-19.5,16.11,37426.45,-14.9,-8.2,-19.4,17.5,25.8,230,0.18,0.76
2015-03-07,0.50,0.00,0.84,73,89,57,-11.0,9.51,15695.36,-7.0,-2.1,-10.1,15.3,20.7,237,0.23,0.85
2015-03-08,1.20,0.00,0.98,77,93,48,-9.5,13.20,22103.78,-5.8,-3.1,-7.8,10.4,14.9,264,0.25,0.96
2015-03-09,1.40,0.00,1.12,79,92,60,-6.9,12.75,38038.50,-3.6,2.4,-7.2,14.5,25.4,249,0.24,1.02
2015-03-10,0.00,0.00,0.00,78,94,55,-1.7,15.82,35067.17,2.1,7.3,-2.6,17.1,23.2,219,0.46,1.70
2015-03-11,0.00,0.00,0.00,79,92,55,-1.1,11.60,28519.83,2.3,4.0,0.4,18.1,22.5,267,0.36,1.23
2015-03-12,0.50,0.20,0.28,63,79,42,-12.0,17.95,38650.71,-5.9,1.2,-11.0,13.5,23.0,325,0.25,1.35
2015-03-13,2.50,0.00,1.96,74,84,62,-10.1,5.44,0.00,-6.1,-1.6,-10.1,9.2,13.1,129,0.20,0.62
2015-03-14,10.90,5.30,3.92,84,97,76,-3.4,5.05,84.93,-1.0,2.4,-3.1,10.8,13.2,125,0.13,0.65
2015-03-15,3.60,0.00,2.59,80,99,52,-3.2,14.67,28838.88,0.2,3.6,-2.4,12.4,18.9,339,0.38,1.37
2015-03-16,0.00,0.00,0.00,81,93,67,-1.6,12.88,26710.46,1.5,7.0,-1.9,10.1,12.4,224,0.33,1.41
2015-03-17,2.60,1.80,0.77,70,96,43,-6.6,16.29,36884.80,-1.4,2.9,-5.3,17.9,25.2,317,0.29,1.26
2015-03-18,0.00,0.00,0.00,67,86,36,-14.5,17.01,38450.99,-8.9,-5.0,-14.0,11.2,18.9,311,0.27,1.08
2015-03-19,0.00,0.00,0.00,62,84,36,-15.7,20.10,39703.48,-9.1,-0.6,-18.2,7.9,11.5,269,0.36,1.48
2015-03-20,0.00,0.00,0.00,63,82,36,-9.7,17.25,38944.66,-2.9,4.7,-7.5,11.5,14.3,210,0.54,1.80
2015-03-21,5.60,0.00,3.99,76,97,52,-5.7,11.61,21342.07,-1.9,1.2,-6.7,12.9,21.6,297,0.23,0.94
2015-03-22,0.00,0.00,0.14,62,81,42,-18.8,17.06,39364.10,-12.7,-7.9,-18.5,14.6,23.7,305,0.18,0.88
2015-03-23,0.00,0.00,0.00,61,80,40,-20.4,20.92,40511.53,-14.1,-8.1,-19.1,10.5,14.7,327,0.20,1.07
2015-03-24,0.00,0.00,0.00,58,75,38,-16.5,21.27,40815.63,-9.2,-0.4,-16.5,5.4,9.0,255,0.36,1.59
2015-03-25,4.20,1.10,2.17,70,88,41,-9.7,14.12,22749.69,-4.6,5.8,-11.6,13.2,20.6,161,0.53,1.46
2015-03-26,0.20,0.10,0.56,80,89,68,-1.5,6.92,0.00,1.7,2.9,0.8,16.2,24.1,256,0.24,0.95
2015-03-27,0.10,0.00,0.49,66,84,44,-14.1,21.46,40217.59,-8.5,-0.2,-13.6,15.2,17.3,2,0.17,1.10
2015-03-28,0.00,0.00,0.00,63,81,36,-18.2,22.67,41507.69,-12.0,-3.8,-18.8,9.1,11.7,334,0.29,1.41
2015-03-29,0.00,0.00,0.00,66,87,38,-11.6,20.67,34451.02,-5.5,3.2,-11.3,16.1,23.7,222,0.47,1.82
2015-03-30,6.40,0.70,3.99,73,94,51,-3.4,15.52,32400.00,1.1,3.5,-0.4,19.2,24.1,255,0.34,1.63
