latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.745167,80.0,3446.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.00,0.00,0.14,46,56,41,-23.1,7.77,27372.10,-14.0,-12.6,-15.4,1.6,2.5,251,0.14,0.44
2015-01-02,1.20,0.00,1.26,58,75,51,-19.2,4.88,8749.00,-12.6,-11.0,-15.6,3.1,5.1,193,0.13,0.35
2015-01-03,2.60,0.00,1.89,80,85,72,-19.5,4.08,0.00,-16.8,-15.9,-17.6,6.0,9.7,231,0.05,0.20
2015-01-04,0.00,0.00,0.00,61,71,49,-21.9,8.15,27718.56,-16.1,-14.7,-17.5,1.1,1.9,283,0.09,0.42
2015-01-05,0.20,0.00,0.28,56,75,39,-23.1,6.81,21973.18,-16.0,-13.6,-18.3,1.9,2.4,291,0.13,0.40
2015-01-06,0.70,0.00,0.77,78,81,75,-18.4,5.49,14882.42,-15.4,-14.5,-16.9,2.4,3.6,241,0.05,0.30
2015-01-07,0.00,0.00,0.00,54,78,27,-21.4,7.48,26169.71,-13.3,-11.5,-15.3,2.0,3.0,290,0.18,0.44
2015-01-08,0.00,0.00,0.00,21,29,14,-29.5,8.60,28119.29,-11.1,-9.9,-12.7,1.7,2.7,305,0.24,0.60
2015-01-09,0.00,0.00,0.07,25,58,17,-28.0,8.31,28259.26,-10.8,-9.0,-13.3,2.1,3.7,316,0.26,0.63
2015-01-10,0.00,0.00,0.00,62,67,55,-20.0,8.19,27937.23,-14.3,-12.6,-15.6,1.3,2.3,307,0.10,0.47
2015-01-11,0.70,0.00,0.56,51,74,41,-19.9,7.98,27959.95,-11.5,-10.0,-14.1,1.6,3.6,267,0.17,0.54
2015-01-12,0.00,0.00,0.00,69,80,61,-18.6,8.47,28405.23,-14.1,-12.4,-15.3,1.3,3.3,274,0.08,0.49
2015-01-13,0.00,0.00,0.00,44,62,28,-25.6,8.30,24500.85,-15.8,-13.6,-17.9,2.3,3.2,332,0.12,0.49
2015-01-14,0.00,0.00,0.00,32,47,24,-28.6,9.26,28909.64,-15.4,-12.8,-18.0,1.5,3.1,331,0.17,0.55
2015-01-15,2.00,0.00,1.75,75,84,51,-22.5,4.98,244.19,-19.1,-16.3,-23.1,2.4,4.5,283,0.07,0.26
2015-01-16,0.00,0.00,0.00,36,64,23,-30.2,8.95,28922.36,-17.9,-15.3,-23.0,2.3,3.3,335,0.14,0.44
2015-01-17,0.00,0.00,0.00,22,27,16,-30.8,9.59,29267.88,-13.4,-11.8,-15.6,2.3,3.6,312,0.20,0.65
2015-01-18,0.00,0.00,0.00,59,82,21,-21.5,7.76,28522.22,-14.3,-11.4,-18.4,3.4,4.3,313,0.18,0.52
2015-01-19,0.00,0.00,0.00,70,81,64,-19.8,8.96,28979.85,-15.5,-13.5,-19.3,2.1,4.0,357,0.07,0.49
2015-01-20,0.90,0.00,0.70,60,83,52,-19.1,8.21,25924.28,-12.8,-11.1,-15.0,1.7,4.1,210,0.12,0.54
2015-01-21,1.10,0.00,0.84,68,87,56,-20.2,8.89,28772.37,-15.5,-14.5,-17.7,3.8,8.5,234,0.08,0.43
2015-01-22,0.60,0.00,0.91,76,86,61,-18.5,7.46,23633.48,-15.2,-13.3,-17.5,3.0,4.7,214,0.08,0.43
2015-01-23,1.90,0.00,1.96,84,85,82,-19.7,6.14,4470.66,-17.6,-16.8,-18.1,5.4,8.8,210,0.03,0.27
