latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.189804,-89.39899,230.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.00,0.00,0.00,66,76,50,-16.2,5.30,24464.83,-10.9,-9.6,-13.8,22.1,25.9,287,0.13,0.54
2015-01-02,0.00,0.00,0.00,68,73,58,-20.4,3.93,21154.72,-15.8,-9.9,-18.6,13.0,18.8,296,0.09,0.32
2015-01-03,8.70,0.00,6.09,84,89,74,-8.7,1.43,0.00,-6.4,-3.1,-12.0,8.8,24.5,1,0.08,0.20
2015-01-04,0.10,0.00,0.14,72,77,66,-24.8,5.08,22401.45,-21.1,-13.4,-24.4,24.9,27.1,336,0.05,0.22
2015-01-05,0.00,0.00,0.00,71,73,67,-27.7,5.89,26091.92,-24.0,-18.0,-26.4,22.0,25.3,293,0.05,0.22
2015-01-06,0.00,0.00,0.00,70,78,57,-22.2,5.39,25557.67,-18.0,-16.4,-19.2,22.1,24.7,296,0.07,0.31
2015-01-07,0.00,0.00,0.00,68,73,61,-27.2,5.68,26290.07,-22.9,-18.6,-26.0,27.4,29.0,314,0.05,0.24
2015-01-08,1.10,0.00,1.05,68,75,63,-20.4,2.19,0.00,-15.8,-12.5,-19.7,20.5,28.5,279,0.08,0.35
2015-01-09,0.00,0.00,0.00,64,70,53,-23.9,5.35,26509.61,-18.7,-14.0,-21.2,24.7,29.0,309,0.07,0.36
2015-01-10,0.00,0.00,0.00,66,76,51,-22.0,5.43,22789.35,-17.1,-13.3,-19.1,17.7,22.3,281,0.11,0.37
2015-01-11,0.00,0.00,0.00,70,80,53,-22.7,5.81,26748.64,-18.4,-14.5,-21.5,12.3,13.7,305,0.09,0.28
2015-01-12,0.00,0.00,0.00,64,73,49,-25.4,6.91,26874.90,-20.3,-17.6,-23.5,15.7,20.3,325,0.07,0.29
2015-01-13,0.00,0.00,0.00,65,74,59,-22.0,6.33,27005.37,-17.0,-10.3,-21.9,17.5,25.7,247,0.10,0.41
2015-01-14,0.30,0.00,0.42,73,80,69,-13.8,5.58,21399.94,-9.9,-7.6,-11.3,13.4,24.4,252,0.10,0.47
2015-01-15,1.30,0.00,0.91,76,85,59,-8.2,4.17,17560.21,-4.4,-1.3,-8.8,21.3,30.1,270,0.17,0.57
2015-01-16,0.00,0.00,0.00,72,79,63,-18.8,6.15,24274.15,-14.8,-9.8,-18.6,13.7,20.1,349,0.11,0.38
2015-01-17,6.60,0.00,4.69,81,90,66,-7.7,1.66,0.00,-4.9,-1.4,-10.7,16.8,24.7,180,0.11,0.39
2015-01-18,0.30,0.00,0.56,74,84,61,-9.1,4.51,17822.32,-5.2,-1.7,-9.0,14.2,18.4,328,0.15,0.51
2015-01-19,0.00,0.00,0.00,78,85,71,-16.0,4.49,18816.10,-13.0,-8.3,-16.2,12.0,16.1,46,0.09,0.32
2015-01-20,0.00,0.00,0.00,80,86,69,-10.7,3.93,13490.75,-7.8,-4.5,-9.2,6.0,10.5,96,0.13,0.33
2015-01-21,0.00,0.00,0.00,82,89,64,-8.5,5.20,20265.26,-5.9,-4.8,-7.4,7.7,10.0,312,0.15,0.38
2015-01-22,0.00,0.00,0.00,75,80,70,-13.0,6.47,25994.72,-9.4,-3.4,-14.8,14.2,28.5,264,0.13,0.48
2015-01-23,0.00,0.00,0.00,76,84,72,-3.5,4.26,15733.28,0.3,3.3,-3.0,21.6,28.8,251,0.18,0.85
2015-01-24,0.00,0.00,0.00,77,87,58,-5.4,5.76,26453.29,-1.8,2.0,-10.5,16.0,18.0,338,0.15,0.53
2015-01-25,0.00,0.00,0.00,70,77,62,-17.8,6.36,28345.00,-13.6,-10.3,-15.2,11.0,17.4,23,0.10,0.42
