latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.8471,-80.399994,232.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.00,0.00,0.00,52,58,44,-13.5,4.34,2940.04,-5.1,-2.4,-6.9,39.1,44.6,247,0.23,1.35
2015-01-02,0.00,0.00,0.00,56,67,45,-9.7,6.62,27933.18,-2.0,-0.3,-2.9,25.7,37.8,264,0.33,1.35
2015-01-03,13.10,10.70,1.68,76,95,53,-5.0,1.07,0.00,-1.2,2.6,-3.3,14.1,22.5,106,0.25,0.39
2015-01-04,19.60,19.40,0.21,96,100,86,3.4,2.19,663.39,3.9,6.1,0.3,19.2,36.6,237,0.09,0.23
2015-01-05,1.00,0.00,0.77,52,89,38,-16.6,6.88,26399.14,-8.3,-0.1,-12.2,34.1,38.9,279,0.19,0.99
2015-01-06,1.90,0.00,1.47,51,62,40,-18.3,5.76,22424.28,-10.0,-7.9,-11.1,18.5,32.6,269,0.17,0.78
2015-01-07,0.80,0.00,1.33,53,60,41,-18.7,7.48,27213.78,-10.9,-7.8,-14.7,31.1,38.0,296,0.15,0.87
2015-01-08,0.00,0.00,0.28,61,64,55,-18.7,6.27,19257.33,-12.6,-9.7,-15.0,33.3,38.8,255,0.12,0.67
2015-01-09,5.20,0.00,3.92,66,74,55,-14.3,8.39,29353.32,-9.1,-7.7,-11.1,38.2,45.9,249,0.15,0.79
2015-01-10,0.20,0.00,0.28,68,75,61,-17.7,7.48,29444.72,-13.0,-10.9,-15.1,32.8,35.6,254,0.10,0.56
2015-01-11,0.00,0.00,0.00,70,74,62,-11.6,6.83,23841.32,-6.9,-1.9,-11.7,23.7,31.6,227,0.20,0.78
2015-01-12,5.70,0.00,4.06,83,94,69,-4.6,3.79,7601.94,-2.0,-0.9,-3.7,17.4,26.5,260,0.17,0.50
2015-01-13,0.00,0.00,0.00,73,78,65,-17.7,8.55,29740.66,-13.9,-5.0,-19.4,19.3,22.7,29,0.11,0.44
2015-01-14,0.00,0.00,0.00,79,85,68,-16.6,9.45,29846.00,-13.6,-8.3,-18.5,9.2,16.5,86,0.10,0.46
2015-01-15,0.00,0.00,0.00,81,84,73,-12.9,7.92,26329.55,-10.2,-6.7,-12.9,19.3,31.4,232,0.10,0.43
2015-01-16,0.00,0.00,0.35,73,89,52,-9.6,9.13,30065.74,-5.4,-2.6,-10.0,24.2,31.6,275,0.19,0.75
2015-01-17,0.00,0.00,0.00,77,82,73,-13.3,7.35,29317.92,-10.0,3.0,-18.4,15.3,28.8,139,0.19,0.60
2015-01-18,4.20,2.60,1.12,84,98,72,-0.4,5.37,12809.08,2.2,3.5,0.5,27.4,34.3,219,0.21,0.81
2015-01-19,0.00,0.00,0.07,82,92,65,-4.9,6.54,28695.66,-2.1,0.4,-4.0,17.6,22.1,283,0.19,0.59
2015-01-20,0.00,0.00,0.07,71,77,58,-11.3,7.76,30138.60,-6.8,-4.3,-9.4,8.1,11.1,11,0.18,0.63
2015-01-21,0.30,0.00,0.42,72,83,62,-12.3,6.33,8802.91,-8.0,-3.2,-13.9,12.9,17.6,61,0.18,0.59
2015-01-22,0.50,0.00,0.42,77,85,61,-8.8,8.73,29071.33,-5.2,-2.2,-7.9,10.2,14.8,316,0.20,0.66
2015-01-23,0.00,0.00,0.00,78,84,70,-7.2,7.65,27558.05,-3.9,-2.4,-5.0,19.2,27.8,235,0.14,0.66
2015-01-24,0.00,0.00,0.28,87,89,83,-5.3,4.06,2797.39,-3.4,-1.3,-4.9,16.9,23.8,244,0.09,0.38
2015-01-25,0.20,0.00,0.21,71,92,48,-9.6,9.65,29158.79,-4.9,-0.3,-9.6,18.5,22.3,342,0.19,0.74
2015-01-26,0.00,0.00,0.28,66,73,52,-13.9,7.82,25767.07,-8.7,-6.6,-10.4,24.9,28.5,56,0.16,0.78
