latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.001755,-113.66727,1006.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.10,0.00,0.28,69,78,56,-7.7,2.90,12563.76,-2.8,1.2,-4.5,11.8,16.7,275,0.22,0.59
2015-01-02,0.80,0.00,0.63,74,81,60,-10.9,2.31,1568.38,-6.9,-1.5,-12.9,11.3,23.0,309,0.17,0.25
2015-01-03,1.70,0.00,1.82,73,81,63,-22.2,3.03,5017.39,-18.5,-13.9,-21.7,10.4,19.8,359,0.06,0.18
2015-01-04,0.00,0.00,0.14,74,79,61,-26.9,4.53,20245.93,-23.5,-18.7,-28.4,7.4,10.4,341,0.05,0.13
2015-01-05,1.90,0.00,1.61,75,83,65,-21.8,3.73,8545.19,-18.3,-14.5,-20.1,11.3,18.8,38,0.07,0.21
2015-01-06,6.70,0.00,4.76,77,83,68,-18.4,2.11,90.77,-15.3,-14.1,-16.4,4.7,6.8,349,0.06,0.13
2015-01-07,0.00,0.00,0.28,79,84,70,-16.0,3.02,10800.00,-13.1,0.6,-16.6,13.4,21.1,174,0.18,0.29
2015-01-08,1.00,0.00,0.91,77,88,67,-12.0,5.32,22986.10,-8.6,1.8,-15.3,17.6,28.7,340,0.18,0.36
2015-01-09,0.00,0.00,0.00,77,85,65,-26.1,4.62,22502.32,-23.1,-11.4,-28.6,7.7,10.0,213,0.09,0.18
2015-01-10,0.00,0.00,0.35,77,89,58,-12.9,3.78,22559.51,-9.7,-6.1,-13.0,8.1,13.6,345,0.12,0.27
2015-01-11,1.00,0.00,0.77,86,89,79,-15.3,5.01,24301.78,-13.4,-10.0,-18.4,5.6,9.7,242,0.06,0.21
2015-01-12,0.00,0.00,0.00,81,88,63,-17.7,5.73,24731.50,-15.1,-7.2,-21.5,9.6,12.3,228,0.13,0.26
2015-01-13,0.00,0.00,0.00,78,83,68,-14.1,5.18,25131.71,-11.0,-1.4,-16.0,11.8,15.1,260,0.17,0.40
2015-01-14,0.00,0.00,0.00,73,76,67,-6.3,5.43,22242.88,-2.0,3.6,-5.1,15.8,18.4,266,0.26,0.73
2015-01-15,0.00,0.00,0.00,75,84,62,-5.6,4.96,21807.30,-1.7,3.5,-4.4,12.2,15.3,256,0.29,0.60
2015-01-16,0.00,0.00,0.14,71,76,62,-6.2,2.62,8230.94,-1.7,2.7,-4.6,12.4,14.7,253,0.26,0.58
2015-01-17,0.00,0.00,0.00,60,70,55,-7.3,3.92,16388.79,-0.3,3.2,-2.3,18.1,22.5,260,0.32,1.10
2015-01-18,0.20,0.00,0.28,73,83,66,-6.6,2.72,2877.95,-2.4,3.8,-6.1,9.6,13.7,227,0.26,0.49
2015-01-19,0.00,0.00,0.00,58,71,52,-5.3,3.62,16854.68,2.3,3.9,0.4,13.7,21.4,269,0.39,1.09
2015-01-20,0.00,0.00,0.00,65,71,52,-9.3,6.06,24846.44,-3.6,1.9,-8.3,11.6,14.5,287,0.34,0.77
2015-01-21,0.00,0.00,0.00,63,69,57,-11.9,4.28,14086.95,-5.9,2.8,-9.9,10.5,13.0,242,0.32,0.64
2015-01-22,0.00,0.00,0.00,59,71,54,-5.3,4.40,24801.24,2.0,5.6,-0.7,19.4,23.8,268,0.42,1.33
2015-01-23,0.00,0.00,0.00,69,76,57,-6.0,4.96,22010.82,-0.9,5.8,-4.7,13.2,19.7,263,0.39,0.81
2015-01-24,0.50,0.50,0.00,71,87,50,-2.8,6.21,25165.48,2.2,7.4,-1.7,12.6,20.4,272,0.51,0.97
2015-01-25,0.00,0.00,0.00,73,87,63,-1.8,6.29,25200.00,2.6,8.2,-2.5,11.8,21.2,232,0.38,0.92
2015-01-26,0.00,0.00,0.00,82,90,61,-0.3,4.61,25433.43,2.6,9.3,-1.7,9.7,12.9,241,0.45,0.57
2015-01-27,0.00,0.00,0.00,86,95,69,-1.2,5.10,21580.71,0.9,6.9,-2.0,11.5,13.3,249,0.30,0.57
2015-01-28,0.00,0.00,0.00,86,93,67,-2.4,5.58,23882.52,-0.2,4.7,-3.8,7.6,14.0,308,0.28,0.58
