latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.291737,-79.36102,209.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,3.30,0.00,2.87,77,81,71,-10.5,3.05,323.81,-7.2,-4.7,-8.8,24.7,30.3,248,0.09,0.47
2015-01-02,0.00,0.00,0.00,75,82,64,-15.9,7.20,26698.46,-12.4,-5.5,-15.8,12.2,22.0,298,0.09,0.34
2015-01-03,1.90,0.00,1.33,80,84,74,-15.4,3.00,0.00,-12.7,-7.1,-16.3,12.5,18.7,127,0.07,0.24
2015-01-04,9.40,0.00,6.72,84,87,77,-10.1,2.22,3600.00,-7.8,-7.0,-9.4,15.2,19.0,46,0.07,0.24
2015-01-05,1.40,0.00,1.19,68,75,56,-23.5,7.69,26873.11,-19.1,-10.4,-23.7,17.0,21.6,297,0.07,0.28
2015-01-06,1.00,0.00,0.84,79,83,72,-19.2,4.94,12296.23,-16.4,-11.0,-18.9,9.8,12.6,228,0.06,0.22
2015-01-07,1.20,0.10,0.84,67,85,53,-25.1,7.28,26159.15,-20.5,-11.0,-25.6,19.0,25.9,333,0.05,0.23
2015-01-08,2.40,0.00,2.03,77,83,67,-21.9,4.03,0.00,-18.9,-10.3,-25.7,13.9,26.6,238,0.07,0.22
2015-01-09,4.80,0.00,3.50,76,85,56,-15.8,6.74,26678.81,-12.3,-10.0,-15.4,17.3,26.7,233,0.09,0.34
2015-01-10,0.90,0.00,0.63,75,83,68,-18.8,6.15,15954.47,-15.4,-10.9,-17.9,12.8,24.5,241,0.07,0.30
2015-01-11,2.20,0.00,1.68,83,90,75,-12.7,3.51,275.77,-10.4,-6.2,-12.9,13.7,19.4,217,0.07,0.25
2015-01-12,6.30,0.00,4.48,81,94,62,-11.8,6.74,22884.14,-9.1,-5.8,-17.9,12.9,20.3,341,0.08,0.30
2015-01-13,0.00,0.00,0.00,71,78,62,-25.9,8.33,28059.70,-22.0,-18.6,-24.6,8.9,18.0,311,0.05,0.23
2015-01-14,0.00,0.00,0.00,76,84,69,-20.6,5.67,16464.70,-17.4,-12.5,-19.5,11.9,16.6,189,0.05,0.25
2015-01-15,1.20,0.00,1.19,86,89,84,-11.3,3.52,0.00,-9.4,-4.7,-12.4,18.2,27.6,195,0.06,0.25
2015-01-16,2.10,0.00,1.47,70,91,57,-16.6,8.18,28438.31,-12.2,-3.0,-17.5,20.7,28.1,303,0.11,0.44
2015-01-17,0.80,0.00,0.70,72,79,63,-22.5,3.29,68.22,-18.7,-10.4,-22.3,14.0,24.4,133,0.06,0.21
2015-01-18,6.00,0.20,4.27,93,98,81,-4.5,3.21,1283.69,-3.6,-0.4,-9.5,16.7,25.8,198,0.06,0.27
2015-01-19,1.20,0.00,1.19,77,97,60,-13.3,7.98,27551.94,-9.9,-1.0,-14.4,15.8,23.1,347,0.09,0.40
2015-01-20,0.00,0.00,0.00,75,80,64,-22.6,9.05,28986.73,-19.2,-15.2,-22.4,7.7,11.8,331,0.06,0.28
2015-01-21,0.00,0.00,0.00,66,79,39,-23.3,9.10,29133.04,-18.0,-12.0,-21.5,4.8,8.6,90,0.15,0.36
2015-01-22,0.00,0.00,0.00,74,79,68,-19.2,7.14,18943.30,-15.7,-10.1,-18.2,6.7,10.7,188,0.09,0.32
2015-01-23,2.50,0.00,1.75,88,92,82,-10.6,3.92,4103.91,-9.0,-3.0,-12.7,21.0,29.2,226,0.06,0.25
2015-01-24,5.00,0.00,3.71,92,96,86,-2.6,3.45,127.36,-1.5,0.2,-2.8,17.5,24.8,241,0.08,0.30
2015-01-25,0.10,0.00,0.14,68,76,57,-19.8,9.65,29758.93,-15.3,-4.8,-19.2,16.1,26.6,348,0.10,0.45
2015-01-26,0.00,0.00,0.00,70,76,57,-23.5,9.76,29924.17,-19.3,-16.5,-22.6,8.5,12.4,65,0.07,0.31
2015-01-27,0.00,0.00,0.00,70,77,53,-23.1,10.13,30092.36,-18.9,-15.2,-21.9,12.0,14.6,51,0.09,0.36
2015-01-28,0.00,0.00,0.00,68,79,41,-22.0,10.23,30263.25,-17.3,-10.7,-20.8,7.7,9.8,336,0.16,0.45
