latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.32337,-78.57797,253.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.00,0.00,0.14,54,61,42,-14.5,3.55,2162.41,-6.6,-4.1,-8.4,23.4,27.9,235,0.21,0.98
2015-01-02,0.80,0.10,0.98,69,78,54,-10.7,6.12,27463.97,-5.7,-3.6,-7.9,14.3,23.4,278,0.18,0.64
2015-01-03,8.40,0.00,5.95,79,95,70,-10.1,1.83,0.00,-7.2,-1.5,-11.0,13.2,23.9,107,0.15,0.30
2015-01-04,16.50,14.10,1.68,96,100,82,0.6,1.41,2520.66,1.2,4.5,-2.7,12.1,25.0,179,0.12,0.21
2015-01-05,1.60,0.00,1.68,73,85,56,-14.1,6.06,25100.60,-10.1,-3.3,-14.5,18.9,24.2,289,0.11,0.43
2015-01-06,0.00,0.00,0.00,66,75,54,-18.1,5.22,17828.08,-13.0,-9.0,-15.7,14.9,20.8,238,0.14,0.47
2015-01-07,0.00,0.00,0.00,65,77,51,-21.3,7.71,28457.26,-16.3,-10.4,-24.3,20.4,24.5,295,0.11,0.37
2015-01-08,0.00,0.00,0.00,70,81,59,-21.9,5.30,12331.12,-17.6,-9.8,-28.0,18.0,26.3,235,0.12,0.40
2015-01-09,2.60,0.00,2.31,69,77,54,-15.1,6.83,27758.03,-10.4,-7.9,-11.8,21.9,29.0,244,0.15,0.58
2015-01-10,0.00,0.00,0.07,67,77,56,-18.1,7.85,27893.70,-13.2,-10.9,-15.9,20.0,24.2,241,0.12,0.51
2015-01-11,0.00,0.00,0.00,71,78,56,-14.8,7.31,27001.73,-10.4,-2.6,-15.7,14.2,20.8,223,0.22,0.62
2015-01-12,3.20,0.00,2.31,79,92,66,-7.2,4.09,8635.40,-3.9,-2.1,-7.6,12.6,18.8,260,0.17,0.49
2015-01-13,0.00,0.00,0.00,67,77,47,-23.4,8.88,29053.12,-18.5,-9.5,-25.9,9.4,18.2,358,0.10,0.34
2015-01-14,0.00,0.00,0.00,71,84,57,-18.8,7.69,29165.47,-14.7,-7.4,-21.9,6.9,9.9,105,0.13,0.43
2015-01-15,0.00,0.00,0.00,81,92,68,-14.5,4.63,14870.67,-11.8,-5.9,-17.3,10.1,20.1,205,0.13,0.34
2015-01-16,0.40,0.00,0.63,71,84,55,-13.1,9.04,29399.72,-8.8,-3.4,-15.8,19.7,25.1,286,0.12,0.56
2015-01-17,0.00,0.00,0.00,76,85,65,-20.5,6.16,19595.45,-17.3,-6.1,-26.0,14.5,22.7,116,0.12,0.35
2015-01-18,2.70,2.70,0.00,81,95,71,-1.2,2.94,4141.75,1.8,3.5,-4.7,18.3,23.0,199,0.23,0.69
2015-01-19,0.20,0.00,0.28,86,96,72,-6.3,7.03,27547.16,-4.3,-0.1,-10.1,17.0,20.2,292,0.10,0.41
2015-01-20,0.00,0.00,0.00,73,82,52,-19.0,9.86,29902.51,-15.1,-10.5,-21.5,10.3,14.6,314,0.13,0.43
2015-01-21,0.00,0.00,0.00,74,86,60,-20.0,8.11,29230.11,-16.3,-7.0,-23.7,8.3,11.0,39,0.14,0.44
2015-01-22,0.00,0.00,0.00,75,86,52,-17.5,9.25,30175.16,-13.8,-5.1,-22.0,8.5,11.8,335,0.19,0.53
2015-01-23,0.00,0.00,0.00,79,87,60,-8.8,8.78,30317.31,-5.5,-0.4,-8.8,16.2,22.5,229,0.23,0.70
2015-01-24,0.00,0.00,0.21,85,91,77,-6.4,4.36,5630.34,-4.2,-0.7,-6.7,12.2,18.8,233,0.13,0.45
2015-01-25,0.00,0.00,0.14,74,90,54,-13.3,10.49,30611.96,-9.4,-0.7,-16.3,14.9,19.5,318,0.12,0.51
2015-01-26,0.00,0.00,0.00,67,77,48,-21.3,7.64,30745.02,-16.3,-10.5,-20.2,12.8,15.9,50,0.14,0.45
2015-01-27,0.00,0.00,0.14,62,74,44,-19.3,10.16,30918.76,-13.4,-8.4,-16.1,13.4,15.2,29,0.18,0.64
2015-01-28,0.00,0.00,0.00,67,77,45,-19.1,10.83,31076.13,-14.0,-5.9,-18.9,11.3,14.0,323,0.22,0.65
2015-01-29,5.10,0.00,3.64,77,94,65,-12.1,2.33,0.00,-8.7,-2.0,-16.8,12.5,18.9,155,0.14,0.41
2015-01-30,3.30,0.00,2.31,76,96,57,-12.5,10.67,30704.12,-8.9,-2.1,-16.5,18.4,25.1,321,0.10,0.47
2015-01-31,0.00,0.00,0.00,69,80,56,-21.1,9.78,31561.31,-16.7,-6.4,-25.0,9.2,16.9,291,0.15,0.54
2015-02-01,0.00,0.00,0.14,72,90,52,-15.4,7.78,19360.97,-11.2,-6.5,-15.8,11.9,14.8,3,0.11,0.41
2015-02-02,10.20,0.00,7.21,67,73,54,-21.6,6.70,14036.46,-16.8,-13.2,-18.5,19.3,24.6,29,0.10,0.42
2015-02-03,0.00,0.00,0.21,74,82,59,-19.3,7.90,22079.30,-15.6,-6.4,-22.8,13.7,19.8,252,0.16,0.49
2015-02-04,2.40,0.00,1.96,82,91,70,-9.4,5.07,3044.68,-6.8,-2.2,-10.1,11.5,16.6,237,0.16,0.49
2015-02-05,0.00,0.00,0.28,72,84,48,-16.9,11.47,32309.34,-12.6,-6.0,-15.9,12.6,17.9,310,0.11,0.49
2015-02-06,0.60,0.00,0.77,73,80,58,-16.7,8.50,32399.53,-12.7,-4.4,-21.8,15.8,23.7,250,0.19,0.60
2015-02-07,5.20,0.00,4.06,85,91,78,-9.5,3.24,0.00,-7.4,-5.4,-9.0,8.3,15.3,269,0.09,0.32
2015-02-08,7.20,0.00,5.25,78,87,71,-14.9,2.36,0.00,-11.9,-6.9,-13.7,17.4,20.9,59,0.07,0.28
2015-02-09,0.00,0.00,0.00,73,80,65,-17.2,6.82,22668.62,-13.3,-9.4,-16.2,14.1,19.5,35,0.10,0.46
2015-02-10,0.00,0.00,0.00,74,85,56,-15.3,12.90,32760.29,-11.4,-5.3,-17.0,6.9,9.1,2,0.18,0.70
2015-02-11,1.10,0.00,0.77,75,89,63,-14.4,6.96,13366.49,-10.8,-5.0,-14.5,9.8,13.7,118,0.12,0.46
2015-02-12,0.90,0.00,0.70,77,92,55,-12.4,11.91,32550.95,-9.0,-4.2,-17.6,16.2,23.8,304,0.10,0.46
2015-02-13,0.00,0.00,0.00,65,76,47,-25.7,13.22,33037.74,-20.7,-14.9,-25.7,12.6,19.9,304,0.09,0.46
2015-02-14,2.30,0.10,1.75,74,85,54,-15.4,11.86,32507.59,-11.6,-9.1,-15.7,15.2,18.1,251,0.13,0.62
2015-02-15,0.00,0.00,0.14,65,78,50,-25.7,13.69,33460.46,-20.7,-14.2,-25.7,22.5,27.2,324,0.06,0.37
2015-02-16,0.00,0.00,0.00,59,71,39,-28.7,14.21,34274.58,-22.7,-15.2,-27.5,13.1,19.6,316,0.12,0.51
2015-02-17,0.00,0.00,0.00,63,70,47,-24.0,11.34,31870.17,-18.5,-9.8,-24.7,8.0,11.4,124,0.14,0.56
2015-02-18,0.50,0.00,0.63,73,87,46,-17.4,10.35,23531.25,-13.4,-8.1,-18.7,9.7,13.4,228,0.18,0.61
2015-02-19,0.00,0.00,0.00,71,83,53,-21.3,14.01,34413.74,-17.1,-11.1,-21.8,18.1,25.8,305,0.07,0.40
2015-02-20,0.00,0.00,0.00,64,73,46,-27.0,14.62,34942.83,-21.7,-15.2,-25.5,17.4,22.2,294,0.10,0.49
