latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.90158,-80.04544,445.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.00,0.00,0.14,59,66,45,-14.4,3.92,6617.31,-7.8,-5.1,-9.7,23.6,27.7,239,0.18,0.82
2015-01-02,0.30,0.00,0.56,64,80,42,-11.7,6.74,27839.81,-5.9,-4.3,-8.5,16.9,22.4,273,0.26,0.76
2015-01-03,10.40,0.70,6.79,80,98,62,-9.1,1.39,0.00,-6.1,-1.7,-10.0,13.0,22.1,136,0.13,0.26
2015-01-04,11.40,11.10,0.21,95,100,76,-0.0,2.39,4731.55,0.7,3.6,-3.0,9.9,23.1,247,0.15,0.27
2015-01-05,0.60,0.00,1.68,67,85,50,-15.9,5.81,26041.75,-10.8,-3.6,-15.1,23.2,26.1,279,0.11,0.52
2015-01-06,0.00,0.00,0.21,69,77,55,-18.5,5.18,19161.18,-14.0,-10.2,-16.3,15.2,20.0,241,0.13,0.42
2015-01-07,0.60,0.00,0.77,65,73,51,-20.9,6.99,27579.61,-15.7,-11.3,-19.9,20.4,23.1,304,0.09,0.39
2015-01-08,0.00,0.00,0.21,70,77,62,-19.7,5.19,13223.91,-15.5,-11.9,-20.1,20.0,26.4,244,0.09,0.38
2015-01-09,3.10,0.00,2.73,71,78,55,-16.4,6.57,26849.06,-12.1,-9.2,-14.6,21.5,27.2,243,0.13,0.50
2015-01-10,0.00,0.00,0.00,70,75,60,-19.4,6.92,27532.34,-15.1,-12.3,-17.3,20.5,24.8,244,0.09,0.42
2015-01-11,0.00,0.00,0.00,69,76,53,-15.8,7.63,27018.45,-11.0,-2.7,-16.5,15.6,20.1,224,0.23,0.65
2015-01-12,1.60,0.00,1.47,78,91,65,-8.4,3.39,4487.77,-5.0,-3.6,-9.1,13.3,19.9,277,0.16,0.44
2015-01-13,0.00,0.00,0.00,67,78,46,-22.2,9.03,29254.24,-17.3,-10.6,-23.4,10.1,18.6,9,0.12,0.42
2015-01-14,0.00,0.00,0.00,74,89,52,-18.7,8.57,29364.52,-14.9,-7.2,-19.4,6.4,9.7,173,0.16,0.47
2015-01-15,0.00,0.00,0.00,78,85,63,-14.8,5.86,22447.10,-11.6,-6.0,-15.6,13.2,20.4,232,0.14,0.40
2015-01-16,0.30,0.00,0.56,71,88,52,-12.9,8.28,29594.49,-8.4,-2.9,-14.6,19.8,23.1,296,0.13,0.57
2015-01-17,0.00,0.00,0.00,76,84,60,-17.3,5.95,24349.15,-13.9,-1.9,-22.1,13.6,21.9,164,0.13,0.40
2015-01-18,3.00,1.80,0.91,86,97,74,-0.7,4.38,12419.68,1.5,3.1,-0.6,18.9,26.6,216,0.19,0.63
2015-01-19,0.00,0.00,0.00,79,93,63,-8.2,6.78,27403.85,-5.0,-1.4,-8.9,16.0,17.7,305,0.14,0.53
2015-01-20,0.00,0.00,0.00,72,82,50,-15.5,9.42,30088.22,-11.2,-6.9,-15.7,7.6,11.2,338,0.18,0.56
2015-01-21,0.00,0.00,0.00,74,87,59,-17.0,8.10,28687.66,-13.2,-5.3,-18.5,5.7,8.6,35,0.15,0.51
2015-01-22,0.00,0.00,0.00,77,88,55,-14.6,8.47,30356.03,-11.3,-3.4,-18.1,8.2,12.5,303,0.20,0.57
2015-01-23,0.00,0.00,0.00,78,88,61,-8.7,9.28,30495.67,-5.4,-0.9,-7.7,16.8,22.5,234,0.21,0.72
2015-01-24,0.40,0.00,0.35,86,90,78,-6.4,3.98,5126.98,-4.4,-1.1,-6.8,13.9,18.9,244,0.13,0.42
