latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.60457,-79.4769,235.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.20,0.00,0.70,66,75,56,-11.6,3.45,1878.26,-6.3,-3.7,-8.3,22.0,25.4,231,0.18,0.73
2015-01-02,2.50,0.00,2.03,76,86,67,-10.4,4.14,12155.05,-6.9,-3.4,-9.3,12.8,23.8,292,0.12,0.42
2015-01-03,7.50,0.00,5.32,86,93,81,-9.7,2.19,0.00,-7.8,-2.2,-11.2,13.9,22.0,117,0.08,0.23
2015-01-04,10.20,5.00,3.71,95,99,86,-1.3,2.54,6433.53,-0.6,2.6,-4.4,11.0,21.9,45,0.07,0.23
2015-01-05,4.50,0.00,3.15,76,87,64,-14.1,5.00,6299.43,-10.6,-4.7,-14.7,20.3,26.6,293,0.09,0.38
2015-01-06,0.00,0.00,0.49,74,80,62,-15.6,5.80,19169.23,-11.9,-8.5,-13.6,17.2,22.0,225,0.12,0.42
2015-01-07,0.50,0.00,0.63,71,81,59,-20.7,7.80,27121.82,-16.6,-9.9,-22.8,19.1,21.5,308,0.08,0.30
2015-01-08,0.80,0.00,0.91,74,80,64,-19.1,5.47,4275.94,-15.4,-9.4,-23.3,17.5,23.5,221,0.11,0.38
2015-01-09,2.60,0.00,2.59,73,78,66,-15.0,6.62,25822.55,-11.1,-8.9,-12.6,19.3,24.0,236,0.10,0.48
2015-01-10,0.40,0.00,0.98,71,77,60,-16.2,7.29,26116.65,-12.0,-10.2,-13.3,20.1,22.2,234,0.11,0.49
2015-01-11,0.00,0.00,0.14,74,81,61,-14.0,7.16,25827.82,-10.1,-4.2,-13.7,13.3,20.5,201,0.16,0.52
2015-01-12,1.70,0.00,1.33,80,91,68,-7.8,5.34,16852.20,-4.9,-3.7,-9.3,12.4,19.5,268,0.14,0.43
2015-01-13,0.00,0.00,0.00,70,79,51,-22.7,9.11,28916.86,-18.5,-11.0,-22.4,8.9,17.8,5,0.08,0.33
2015-01-14,0.00,0.00,0.00,75,85,63,-19.0,8.17,29030.61,-15.6,-9.1,-19.0,7.1,11.3,114,0.12,0.41
2015-01-15,0.10,0.00,0.07,81,87,71,-13.6,5.24,16382.46,-10.9,-5.6,-13.6,10.5,17.0,180,0.11,0.34
2015-01-16,0.80,0.10,0.91,74,87,62,-12.7,8.99,29267.77,-8.9,-3.0,-15.3,20.0,27.7,299,0.12,0.50
2015-01-17,0.00,0.00,0.00,76,81,68,-18.7,6.51,17381.29,-15.3,-5.3,-20.5,15.1,26.6,131,0.10,0.33
2015-01-18,5.30,4.30,0.70,85,96,76,-1.1,4.16,6661.64,1.1,2.6,-4.4,15.3,22.1,195,0.17,0.56
2015-01-19,0.30,0.00,0.28,86,96,77,-7.3,5.79,13511.39,-5.3,0.0,-10.5,17.2,19.8,300,0.07,0.33
2015-01-20,0.00,0.00,0.00,75,83,58,-18.3,9.58,29776.74,-14.8,-11.0,-18.5,8.3,13.2,331,0.09,0.37
2015-01-21,0.00,0.00,0.00,75,84,60,-19.3,9.23,29912.66,-15.8,-10.9,-19.7,6.7,10.0,63,0.09,0.40
2015-01-22,0.00,0.00,0.00,79,86,65,-15.7,8.14,26431.49,-12.9,-6.7,-17.3,6.9,9.9,321,0.10,0.41
2015-01-23,0.00,0.00,0.00,81,89,65,-8.1,8.60,30196.55,-5.2,-0.3,-7.7,14.2,17.9,222,0.19,0.64
2015-01-24,1.10,0.00,1.12,87,92,79,-5.1,3.95,3643.24,-3.2,-0.5,-5.1,11.4,15.8,223,0.11,0.40
2015-01-25,0.40,0.00,0.49,75,93,58,-14.1,10.51,30494.71,-10.4,-0.2,-16.5,14.9,21.7,325,0.10,0.48
2015-01-26,0.00,0.00,0.00,71,79,53,-20.7,10.11,30648.51,-16.6,-11.9,-20.1,10.1,11.8,58,0.11,0.41
2015-01-27,0.00,0.00,0.00,68,77,50,-19.4,10.49,30805.13,-14.6,-10.3,-16.8,10.3,11.7,23,0.14,0.52
2015-01-28,0.00,0.00,0.00,72,80,58,-19.0,10.99,30964.33,-15.1,-10.2,-18.8,9.2,12.5,323,0.12,0.50
2015-01-29,6.50,0.00,4.55,76,92,67,-11.9,2.25,0.00,-8.5,-3.3,-12.9,13.8,22.2,150,0.10,0.39
2015-01-30,1.30,0.00,0.98,77,94,63,-13.6,10.88,31289.57,-10.4,-3.4,-16.7,20.0,24.5,321,0.08,0.41
2015-01-31,0.00,0.00,0.00,72,76,66,-20.1,9.35,28742.70,-16.2,-8.1,-20.1,8.1,14.0,239,0.11,0.45
2015-02-01,0.20,0.00,0.35,74,90,57,-15.9,7.36,9164.38,-12.1,-7.0,-16.2,12.2,14.5,12,0.09,0.37
2015-02-02,8.20,0.00,5.88,68,75,57,-21.2,8.24,17801.18,-16.6,-14.5,-18.2,16.2,18.9,20,0.08,0.42
2015-02-03,0.00,0.00,0.00,76,83,65,-17.5,9.14,26970.70,-14.1,-6.8,-18.5,12.5,17.1,237,0.13,0.50
2015-02-04,2.20,0.00,1.89,83,89,74,-9.9,7.02,13411.94,-7.5,-4.1,-9.4,11.7,16.3,221,0.11,0.50
2015-02-05,0.00,0.00,0.21,75,85,56,-16.5,12.07,32232.09,-12.8,-7.4,-15.5,12.5,17.8,310,0.09,0.45
2015-02-06,1.00,0.00,1.05,77,81,73,-14.9,7.57,27774.47,-11.7,-5.7,-16.4,14.9,23.0,242,0.11,0.49
2015-02-07,4.90,0.00,3.50,83,88,79,-10.1,3.61,0.00,-7.7,-6.0,-9.0,7.9,14.9,17,0.07,0.32
2015-02-08,6.40,0.00,4.76,79,89,71,-13.7,3.27,0.00,-10.8,-6.4,-12.8,16.6,18.0,76,0.07,0.31
2015-02-09,0.00,0.00,0.00,73,81,65,-17.7,10.10,28448.67,-13.9,-10.2,-17.0,10.9,16.3,39,0.10,0.52
2015-02-10,0.00,0.00,0.00,75,85,61,-15.2,12.87,32610.28,-11.6,-7.9,-14.8,5.9,8.7,349,0.13,0.64
2015-02-11,1.30,0.00,1.05,77,89,70,-13.3,5.43,2011.65,-10.0,-5.6,-12.6,11.3,16.8,134,0.09,0.40
2015-02-12,1.00,0.00,1.05,78,92,60,-13.8,12.47,32508.68,-10.6,-4.9,-18.1,18.3,26.8,309,0.07,0.39
2015-02-13,0.00,0.00,0.00,69,78,59,-25.1,13.44,32977.46,-20.9,-16.3,-24.8,11.0,20.5,318,0.07,0.44
2015-02-14,2.60,0.00,1.89,74,85,60,-16.9,12.44,31277.95,-13.2,-11.7,-16.5,15.8,20.2,249,0.09,0.53
2015-02-15,0.00,0.00,0.21,66,75,55,-27.0,14.14,33620.63,-22.3,-14.6,-26.5,22.9,25.0,323,0.05,0.33
2015-02-16,0.00,0.00,0.00,64,74,49,-28.7,14.31,34162.76,-23.7,-18.5,-26.9,9.1,17.1,321,0.07,0.42
2015-02-17,0.00,0.00,0.00,63,71,51,-24.5,13.32,32587.37,-19.2,-12.8,-22.3,7.7,10.4,148,0.11,0.54
2015-02-18,0.00,0.00,0.07,77,86,63,-17.5,12.25,32400.00,-14.2,-10.8,-16.9,9.9,13.3,227,0.10,0.54
2015-02-19,0.00,0.00,0.00,74,83,60,-21.7,14.43,33966.72,-18.1,-12.7,-21.9,17.9,25.8,307,0.05,0.34
2015-02-20,0.00,0.00,0.00,65,76,51,-26.9,15.38,35027.52,-22.1,-16.0,-25.2,14.3,20.3,300,0.09,0.47
2015-02-21,2.50,0.00,1.96,73,81,63,-18.4,8.64,4796.94,-14.7,-7.5,-19.3,10.4,14.5,171,0.10,0.53
2015-02-22,0.00,0.00,0.28,80,88,67,-13.6,11.41,25640.37,-10.7,-8.8,-12.5,10.3,20.7,286,0.10,0.57
2015-02-23,0.00,0.00,0.00,67,78,54,-23.3,14.93,35350.28,-18.6,-12.3,-21.9,18.9,22.9,296,0.07,0.44
2015-02-24,0.50,0.00,0.35,70,78,56,-21.2,11.76,22225.93,-16.9,-10.6,-20.5,16.6,22.7,189,0.11,0.53
2015-02-25,1.10,0.00,1.05,73,85,59,-16.2,14.66,34902.91,-12.3,-10.7,-14.9,18.2,24.4,273,0.09,0.58
2015-02-26,0.00,0.00,0.00,70,81,48,-20.8,14.32,34730.98,-16.5,-13.4,-19.1,8.1,12.6,336,0.11,0.57
2015-02-27,0.00,0.00,0.00,73,80,59,-21.5,15.77,36354.22,-17.7,-13.9,-20.9,11.8,15.7,292,0.08,0.50
2015-02-28,0.00,0.00,0.00,71,79,57,-18.3,16.88,36541.88,-14.1,-7.5,-17.2,7.8,9.4,246,0.15,0.79
2015-03-01,0.00,0.00,0.00,76,83,64,-14.5,13.24,25384.11,-11.1,-6.3,-14.3,6.5,10.5,182,0.13,0.76
2015-03-02,0.20,0.00,0.35,77,88,61,-11.2,13.26,36001.90,-7.9,-6.8,-9.1,18.6,31.1,291,0.14,0.68
2015-03-03,8.00,0.00,5.67,81,89,73,-12.9,5.85,0.00,-10.3,-6.9,-14.0,12.8,20.3,168,0.09,0.38
2015-03-04,1.10,0.00,0.91,80,92,63,-8.1,12.32,31285.87,-5.1,-3.6,-7.4,18.0,23.1,278,0.16,0.75
2015-03-05,0.00,0.00,0.07,70,82,52,-18.2,16.41,37487.33,-13.7,-8.3,-17.0,15.4,24.9,312,0.11,0.71
2015-03-06,0.00,0.00,0.00,69,79,50,-19.3,18.05,37678.69,-14.8,-7.6,-19.0,10.7,15.1,227,0.17,0.81
2015-03-07,0.40,0.00,0.49,77,85,67,-10.7,11.64,16823.66,-7.3,-2.4,-10.7,11.8,16.5,230,0.16,0.89
2015-03-08,0.00,0.00,0.42,80,92,59,-7.4,14.65,36392.15,-4.4,-2.5,-5.7,13.4,24.4,275,0.20,0.93
2015-03-09,0.70,0.00,0.56,79,94,58,-4.8,17.25,37482.59,-1.4,4.2,-4.6,12.7,17.8,265,0.35,1.45
2015-03-10,0.00,0.00,0.00,80,88,68,-2.0,15.57,36364.03,1.2,5.4,-1.7,11.9,14.2,192,0.28,1.47
2015-03-11,0.00,0.00,0.00,85,95,69,-0.7,15.30,38182.56,1.7,2.8,0.1,18.5,23.1,279,0.22,1.19
2015-03-12,0.00,0.00,0.00,69,82,50,-7.8,19.04,38831.42,-2.8,1.0,-6.1,15.7,28.2,318,0.26,1.52
2015-03-13,0.00,0.00,0.00,71,84,53,-7.5,15.37,30249.20,-2.8,3.2,-6.2,11.5,15.9,120,0.35,1.39
2015-03-14,2.80,2.70,0.07,89,97,74,-0.7,6.17,5324.22,0.9,3.6,-1.1,13.7,21.1,176,0.17,0.63
2015-03-15,0.90,0.00,0.91,84,94,69,-2.6,13.01,22122.88,-0.2,1.9,-1.6,21.1,24.9,306,0.22,1.07
2015-03-16,0.00,0.00,0.00,86,93,73,-1.5,13.31,26791.25,0.6,5.8,-2.1,8.2,12.4,200,0.24,1.34
2015-03-17,3.30,3.30,0.21,78,96,47,-3.8,18.08,35884.54,-0.1,2.7,-3.5,20.6,31.9,311,0.30,1.27
2015-03-18,0.00,0.00,0.21,70,86,46,-10.9,20.39,39602.91,-6.0,-4.1,-8.9,19.0,29.0,304,0.24,1.31
2015-03-19,0.00,0.00,0.00,66,87,28,-13.0,20.89,39792.57,-7.0,-0.9,-11.0,6.3,11.9,310,0.41,1.59
2015-03-20,0.00,0.00,0.00,66,75,52,-8.2,20.30,39600.00,-2.5,4.2,-6.1,7.5,11.8,143,0.40,1.87
2015-03-21,4.70,2.50,1.54,83,99,66,-1.9,13.74,28248.69,0.7,2.3,-2.6,15.4,29.0,266,0.20,0.99
2015-03-22,0.20,0.00,0.49,66,83,48,-14.3,21.28,40147.24,-9.1,-3.1,-13.5,18.7,25.3,313,0.15,1.06
2015-03-23,0.00,0.00,0.00,66,77,50,-17.2,22.09,40432.12,-12.0,-9.1,-15.9,12.2,18.4,325,0.14,1.06
2015-03-24,0.00,0.00,0.00,64,81,37,-15.2,22.10,40043.21,-9.0,0.3,-14.5,5.2,9.4,1,0.39,1.76
2015-03-25,3.30,3.30,0.00,76,93,62,-6.9,9.40,16266.00,-3.2,2.8,-7.4,14.1,22.8,141,0.24,0.86
2015-03-26,0.20,0.10,0.14,86,94,77,-0.7,8.43,0.00,1.5,2.9,0.0,11.9,19.5,260,0.16,0.90
2015-03-27,0.00,0.00,0.21,80,96,60,-6.7,17.23,35574.04,-3.7,0.4,-7.1,14.9,19.4,311,0.15,1.00
2015-03-28,0.00,0.00,0.00,67,80,50,-15.9,23.53,41111.21,-10.9,-6.9,-15.2,15.0,19.5,330,0.17,1.18
2015-03-29,0.00,0.00,0.00,65,79,39,-11.9,22.27,38051.33,-5.9,2.8,-10.4,13.8,23.8,218,0.41,1.81
2015-03-30,3.30,0.70,1.96,77,91,54,-2.7,19.19,39760.00,0.9,1.9,0.2,25.8,33.0,260,0.31,1.55
