latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.534267,-81.013824,179.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,3.20,0.00,2.87,70,74,62,-9.6,3.54,5756.17,-4.9,-2.4,-7.7,28.7,35.5,240,0.15,0.78
2015-01-02,1.90,0.00,1.96,66,79,56,-10.2,6.39,26346.79,-4.7,-2.5,-6.2,18.8,27.0,275,0.20,0.79
2015-01-03,10.40,0.00,7.28,80,90,70,-8.6,1.45,0.00,-5.7,-0.6,-11.4,12.7,19.3,134,0.12,0.31
2015-01-04,10.90,0.80,7.21,93,97,82,-1.7,2.31,0.00,-0.7,0.7,-3.5,9.6,17.6,354,0.09,0.24
2015-01-05,5.60,0.00,3.92,69,82,58,-14.1,5.72,22586.97,-9.4,-3.6,-12.2,25.5,28.1,281,0.11,0.57
2015-01-06,2.30,0.00,2.03,70,75,61,-14.7,3.46,4862.93,-10.3,-8.1,-11.7,17.7,25.8,233,0.13,0.45
2015-01-07,1.70,0.00,2.24,68,74,62,-18.9,6.16,24813.31,-14.2,-8.8,-18.2,22.6,27.8,319,0.11,0.42
2015-01-08,2.40,0.00,2.31,70,75,65,-15.7,3.89,575.39,-11.2,-8.7,-16.0,24.3,33.2,245,0.11,0.50
2015-01-09,5.50,0.00,4.41,72,79,62,-14.5,6.56,26542.24,-10.4,-8.9,-12.4,23.5,28.7,250,0.11,0.55
2015-01-10,2.10,0.00,2.17,66,71,60,-15.7,6.05,20699.52,-10.7,-8.0,-12.0,24.8,32.1,247,0.12,0.60
2015-01-11,0.30,0.00,0.42,72,80,61,-11.6,6.98,25200.00,-7.4,-2.4,-10.2,17.7,23.4,212,0.20,0.66
2015-01-12,1.40,0.00,1.47,79,92,69,-7.6,4.27,12818.08,-4.5,-2.8,-10.3,14.1,19.4,301,0.13,0.43
2015-01-13,0.00,0.00,0.00,72,78,60,-19.5,8.50,28951.09,-15.6,-11.5,-18.3,10.2,18.4,39,0.09,0.39
2015-01-14,0.00,0.00,0.00,75,85,69,-17.1,6.57,28471.00,-13.7,-7.2,-17.7,10.0,11.8,180,0.11,0.37
2015-01-15,0.40,0.00,0.35,82,86,76,-9.9,5.17,19700.32,-7.2,-4.0,-9.5,17.1,25.6,203,0.11,0.40
2015-01-16,2.40,0.00,2.17,72,88,60,-11.3,7.58,27680.19,-7.0,-0.8,-12.0,19.8,26.8,304,0.14,0.62
2015-01-17,0.00,0.00,0.00,72,78,61,-14.3,4.91,12639.98,-10.1,2.1,-15.5,16.7,30.7,160,0.17,0.52
2015-01-18,7.50,4.40,2.17,89,98,77,0.3,3.03,419.67,2.0,3.7,-0.3,21.4,30.6,221,0.18,0.50
2015-01-19,0.90,0.10,0.77,83,90,75,-8.2,4.87,13201.71,-5.8,-0.7,-9.5,12.9,18.2,325,0.08,0.33
2015-01-20,0.00,0.00,0.00,77,83,65,-13.9,8.04,25954.03,-10.6,-9.4,-12.2,6.2,9.4,34,0.11,0.41
2015-01-21,0.00,0.00,0.00,80,87,65,-14.3,8.45,29036.06,-11.4,-6.2,-14.6,7.2,10.0,81,0.13,0.49
2015-01-22,0.00,0.00,0.07,78,83,70,-11.1,6.28,25888.55,-7.9,-2.5,-10.6,8.3,15.1,291,0.14,0.45
2015-01-23,0.00,0.00,0.00,81,88,72,-5.9,7.44,30226.88,-3.1,0.0,-4.5,21.1,29.8,223,0.17,0.63
2015-01-24,2.10,0.00,1.96,90,95,82,-2.7,2.99,218.09,-1.2,0.6,-2.4,16.9,23.0,231,0.10,0.35
2015-01-25,0.50,0.00,0.42,76,86,66,-13.2,7.73,29176.04,-9.8,0.3,-13.8,15.1,21.5,5,0.11,0.44
2015-01-26,0.00,0.00,0.00,71,79,55,-17.6,10.32,30677.51,-13.4,-10.2,-16.3,12.5,14.3,69,0.12,0.52
2015-01-27,0.00,0.00,0.00,73,79,63,-17.4,10.11,30833.67,-13.6,-11.3,-15.6,11.2,13.9,48,0.09,0.47
2015-01-28,0.00,0.00,0.00,72,83,48,-15.8,10.54,30992.41,-11.6,-4.6,-14.7,7.5,12.6,346,0.19,0.66
2015-01-29,5.10,0.10,3.57,70,91,51,-9.3,2.35,0.00,-4.6,-1.6,-8.0,16.0,25.2,181,0.22,0.65
2015-01-30,0.40,0.00,0.63,75,89,65,-13.3,6.35,8944.22,-9.7,-2.1,-14.0,19.0,23.6,339,0.09,0.42
2015-01-31,0.00,0.00,0.21,76,80,71,-13.3,6.00,12249.90,-9.9,-3.3,-13.8,10.9,18.6,223,0.12,0.45
2015-02-01,0.20,0.00,0.56,78,86,68,-14.0,5.10,0.00,-10.9,-3.0,-15.4,16.6,19.8,29,0.09,0.32
2015-02-02,5.10,0.00,3.57,73,77,67,-19.2,10.11,28800.00,-15.4,-13.7,-17.3,17.5,22.7,32,0.06,0.45
2015-02-03,0.00,0.00,0.42,74,79,65,-14.6,6.94,20053.50,-10.8,-6.2,-16.1,16.4,24.5,239,0.13,0.53
2015-02-04,5.70,0.10,3.99,83,90,74,-8.4,4.93,1646.00,-5.9,-4.8,-6.9,12.9,16.8,250,0.11,0.43
2015-02-05,0.00,0.00,0.07,71,78,57,-16.9,10.02,31917.09,-12.6,-7.8,-15.9,11.8,16.9,319,0.12,0.55
2015-02-06,1.70,0.00,1.47,74,80,66,-12.2,5.36,2862.64,-8.3,-4.5,-12.8,21.6,27.3,245,0.15,0.61
2015-02-07,4.80,0.00,3.78,84,88,74,-8.9,3.56,0.00,-6.5,-4.9,-8.2,9.5,14.4,53,0.11,0.33
2015-02-08,4.00,0.00,3.15,83,91,77,-10.6,2.62,0.00,-8.3,-5.7,-10.7,17.4,20.6,76,0.07,0.28
2015-02-09,0.00,0.00,0.00,76,80,70,-16.4,10.30,32202.06,-13.1,-10.9,-15.5,13.8,21.0,50,0.08,0.51
2015-02-10,0.00,0.00,0.00,75,83,59,-15.3,11.95,32480.11,-11.6,-7.5,-14.5,8.5,12.1,33,0.14,0.61
2015-02-11,1.50,0.00,1.26,80,91,76,-10.5,4.00,0.00,-7.6,-2.9,-10.1,13.4,20.1,183,0.10,0.39
2015-02-12,2.00,0.10,1.47,75,90,61,-15.2,11.02,32502.42,-11.7,-2.8,-18.3,19.8,24.0,331,0.08,0.38
2015-02-13,0.00,0.00,0.07,69,74,61,-22.4,10.64,32400.00,-18.1,-11.2,-22.6,11.4,19.4,244,0.10,0.44
2015-02-14,3.50,0.00,2.87,73,82,64,-15.4,10.86,26890.72,-11.6,-8.4,-16.3,20.4,26.4,281,0.08,0.54
2015-02-15,0.00,0.00,0.28,66,71,58,-27.9,12.87,33760.20,-23.3,-17.3,-26.5,19.0,27.4,352,0.05,0.32
2015-02-16,0.00,0.00,0.00,66,75,52,-26.4,11.64,34026.98,-21.8,-14.1,-27.4,7.2,11.2,43,0.08,0.40
2015-02-17,0.00,0.00,0.07,69,79,52,-20.7,11.30,30125.32,-16.3,-10.0,-20.0,11.0,18.4,195,0.13,0.52
2015-02-18,0.30,0.00,0.98,76,86,58,-15.9,9.64,26104.85,-12.4,-10.5,-14.6,10.9,16.6,234,0.12,0.51
2015-02-19,0.00,0.00,0.00,69,79,57,-22.4,13.07,33157.80,-18.1,-12.9,-21.4,14.0,19.6,329,0.07,0.35
2015-02-20,0.00,0.00,0.00,63,72,47,-26.5,14.52,34688.07,-21.2,-15.8,-24.7,11.4,17.3,267,0.09,0.46
2015-02-21,1.20,0.00,0.91,69,79,62,-16.8,9.81,21170.73,-12.2,-6.7,-17.9,13.6,20.3,199,0.12,0.71
2015-02-22,0.60,0.00,0.91,80,89,64,-12.3,10.18,34184.83,-9.4,-7.5,-12.6,10.7,21.1,278,0.10,0.49
2015-02-23,0.00,0.00,0.00,66,73,54,-23.9,13.80,34930.84,-19.1,-13.6,-22.6,17.2,22.5,294,0.07,0.45
2015-02-24,0.60,0.00,0.49,68,76,52,-19.3,11.53,25895.01,-14.6,-9.7,-18.4,25.2,32.9,207,0.13,0.62
2015-02-25,1.80,0.00,1.75,72,85,57,-16.6,14.15,34508.98,-12.5,-9.1,-14.9,20.2,24.7,277,0.09,0.59
2015-02-26,0.00,0.00,0.00,72,82,59,-20.5,13.10,34778.58,-16.6,-14.9,-18.3,8.2,13.0,355,0.08,0.46
2015-02-27,0.00,0.00,0.00,71,81,59,-21.4,15.64,36367.71,-17.3,-12.8,-20.6,11.4,17.0,272,0.09,0.54
2015-02-28,0.00,0.00,0.00,72,81,58,-16.7,16.31,36554.88,-12.6,-7.2,-15.7,15.3,20.0,223,0.15,0.79
2015-03-01,0.00,0.00,0.00,72,78,64,-13.9,11.79,30136.07,-9.8,-5.7,-13.1,12.5,16.3,208,0.14,0.76
