latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.377853,-80.0,204.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,6.30,0.00,4.48,74,81,68,-9.3,2.48,0.00,-5.3,-3.1,-8.4,33.1,37.4,250,0.14,0.67
2015-01-02,0.80,0.00,1.40,74,82,65,-12.2,5.81,26424.91,-8.5,-3.8,-12.1,16.6,31.3,307,0.12,0.50
2015-01-03,4.50,0.00,3.29,85,89,81,-10.4,1.74,0.00,-8.3,-4.1,-10.8,17.0,25.3,121,0.07,0.24
2015-01-04,11.40,0.00,7.98,90,94,81,-5.0,2.20,4798.64,-3.5,-1.6,-7.0,13.5,20.0,40,0.08,0.21
2015-01-05,2.70,0.00,2.45,74,84,65,-17.2,6.02,24682.69,-13.6,-7.2,-17.8,22.2,26.6,309,0.07,0.36
2015-01-06,3.80,0.00,2.87,72,78,65,-13.8,3.64,5133.07,-9.6,-7.5,-11.7,20.0,29.0,254,0.12,0.47
2015-01-07,2.70,0.00,1.96,71,84,58,-21.9,6.60,26814.67,-17.8,-8.4,-23.8,23.5,28.2,333,0.07,0.28
2015-01-08,3.40,0.00,2.59,74,78,69,-17.1,3.23,0.00,-13.3,-7.6,-22.7,21.5,32.6,253,0.10,0.40
2015-01-09,5.50,0.00,4.41,74,80,63,-14.6,6.70,27485.45,-10.9,-10.1,-12.4,23.2,30.9,250,0.09,0.47
2015-01-10,4.00,0.00,2.87,71,76,62,-15.1,5.00,19500.66,-10.8,-8.1,-12.6,24.3,33.4,262,0.12,0.52
2015-01-11,0.90,0.00,1.12,76,82,69,-10.0,4.04,11649.55,-6.5,-3.5,-7.9,21.4,26.9,225,0.11,0.54
2015-01-12,1.40,0.00,1.47,82,93,67,-8.3,6.46,23114.27,-5.6,-3.3,-13.8,15.9,21.7,314,0.12,0.41
2015-01-13,0.00,0.00,0.00,69,78,54,-24.1,8.41,28532.69,-19.8,-15.3,-23.1,10.3,21.6,28,0.08,0.33
2015-01-14,0.00,0.00,0.00,76,85,64,-18.5,6.05,22133.89,-15.3,-9.6,-18.5,10.9,14.5,154,0.08,0.32
2015-01-15,1.30,0.00,1.75,84,87,81,-9.8,3.56,2279.19,-7.5,-4.2,-9.8,16.9,24.5,200,0.08,0.30
2015-01-16,2.10,0.00,1.61,73,90,60,-13.9,8.50,28895.91,-9.9,-1.8,-15.9,23.0,30.9,307,0.12,0.50
2015-01-17,0.00,0.00,0.21,73,79,68,-19.5,4.47,3016.48,-15.7,-6.0,-19.8,19.0,30.8,127,0.09,0.32
2015-01-18,10.10,3.90,4.34,92,99,81,-1.1,2.43,0.00,0.0,1.7,-5.1,17.8,27.5,206,0.10,0.30
2015-01-19,0.20,0.00,0.28,81,96,67,-10.2,7.23,27295.96,-7.4,-0.5,-12.5,16.0,21.0,330,0.09,0.39
2015-01-20,0.00,0.00,0.00,74,81,58,-20.7,9.25,29422.43,-17.1,-13.2,-20.9,8.4,11.0,354,0.08,0.32
2015-01-21,0.00,0.00,0.00,70,78,50,-21.2,9.37,29562.97,-16.9,-12.3,-19.9,7.8,10.1,71,0.11,0.40
2015-01-22,0.00,0.00,0.00,75,85,50,-17.3,7.17,29579.71,-13.8,-7.6,-17.1,6.7,13.4,346,0.12,0.36
2015-01-23,0.00,0.00,0.00,85,90,81,-6.9,5.45,19235.15,-4.8,-0.9,-8.2,21.5,31.6,234,0.11,0.44
2015-01-24,4.30,0.00,3.08,92,96,82,-2.0,2.36,0.00,-0.9,0.2,-1.6,18.4,24.2,239,0.10,0.28
2015-01-25,0.50,0.00,0.42,71,94,55,-16.7,9.89,30164.55,-12.5,-0.2,-17.8,17.8,25.2,353,0.11,0.49
2015-01-26,0.00,0.00,0.00,70,77,50,-21.8,10.08,30323.45,-17.4,-12.5,-21.0,11.2,13.0,66,0.12,0.42
2015-01-27,0.00,0.00,0.00,68,78,48,-20.9,10.30,30485.23,-16.2,-12.0,-19.3,12.3,14.5,42,0.13,0.47
2015-01-28,0.00,0.00,0.00,69,78,39,-20.4,10.44,30649.65,-15.8,-9.6,-19.2,8.0,13.0,357,0.18,0.52
2015-01-29,6.00,0.00,4.48,74,93,63,-12.7,2.53,0.00,-8.9,-4.3,-13.5,15.5,27.3,147,0.11,0.44
2015-01-30,0.50,0.00,0.35,74,94,57,-16.3,10.18,30985.45,-12.5,-4.3,-18.0,21.1,27.1,340,0.07,0.41
2015-01-31,0.40,0.10,0.35,73,86,69,-19.9,7.42,22427.59,-16.2,-7.4,-20.0,9.7,15.0,157,0.08,0.37
2015-02-01,0.30,0.00,0.21,71,89,52,-19.2,7.07,12119.98,-15.1,-6.4,-20.6,17.2,21.5,19,0.08,0.34
2015-02-02,1.40,0.00,1.19,64,73,52,-23.5,10.32,28583.16,-18.4,-16.1,-20.2,16.3,19.9,27,0.08,0.44
2015-02-03,2.10,0.00,1.54,78,86,70,-17.0,5.76,18173.27,-14.0,-7.6,-18.6,13.1,19.1,243,0.10,0.36
2015-02-04,4.60,0.00,3.22,84,93,70,-10.1,6.39,1992.45,-7.7,-6.6,-8.3,9.1,15.3,285,0.11,0.43
2015-02-05,0.00,0.00,0.14,74,84,55,-18.1,11.75,31965.40,-14.4,-8.6,-18.3,12.4,17.3,323,0.08,0.44
2015-02-06,1.40,0.00,1.12,78,84,69,-13.9,9.73,32049.63,-10.9,-7.2,-16.0,18.8,23.2,252,0.10,0.55
2015-02-07,3.40,0.00,2.52,77,84,66,-13.5,4.77,310.81,-10.3,-8.2,-12.1,11.1,19.9,12,0.11,0.39
2015-02-08,6.40,0.00,4.69,74,83,64,-15.5,4.16,1389.10,-11.8,-9.5,-13.2,18.6,20.3,70,0.09,0.38
2015-02-09,0.00,0.00,0.00,70,79,61,-19.1,11.84,32308.57,-14.8,-10.9,-18.2,12.1,19.1,46,0.10,0.57
2015-02-10,0.00,0.00,0.00,72,81,53,-17.3,12.14,32656.10,-13.1,-8.8,-16.4,7.5,9.1,18,0.15,0.58
2015-02-11,2.00,0.00,1.40,78,91,73,-13.4,4.37,0.00,-10.3,-6.0,-12.5,13.6,19.9,137,0.08,0.38
2015-02-12,0.90,0.00,0.84,74,93,54,-16.6,12.26,32510.44,-12.8,-5.1,-18.7,21.0,25.7,336,0.07,0.39
2015-02-13,0.00,0.00,0.00,68,75,57,-26.3,12.12,32503.08,-22.0,-18.0,-25.4,11.2,19.3,339,0.05,0.37
2015-02-14,3.20,0.00,2.59,74,87,57,-17.6,11.12,27698.56,-13.9,-11.7,-17.4,18.6,29.4,279,0.10,0.49
2015-02-15,0.00,0.00,0.00,63,70,49,-29.1,13.63,33399.18,-23.9,-17.7,-27.9,23.2,30.5,347,0.05,0.33
2015-02-16,0.00,0.00,0.00,64,73,41,-28.9,13.41,33813.76,-23.9,-20.0,-26.9,7.2,14.6,337,0.07,0.39
2015-02-17,0.00,0.00,0.14,62,70,50,-24.4,11.85,29756.32,-18.9,-13.5,-21.5,8.8,12.1,157,0.10,0.50
2015-02-18,0.00,0.00,0.84,77,88,56,-16.5,10.45,27140.51,-13.2,-11.1,-14.9,8.7,13.6,229,0.12,0.48
2015-02-19,0.00,0.00,0.00,71,81,55,-23.2,13.87,34171.03,-19.1,-13.2,-22.6,17.9,22.5,325,0.05,0.35
2015-02-20,0.00,0.00,0.00,67,74,52,-27.6,14.82,34815.84,-23.1,-19.2,-26.2,13.0,18.9,300,0.05,0.40
2015-02-21,1.20,0.00,0.91,73,80,68,-19.3,10.85,26447.46,-15.5,-9.7,-19.9,10.8,15.5,161,0.08,0.58
2015-02-22,0.00,0.00,0.00,78,89,65,-14.4,12.22,33825.92,-11.3,-10.4,-12.6,12.5,22.8,264,0.09,0.51
2015-02-23,0.00,0.00,0.00,66,77,56,-24.1,14.16,35424.68,-19.4,-13.5,-22.7,20.1,25.5,292,0.06,0.42
2015-02-24,1.30,0.00,0.91,70,78,56,-19.9,10.99,18624.40,-15.7,-10.3,-19.4,21.1,26.1,207,0.12,0.54
2015-02-25,1.60,0.00,1.33,73,87,56,-16.4,14.26,34360.94,-12.5,-9.7,-15.7,19.3,23.0,279,0.09,0.55
2015-02-26,0.00,0.00,0.00,67,79,47,-22.2,15.51,36009.46,-17.4,-15.0,-20.7,9.6,12.8,335,0.10,0.55
2015-02-27,0.00,0.00,0.00,73,79,64,-21.9,15.12,36203.27,-18.2,-14.7,-20.9,13.2,17.9,272,0.07,0.46
2015-02-28,0.00,0.00,0.00,77,83,68,-17.1,15.50,36396.29,-14.0,-9.8,-16.2,13.8,15.6,233,0.09,0.64
2015-03-01,0.00,0.00,0.00,75,82,64,-14.8,14.14,34849.86,-11.1,-8.0,-13.9,9.7,11.0,198,0.12,0.73
2015-03-02,0.40,0.00,0.49,79,89,59,-11.2,14.22,36782.39,-8.1,-6.9,-9.1,20.4,28.7,276,0.15,0.70
2015-03-03,6.30,0.00,4.41,80,87,69,-12.8,6.52,1724.36,-10.0,-7.2,-13.0,14.6,22.8,172,0.09,0.41
2015-03-04,1.60,0.00,1.26,79,90,64,-9.8,11.94,32826.25,-6.7,-5.0,-9.7,22.8,27.9,269,0.12,0.66
2015-03-05,0.00,0.00,0.00,68,80,51,-19.5,17.06,36079.10,-14.9,-10.4,-17.9,16.8,29.8,303,0.10,0.73
2015-03-06,0.00,0.00,0.00,73,81,60,-18.4,17.14,37565.33,-14.6,-8.8,-17.8,15.1,20.7,226,0.13,0.69
2015-03-07,0.20,0.00,0.42,82,89,71,-10.1,9.89,21441.93,-7.4,-3.8,-9.7,16.4,23.4,229,0.10,0.72
2015-03-08,0.40,0.00,0.77,84,94,68,-7.3,12.76,29160.87,-4.8,-4.0,-5.7,15.1,22.5,259,0.15,0.81
2015-03-09,1.30,0.00,0.91,84,92,73,-5.3,16.44,38157.64,-3.0,1.8,-6.1,14.8,22.4,250,0.16,1.08
2015-03-10,0.00,0.00,0.00,83,90,72,-1.2,15.57,36138.16,1.4,4.7,-0.5,14.9,17.2,209,0.24,1.37
2015-03-11,0.00,0.00,0.00,87,96,72,-0.8,15.38,38552.92,1.3,2.1,-0.1,20.4,27.8,272,0.20,1.15
2015-03-12,0.00,0.00,0.00,68,83,52,-8.9,18.51,38750.28,-3.8,0.8,-7.7,15.2,30.2,330,0.23,1.47
2015-03-13,0.00,0.00,0.00,68,80,53,-8.1,12.53,23554.89,-2.8,3.1,-6.1,13.8,19.4,125,0.34,1.30
2015-03-14,6.90,5.40,1.05,88,97,70,-1.1,5.31,2375.07,0.7,2.5,-0.8,16.7,22.4,174,0.20,0.60
2015-03-15,1.50,0.00,1.19,83,96,65,-3.0,14.88,30183.61,-0.3,2.4,-2.2,19.3,25.0,319,0.25,1.27
2015-03-16,0.00,0.00,0.00,88,94,80,-1.3,12.37,22478.09,0.4,3.6,-1.6,10.4,13.9,199,0.16,1.13
2015-03-17,4.20,3.80,0.49,76,95,51,-4.5,17.37,39583.23,-0.6,1.4,-3.3,21.8,30.8,312,0.26,1.25
2015-03-18,0.10,0.00,0.28,73,87,51,-10.7,18.95,39606.80,-6.5,-4.0,-9.6,16.7,27.6,301,0.21,1.19
2015-03-19,0.00,0.00,0.00,70,83,41,-12.6,20.34,39405.86,-7.8,-4.1,-11.7,7.1,13.0,299,0.23,1.36
2015-03-20,0.00,0.00,0.00,66,76,48,-9.1,19.18,36090.09,-3.5,2.4,-7.0,9.3,14.2,151,0.37,1.68
2015-03-21,6.60,0.60,4.20,80,99,61,-3.4,13.28,23116.02,-0.1,1.2,-3.1,15.0,24.5,277,0.24,1.03
2015-03-22,0.30,0.00,0.35,67,78,52,-15.3,19.90,39960.88,-10.2,-3.8,-14.5,17.2,25.7,310,0.13,0.97
2015-03-23,0.00,0.00,0.00,65,79,48,-18.2,21.72,40141.32,-12.9,-9.3,-17.1,11.6,20.3,333,0.15,1.04
2015-03-24,0.00,0.00,0.00,67,81,36,-15.7,21.84,40395.27,-10.2,-3.5,-14.8,5.2,8.0,329,0.26,1.44
2015-03-25,6.40,5.10,0.91,74,93,57,-8.0,10.42,18290.04,-4.0,2.4,-8.1,17.1,25.9,139,0.26,0.93
2015-03-26,0.30,0.20,0.07,87,93,79,-0.8,9.93,2909.95,1.1,2.3,0.0,18.1,27.1,252,0.14,0.95
2015-03-27,0.30,0.00,0.56,72,95,50,-11.0,21.71,39600.00,-6.6,-0.1,-10.9,18.2,23.0,352,0.16,1.08
2015-03-28,0.00,0.00,0.00,68,79,50,-16.8,23.17,41365.48,-11.9,-7.1,-16.2,12.9,15.6,336,0.17,1.17
2015-03-29,0.00,0.00,0.00,68,83,45,-11.2,21.73,36921.49,-5.8,3.0,-10.0,15.4,25.8,216,0.40,1.71
2015-03-30,7.00,0.20,4.90,82,96,55,-2.1,19.12,38632.89,0.7,1.9,-0.2,26.4,32.0,255,0.31,1.45
2015-03-31,0.00,0.00,0.00,75,92,48,-7.0,23.10,41846.29,-2.8,0.2,-6.8,11.3,19.0,339,0.31,1.71
2015-04-01,0.00,0.00,0.00,73,89,40,-7.8,23.23,41888.33,-3.4,3.1,-7.7,7.0,11.0,286,0.46,1.88
2015-04-02,5.70,5.60,0.07,74,94,57,-1.2,14.34,26130.13,3.0,8.8,-0.1,17.0,22.6,177,0.49,1.75
2015-04-03,1.20,1.20,0.00,90,98,75,0.3,19.60,30865.04,1.9,4.1,0.1,13.3,17.1,261,0.21,1.69
2015-04-04,0.20,0.00,0.35,71,93,50,-7.5,22.01,38176.27,-2.7,0.9,-6.9,16.0,21.6,320,0.24,1.59
2015-04-05,0.00,0.00,0.00,68,81,53,-9.1,23.44,42051.16,-3.9,-1.2,-6.9,14.6,23.4,272,0.26,1.81
2015-04-06,2.90,0.00,2.10,82,89,76,-5.7,8.26,1452.29,-3.0,0.5,-5.3,6.6,8.9,60,0.14,0.77
2015-04-07,0.10,0.00,0.21,66,89,37,-6.2,24.36,42104.27,0.2,5.1,-3.8,9.9,13.1,64,0.55,2.42
2015-04-08,2.50,1.00,1.05,64,81,44,-5.7,12.45,22412.10,0.5,4.8,-1.8,18.2,23.0,80,0.48,1.67
