latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.79965,-77.061615,125.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.70,0.00,0.91,63,71,51,-12.4,2.80,2399.44,-6.4,-3.1,-8.4,18.9,27.5,220,0.21,0.72
2015-01-02,0.50,0.00,0.42,60,74,38,-16.2,7.10,27281.09,-9.7,-4.2,-14.0,13.2,17.6,287,0.17,0.57
2015-01-03,3.50,0.00,2.45,67,81,53,-18.1,2.88,399.37,-13.2,-9.1,-17.1,9.4,14.9,112,0.14,0.31
2015-01-04,17.50,4.30,9.24,88,93,83,-8.0,0.79,0.00,-6.4,-3.1,-9.8,9.1,16.3,55,0.06,0.17
2015-01-05,0.60,0.00,0.49,68,83,50,-20.6,7.50,27397.31,-15.9,-7.2,-21.0,16.9,19.8,287,0.07,0.32
2015-01-06,0.40,0.00,0.49,75,84,66,-20.7,4.23,5388.95,-17.3,-9.4,-22.3,10.6,18.4,212,0.10,0.27
2015-01-07,0.20,0.00,0.56,67,82,51,-22.5,7.15,26791.20,-17.7,-9.9,-25.6,17.6,22.8,301,0.08,0.27
2015-01-08,0.00,0.00,0.28,71,79,65,-25.0,4.40,10464.13,-21.2,-10.1,-27.9,10.6,19.0,209,0.10,0.26
2015-01-09,2.20,0.00,1.82,68,74,56,-15.4,6.72,25392.76,-10.5,-8.5,-13.2,16.7,21.9,234,0.14,0.54
2015-01-10,0.00,0.00,0.28,73,82,58,-18.2,6.26,23436.74,-14.3,-9.4,-16.9,12.2,19.0,226,0.13,0.37
2015-01-11,0.00,0.00,0.00,74,85,57,-13.9,6.29,25179.12,-10.0,-5.3,-12.6,13.2,19.4,208,0.17,0.48
2015-01-12,2.00,0.00,1.61,79,90,63,-9.1,4.06,9288.86,-6.1,-4.1,-13.0,11.1,18.8,278,0.14,0.36
2015-01-13,0.00,0.00,0.00,67,76,46,-26.0,8.20,28251.01,-21.3,-14.8,-26.3,8.8,17.6,320,0.09,0.29
2015-01-14,0.00,0.00,0.00,71,78,58,-23.4,7.55,28260.73,-19.5,-11.7,-24.2,7.2,10.5,156,0.10,0.32
2015-01-15,0.20,0.00,0.21,77,82,64,-17.2,4.52,12161.33,-13.9,-6.3,-18.0,9.1,15.0,169,0.14,0.32
2015-01-16,1.20,0.00,0.91,68,81,52,-15.8,8.02,28687.24,-11.0,-4.6,-17.3,18.5,23.2,290,0.11,0.47
2015-01-17,0.20,0.00,0.14,68,78,53,-25.0,4.93,14829.17,-20.6,-14.6,-25.2,10.7,18.6,124,0.08,0.24
2015-01-18,2.60,2.00,0.42,79,95,61,-5.4,3.20,4890.08,-2.2,3.4,-13.7,14.6,18.3,164,0.15,0.56
2015-01-19,2.00,0.30,1.33,82,97,62,-7.9,6.27,21792.87,-5.3,0.4,-12.9,13.5,18.1,305,0.11,0.39
2015-01-20,0.00,0.00,0.00,74,82,56,-21.1,8.82,29223.70,-17.4,-13.7,-21.2,11.9,14.9,301,0.09,0.33
2015-01-21,0.00,0.00,0.00,69,80,45,-22.8,8.96,29366.86,-18.2,-10.6,-23.6,5.2,10.6,319,0.15,0.39
2015-01-22,0.00,0.00,0.00,69,81,44,-21.0,8.36,29411.68,-16.4,-6.4,-22.4,4.0,8.3,262,0.19,0.43
2015-01-23,0.60,0.00,0.42,79,88,66,-11.7,3.52,6409.69,-8.6,-1.7,-13.9,13.1,17.5,220,0.18,0.41
2015-01-24,2.40,0.00,2.03,81,89,72,-4.1,4.51,8034.38,-1.3,0.8,-2.8,11.8,14.9,220,0.17,0.53
2015-01-25,0.50,0.00,0.56,70,90,51,-16.8,9.55,29979.49,-12.4,-0.5,-18.1,16.2,21.5,315,0.10,0.45
2015-01-26,0.00,0.00,0.00,71,80,54,-23.8,9.61,30141.27,-19.8,-14.9,-24.1,7.0,10.5,11,0.09,0.32
2015-01-27,0.00,0.00,0.00,66,75,47,-22.7,9.89,30305.96,-17.8,-12.4,-21.3,10.7,12.1,19,0.13,0.42
2015-01-28,0.00,0.00,0.00,68,78,48,-21.2,10.09,30473.33,-16.4,-8.3,-20.7,9.8,12.6,313,0.17,0.47
2015-01-29,6.30,0.00,4.48,75,86,65,-17.0,2.38,0.00,-13.5,-6.7,-18.8,9.4,15.5,148,0.09,0.26
2015-01-30,4.50,0.00,3.22,73,93,51,-15.4,10.05,30815.10,-11.4,-6.0,-17.8,15.9,22.0,326,0.09,0.42
2015-01-31,0.00,0.00,0.00,66,77,45,-25.1,10.35,30989.02,-20.1,-13.1,-25.5,8.2,16.6,304,0.12,0.43
2015-02-01,0.20,0.00,0.28,68,86,48,-22.8,10.04,27700.47,-18.1,-12.9,-22.5,11.0,16.3,333,0.07,0.32
2015-02-02,1.80,0.00,1.54,63,71,51,-25.8,5.99,13428.07,-20.6,-16.5,-22.5,10.2,11.9,20,0.08,0.28
2015-02-03,0.00,0.00,0.35,70,76,53,-22.6,8.28,23185.22,-18.3,-8.3,-24.0,9.6,17.6,247,0.16,0.43
2015-02-04,3.40,0.00,2.38,82,88,70,-11.5,5.53,527.75,-8.9,-5.2,-11.1,8.1,11.2,218,0.12,0.42
2015-02-05,0.10,0.00,0.21,69,80,47,-20.3,11.47,31735.27,-15.8,-7.5,-21.1,11.5,14.9,316,0.09,0.41
2015-02-06,0.50,0.00,0.49,70,80,51,-20.1,7.31,26979.16,-15.7,-7.7,-21.2,10.2,17.5,229,0.17,0.46
2015-02-07,0.30,0.00,0.49,71,80,54,-18.3,8.61,26113.90,-14.1,-10.2,-16.8,6.4,9.7,338,0.11,0.42
2015-02-08,5.00,0.00,3.71,68,74,59,-20.1,4.06,3077.78,-15.5,-13.5,-17.2,12.6,14.9,55,0.08,0.32
2015-02-09,0.00,0.00,0.00,70,77,61,-20.4,8.56,28451.40,-16.2,-11.8,-19.6,10.0,13.4,40,0.09,0.43
2015-02-10,0.00,0.00,0.00,70,83,46,-17.8,12.07,32568.12,-13.3,-8.7,-17.8,6.9,9.4,332,0.17,0.58
2015-02-11,0.80,0.00,0.63,71,80,53,-18.4,7.21,14932.53,-14.2,-9.5,-18.5,9.7,11.5,86,0.13,0.42
2015-02-12,2.90,0.00,2.24,74,89,54,-16.5,10.60,31326.37,-12.6,-9.9,-17.7,13.7,21.0,329,0.09,0.40
2015-02-13,0.00,0.00,0.00,62,75,41,-28.2,12.88,33315.44,-22.7,-18.2,-27.3,12.3,19.2,309,0.09,0.37
2015-02-14,2.90,0.00,2.17,74,82,61,-19.6,7.38,12077.42,-16.0,-11.1,-20.6,10.8,13.8,116,0.09,0.40
2015-02-15,0.50,0.00,0.49,63,77,47,-25.7,13.20,33222.50,-20.4,-12.4,-26.2,19.7,24.1,334,0.06,0.36
2015-02-16,0.00,0.00,0.00,60,73,43,-29.1,13.39,33689.28,-23.4,-17.7,-27.4,13.0,19.5,309,0.08,0.41
2015-02-17,0.00,0.00,0.00,60,77,33,-26.5,12.25,32978.01,-20.3,-12.9,-26.0,3.7,7.7,152,0.15,0.51
2015-02-18,1.10,0.00,0.98,74,82,58,-19.5,8.60,19600.05,-15.9,-7.7,-21.0,8.2,11.6,150,0.14,0.41
2015-02-19,0.30,0.00,0.28,71,85,50,-20.7,11.46,32400.00,-16.5,-11.1,-19.6,16.3,20.6,305,0.08,0.37
2015-02-20,0.00,0.00,0.07,61,73,42,-26.5,14.47,34532.12,-20.8,-15.8,-24.6,16.1,19.3,299,0.10,0.49
2015-02-21,2.90,0.00,2.10,72,83,63,-20.0,7.86,10435.93,-16.1,-9.6,-20.8,10.0,13.4,165,0.10,0.44
2015-02-22,0.10,0.00,0.14,75,89,46,-14.7,11.93,32067.51,-10.8,-5.2,-15.5,8.8,18.0,244,0.23,0.73
2015-02-23,0.00,0.00,0.28,61,74,41,-24.3,14.56,35305.82,-18.4,-8.2,-24.3,15.1,17.9,299,0.10,0.46
2015-02-24,0.00,0.00,0.07,67,77,50,-22.9,10.13,23993.98,-18.2,-9.8,-23.0,14.9,23.1,190,0.14,0.51
2015-02-25,0.40,0.00,0.42,68,85,45,-17.4,14.54,33557.07,-12.4,-10.4,-14.9,13.5,19.4,254,0.13,0.65
2015-02-26,0.00,0.00,0.00,66,80,45,-23.8,15.48,35166.32,-18.8,-15.1,-23.7,6.8,8.7,319,0.10,0.54
2015-02-27,0.00,0.00,0.00,63,72,45,-24.2,15.87,36118.86,-18.7,-12.1,-23.5,9.3,12.3,271,0.13,0.59
2015-02-28,0.00,0.00,0.00,69,79,47,-18.7,15.92,36314.88,-14.0,-6.9,-18.1,11.8,15.1,242,0.19,0.81
2015-03-01,0.00,0.00,0.00,73,84,51,-15.2,13.85,31099.82,-11.1,-4.8,-15.7,9.0,13.1,198,0.21,0.82
2015-03-02,0.10,0.00,0.28,70,87,44,-12.5,12.84,33997.93,-7.6,-5.0,-10.1,15.0,25.1,282,0.23,0.86
2015-03-03,2.80,0.00,1.96,73,86,52,-15.3,10.78,20819.70,-11.2,-6.3,-16.9,10.2,16.9,189,0.18,0.66
