latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.88576,-76.20743,140.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.50,0.00,0.49,53,63,44,-13.7,3.06,8546.31,-5.7,-2.8,-7.5,20.6,28.4,229,0.23,0.97
2015-01-02,0.40,0.00,0.42,53,72,31,-13.9,7.35,27764.56,-5.6,-3.6,-8.1,15.2,20.6,271,0.28,0.92
2015-01-03,3.40,0.00,2.52,62,84,47,-15.1,3.18,2194.41,-9.1,-5.4,-11.8,9.1,14.4,86,0.21,0.44
2015-01-04,23.70,11.80,8.33,96,100,89,-0.0,0.67,0.00,0.5,4.3,-5.2,9.6,21.4,110,0.06,0.16
2015-01-05,0.90,0.20,0.56,68,93,46,-15.4,8.11,27863.86,-10.5,1.3,-17.6,17.6,24.1,282,0.11,0.44
2015-01-06,0.00,0.00,0.21,72,80,57,-18.1,4.98,10364.67,-14.0,-8.4,-17.7,12.7,17.6,232,0.14,0.38
2015-01-07,0.00,0.00,0.56,67,77,52,-20.3,7.48,27934.34,-15.6,-10.0,-24.0,18.1,24.1,292,0.08,0.33
2015-01-08,0.00,0.00,0.28,68,78,60,-23.7,5.01,16264.57,-19.2,-8.9,-26.7,13.6,20.9,230,0.12,0.35
2015-01-09,2.90,0.00,2.24,67,76,48,-13.7,6.24,21587.87,-8.5,-6.5,-9.6,19.2,25.5,231,0.19,0.64
2015-01-10,0.00,0.00,0.00,72,82,55,-17.2,7.96,27882.21,-13.1,-9.1,-15.6,15.1,19.3,236,0.14,0.46
2015-01-11,0.00,0.00,0.00,74,84,58,-13.6,5.91,24581.49,-9.7,-2.7,-14.1,15.3,19.8,220,0.21,0.54
2015-01-12,3.40,0.00,2.45,82,92,71,-6.3,2.97,0.00,-3.7,-1.6,-6.8,11.7,20.1,251,0.13,0.39
2015-01-13,0.00,0.00,0.00,67,77,44,-24.0,8.55,28698.62,-19.3,-9.1,-25.6,10.9,21.0,340,0.09,0.34
2015-01-14,0.00,0.00,0.00,66,79,54,-21.8,8.54,28863.97,-16.8,-10.8,-20.3,6.1,8.0,177,0.11,0.40
