latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.869946,-77.32596,146.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,3.00,0.00,2.73,67,77,55,-11.6,2.66,0.00,-6.4,-3.0,-8.6,16.5,22.8,221,0.19,0.60
2015-01-02,0.20,0.00,0.21,65,77,46,-15.8,6.99,27223.02,-10.4,-4.1,-14.8,13.0,18.7,290,0.14,0.48
2015-01-03,3.00,0.00,2.17,71,82,60,-17.9,2.95,98.61,-13.8,-9.6,-17.5,9.8,15.3,106,0.11,0.28
2015-01-04,15.60,0.80,10.43,88,90,83,-8.6,1.03,0.00,-6.9,-3.8,-9.9,10.1,16.0,49,0.07,0.17
2015-01-05,0.70,0.00,0.49,67,81,51,-21.2,7.37,27328.80,-16.5,-7.6,-21.3,17.0,19.8,290,0.07,0.31
2015-01-06,0.80,0.00,0.63,76,84,67,-21.3,4.19,5278.61,-18.0,-9.5,-23.4,10.2,17.0,213,0.10,0.26
2015-01-07,1.60,0.00,1.19,66,84,50,-22.9,7.06,26478.12,-18.1,-9.7,-25.8,17.3,22.7,311,0.07,0.25
2015-01-08,0.10,0.00,0.63,72,79,66,-25.0,4.27,9305.91,-21.3,-9.9,-28.2,9.7,18.5,206,0.09,0.25
2015-01-09,2.10,0.00,1.68,69,74,59,-15.5,6.69,25406.52,-10.8,-9.0,-13.8,15.9,21.2,234,0.12,0.51
2015-01-10,0.50,0.00,0.49,73,82,58,-18.4,6.10,21039.16,-14.5,-9.2,-17.5,11.4,18.5,229,0.13,0.36
2015-01-11,0.40,0.00,0.56,74,86,57,-13.5,6.02,22657.41,-9.7,-5.5,-11.9,12.3,18.0,205,0.17,0.45
2015-01-12,2.40,0.00,2.03,79,91,62,-9.5,4.63,13168.92,-6.4,-4.5,-13.8,11.0,18.7,296,0.14,0.38
2015-01-13,0.00,0.00,0.00,66,76,48,-26.4,8.13,28199.54,-21.7,-15.5,-26.6,8.9,17.7,322,0.09,0.28
2015-01-14,0.00,0.00,0.00,71,79,56,-23.7,7.37,28204.29,-19.8,-12.7,-24.5,6.2,9.4,151,0.10,0.31
2015-01-15,0.60,0.00,0.42,77,83,65,-16.8,4.36,7679.83,-13.5,-6.1,-17.3,8.9,14.8,162,0.13,0.32
2015-01-16,1.40,0.00,1.05,68,81,52,-16.1,7.96,28652.04,-11.3,-4.3,-17.6,18.5,23.5,293,0.11,0.47
2015-01-17,0.40,0.00,0.35,69,78,54,-25.3,4.50,12228.38,-21.0,-14.7,-26.1,10.8,18.9,102,0.07,0.22
2015-01-18,4.50,3.60,0.70,80,93,62,-5.5,2.65,2990.41,-2.5,3.4,-13.8,12.7,17.8,155,0.15,0.50
2015-01-19,1.90,0.30,1.26,81,97,62,-8.5,6.29,22987.52,-5.7,0.4,-13.4,13.7,18.2,315,0.11,0.39
2015-01-20,0.00,0.00,0.00,73,81,55,-21.6,8.85,29190.19,-17.9,-13.8,-21.9,12.1,14.8,307,0.09,0.33
2015-01-21,0.00,0.00,0.00,69,79,48,-23.0,8.91,29333.80,-18.6,-11.1,-23.7,5.9,11.2,342,0.13,0.38
2015-01-22,0.00,0.00,0.00,70,81,47,-21.0,7.88,29481.70,-16.5,-7.3,-22.8,5.7,9.0,330,0.16,0.41
2015-01-23,0.80,0.00,0.63,79,87,66,-11.5,3.31,1489.78,-8.5,-1.6,-14.0,12.4,17.7,222,0.18,0.41
2015-01-24,2.00,0.00,1.68,81,89,72,-3.8,4.18,6030.33,-1.0,1.1,-2.3,11.8,15.3,224,0.19,0.52
2015-01-25,0.50,0.00,0.56,69,90,51,-17.4,9.44,29948.29,-12.8,-0.3,-18.4,16.4,21.8,320,0.10,0.46
2015-01-26,0.00,0.00,0.00,71,80,54,-23.9,9.68,30110.56,-19.9,-14.9,-24.4,7.7,10.7,17,0.09,0.33
2015-01-27,0.00,0.00,0.00,67,77,46,-22.9,9.91,30275.75,-18.1,-12.3,-21.8,11.2,12.9,24,0.13,0.42
2015-01-28,0.00,0.00,0.00,68,79,46,-21.2,10.02,30443.61,-16.3,-7.8,-20.8,9.9,13.4,324,0.17,0.49
2015-01-29,7.50,0.00,5.25,76,88,66,-16.7,2.17,0.00,-13.4,-6.8,-18.9,9.7,15.0,137,0.08,0.26
2015-01-30,3.60,0.00,2.52,72,93,50,-16.0,10.02,30786.39,-11.9,-6.4,-18.1,16.3,23.5,330,0.09,0.43
2015-01-31,0.00,0.00,0.00,66,77,46,-25.1,10.20,30960.82,-20.1,-11.8,-25.6,8.1,15.9,309,0.12,0.43
2015-02-01,0.40,0.00,0.28,67,86,47,-23.0,10.03,28643.19,-18.3,-12.5,-22.9,11.2,17.0,339,0.07,0.32
2015-02-02,1.00,0.00,0.91,63,71,49,-26.2,6.24,16608.26,-20.9,-16.5,-22.9,10.5,12.4,21,0.08,0.29
2015-02-03,0.00,0.00,0.35,69,76,52,-22.6,8.36,23809.88,-18.2,-8.0,-24.1,9.2,15.8,253,0.16,0.45
2015-02-04,2.60,0.00,2.17,81,88,68,-11.7,5.66,536.86,-9.1,-5.4,-11.2,7.6,11.5,226,0.13,0.43
2015-02-05,0.00,0.00,0.14,69,80,47,-20.8,11.38,31755.50,-16.1,-8.0,-21.4,11.6,15.0,317,0.09,0.42
2015-02-06,0.50,0.00,0.49,70,80,51,-20.0,6.77,23168.77,-15.6,-7.9,-20.9,10.1,16.8,228,0.16,0.45
2015-02-07,0.40,0.00,0.42,71,80,54,-18.6,9.11,27359.44,-14.4,-10.4,-17.0,6.7,11.1,340,0.12,0.44
2015-02-08,3.80,0.00,2.87,68,73,57,-20.5,5.00,9284.88,-15.8,-13.6,-17.6,12.8,15.2,54,0.09,0.34
2015-02-09,0.00,0.00,0.00,69,76,61,-20.9,8.81,29236.56,-16.5,-12.0,-19.9,10.3,13.8,43,0.09,0.44
2015-02-10,0.00,0.00,0.00,70,82,46,-18.2,12.01,32529.80,-13.6,-8.9,-17.7,7.0,9.7,341,0.17,0.58
