latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.32337,-78.302734,188.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.00,0.00,0.14,53,60,41,-14.2,3.53,1314.40,-6.1,-3.7,-7.9,24.1,29.1,238,0.21,1.04
2015-01-02,0.50,0.00,0.70,66,77,50,-10.7,6.14,27460.73,-5.2,-3.2,-7.4,15.1,24.2,278,0.20,0.71
2015-01-03,8.30,0.10,5.74,74,95,63,-10.8,1.88,0.00,-6.9,-1.4,-10.6,12.9,24.1,104,0.16,0.35
2015-01-04,16.90,14.10,1.96,96,100,84,1.0,1.23,1528.64,1.5,4.7,-2.1,12.2,26.1,178,0.10,0.19
2015-01-05,0.50,0.00,1.47,72,84,57,-14.1,6.33,26344.61,-9.9,-2.9,-14.6,18.9,24.7,290,0.10,0.46
2015-01-06,0.00,0.00,0.00,64,73,53,-17.8,5.03,17345.73,-12.3,-8.5,-14.9,14.9,19.9,242,0.15,0.51
2015-01-07,0.00,0.00,0.00,63,76,49,-21.0,7.64,28457.26,-15.6,-9.7,-23.6,20.9,25.6,295,0.11,0.42
2015-01-08,0.00,0.00,0.00,68,81,59,-22.0,5.12,11796.54,-17.4,-9.5,-27.3,18.3,26.8,240,0.12,0.42
2015-01-09,2.80,0.00,2.45,68,76,54,-14.5,6.72,28115.77,-9.7,-7.2,-11.5,22.4,28.5,246,0.16,0.62
2015-01-10,0.00,0.00,0.00,67,78,57,-17.7,7.80,27951.10,-12.8,-10.5,-15.3,19.7,23.6,243,0.12,0.52
2015-01-11,0.00,0.00,0.00,72,80,58,-14.3,7.25,26855.39,-10.1,-2.4,-15.0,14.3,21.5,226,0.21,0.61
2015-01-12,3.40,0.00,2.52,79,93,67,-6.5,3.94,7498.87,-3.4,-1.4,-6.5,12.4,18.4,259,0.17,0.49
2015-01-13,0.00,0.00,0.00,65,75,45,-23.6,8.84,29053.12,-18.4,-8.5,-25.7,9.9,18.8,359,0.10,0.36
2015-01-14,0.00,0.00,0.00,70,80,53,-19.1,7.64,29071.74,-14.7,-7.7,-21.1,6.6,10.4,99,0.12,0.43
2015-01-15,0.00,0.00,0.00,81,89,70,-13.9,4.55,13797.77,-11.2,-5.8,-16.4,10.0,19.7,209,0.12,0.33
2015-01-16,0.50,0.00,0.56,71,84,53,-12.9,9.05,29399.71,-8.4,-3.1,-15.4,19.6,24.8,284,0.12,0.58
2015-01-17,0.00,0.00,0.00,75,82,67,-20.6,6.24,22127.76,-17.3,-6.6,-25.6,14.1,21.7,110,0.11,0.35
2015-01-18,2.80,2.80,0.00,81,96,72,-1.1,2.63,1780.34,1.8,3.6,-5.1,17.7,21.9,196,0.22,0.64
2015-01-19,0.10,0.00,0.14,85,96,71,-5.6,7.11,27865.27,-3.5,0.1,-9.4,16.6,19.7,290,0.12,0.44
2015-01-20,0.00,0.00,0.00,73,82,52,-19.0,9.84,29902.51,-15.1,-10.0,-23.3,10.1,14.4,312,0.13,0.44
2015-01-21,0.00,0.00,0.00,71,84,58,-20.2,8.18,29132.59,-16.1,-7.0,-22.6,8.4,11.1,34,0.15,0.46
2015-01-22,0.00,0.00,0.00,70,80,50,-18.2,9.30,30175.17,-13.8,-5.1,-21.4,8.1,11.8,335,0.21,0.56
2015-01-23,0.00,0.00,0.00,79,87,62,-8.6,8.60,30317.32,-5.5,-0.5,-8.7,16.2,22.9,231,0.22,0.67
2015-01-24,0.00,0.00,0.00,85,91,77,-6.2,4.37,5940.76,-4.1,-0.8,-6.5,12.3,18.7,236,0.13,0.45
2015-01-25,0.00,0.00,0.07,72,91,51,-13.3,10.53,30611.96,-9.0,-0.8,-15.8,14.7,19.7,317,0.13,0.55
2015-01-26,0.00,0.00,0.00,64,74,46,-21.4,7.24,29456.34,-16.0,-10.5,-19.9,13.0,16.3,47,0.15,0.46
2015-01-27,0.00,0.00,0.21,60,71,41,-19.6,10.11,30918.76,-13.2,-8.1,-16.2,14.0,16.0,28,0.19,0.67
2015-01-28,0.00,0.00,0.00,65,74,43,-19.1,10.81,31076.12,-13.6,-5.0,-19.4,10.7,13.9,322,0.24,0.69
2015-01-29,4.50,0.00,3.22,76,93,67,-12.2,2.38,0.00,-8.7,-2.0,-15.4,11.9,17.9,151,0.15,0.40
2015-01-30,4.00,0.00,2.87,75,97,54,-12.0,10.71,30076.56,-8.2,-1.8,-15.5,17.6,24.3,322,0.11,0.51
2015-01-31,0.00,0.00,0.00,69,78,55,-21.3,9.96,31561.31,-17.0,-7.5,-25.0,9.2,16.9,295,0.12,0.53
2015-02-01,0.00,0.00,0.00,71,90,50,-15.9,8.11,19964.79,-11.5,-6.7,-16.3,12.0,15.3,5,0.11,0.42
2015-02-02,10.10,0.00,7.21,66,72,54,-21.7,6.53,13970.40,-16.8,-13.0,-18.5,19.5,25.4,30,0.10,0.42
2015-02-03,0.00,0.00,0.21,74,82,61,-19.1,7.95,23284.97,-15.4,-6.3,-22.9,13.5,19.8,254,0.15,0.50
2015-02-04,2.70,0.00,2.17,82,93,70,-8.8,4.98,815.29,-6.2,-1.7,-9.6,11.1,16.1,237,0.16,0.49
2015-02-05,0.10,0.00,0.35,71,84,46,-16.5,11.60,32243.28,-12.1,-4.8,-16.6,12.3,17.7,313,0.13,0.52
2015-02-06,0.70,0.00,0.70,73,80,56,-16.5,8.86,32333.47,-12.5,-4.0,-21.6,15.6,23.2,252,0.20,0.62
2015-02-07,5.00,0.00,3.85,85,91,77,-9.5,3.60,0.00,-7.3,-5.5,-8.8,8.4,15.6,299,0.09,0.34
2015-02-08,7.60,0.00,5.53,77,85,71,-15.3,2.44,0.00,-12.1,-7.2,-13.8,17.7,21.4,54,0.07,0.29
2015-02-09,0.00,0.00,0.00,73,78,66,-17.1,6.35,17651.47,-13.2,-9.5,-15.7,14.7,19.8,34,0.10,0.45
2015-02-10,0.00,0.00,0.00,74,84,56,-15.1,12.93,32765.82,-11.1,-5.2,-16.1,7.1,9.3,3,0.18,0.72
2015-02-11,0.80,0.00,0.77,74,88,61,-14.9,7.64,17106.10,-11.2,-5.9,-15.0,9.1,12.1,107,0.13,0.48
2015-02-12,1.10,0.00,0.98,77,93,54,-11.8,11.57,31242.12,-8.3,-4.0,-16.5,15.1,22.3,303,0.11,0.50
2015-02-13,0.00,0.00,0.00,64,75,45,-25.7,13.31,33213.39,-20.6,-15.4,-25.5,12.2,19.1,304,0.09,0.46
2015-02-14,2.40,0.00,1.96,74,85,50,-15.0,11.53,32400.00,-11.0,-7.9,-16.3,14.1,17.8,252,0.15,0.65
2015-02-15,0.00,0.00,0.14,64,79,48,-24.9,13.77,33528.48,-19.7,-13.3,-24.8,21.7,26.4,325,0.07,0.40
2015-02-16,0.00,0.00,0.00,59,70,39,-28.4,14.23,34225.41,-22.2,-14.8,-26.8,12.9,19.6,315,0.12,0.53
2015-02-17,0.00,0.00,0.00,63,70,44,-23.6,11.47,30167.54,-18.2,-10.0,-24.1,7.9,10.7,94,0.13,0.56
2015-02-18,0.70,0.00,0.77,75,89,47,-16.3,9.94,21932.23,-12.5,-7.3,-17.4,9.7,12.6,220,0.19,0.60
2015-02-19,0.00,0.00,0.00,70,82,52,-20.6,14.15,34464.01,-16.2,-10.3,-20.8,17.6,25.1,305,0.08,0.44
2015-02-20,0.00,0.00,0.00,63,73,46,-26.7,14.64,34879.28,-21.4,-15.4,-25.0,17.4,21.7,292,0.10,0.49
2015-02-21,3.70,0.00,2.73,77,89,69,-17.1,5.49,0.00,-13.9,-7.6,-18.4,10.9,15.0,165,0.08,0.39
2015-02-22,0.40,0.00,0.63,82,93,66,-13.2,10.52,22688.68,-10.5,-4.6,-16.5,8.8,18.3,280,0.14,0.66
2015-02-23,0.00,0.00,0.00,64,78,46,-23.1,15.00,35658.90,-17.7,-10.1,-21.3,18.1,21.6,294,0.08,0.50
2015-02-24,0.10,0.00,0.07,70,81,54,-20.6,11.37,22956.23,-16.2,-9.6,-21.7,18.8,27.9,214,0.13,0.57
2015-02-25,0.90,0.00,0.77,71,84,51,-15.4,14.74,36034.34,-11.0,-9.8,-13.5,17.6,22.6,265,0.14,0.71
2015-02-26,0.00,0.00,0.00,66,79,44,-21.9,12.35,32027.73,-16.7,-11.3,-20.9,7.7,10.7,342,0.14,0.60
2015-02-27,0.00,0.00,0.00,68,79,49,-21.6,15.96,36407.93,-17.0,-11.6,-23.3,11.9,16.5,292,0.13,0.62
2015-02-28,0.00,0.00,0.00,69,79,50,-19.3,15.79,36593.68,-14.6,-5.9,-21.1,10.3,12.7,251,0.20,0.85
2015-03-01,0.00,0.00,0.35,77,86,61,-13.0,11.92,21610.56,-9.6,-3.1,-15.0,9.2,12.9,192,0.19,0.84
2015-03-02,0.10,0.00,0.56,75,90,50,-10.7,12.35,32333.37,-6.7,-4.8,-8.6,17.3,29.0,282,0.21,0.79
2015-03-03,6.40,0.00,4.48,80,92,63,-14.0,6.35,272.70,-11.1,-5.9,-16.6,12.9,21.0,186,0.14,0.45
2015-03-04,3.40,0.00,2.45,76,94,55,-6.9,12.27,35971.94,-3.1,-1.1,-6.1,18.8,22.9,268,0.24,0.99
2015-03-05,0.00,0.00,0.00,66,81,46,-17.7,16.18,37529.58,-12.4,-7.5,-16.7,14.6,22.8,308,0.15,0.84
2015-03-06,0.00,0.00,0.00,69,78,52,-19.4,15.60,37024.50,-14.9,-7.3,-21.1,14.0,21.9,244,0.15,0.77
2015-03-07,0.70,0.00,0.49,76,84,64,-10.4,10.58,18569.92,-6.7,-1.7,-10.4,14.3,18.6,230,0.19,0.90
2015-03-08,0.00,0.00,0.07,78,97,49,-8.9,14.20,34775.52,-5.3,-1.1,-10.8,13.8,24.6,276,0.29,1.04
2015-03-09,0.10,0.00,0.14,73,92,45,-5.5,17.41,38289.43,-1.0,5.4,-5.7,13.8,20.4,259,0.49,1.62
2015-03-10,0.00,0.00,0.00,79,90,63,-2.4,13.31,37103.38,0.9,5.9,-3.1,11.3,14.8,209,0.34,1.40
2015-03-11,0.00,0.00,0.00,81,94,60,-0.6,16.04,38670.14,2.5,4.7,1.2,17.7,22.1,273,0.34,1.47
2015-03-12,0.00,0.00,0.00,65,80,41,-8.0,18.93,38825.71,-2.0,0.9,-6.6,14.9,24.2,315,0.36,1.64
2015-03-13,0.00,0.00,0.00,68,86,43,-9.2,15.35,36523.99,-3.8,2.8,-9.3,10.7,16.8,101,0.42,1.44
2015-03-14,2.10,2.10,0.00,85,92,71,-1.0,3.86,0.00,1.3,4.1,-2.1,10.4,19.5,146,0.18,0.58
2015-03-15,0.40,0.00,0.42,78,91,56,-2.3,13.40,31579.67,1.4,4.8,-0.3,18.3,23.4,306,0.38,1.35
2015-03-16,0.00,0.00,0.00,84,93,70,-2.0,13.47,26286.22,0.4,6.7,-4.5,8.4,10.1,227,0.29,1.42
2015-03-17,2.30,2.30,0.00,72,95,34,-4.0,17.60,33022.16,1.1,3.9,-2.8,19.1,29.2,310,0.40,1.48
2015-03-18,0.10,0.00,0.42,65,84,39,-11.6,16.94,39516.68,-5.5,-3.0,-9.6,17.6,26.2,305,0.30,1.29
2015-03-19,0.00,0.00,0.00,64,91,34,-13.9,20.78,39895.65,-7.4,0.2,-14.6,8.9,15.1,306,0.40,1.70
2015-03-20,0.00,0.00,0.00,59,74,40,-8.8,19.84,39439.34,-1.7,5.0,-6.8,9.5,11.5,152,0.41,2.06
2015-03-21,4.50,1.20,2.31,81,95,57,-1.7,13.94,27406.84,1.3,4.6,-1.6,16.6,28.2,251,0.29,1.20
2015-03-22,0.30,0.00,0.28,56,72,40,-15.3,20.97,40721.02,-8.0,-2.4,-12.7,18.5,24.8,316,0.20,1.29
2015-03-23,0.00,0.00,0.00,59,77,41,-17.9,21.61,40841.27,-11.1,-5.5,-17.9,12.1,17.1,321,0.23,1.28
2015-03-24,0.00,0.00,0.00,56,74,36,-15.0,21.32,39971.14,-7.3,1.6,-13.8,5.6,9.9,332,0.42,1.95
2015-03-25,3.20,3.20,0.00,74,96,55,-7.3,10.77,19033.79,-3.2,4.2,-11.3,13.0,21.5,138,0.36,1.02
2015-03-26,2.10,1.10,0.70,89,97,82,0.8,6.33,0.00,2.3,4.6,0.2,12.8,19.1,242,0.14,0.70
2015-03-27,0.20,0.00,0.35,79,95,57,-4.7,12.64,23393.79,-1.2,1.4,-3.5,12.5,15.6,313,0.23,1.07
2015-03-28,0.00,0.00,0.00,50,65,35,-16.9,23.15,41392.91,-8.0,-3.1,-13.6,16.7,18.8,346,0.32,1.70
2015-03-29,0.00,0.00,0.00,60,82,39,-12.5,22.43,41631.69,-5.4,2.1,-12.8,15.4,25.4,247,0.43,2.00
