latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.8471,-82.13333,196.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.00,0.00,0.00,47,53,40,-15.4,6.43,23606.17,-5.9,-2.1,-8.1,25.0,31.6,232,0.29,1.27
2015-01-02,0.00,0.00,0.00,58,71,41,-9.5,5.95,24383.71,-2.2,0.5,-3.7,13.6,22.5,256,0.37,0.97
2015-01-03,14.50,10.10,3.08,82,97,60,-4.2,0.69,0.00,-1.4,2.0,-3.5,12.9,20.9,127,0.20,0.29
2015-01-04,6.70,5.80,0.63,95,100,77,0.5,2.50,5869.52,1.2,2.7,-0.8,9.9,25.6,278,0.16,0.30
2015-01-05,0.40,0.00,0.35,57,80,45,-17.6,8.36,29028.42,-10.7,-2.5,-15.4,24.3,27.9,285,0.14,0.74
2015-01-06,0.90,0.00,0.77,59,66,49,-17.9,7.06,24424.39,-11.4,-8.1,-12.9,12.8,24.5,249,0.15,0.57
2015-01-07,0.00,0.00,0.21,60,67,52,-18.5,8.44,29182.39,-12.2,-8.0,-14.8,26.1,32.9,299,0.14,0.64
2015-01-08,0.10,0.00,0.07,64,75,55,-20.0,6.63,23869.76,-14.7,-14.0,-15.7,22.9,29.6,235,0.09,0.47
2015-01-09,3.70,0.00,2.73,67,78,49,-15.9,7.95,29353.32,-10.8,-9.2,-13.4,24.3,31.6,244,0.15,0.63
2015-01-10,0.00,0.00,0.00,69,81,57,-19.2,8.63,29444.72,-14.8,-11.6,-17.1,20.0,24.3,234,0.11,0.46
2015-01-11,0.00,0.00,0.00,65,73,55,-13.6,6.39,25664.68,-8.1,-1.8,-14.0,16.2,19.4,208,0.24,0.75
2015-01-12,4.60,0.00,3.36,82,93,66,-5.7,4.51,9952.14,-3.0,-2.2,-4.8,14.3,23.2,286,0.18,0.49
2015-01-13,0.00,0.00,0.07,68,78,55,-17.0,9.81,29740.66,-12.3,-5.5,-18.7,12.5,21.4,27,0.12,0.54
2015-01-14,0.00,0.00,0.00,76,86,61,-18.2,7.99,29846.00,-14.8,-8.6,-19.3,7.6,11.8,59,0.12,0.44
2015-01-15,0.00,0.00,0.00,78,85,66,-13.8,8.33,28507.77,-10.6,-5.9,-14.3,14.5,23.0,208,0.13,0.48
2015-01-16,0.00,0.00,0.14,73,88,54,-9.3,8.87,30065.74,-5.0,-1.7,-8.9,17.3,21.8,300,0.17,0.67
2015-01-17,0.00,0.00,0.00,73,81,62,-11.2,6.68,23504.32,-7.2,3.3,-16.9,17.5,29.3,156,0.18,0.67
2015-01-18,3.10,3.10,0.00,88,97,77,0.5,4.65,13163.88,2.4,3.7,0.3,20.1,28.6,223,0.18,0.60
2015-01-19,0.00,0.00,0.00,78,89,63,-5.7,7.17,27210.23,-2.4,-0.9,-3.9,11.2,14.0,312,0.20,0.61
2015-01-20,0.20,0.00,0.21,73,78,70,-8.7,5.55,16519.51,-4.6,-2.5,-6.6,6.5,11.0,42,0.15,0.54
2015-01-21,2.40,0.00,1.75,73,80,69,-9.7,3.61,0.00,-5.6,-3.4,-7.5,8.2,10.4,65,0.13,0.44
2015-01-22,0.40,0.00,0.35,78,86,62,-7.9,7.84,24826.55,-4.5,-2.1,-6.0,8.9,10.4,313,0.20,0.59
2015-01-23,0.00,0.00,0.00,79,84,70,-7.1,8.63,30927.58,-3.9,-0.9,-6.3,14.8,23.2,218,0.17,0.65
2015-01-24,0.00,0.00,0.00,86,89,80,-4.7,4.32,12983.11,-2.7,0.7,-4.3,13.0,16.7,232,0.11,0.42
2015-01-25,0.00,0.00,0.07,75,94,57,-8.4,7.39,24358.32,-4.5,0.7,-8.5,16.5,21.5,6,0.15,0.58
2015-01-26,0.00,0.00,0.00,64,74,59,-15.2,10.88,31210.34,-9.8,-5.3,-14.1,12.9,17.2,28,0.17,0.81
2015-01-27,0.00,0.00,0.00,70,79,62,-15.8,10.08,31296.50,-11.4,-7.5,-16.3,11.3,20.3,8,0.13,0.53
2015-01-28,0.00,0.00,0.00,76,88,55,-11.6,11.00,31325.98,-8.0,-2.2,-11.4,9.2,14.3,318,0.24,0.82
2015-01-29,4.30,0.20,3.08,72,91,61,-7.2,2.20,0.00,-2.8,0.5,-5.4,16.8,23.2,171,0.20,0.68
2015-01-30,0.30,0.00,0.63,75,88,58,-10.7,8.51,31502.72,-6.9,-1.4,-10.4,23.0,29.2,322,0.13,0.60
2015-01-31,0.00,0.00,0.00,66,77,57,-15.2,9.24,27264.00,-10.0,-2.3,-16.4,10.1,15.7,216,0.18,0.71
2015-02-01,9.50,0.00,6.79,82,87,78,-7.2,2.86,0.00,-4.6,-2.0,-7.4,14.9,22.7,36,0.11,0.36
2015-02-02,13.00,0.00,9.17,77,83,69,-14.1,8.72,26275.04,-10.9,-8.2,-13.0,24.7,32.0,8,0.09,0.51
2015-02-03,0.00,0.00,0.00,78,85,71,-16.2,11.65,31770.39,-13.1,-8.3,-16.6,14.2,19.3,222,0.09,0.51
2015-02-04,4.30,0.00,3.15,85,93,71,-7.2,6.42,4769.44,-5.0,-2.6,-8.6,12.9,16.6,246,0.14,0.52
2015-02-05,0.10,0.00,0.14,68,78,47,-17.6,13.03,32893.70,-12.9,-5.5,-18.2,13.8,19.2,305,0.14,0.64
2015-02-06,0.00,0.00,0.00,74,82,65,-14.2,9.99,30774.70,-10.4,-3.6,-14.3,17.1,24.7,232,0.16,0.72
