latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.90158,-79.09091,219.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.00,0.00,0.00,52,59,42,-14.1,3.08,1920.17,-5.8,-3.3,-7.6,22.3,25.5,234,0.23,1.03
2015-01-02,0.10,0.00,0.49,57,71,40,-10.8,6.79,28069.46,-3.3,-2.3,-5.2,15.1,22.1,275,0.31,0.98
2015-01-03,8.40,0.50,5.53,73,94,55,-7.9,1.63,0.00,-3.8,-0.6,-7.0,13.9,27.7,116,0.19,0.39
2015-01-04,14.30,13.90,0.28,94,100,76,0.7,2.03,7200.00,1.6,4.7,-0.8,10.8,22.2,195,0.17,0.27
2015-01-05,0.80,0.00,1.47,61,80,46,-13.9,5.50,22780.73,-7.6,-1.8,-11.6,22.6,25.1,281,0.16,0.73
2015-01-06,0.00,0.00,0.00,62,68,53,-17.3,5.28,18242.07,-11.4,-8.2,-13.3,14.7,19.5,241,0.16,0.56
2015-01-07,0.00,0.00,0.21,64,71,56,-19.7,7.59,28467.25,-14.3,-8.9,-19.8,20.7,24.5,304,0.13,0.45
2015-01-08,0.00,0.00,0.00,69,74,61,-18.7,5.39,18155.55,-14.2,-9.8,-20.2,17.8,24.4,234,0.12,0.43
2015-01-09,2.40,0.00,2.17,65,75,51,-14.4,6.81,27412.85,-9.0,-6.6,-10.5,22.5,29.9,243,0.18,0.70
2015-01-10,0.00,0.00,0.00,65,70,60,-17.6,7.50,27681.12,-12.4,-10.0,-14.8,20.4,23.2,241,0.11,0.56
2015-01-11,0.00,0.00,0.00,68,74,56,-13.7,7.48,27237.89,-8.8,-2.2,-13.7,14.6,18.9,219,0.23,0.70
2015-01-12,2.90,0.00,2.03,77,90,64,-6.7,3.89,8897.88,-3.1,-1.8,-7.0,13.3,21.7,271,0.18,0.53
2015-01-13,0.00,0.00,0.00,69,77,51,-21.2,8.98,29254.24,-16.7,-8.4,-21.9,11.4,20.5,0,0.10,0.40
2015-01-14,0.00,0.00,0.00,72,81,64,-16.2,7.98,29364.52,-12.2,-7.0,-18.8,7.4,10.4,115,0.12,0.49
2015-01-15,0.00,0.00,0.00,79,92,65,-14.2,4.67,16891.60,-11.3,-5.7,-17.1,13.3,20.0,222,0.14,0.37
2015-01-16,0.40,0.00,0.49,70,85,55,-12.3,8.92,29594.49,-7.6,-2.8,-13.5,19.4,22.8,296,0.14,0.62
2015-01-17,0.00,0.00,0.00,72,78,62,-16.4,5.75,18021.64,-12.4,-2.2,-17.6,15.1,23.7,121,0.14,0.47
2015-01-18,2.60,2.50,0.07,82,93,72,-0.4,3.73,8369.10,2.4,3.6,-0.6,18.7,24.1,204,0.22,0.71
2015-01-19,0.20,0.10,0.14,78,94,62,-6.8,7.17,27823.32,-3.4,-0.0,-7.7,17.2,20.7,305,0.17,0.60
2015-01-20,0.00,0.00,0.00,63,74,43,-17.2,9.77,30088.22,-11.4,-8.3,-14.9,11.0,16.0,335,0.19,0.61
2015-01-21,0.00,0.00,0.00,71,79,60,-16.8,7.03,27473.58,-12.6,-6.1,-18.5,7.8,9.7,35,0.12,0.47
2015-01-22,0.00,0.00,0.00,67,79,50,-14.1,9.13,30356.03,-8.9,-3.1,-13.3,7.4,10.4,330,0.23,0.65
2015-01-23,0.00,0.00,0.00,73,82,60,-8.4,9.36,30495.67,-4.2,-0.8,-6.2,16.1,23.0,227,0.22,0.81
2015-01-24,0.10,0.00,0.42,82,87,74,-6.3,3.69,1954.83,-3.6,-0.7,-5.4,11.7,17.7,232,0.15,0.46
2015-01-25,0.00,0.00,0.21,69,87,50,-13.1,10.27,30785.15,-8.3,-0.8,-14.7,16.6,21.6,326,0.14,0.63
2015-01-26,0.00,0.00,0.00,61,70,46,-19.4,8.50,30934.51,-13.4,-9.6,-16.0,12.8,14.3,43,0.16,0.57
2015-01-27,0.00,0.00,0.07,58,71,40,-18.8,9.98,31086.64,-12.0,-8.1,-14.3,12.7,15.3,17,0.20,0.70
2015-01-28,0.00,0.00,0.00,58,71,31,-18.6,10.83,31241.29,-11.6,-4.4,-15.9,12.5,16.6,336,0.29,0.79
2015-01-29,5.40,0.00,3.85,73,97,36,-10.6,1.98,0.00,-6.2,-1.3,-14.6,12.4,19.4,161,0.25,0.49
2015-01-30,2.30,0.00,1.61,76,97,59,-12.2,10.76,31557.29,-8.6,-1.4,-15.8,21.6,29.8,324,0.09,0.47
2015-01-31,0.00,0.00,0.00,70,77,57,-18.7,9.85,31718.20,-14.2,-4.9,-19.9,9.2,16.3,282,0.18,0.60
2015-02-01,0.10,0.00,0.35,73,86,56,-13.3,6.94,10644.76,-9.2,-5.2,-12.8,12.3,16.0,1,0.12,0.46
2015-02-02,12.20,0.00,8.54,72,79,57,-19.5,7.34,17103.49,-15.5,-13.0,-17.0,20.0,23.3,16,0.10,0.41
2015-02-03,0.00,0.00,0.00,75,83,61,-17.0,7.72,21119.79,-13.5,-6.5,-18.8,14.1,19.8,251,0.15,0.49
2015-02-04,2.20,0.00,2.03,81,90,67,-8.2,4.75,3288.94,-5.5,-1.4,-9.0,11.2,15.5,236,0.18,0.50
2015-02-05,0.20,0.00,0.28,70,81,49,-16.2,11.74,32405.83,-11.5,-5.3,-15.0,13.3,16.6,316,0.13,0.56
2015-02-06,0.30,0.00,0.56,70,78,58,-15.1,8.50,25049.49,-10.7,-4.3,-15.7,16.5,20.9,244,0.19,0.66
