latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.917397,-79.18399,181.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.00,0.00,0.07,60,64,52,-10.0,3.75,3780.57,-3.2,-0.9,-4.8,42.4,48.7,246,0.22,1.30
2015-01-02,0.00,0.00,0.00,59,65,49,-8.1,5.36,25459.22,-1.0,-0.2,-1.6,28.0,39.4,263,0.31,1.35
2015-01-03,10.60,9.10,1.05,71,89,52,-5.1,1.33,0.00,-0.3,3.0,-1.7,14.6,23.3,95,0.29,0.60
2015-01-04,20.40,20.40,0.00,94,99,88,4.2,1.54,684.50,5.1,7.2,1.7,23.0,41.0,225,0.10,0.28
2015-01-05,0.70,0.10,0.49,62,90,50,-12.3,6.70,26667.14,-6.0,1.1,-9.9,35.7,41.3,273,0.18,0.95
2015-01-06,1.90,0.00,1.61,60,68,48,-15.2,5.04,16739.08,-8.7,-5.6,-10.0,18.5,32.1,271,0.16,0.72
2015-01-07,1.10,0.00,1.19,72,83,59,-13.0,7.45,28537.53,-8.9,-5.1,-13.4,33.1,42.2,293,0.13,0.63
2015-01-08,0.00,0.00,0.07,69,78,58,-15.5,6.08,23355.21,-10.8,-7.5,-14.4,34.7,44.9,254,0.13,0.63
2015-01-09,4.40,0.00,3.22,67,75,53,-12.5,8.27,29320.41,-7.3,-6.1,-8.7,39.7,50.4,244,0.15,0.89
2015-01-10,0.00,0.00,0.00,65,68,63,-15.6,7.93,28770.99,-10.4,-8.0,-12.5,35.0,39.0,256,0.12,0.74
2015-01-11,0.00,0.00,0.00,64,68,57,-10.6,7.19,26334.35,-4.8,-0.2,-7.8,26.9,38.0,227,0.24,1.05
2015-01-12,5.90,0.00,4.27,83,94,66,-3.4,2.55,798.15,-0.8,0.3,-2.6,19.6,28.9,254,0.21,0.51
2015-01-13,0.00,0.00,0.00,71,76,64,-14.9,7.57,28902.76,-10.5,-4.0,-13.6,21.8,30.7,26,0.15,0.58
2015-01-14,0.00,0.00,0.00,77,84,69,-13.3,9.36,29814.60,-9.9,-6.7,-12.5,13.2,16.4,171,0.11,0.54
2015-01-15,0.00,0.00,0.00,75,80,67,-10.7,6.03,25826.98,-7.0,-3.5,-8.4,22.9,34.9,236,0.15,0.59
2015-01-16,0.60,0.00,0.70,71,90,52,-8.8,8.42,30035.00,-4.2,-2.3,-7.9,29.2,40.6,269,0.17,0.85
2015-01-17,0.00,0.00,0.00,71,80,61,-12.2,7.55,28433.74,-7.8,2.8,-12.8,14.2,28.4,150,0.22,0.67
2015-01-18,1.20,1.20,0.00,81,95,71,-0.6,5.76,18201.99,2.4,3.3,0.2,30.2,37.8,209,0.22,0.96
2015-01-19,0.00,0.00,0.07,82,95,69,-4.0,4.71,16255.32,-1.3,0.1,-2.5,20.8,25.3,275,0.17,0.57
2015-01-20,0.00,0.00,0.00,69,73,64,-10.4,6.62,24068.08,-5.6,-3.0,-6.9,10.5,15.1,345,0.15,0.64
2015-01-21,0.00,0.00,0.00,74,86,62,-12.3,7.71,26938.02,-8.3,-2.1,-12.7,10.2,16.4,56,0.20,0.59
2015-01-22,0.00,0.00,0.28,75,81,61,-7.8,8.75,30765.38,-4.0,-2.2,-5.7,11.5,15.3,324,0.20,0.71
2015-01-23,0.00,0.00,0.00,78,85,71,-6.5,7.59,29778.89,-3.3,-1.8,-4.2,23.4,32.9,236,0.14,0.68
2015-01-24,0.10,0.00,0.35,87,91,84,-5.0,4.24,2505.42,-3.2,-1.4,-4.5,19.0,26.1,237,0.09,0.39
2015-01-25,0.00,0.00,0.14,76,92,61,-8.6,9.58,30872.43,-4.9,-0.5,-9.2,20.4,25.3,321,0.13,0.67
2015-01-26,1.60,0.00,1.19,69,74,64,-13.5,5.14,0.00,-8.8,-7.3,-10.1,22.9,25.9,61,0.12,0.63
2015-01-27,0.30,0.00,1.05,72,79,57,-12.3,8.84,30343.84,-8.1,-7.3,-9.5,20.0,23.0,36,0.15,0.66
2015-01-28,0.00,0.00,0.00,71,77,63,-13.8,11.29,31615.36,-9.5,-6.6,-11.7,12.1,15.6,296,0.13,0.70
2015-01-29,4.30,0.60,2.59,70,93,52,-8.7,2.46,0.00,-3.9,1.5,-8.9,19.5,29.3,185,0.30,0.76
2015-01-30,4.40,0.30,2.87,75,98,58,-9.0,7.62,29965.89,-5.3,0.7,-10.2,25.3,34.2,311,0.13,0.61
2015-01-31,0.00,0.00,0.00,72,76,62,-13.7,10.33,32073.65,-9.5,-4.4,-12.1,17.9,24.4,278,0.12,0.70
2015-02-01,2.20,0.00,1.68,81,86,75,-7.5,4.74,0.00,-4.8,-2.7,-7.8,22.3,32.7,15,0.11,0.47
2015-02-02,18.10,0.00,12.74,81,88,63,-11.7,5.54,15590.60,-9.0,-7.7,-11.0,34.0,40.4,34,0.12,0.45
2015-02-03,0.00,0.00,0.00,74,83,63,-13.4,9.36,32400.00,-9.5,-6.8,-12.0,26.4,36.4,250,0.11,0.60
2015-02-04,3.40,0.00,2.80,82,90,72,-5.5,3.33,286.76,-2.8,-0.3,-6.4,23.5,27.7,228,0.11,0.57
2015-02-05,1.90,0.00,1.33,67,80,54,-13.8,11.69,32407.45,-8.6,-2.0,-11.7,21.1,25.9,310,0.13,0.79
2015-02-06,0.70,0.00,0.49,74,77,60,-13.0,9.91,26236.84,-9.1,-5.7,-11.2,32.0,39.5,242,0.11,0.70
2015-02-07,1.90,0.00,1.82,80,86,74,-6.4,4.10,1394.02,-3.5,-0.8,-5.5,15.8,27.0,233,0.14,0.58
2015-02-08,8.30,1.80,4.62,89,96,85,-4.9,2.04,0.00,-3.5,-0.8,-7.1,22.0,29.3,49,0.07,0.27
2015-02-09,5.70,0.00,4.06,80,86,75,-10.8,5.24,2183.21,-8.0,-7.2,-8.8,24.9,30.9,42,0.09,0.49
