latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.010544,-79.285706,330.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,4.90,0.00,3.43,76,81,71,-10.9,2.98,0.00,-7.4,-4.8,-9.6,21.8,27.9,244,0.11,0.47
2015-01-02,0.10,0.00,0.07,76,86,57,-16.4,7.07,26899.00,-13.0,-6.1,-17.2,11.1,20.2,285,0.10,0.32
2015-01-03,2.50,0.00,1.75,81,86,71,-16.2,2.52,0.00,-13.7,-6.5,-20.8,12.8,18.0,140,0.09,0.24
2015-01-04,10.30,0.00,7.49,86,88,80,-9.5,1.95,3600.00,-7.5,-6.3,-9.5,11.9,15.6,59,0.06,0.19
2015-01-05,1.00,0.00,1.12,71,82,54,-23.1,7.50,27049.30,-19.1,-10.0,-23.8,15.3,18.8,290,0.05,0.24
2015-01-06,1.60,0.00,1.47,78,83,64,-19.4,4.38,8012.60,-16.4,-9.3,-20.9,11.3,15.2,216,0.11,0.26
2015-01-07,1.80,0.00,1.33,69,85,53,-25.1,6.93,25913.56,-20.9,-10.6,-27.5,16.4,24.1,325,0.05,0.19
2015-01-08,2.30,0.00,1.89,76,85,67,-21.6,3.81,0.00,-18.4,-8.9,-28.1,14.9,26.1,231,0.10,0.28
2015-01-09,4.20,0.00,3.29,76,86,60,-16.5,6.21,27409.17,-13.2,-10.0,-16.8,15.8,22.5,227,0.08,0.32
2015-01-10,1.00,0.00,0.77,75,82,59,-19.1,5.86,16144.20,-15.6,-9.9,-19.1,13.4,23.1,236,0.12,0.33
2015-01-11,1.20,0.00,1.26,81,87,73,-12.3,4.23,14298.68,-9.6,-5.5,-13.0,14.9,19.7,212,0.10,0.33
2015-01-12,5.40,0.00,3.92,82,94,63,-11.0,5.75,21830.51,-8.4,-5.3,-17.7,11.5,17.4,328,0.09,0.30
2015-01-13,0.00,0.00,0.00,68,79,47,-27.1,8.18,28207.52,-22.7,-18.0,-28.2,8.2,15.8,316,0.08,0.25
2015-01-14,0.00,0.00,0.00,73,83,63,-21.0,6.01,25831.80,-17.3,-10.6,-20.9,13.1,17.1,194,0.08,0.32
2015-01-15,0.50,0.00,0.49,84,87,79,-11.4,3.63,1885.75,-9.2,-5.6,-11.8,16.5,24.5,197,0.08,0.29
2015-01-16,2.50,0.00,1.82,71,90,58,-16.7,7.75,28519.73,-12.5,-3.3,-19.0,18.5,23.8,299,0.09,0.39
2015-01-17,0.40,0.00,0.28,71,78,56,-23.3,3.07,485.17,-19.2,-8.3,-25.5,14.4,27.1,148,0.08,0.25
2015-01-18,5.40,0.00,4.13,89,97,79,-2.2,3.25,0.00,-0.6,1.7,-7.4,17.6,26.7,200,0.11,0.40
2015-01-19,1.20,0.00,1.12,80,97,63,-12.3,7.23,27007.68,-9.5,-0.5,-15.7,13.0,17.9,333,0.08,0.34
2015-01-20,0.00,0.00,0.00,74,81,57,-23.2,8.85,29122.83,-19.7,-16.2,-23.3,6.8,10.5,324,0.07,0.28
2015-01-21,0.00,0.00,0.00,63,76,36,-24.8,8.92,29267.33,-19.1,-10.0,-26.1,4.8,9.0,143,0.17,0.42
2015-01-22,0.00,0.00,0.00,71,84,54,-19.1,6.86,28726.96,-15.0,-7.9,-21.0,5.9,11.7,218,0.12,0.35
2015-01-23,1.40,0.00,1.12,86,91,81,-8.5,4.27,7167.95,-6.6,-1.6,-11.3,20.0,25.8,228,0.10,0.36
2015-01-24,4.10,0.00,3.15,90,94,83,-2.7,3.04,192.11,-1.3,0.1,-1.9,15.8,20.7,238,0.11,0.32
2015-01-25,0.70,0.00,0.56,71,88,55,-19.6,9.36,29885.59,-15.4,-3.1,-19.8,13.7,21.0,343,0.09,0.41
2015-01-26,0.00,0.00,0.00,67,76,47,-24.2,9.68,30048.84,-19.3,-13.3,-23.7,9.3,12.8,81,0.11,0.39
2015-01-27,0.00,0.00,0.00,68,79,45,-23.2,9.95,30215.02,-18.6,-13.0,-22.8,11.8,13.9,60,0.12,0.42
2015-01-28,0.00,0.00,0.00,66,77,45,-22.0,10.06,30383.89,-16.9,-10.2,-21.8,7.3,11.7,340,0.14,0.50
2015-01-29,5.60,0.00,3.99,69,91,53,-14.0,2.06,0.00,-9.2,-5.2,-14.4,13.6,21.6,173,0.15,0.49
2015-01-30,0.70,0.00,0.91,73,93,52,-18.2,9.90,30728.69,-14.3,-5.8,-20.1,16.5,22.5,335,0.07,0.36
2015-01-31,0.20,0.00,0.35,70,84,58,-23.5,9.19,26491.00,-19.4,-9.7,-25.7,8.9,13.4,217,0.11,0.40
2015-02-01,0.50,0.00,0.35,70,91,51,-23.0,8.29,22278.06,-18.7,-9.2,-24.3,12.7,18.4,15,0.06,0.28
2015-02-02,0.00,0.00,0.28,64,71,49,-26.7,9.51,26240.07,-21.6,-18.0,-23.8,12.1,15.9,40,0.07,0.35
2015-02-03,0.30,0.00,0.35,71,84,56,-20.8,9.46,29084.14,-16.6,-8.3,-22.8,12.6,20.7,233,0.14,0.51
2015-02-04,2.00,0.00,1.89,82,89,66,-13.3,6.12,8156.57,-10.7,-8.1,-12.2,7.9,13.0,249,0.11,0.38
2015-02-05,0.00,0.00,0.21,71,81,49,-21.4,11.28,31803.09,-17.3,-11.2,-21.9,9.5,12.1,325,0.08,0.36
2015-02-06,0.90,0.00,0.77,74,87,54,-17.2,8.42,29621.95,-13.4,-8.6,-19.5,16.1,19.2,236,0.15,0.50
2015-02-07,1.30,0.00,1.05,72,85,57,-18.2,7.62,18028.74,-14.2,-11.2,-16.2,8.3,13.0,22,0.10,0.40
2015-02-08,7.10,0.00,5.11,70,77,58,-19.9,5.47,14400.00,-15.7,-13.8,-17.3,17.1,19.7,70,0.09,0.36
2015-02-09,0.00,0.00,0.00,69,79,57,-21.5,11.29,32376.43,-17.1,-11.9,-21.0,12.7,17.4,61,0.11,0.52
2015-02-10,0.00,0.00,0.00,69,79,45,-20.3,11.97,32474.18,-15.6,-10.1,-21.1,6.5,9.6,30,0.15,0.54
2015-02-11,2.20,0.00,1.61,74,85,60,-16.3,3.98,0.00,-12.6,-8.2,-15.5,12.3,15.1,136,0.12,0.38
2015-02-12,1.60,0.00,1.19,73,93,52,-19.2,11.03,32491.70,-15.3,-7.7,-20.8,17.0,20.8,338,0.06,0.34
2015-02-13,0.00,0.00,0.00,66,76,46,-28.6,11.48,32303.17,-23.8,-18.0,-28.5,10.2,17.1,298,0.08,0.34
2015-02-14,2.50,0.00,2.03,73,87,52,-19.1,9.65,25028.07,-15.2,-12.4,-19.0,15.7,26.2,214,0.11,0.48
2015-02-15,0.00,0.00,0.14,63,73,47,-30.3,13.08,33058.96,-25.3,-19.1,-29.5,18.8,24.9,347,0.05,0.29
2015-02-16,0.00,0.00,0.00,62,74,39,-30.7,13.02,33669.51,-25.1,-18.2,-30.0,7.1,12.6,302,0.09,0.38
2015-02-17,0.00,0.00,0.00,62,77,42,-24.9,11.64,29631.20,-19.2,-12.0,-23.5,10.3,11.6,192,0.14,0.55
2015-02-18,0.20,0.00,0.42,75,84,60,-18.5,8.56,13924.98,-15.0,-11.6,-18.1,9.5,12.6,199,0.10,0.44
2015-02-19,0.00,0.00,0.07,70,83,52,-24.5,13.06,33165.73,-20.4,-14.1,-23.8,14.4,17.3,328,0.05,0.32
2015-02-20,0.00,0.00,0.00,65,76,42,-28.8,14.46,34533.61,-23.7,-18.6,-27.9,12.8,15.5,286,0.08,0.40
2015-02-21,1.10,0.00,0.84,69,76,60,-20.0,11.12,25200.00,-15.5,-8.3,-21.1,12.4,15.6,193,0.13,0.65
2015-02-22,0.00,0.00,0.14,77,89,56,-15.6,11.49,32560.03,-12.3,-10.1,-13.9,10.6,15.5,247,0.12,0.54
2015-02-23,0.80,0.00,0.63,63,74,47,-26.7,14.49,35279.12,-21.4,-13.4,-26.3,15.2,18.3,291,0.07,0.39
2015-02-24,1.00,0.00,0.70,70,79,51,-21.3,10.88,20094.60,-16.9,-10.9,-22.4,21.8,27.0,210,0.12,0.53
2015-02-25,0.50,0.00,0.77,70,88,46,-18.8,14.52,34836.89,-14.4,-11.0,-17.5,14.6,20.1,271,0.10,0.51
2015-02-26,0.00,0.00,0.00,66,79,45,-25.6,15.66,35877.72,-20.7,-16.6,-25.9,7.3,9.4,335,0.09,0.52
2015-02-27,0.00,0.00,0.00,67,78,50,-24.9,15.77,36076.09,-20.1,-13.3,-24.7,11.7,18.0,246,0.11,0.53
2015-02-28,0.00,0.00,0.00,74,83,57,-18.1,15.52,36273.62,-14.4,-8.3,-17.7,16.0,18.3,232,0.14,0.72
2015-03-01,0.00,0.00,0.00,72,86,50,-15.6,13.52,36470.68,-11.4,-6.4,-14.3,13.6,17.3,211,0.19,0.78
2015-03-02,0.10,0.00,0.42,74,91,44,-13.3,13.71,35312.80,-9.1,-7.1,-10.5,16.5,23.5,273,0.20,0.77
2015-03-03,3.70,0.00,2.66,77,86,59,-14.4,8.52,13180.68,-11.1,-6.7,-15.1,13.6,19.1,192,0.15,0.55
2015-03-04,1.90,0.00,1.40,76,91,54,-11.3,13.08,34230.90,-7.7,-6.5,-11.0,19.2,24.8,247,0.16,0.72
2015-03-05,0.00,0.00,0.00,66,81,43,-20.6,16.84,37268.49,-15.5,-12.0,-19.5,11.8,19.6,298,0.12,0.72
2015-03-06,0.00,0.00,0.00,72,81,55,-19.8,16.36,37469.77,-15.7,-9.4,-19.7,17.6,24.9,226,0.13,0.69
2015-03-07,0.50,0.00,0.77,76,90,61,-11.3,9.49,14940.47,-7.7,-3.0,-10.9,15.8,21.6,231,0.19,0.79
2015-03-08,1.40,0.00,1.26,80,94,52,-9.6,13.06,22281.51,-6.4,-3.8,-8.0,11.1,15.5,253,0.22,0.90
