latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.745167,-75.55554,93.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,1.30,0.00,0.98,56,71,49,-12.2,2.73,4079.82,-4.8,-2.1,-6.7,20.7,31.1,234,0.25,0.95
2015-01-02,0.10,0.00,0.35,51,69,32,-13.1,6.75,27856.85,-4.2,-2.7,-6.8,16.9,21.9,268,0.30,1.05
2015-01-03,2.30,0.00,1.61,51,73,40,-16.3,3.48,3288.84,-7.8,-3.3,-10.8,8.6,12.6,68,0.28,0.60
2015-01-04,21.50,11.00,7.35,93,100,78,1.7,1.04,0.00,2.7,6.9,-2.9,9.3,26.8,183,0.11,0.21
2015-01-05,1.40,0.40,0.70,63,96,37,-14.5,7.91,27995.41,-8.3,3.2,-15.6,20.0,23.9,273,0.15,0.59
2015-01-06,0.20,0.00,0.49,67,75,57,-17.4,4.82,8631.38,-12.5,-7.4,-15.8,11.3,15.5,242,0.15,0.44
2015-01-07,0.80,0.00,0.98,68,78,51,-18.7,6.35,26182.70,-14.0,-8.9,-23.0,16.3,22.4,284,0.08,0.33
2015-01-08,0.00,0.00,0.77,67,79,58,-22.8,5.42,18659.15,-18.1,-7.5,-25.9,13.2,21.4,239,0.14,0.41
2015-01-09,3.50,0.00,2.80,65,74,46,-13.6,6.07,21452.22,-8.0,-6.2,-9.3,20.1,26.4,225,0.20,0.71
2015-01-10,0.00,0.00,0.00,71,82,52,-16.2,7.98,28078.26,-11.8,-8.4,-14.7,15.3,19.9,239,0.15,0.51
2015-01-11,0.00,0.00,0.00,71,85,52,-13.0,6.25,26725.66,-8.5,-3.3,-12.1,15.2,19.5,219,0.22,0.61
2015-01-12,5.70,0.00,3.99,80,95,69,-5.8,2.52,0.00,-2.9,-1.0,-5.7,11.5,19.1,235,0.15,0.43
2015-01-13,0.00,0.00,0.00,67,78,42,-23.1,8.64,28675.13,-18.3,-6.4,-25.1,10.0,20.1,341,0.11,0.34
2015-01-14,0.00,0.00,0.00,57,69,41,-22.8,8.77,28895.29,-16.1,-8.0,-20.5,3.3,7.5,110,0.19,0.45
2015-01-15,0.00,0.00,0.00,77,86,69,-16.4,4.53,12504.84,-13.2,-5.3,-17.7,8.8,17.6,185,0.13,0.34
2015-01-16,2.00,0.00,1.47,69,86,49,-13.0,8.49,29154.31,-8.1,-2.9,-15.1,19.2,24.4,268,0.12,0.57
2015-01-17,0.00,0.00,0.00,63,73,42,-23.3,7.42,28314.14,-17.7,-10.1,-22.5,7.7,13.4,336,0.16,0.38
2015-01-18,0.60,0.60,0.00,68,90,56,-5.6,5.76,15326.22,-0.4,5.0,-9.9,18.2,22.5,191,0.28,1.05
2015-01-19,1.10,0.10,0.77,87,98,67,-3.5,4.24,10176.62,-1.6,1.2,-7.4,12.5,18.2,270,0.14,0.39
2015-01-20,0.00,0.00,0.00,69,83,52,-17.1,8.44,29713.26,-12.6,-8.3,-16.1,10.9,13.8,283,0.14,0.48
2015-01-21,0.00,0.00,0.00,72,81,53,-20.3,9.37,29829.07,-16.2,-9.1,-22.3,7.0,11.3,327,0.14,0.45
2015-01-22,0.00,0.00,0.00,74,81,56,-19.2,9.32,29990.88,-15.5,-8.3,-20.9,7.5,11.5,359,0.14,0.46
2015-01-23,0.00,0.00,0.00,78,88,64,-10.6,7.92,28942.87,-7.4,-1.1,-13.1,15.9,26.6,222,0.20,0.63
2015-01-24,0.00,0.00,0.00,85,93,73,-5.3,5.82,17226.61,-3.1,-0.6,-4.9,13.9,18.6,221,0.16,0.52
2015-01-25,0.50,0.00,0.49,72,90,52,-13.4,9.35,30435.53,-9.1,-1.6,-15.3,14.7,21.9,298,0.11,0.47
2015-01-26,0.00,0.00,0.00,67,77,52,-22.4,8.45,28845.47,-17.7,-12.2,-22.7,11.4,17.1,26,0.11,0.39
2015-01-27,0.00,0.00,0.00,63,73,46,-20.1,8.31,25354.60,-14.5,-9.9,-17.2,16.3,18.9,32,0.16,0.54
2015-01-28,0.00,0.00,0.00,64,76,43,-19.7,10.52,30807.43,-14.2,-7.8,-18.9,10.7,15.3,324,0.19,0.60
2015-01-29,0.70,0.00,0.56,63,73,42,-16.4,4.83,8581.89,-10.4,0.5,-16.2,10.1,14.8,179,0.34,0.65
2015-01-30,5.60,0.00,4.06,74,94,55,-10.0,8.15,26705.72,-6.1,-0.2,-14.8,15.9,21.4,291,0.19,0.52
2015-01-31,0.00,0.00,0.00,66,76,47,-24.3,10.90,31199.79,-19.4,-13.8,-24.5,11.1,15.6,298,0.11,0.42
2015-02-01,0.30,0.00,0.35,70,84,49,-19.6,9.98,25246.11,-15.2,-11.5,-17.8,10.6,15.6,326,0.10,0.40
2015-02-02,7.80,0.00,5.53,69,75,63,-22.7,3.99,0.00,-18.4,-16.5,-20.1,16.4,23.9,36,0.06,0.27
2015-02-03,0.00,0.00,0.14,72,78,58,-21.3,9.30,31375.23,-17.5,-6.8,-24.6,11.5,23.3,238,0.13,0.45
2015-02-04,3.40,0.00,2.52,83,89,72,-8.7,5.27,2647.71,-6.2,-0.8,-10.2,14.0,21.3,211,0.15,0.49
2015-02-05,2.90,0.10,1.96,71,91,44,-15.7,11.56,31899.96,-11.3,-1.7,-16.9,12.6,14.8,321,0.12,0.48
2015-02-06,0.30,0.00,0.56,71,81,55,-19.5,9.15,24502.60,-15.3,-5.1,-24.2,11.8,18.3,225,0.19,0.58
2015-02-07,1.20,0.00,1.05,74,88,60,-14.2,7.45,18899.08,-10.3,-6.3,-13.6,8.6,14.1,322,0.13,0.49
2015-02-08,7.70,0.00,5.46,74,79,69,-17.7,2.49,0.00,-14.1,-11.0,-15.9,17.4,21.9,43,0.07,0.28
2015-02-09,0.60,0.00,1.26,75,79,69,-16.7,4.30,857.29,-13.1,-10.7,-14.5,16.8,20.7,40,0.08,0.38
2015-02-10,0.00,0.00,0.00,75,86,58,-14.3,12.22,32649.44,-10.7,-6.1,-13.9,8.0,10.7,3,0.16,0.68
2015-02-11,0.00,0.00,0.00,72,83,54,-16.3,10.46,26253.74,-12.1,-6.3,-17.0,8.8,12.2,36,0.17,0.62
2015-02-12,2.10,0.00,2.03,78,92,56,-12.3,8.18,18454.36,-9.1,-8.0,-13.2,8.9,18.1,319,0.14,0.49
2015-02-13,0.00,0.00,0.21,62,76,42,-25.8,13.33,33660.72,-20.3,-14.2,-24.7,13.4,18.6,291,0.08,0.43
2015-02-14,3.20,0.00,2.45,71,84,62,-17.7,7.08,3047.66,-13.6,-4.7,-21.5,10.5,14.6,169,0.16,0.54
2015-02-15,1.20,0.00,1.26,67,87,47,-21.4,13.14,32565.48,-16.6,-9.2,-20.9,18.5,21.5,339,0.07,0.41
2015-02-16,0.00,0.00,0.00,59,71,42,-27.8,14.01,34141.66,-21.8,-15.7,-26.3,12.9,17.1,295,0.10,0.47
2015-02-17,0.00,0.00,0.00,62,76,30,-25.3,13.44,33327.22,-19.5,-11.3,-25.4,5.8,11.4,184,0.17,0.63
2015-02-18,0.00,0.00,0.14,69,80,46,-18.3,12.30,29720.66,-13.6,-5.2,-18.4,8.9,12.9,190,0.22,0.75
2015-02-19,1.20,0.00,1.26,74,88,51,-16.6,10.17,27159.85,-12.7,-8.3,-16.1,13.2,18.9,306,0.10,0.44
2015-02-20,0.10,0.00,0.77,62,71,45,-23.9,14.00,33005.54,-18.3,-13.6,-21.0,16.3,18.4,272,0.12,0.56
2015-02-21,3.00,0.00,2.24,69,81,49,-18.6,5.95,2407.82,-14.0,-6.9,-19.8,11.1,17.6,193,0.16,0.49
2015-02-22,1.80,0.00,1.40,78,91,51,-10.3,12.72,33219.21,-6.8,-2.9,-10.2,9.1,16.0,233,0.24,0.85
2015-02-23,0.20,0.00,0.28,63,87,40,-20.6,15.06,35074.11,-14.9,-5.7,-20.4,15.2,20.5,286,0.11,0.53
2015-02-24,0.00,0.00,0.00,64,81,36,-23.3,12.70,34937.14,-17.5,-8.6,-22.6,15.2,20.8,205,0.20,0.65
2015-02-25,0.60,0.00,0.63,64,85,45,-14.1,12.64,29143.12,-8.2,-5.8,-9.9,15.5,19.7,233,0.21,0.95
2015-02-26,0.00,0.00,0.00,65,80,42,-21.0,12.65,35141.93,-15.7,-10.3,-21.2,7.4,10.7,355,0.14,0.59
2015-02-27,0.00,0.00,0.00,61,76,39,-22.0,16.47,36327.13,-15.9,-9.9,-22.8,9.2,15.5,256,0.17,0.74
2015-02-28,0.00,0.00,0.00,70,81,51,-17.9,16.28,36493.46,-13.4,-6.9,-18.5,14.3,18.4,226,0.18,0.84
2015-03-01,0.30,0.00,0.49,74,85,54,-13.4,10.54,18356.83,-9.6,-3.1,-14.8,10.9,15.1,199,0.19,0.78
2015-03-02,0.90,0.00,1.61,75,93,46,-9.5,10.92,28664.64,-5.4,-2.6,-8.3,15.2,25.4,268,0.27,0.85
2015-03-03,2.00,0.00,1.40,71,87,50,-14.4,10.98,20816.08,-9.8,-3.5,-17.2,9.7,12.2,218,0.23,0.79
2015-03-04,7.50,0.00,5.25,72,89,52,-6.2,9.35,22170.15,-1.6,0.8,-4.6,19.0,22.2,236,0.31,1.08
2015-03-05,0.00,0.00,0.00,61,78,44,-16.3,14.79,37129.14,-10.0,-2.7,-13.1,13.2,20.6,295,0.21,0.92
2015-03-06,0.00,0.00,0.00,67,79,51,-20.3,17.27,37658.35,-15.4,-8.6,-21.6,12.5,22.3,229,0.15,0.77
2015-03-07,0.30,0.00,0.49,74,81,63,-11.5,9.85,12424.73,-7.6,-2.8,-11.7,15.8,17.7,219,0.18,0.84
2015-03-08,0.50,0.10,0.49,79,93,46,-8.0,12.10,33869.61,-4.6,1.0,-8.5,12.5,20.2,241,0.36,0.98
2015-03-09,0.60,0.00,0.56,74,92,49,-5.9,15.96,33647.51,-1.6,2.9,-4.3,14.1,20.4,232,0.37,1.45
2015-03-10,0.00,0.00,0.00,76,94,49,-2.8,15.71,33680.12,1.5,8.2,-2.9,14.9,20.1,214,0.54,1.79
2015-03-11,0.00,0.00,0.00,76,96,52,-0.3,12.64,33857.68,3.7,6.5,1.5,17.4,21.1,237,0.46,1.53
2015-03-12,0.20,0.10,0.14,64,82,42,-9.2,18.14,38144.98,-2.9,1.9,-6.3,16.5,22.1,309,0.29,1.41
2015-03-13,0.00,0.00,0.00,54,66,46,-12.8,10.99,24377.21,-4.8,1.1,-10.5,6.4,12.0,78,0.35,1.15
2015-03-14,3.70,3.70,0.00,84,93,72,-2.3,2.60,0.00,0.1,4.0,-2.5,6.8,11.2,72,0.15,0.43
2015-03-15,4.40,2.70,1.40,82,97,60,-2.2,7.69,5764.92,0.7,2.1,-1.1,12.9,20.1,317,0.29,0.85
2015-03-16,0.00,0.00,0.00,76,88,58,-4.9,12.70,26032.04,-0.9,5.8,-7.1,8.0,10.5,223,0.38,1.33
2015-03-17,5.10,4.50,0.42,75,96,31,-4.4,12.17,24012.07,0.3,1.8,-3.0,17.0,30.0,295,0.39,1.11
2015-03-18,0.00,0.00,0.00,51,64,34,-15.8,16.71,37661.04,-7.1,-3.9,-10.6,16.8,23.1,322,0.29,1.33
2015-03-19,0.00,0.00,0.00,53,68,33,-17.1,20.79,40146.64,-8.7,-1.0,-15.8,9.3,11.5,307,0.38,1.58
2015-03-20,0.00,0.00,0.00,63,78,40,-10.1,17.85,37352.91,-3.8,4.0,-8.8,10.2,17.2,195,0.44,1.75
2015-03-21,4.80,2.10,1.96,85,91,78,-1.5,6.83,10757.75,0.7,3.4,-1.5,16.1,24.9,213,0.14,0.70
2015-03-22,0.00,0.00,0.00,50,73,32,-18.1,20.22,38971.49,-9.1,-2.8,-13.6,16.4,22.3,318,0.23,1.32
2015-03-23,0.00,0.00,0.00,53,66,41,-19.0,21.21,40892.04,-11.2,-5.7,-16.6,12.0,15.3,300,0.24,1.26
2015-03-24,0.00,0.00,0.00,58,74,41,-14.8,21.41,41078.87,-7.7,1.2,-14.4,6.4,9.9,245,0.39,1.81
2015-03-25,2.00,2.00,0.00,65,83,32,-8.7,17.94,30916.57,-2.4,8.9,-10.9,10.4,17.3,178,0.76,2.04
2015-03-26,2.60,2.30,0.21,90,99,80,1.5,6.08,2239.98,2.9,4.4,0.9,15.7,25.8,215,0.16,0.71
2015-03-27,0.70,0.00,0.84,82,99,52,-3.8,11.13,20960.82,-0.8,0.5,-3.1,10.8,15.0,303,0.30,1.02
2015-03-28,0.00,0.00,0.00,50,63,32,-15.6,22.65,41826.73,-6.6,-2.6,-11.1,13.6,15.2,343,0.34,1.76
2015-03-29,0.00,0.00,0.00,50,64,40,-14.8,22.61,42013.27,-5.8,1.6,-12.8,11.9,20.8,231,0.40,1.94
2015-03-30,2.40,1.80,0.70,65,86,45,-4.4,13.47,23686.60,1.6,6.4,-2.5,20.9,25.6,216,0.45,1.82
2015-03-31,0.10,0.10,0.00,58,86,31,-8.5,22.61,41913.19,-0.3,2.5,-3.2,11.0,15.2,310,0.50,2.24
2015-04-01,0.00,0.00,0.00,44,59,30,-14.0,23.34,42498.68,-3.2,3.3,-9.7,9.4,11.6,324,0.54,2.33
2015-04-02,0.40,0.00,0.28,58,69,37,-4.9,17.21,22069.47,3.0,14.7,-4.2,13.6,22.7,199,1.05,2.74
2015-04-03,3.10,3.10,0.00,79,100,45,3.7,20.21,39119.18,7.8,13.3,2.1,15.3,20.7,224,0.84,2.65
2015-04-04,6.70,3.20,2.45,69,100,28,-4.4,21.26,36000.00,1.8,6.7,-1.4,15.5,21.1,303,0.53,2.04
2015-04-05,0.00,0.00,0.00,46,64,29,-10.7,18.57,42936.69,-0.2,4.0,-2.9,16.8,22.7,264,0.57,2.31
2015-04-06,3.90,0.40,2.52,75,95,59,-4.5,6.33,858.70,-0.4,1.8,-2.8,6.0,12.3,207,0.25,0.85
