latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.182774,-77.51523,134.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.20,0.00,0.28,52,58,43,-13.0,3.10,0.00,-4.7,-2.5,-6.5,23.9,31.4,245,0.23,1.12
2015-01-02,0.00,0.00,0.14,57,72,42,-11.3,6.53,27633.10,-3.8,-2.1,-6.0,16.6,25.5,278,0.26,0.99
2015-01-03,6.90,0.00,4.90,66,92,51,-11.2,2.25,0.00,-5.8,-0.9,-9.3,11.8,22.7,96,0.18,0.48
2015-01-04,16.00,11.90,2.87,97,100,90,2.2,1.09,0.00,2.7,4.6,-0.4,12.9,27.7,180,0.06,0.18
2015-01-05,0.10,0.00,0.14,64,84,51,-14.4,6.89,27655.24,-8.7,-0.9,-13.6,18.9,25.4,290,0.14,0.62
2015-01-06,0.10,0.00,0.49,58,64,53,-17.2,4.58,10037.18,-10.5,-7.6,-12.4,13.0,19.8,253,0.16,0.58
2015-01-07,0.00,0.00,0.00,58,69,46,-20.1,7.60,28121.51,-13.6,-8.2,-21.1,20.1,25.0,299,0.14,0.53
2015-01-08,0.00,0.00,0.00,64,76,55,-20.3,4.79,12759.30,-14.9,-8.0,-23.0,16.7,25.3,249,0.13,0.47
2015-01-09,3.50,0.00,2.94,63,73,50,-13.9,6.10,27487.25,-8.0,-6.0,-9.6,22.3,27.6,246,0.20,0.76
2015-01-10,0.00,0.00,0.00,62,69,54,-17.0,7.39,28055.73,-11.2,-9.1,-13.2,18.5,22.1,252,0.13,0.62
2015-01-11,0.00,0.00,0.00,67,75,55,-12.6,6.62,26099.31,-7.5,-1.9,-11.2,14.9,22.5,233,0.23,0.71
2015-01-12,3.50,0.00,2.52,79,91,68,-5.2,3.20,581.11,-2.0,-0.6,-4.3,11.5,20.9,256,0.16,0.50
2015-01-13,0.00,0.00,0.00,61,71,37,-23.2,8.58,29120.59,-17.4,-6.5,-23.3,11.1,22.0,2,0.13,0.42
2015-01-14,0.00,0.00,0.00,67,77,48,-18.7,7.86,28981.71,-13.9,-7.6,-18.9,6.4,10.4,100,0.11,0.45
2015-01-15,0.00,0.00,0.00,79,89,71,-13.2,3.98,8012.19,-10.2,-4.9,-13.9,9.9,20.4,227,0.12,0.35
2015-01-16,0.60,0.00,0.56,66,81,46,-12.4,8.94,29465.06,-7.1,-2.7,-13.3,19.2,23.3,280,0.15,0.70
2015-01-17,0.00,0.00,0.00,68,72,62,-19.8,6.24,27050.15,-15.1,-6.0,-21.6,11.9,18.0,96,0.12,0.41
2015-01-18,2.60,2.60,0.00,82,96,71,-1.5,2.30,195.63,1.3,2.6,-4.2,17.9,22.4,180,0.20,0.59
2015-01-19,0.00,0.00,0.00,83,96,63,-4.7,6.70,24720.44,-2.0,-0.1,-6.6,14.3,17.1,284,0.18,0.56
2015-01-20,0.00,0.00,0.00,63,75,46,-17.9,9.66,29964.80,-12.1,-7.5,-17.3,8.9,14.2,314,0.18,0.57
2015-01-21,0.00,0.00,0.00,64,74,52,-19.4,8.15,29034.83,-13.9,-7.0,-19.8,6.9,9.0,32,0.17,0.52
2015-01-22,0.00,0.00,0.00,61,71,44,-17.6,9.30,30235.83,-11.3,-4.4,-16.8,8.0,10.6,349,0.25,0.68
2015-01-23,0.00,0.00,0.00,77,86,66,-8.4,7.84,30377.13,-5.0,-0.8,-8.3,16.1,24.8,236,0.20,0.66
2015-01-24,0.00,0.00,0.00,85,91,74,-5.4,4.21,11155.32,-3.1,-0.9,-5.0,12.1,18.7,236,0.15,0.44
2015-01-25,0.00,0.00,0.00,66,89,46,-13.3,10.39,30670.04,-7.9,-0.6,-14.5,13.7,20.8,318,0.16,0.65
2015-01-26,0.00,0.00,0.07,57,66,44,-21.2,6.59,20782.59,-14.5,-10.5,-18.0,13.2,17.1,43,0.15,0.52
2015-01-27,0.00,0.00,0.35,54,65,38,-20.2,9.86,30433.75,-12.6,-7.8,-15.6,15.5,17.4,28,0.21,0.75
2015-01-28,0.00,0.00,0.00,55,65,36,-19.9,10.59,31131.51,-12.4,-3.4,-18.4,9.2,14.1,327,0.30,0.80
2015-01-29,2.60,0.00,1.82,73,84,60,-12.2,2.33,0.00,-8.1,-0.9,-14.3,11.0,16.9,147,0.20,0.44
2015-01-30,4.50,0.00,3.22,73,97,50,-11.1,10.70,31451.16,-6.9,-1.3,-13.9,15.7,22.0,323,0.14,0.58
2015-01-31,0.00,0.00,0.00,68,81,51,-21.9,10.77,31614.98,-17.4,-9.9,-24.7,9.0,15.3,306,0.12,0.52
2015-02-01,0.00,0.00,0.00,70,88,48,-16.6,8.88,20985.94,-12.0,-6.7,-16.9,11.8,15.9,4,0.11,0.43
2015-02-02,10.10,0.00,7.28,66,72,55,-21.8,5.78,13277.05,-16.8,-13.2,-18.5,19.5,24.4,32,0.10,0.40
2015-02-03,0.00,0.00,0.14,74,81,64,-19.4,7.75,21638.03,-15.8,-6.1,-22.7,12.3,19.8,261,0.14,0.48
2015-02-04,4.40,0.00,3.15,84,92,76,-7.4,4.41,30.85,-5.1,-1.1,-8.5,11.0,17.2,230,0.13,0.46
2015-02-05,0.50,0.00,0.42,69,85,45,-15.9,12.01,32078.15,-11.0,-2.8,-16.0,12.3,14.8,326,0.14,0.59
2015-02-06,0.70,0.00,0.63,73,82,58,-15.8,9.10,32167.86,-11.8,-3.8,-19.0,14.0,22.0,255,0.20,0.63
2015-02-07,4.00,0.00,3.01,82,90,72,-9.9,4.13,17.19,-7.4,-5.5,-9.1,9.0,16.2,342,0.11,0.38
2015-02-08,8.40,0.00,6.09,76,81,70,-15.9,2.56,0.00,-12.4,-8.2,-13.8,17.9,20.6,42,0.07,0.31
2015-02-09,0.00,0.00,0.00,72,76,66,-16.8,4.99,987.75,-12.7,-9.8,-14.6,16.7,20.0,32,0.10,0.45
2015-02-10,0.00,0.00,0.00,72,85,47,-14.5,12.84,32887.50,-10.2,-4.4,-14.6,7.9,10.7,8,0.24,0.77
2015-02-11,0.30,0.00,0.21,74,83,59,-15.0,9.13,22796.95,-11.3,-5.9,-15.0,8.2,11.5,68,0.14,0.57
2015-02-12,1.40,0.00,1.12,76,93,52,-11.1,10.47,30349.95,-7.3,-4.0,-14.6,12.4,18.3,306,0.14,0.57
2015-02-13,0.00,0.00,0.00,62,75,43,-25.8,13.53,33529.36,-20.2,-15.8,-25.1,11.4,18.8,304,0.10,0.48
2015-02-14,2.80,0.00,2.24,72,86,47,-14.9,9.82,29469.30,-10.6,-5.9,-18.1,10.8,15.9,235,0.19,0.68
2015-02-15,0.00,0.00,0.14,60,77,44,-23.7,13.92,33568.00,-17.8,-11.0,-23.4,19.5,23.5,331,0.09,0.48
2015-02-16,0.00,0.00,0.00,58,69,39,-27.7,14.21,34204.61,-21.4,-14.5,-26.0,11.0,18.1,310,0.12,0.55
2015-02-17,0.00,0.00,0.00,67,76,53,-23.3,12.63,32275.59,-18.7,-10.7,-25.1,6.0,9.0,263,0.11,0.59
2015-02-18,0.50,0.00,0.42,77,88,57,-14.3,8.91,19838.58,-10.8,-6.4,-14.1,10.4,15.2,203,0.16,0.56
2015-02-19,0.00,0.00,0.07,67,79,48,-19.3,14.66,34691.91,-14.4,-9.0,-18.5,15.9,20.9,307,0.10,0.54
2015-02-20,0.00,0.00,0.00,61,71,45,-25.9,14.86,34999.84,-20.2,-15.2,-23.6,15.7,20.3,285,0.10,0.53
2015-02-21,4.20,0.00,3.08,77,90,70,-16.6,5.10,0.00,-13.5,-7.3,-18.0,11.5,15.1,170,0.08,0.37
2015-02-22,0.80,0.00,0.70,81,91,66,-11.7,11.95,30120.98,-8.9,-4.2,-14.6,8.9,14.5,264,0.14,0.71
2015-02-23,0.00,0.00,0.07,62,77,43,-22.2,15.39,35689.38,-16.3,-7.0,-19.7,16.1,21.6,290,0.10,0.57
2015-02-24,0.00,0.00,0.00,68,80,48,-20.5,11.92,24972.80,-15.7,-8.1,-21.4,16.5,23.9,215,0.17,0.62
2015-02-25,0.80,0.00,0.77,68,84,48,-14.3,14.41,36013.93,-9.3,-8.0,-11.6,16.7,21.3,260,0.17,0.81
2015-02-26,0.00,0.00,0.00,64,79,42,-21.1,12.29,32919.74,-15.6,-10.9,-19.9,8.5,13.2,345,0.15,0.63
2015-02-27,0.00,0.00,0.00,66,79,46,-21.1,16.16,36434.56,-16.0,-10.5,-22.0,10.8,15.5,284,0.14,0.69
2015-02-28,0.00,0.00,0.00,70,79,55,-17.8,15.22,36619.36,-13.3,-6.6,-18.0,11.3,14.6,256,0.16,0.82
2015-03-01,0.10,0.00,0.42,79,85,69,-12.3,11.92,22453.44,-9.2,-3.5,-14.4,9.4,13.2,188,0.15,0.81
2015-03-02,0.30,0.00,0.70,74,91,48,-10.1,12.42,34246.68,-5.9,-3.5,-8.2,15.6,26.2,275,0.25,0.86
2015-03-03,5.70,0.00,4.06,80,90,65,-13.4,7.38,5910.98,-10.5,-5.4,-16.7,11.8,19.3,204,0.13,0.51
2015-03-04,4.60,0.00,3.29,74,94,54,-6.2,12.65,32576.12,-2.0,-0.2,-5.0,18.4,22.6,259,0.27,1.13
