latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.64323,-81.159424,277.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.70,0.00,0.77,76,80,70,-13.5,3.28,7439.55,-10.0,-6.0,-13.8,17.2,22.5,248,0.11,0.38
2015-01-02,0.00,0.00,0.00,76,84,59,-19.0,6.12,26072.91,-15.6,-8.7,-21.5,7.7,12.3,286,0.09,0.25
2015-01-03,1.30,0.00,1.05,86,89,79,-15.4,2.30,0.00,-13.5,-5.5,-21.2,11.0,16.6,123,0.07,0.19
2015-01-04,7.10,0.00,4.97,84,91,72,-11.1,2.30,2261.35,-8.9,-6.3,-14.5,13.2,18.0,21,0.08,0.21
2015-01-05,1.40,0.00,1.05,67,78,53,-26.4,6.93,26585.37,-21.9,-15.9,-27.4,11.9,16.1,295,0.05,0.23
2015-01-06,0.30,0.00,0.56,77,82,69,-19.6,3.75,2647.90,-16.4,-10.9,-19.7,13.0,17.7,248,0.08,0.24
2015-01-07,0.20,0.00,0.28,65,85,50,-27.5,7.00,26745.58,-22.7,-12.8,-27.5,15.0,19.4,337,0.04,0.20
2015-01-08,1.00,0.00,1.12,76,84,66,-21.6,3.14,0.00,-18.4,-11.2,-27.3,14.3,21.4,238,0.09,0.23
2015-01-09,3.90,0.00,2.80,73,86,49,-18.1,6.98,26434.22,-14.2,-10.8,-18.4,12.0,15.5,268,0.09,0.28
2015-01-10,0.00,0.00,0.21,75,83,62,-21.0,5.19,17711.83,-17.6,-11.4,-23.6,13.3,22.6,241,0.10,0.27
2015-01-11,0.10,0.00,0.63,82,90,71,-14.3,4.04,8683.83,-11.8,-5.5,-17.1,10.6,14.3,239,0.12,0.30
2015-01-12,2.80,0.00,1.96,77,88,56,-16.0,7.09,24825.94,-12.7,-7.2,-21.4,11.1,16.9,343,0.07,0.24
2015-01-13,0.00,0.00,0.00,69,81,54,-28.0,7.48,27871.95,-23.8,-15.1,-29.9,9.3,12.2,275,0.08,0.24
2015-01-14,0.00,0.00,0.00,82,88,70,-14.2,3.67,3671.77,-11.6,-7.3,-17.6,12.3,15.0,220,0.11,0.27
2015-01-15,1.50,0.00,1.61,87,91,78,-8.9,2.59,0.00,-7.1,-3.3,-10.7,14.0,23.0,217,0.10,0.25
2015-01-16,0.50,0.00,0.42,68,87,51,-18.6,8.04,28256.75,-13.9,-3.0,-19.5,14.5,19.7,316,0.11,0.39
2015-01-17,2.50,0.00,1.89,76,90,70,-22.4,2.04,0.00,-19.3,-5.5,-25.3,12.9,18.7,125,0.05,0.17
2015-01-18,4.90,0.40,3.64,91,97,80,-1.3,3.41,1464.48,-0.0,0.9,-3.4,12.1,18.7,219,0.13,0.35
2015-01-19,0.30,0.00,0.35,73,81,55,-17.5,8.39,28669.96,-13.6,-3.7,-17.8,14.9,19.1,359,0.09,0.39
2015-01-20,0.00,0.00,0.00,69,79,45,-24.8,8.46,28659.70,-20.4,-12.9,-24.8,7.6,11.1,350,0.12,0.31
2015-01-21,0.00,0.00,0.00,66,79,36,-24.8,8.01,28962.57,-19.6,-9.1,-25.1,2.8,7.2,300,0.19,0.38
2015-01-22,0.00,0.00,0.00,72,85,54,-17.8,8.00,28012.02,-13.7,-6.4,-20.1,7.1,11.9,280,0.17,0.44
2015-01-23,1.30,0.00,1.05,86,90,80,-8.4,2.73,0.00,-6.4,-1.4,-12.2,18.2,22.7,231,0.10,0.34
2015-01-24,1.70,0.10,1.54,87,96,73,-3.7,4.00,9424.62,-1.8,1.0,-5.6,12.7,19.1,261,0.17,0.43
2015-01-25,0.00,0.00,0.00,69,78,50,-21.3,9.29,29598.21,-16.8,-7.4,-21.3,14.4,21.3,354,0.10,0.40
2015-01-26,0.00,0.00,0.00,69,78,51,-24.8,8.30,29765.97,-20.6,-13.7,-25.6,8.3,10.9,53,0.10,0.33
2015-01-27,0.00,0.00,0.00,68,79,41,-22.9,9.46,29936.72,-18.1,-11.0,-22.4,11.3,12.9,38,0.15,0.43
2015-01-28,0.00,0.00,0.00,63,75,39,-21.8,9.26,30110.21,-16.2,-6.6,-22.1,8.0,11.0,324,0.22,0.55
2015-01-29,5.00,0.00,3.57,84,91,74,-10.5,2.35,0.00,-8.2,-4.2,-12.5,10.3,14.2,160,0.09,0.27
2015-01-30,0.00,0.00,0.00,67,90,49,-21.2,9.90,30464.35,-16.4,-5.8,-21.9,16.8,24.4,346,0.08,0.40
2015-01-31,0.30,0.00,0.35,75,83,68,-22.1,5.80,19863.91,-18.8,-7.1,-25.6,8.4,11.8,240,0.08,0.30
2015-02-01,0.00,0.00,0.00,66,84,49,-26.3,7.59,20486.68,-21.6,-9.3,-27.7,13.9,19.4,16,0.06,0.26
2015-02-02,0.00,0.00,0.00,63,73,47,-27.7,10.51,31029.00,-22.5,-16.8,-26.1,11.1,15.3,20,0.09,0.36
2015-02-03,0.00,0.00,0.07,73,84,56,-20.2,9.38,29794.10,-16.4,-8.2,-22.2,10.3,14.7,242,0.15,0.49
2015-02-04,1.10,0.00,1.19,76,86,53,-16.4,7.28,22900.04,-12.9,-9.4,-14.8,7.7,12.8,293,0.14,0.41
2015-02-05,0.40,0.00,0.35,69,78,48,-22.9,11.01,31486.11,-18.5,-13.0,-24.3,9.2,13.5,299,0.10,0.38
2015-02-06,0.40,0.00,0.28,72,86,49,-17.2,10.59,31542.64,-13.1,-9.2,-17.4,13.0,16.6,256,0.16,0.54
2015-02-07,2.50,0.00,1.89,69,77,54,-20.3,7.57,20621.16,-15.9,-12.9,-17.5,9.3,14.5,43,0.09,0.37
2015-02-08,6.70,0.00,4.69,68,75,53,-21.7,8.39,21771.62,-17.1,-14.6,-18.8,17.2,19.2,51,0.09,0.41
2015-02-09,0.00,0.00,0.00,67,77,51,-23.4,10.98,31815.49,-18.6,-12.1,-23.2,12.2,17.6,37,0.11,0.49
2015-02-10,0.00,0.00,0.00,68,76,50,-21.1,10.90,32134.05,-16.3,-10.2,-19.9,8.9,12.6,17,0.14,0.51
2015-02-11,2.70,0.00,2.10,79,89,75,-15.2,3.79,0.00,-12.4,-5.7,-16.1,10.2,13.6,126,0.07,0.32
2015-02-12,0.20,0.00,0.28,67,91,49,-22.2,11.92,32881.74,-17.5,-6.6,-23.2,19.0,22.8,351,0.07,0.37
2015-02-13,0.50,0.00,0.42,68,81,50,-28.5,10.40,27394.53,-24.2,-17.4,-30.2,10.1,14.7,269,0.07,0.30
2015-02-14,2.20,0.00,2.31,74,87,55,-20.9,8.78,27391.48,-17.2,-14.2,-22.9,17.9,29.9,340,0.06,0.28
2015-02-15,0.00,0.00,0.00,59,68,42,-32.5,13.20,33493.12,-26.6,-22.0,-30.8,18.8,26.3,355,0.06,0.32
2015-02-16,0.00,0.00,0.00,62,73,39,-30.7,12.29,33590.02,-25.1,-16.4,-31.9,7.8,11.3,290,0.10,0.39
2015-02-17,0.60,0.00,0.63,77,82,64,-21.6,8.27,16038.36,-18.5,-10.9,-23.5,10.1,14.1,187,0.10,0.37
2015-02-18,0.00,0.00,0.35,75,87,56,-19.4,8.49,22419.13,-15.8,-13.2,-18.9,9.4,15.6,337,0.10,0.37
2015-02-19,0.00,0.00,0.00,63,75,45,-28.3,13.87,34055.52,-23.1,-16.4,-27.6,14.9,16.8,343,0.06,0.34
