latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.001755,-93.864044,368.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.10,0.00,0.49,73,83,61,-20.1,4.50,23780.19,-16.4,-11.4,-21.6,18.7,21.2,299,0.05,0.24
2015-01-02,0.00,0.00,0.00,75,78,67,-26.9,4.95,23880.69,-23.7,-20.3,-25.4,8.9,14.3,254,0.04,0.13
2015-01-03,1.40,0.00,1.12,71,80,58,-26.4,4.90,23955.42,-22.5,-20.3,-25.7,11.3,15.7,7,0.04,0.13
2015-01-04,0.00,0.00,0.00,71,75,62,-33.4,4.86,24052.52,-29.9,-26.3,-32.4,11.9,14.5,298,0.02,0.08
2015-01-05,0.00,0.00,0.00,72,75,65,-31.2,3.75,20394.37,-27.7,-22.2,-30.5,15.3,18.2,254,0.03,0.12
2015-01-06,0.00,0.00,0.21,73,81,59,-25.7,4.34,24215.43,-22.1,-20.7,-24.7,16.6,22.5,298,0.04,0.15
2015-01-07,0.00,0.00,0.00,72,75,67,-30.0,4.90,24326.63,-26.4,-21.9,-29.0,17.9,22.0,290,0.03,0.14
2015-01-08,0.20,0.00,0.77,72,77,61,-23.7,3.81,18264.19,-19.9,-17.9,-21.8,16.8,24.4,280,0.06,0.21
2015-01-09,0.00,0.00,0.00,69,75,60,-26.4,4.67,24481.44,-22.2,-20.4,-23.5,20.0,22.1,298,0.05,0.21
2015-01-10,0.00,0.00,0.21,74,80,62,-24.2,5.10,24629.69,-20.8,-19.5,-22.1,12.5,18.0,275,0.05,0.18
2015-01-11,0.00,0.00,0.00,74,79,60,-27.0,5.35,24817.08,-23.6,-20.8,-25.8,12.7,15.1,263,0.05,0.16
2015-01-12,0.00,0.00,0.00,71,77,55,-28.8,5.68,24975.80,-25.0,-21.6,-27.9,11.2,15.8,290,0.04,0.14
2015-01-13,0.00,0.00,0.07,68,72,62,-25.6,3.97,17060.69,-21.1,-15.5,-23.5,17.3,20.6,215,0.06,0.24
2015-01-14,0.60,0.00,0.56,81,86,75,-17.3,3.01,187.57,-14.8,-12.5,-15.7,9.6,13.6,230,0.06,0.17
2015-01-15,0.90,0.00,0.77,78,89,65,-15.3,4.94,25081.11,-12.2,-7.3,-16.5,17.5,24.3,290,0.07,0.27
