latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.448154,-76.73981,130.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.00,0.00,0.07,53,61,43,-14.1,3.08,6564.69,-6.2,-3.3,-7.8,20.2,29.5,223,0.23,0.94
2015-01-02,0.60,0.00,0.56,54,71,32,-15.9,7.20,27473.87,-8.1,-4.1,-11.9,14.0,19.2,282,0.22,0.73
2015-01-03,3.70,0.00,2.59,62,81,48,-17.9,2.88,1072.18,-12.0,-8.1,-15.0,9.3,15.1,113,0.16,0.36
2015-01-04,20.20,7.40,9.03,90,95,84,-6.2,0.68,0.00,-4.8,-0.1,-9.3,9.2,16.9,63,0.07,0.18
2015-01-05,0.40,0.00,0.35,67,83,48,-19.6,7.65,27577.56,-14.7,-5.9,-20.7,17.5,21.2,288,0.08,0.36
2015-01-06,0.00,0.00,0.35,76,88,61,-21.1,4.41,7523.34,-17.9,-9.2,-23.5,12.5,19.0,222,0.12,0.30
2015-01-07,0.10,0.00,0.49,66,80,50,-22.2,7.24,27490.53,-17.3,-10.3,-25.6,18.3,23.7,296,0.09,0.30
2015-01-08,0.00,0.00,0.21,71,80,62,-25.0,4.54,11360.36,-21.0,-9.3,-29.0,12.2,19.8,221,0.12,0.30
2015-01-09,2.40,0.00,1.96,65,77,46,-15.3,6.54,25397.25,-9.9,-7.5,-12.1,17.7,23.7,234,0.19,0.61
2015-01-10,0.00,0.00,0.00,72,82,56,-18.3,6.83,25559.48,-14.3,-9.4,-17.7,13.6,18.5,230,0.13,0.41
2015-01-11,0.00,0.00,0.00,72,84,55,-14.8,6.24,25200.00,-10.6,-3.9,-14.2,14.3,19.9,216,0.20,0.52
2015-01-12,1.90,0.00,1.68,79,89,65,-8.4,3.69,4919.69,-5.3,-2.9,-11.5,11.8,19.2,265,0.14,0.40
2015-01-13,0.00,0.00,0.00,67,76,45,-25.5,8.29,28424.72,-20.9,-13.5,-27.1,9.9,18.7,324,0.10,0.31
2015-01-14,0.00,0.00,0.00,72,77,62,-24.1,7.90,28431.29,-20.3,-11.4,-25.4,7.0,10.1,176,0.09,0.33
2015-01-15,0.00,0.00,0.07,77,84,62,-18.3,4.60,13563.39,-15.1,-5.4,-21.1,9.4,16.3,187,0.15,0.33
2015-01-16,0.90,0.00,0.70,68,83,51,-15.4,8.12,28861.42,-10.6,-4.5,-16.9,19.0,23.8,287,0.10,0.50
2015-01-17,0.00,0.00,0.14,67,77,52,-25.1,5.45,17354.12,-20.4,-14.1,-26.6,11.0,18.8,143,0.09,0.27
2015-01-18,0.90,0.80,0.21,77,95,58,-5.2,4.03,7408.69,-1.7,3.8,-13.3,17.0,20.2,175,0.19,0.69
2015-01-19,1.40,0.10,1.05,83,97,62,-7.3,6.34,22996.77,-4.8,0.4,-12.1,14.1,18.9,298,0.13,0.41
2015-01-20,0.00,0.00,0.00,74,82,57,-20.2,8.83,29389.58,-16.5,-12.6,-19.8,12.5,15.9,301,0.10,0.36
2015-01-21,0.00,0.00,0.00,69,79,49,-22.5,9.06,29530.55,-18.1,-10.1,-24.1,6.3,12.4,316,0.13,0.42
2015-01-22,0.00,0.00,0.00,70,83,50,-21.0,8.74,29675.77,-16.5,-6.4,-24.7,4.8,8.4,277,0.19,0.47
2015-01-23,0.20,0.00,0.21,78,88,62,-10.9,4.29,8904.69,-7.5,-0.9,-13.4,14.4,19.0,224,0.21,0.51
2015-01-24,3.10,0.00,2.31,81,88,71,-5.0,4.83,13255.53,-2.1,0.3,-4.2,12.0,15.6,220,0.18,0.55
2015-01-25,0.20,0.00,0.42,70,90,51,-16.2,9.65,30133.96,-11.7,-1.2,-18.0,16.8,22.3,313,0.11,0.47
2015-01-26,0.00,0.00,0.00,70,80,50,-24.2,9.33,30293.33,-19.9,-12.8,-27.8,8.5,11.8,8,0.11,0.37
2015-01-27,0.00,0.00,0.00,66,75,45,-21.9,9.74,30455.59,-16.8,-11.0,-20.7,11.6,13.4,14,0.15,0.47
2015-01-28,0.00,0.00,0.00,65,77,40,-20.8,10.18,30620.50,-15.4,-6.9,-20.4,11.5,14.2,317,0.22,0.58
2015-01-29,4.70,0.00,3.36,73,83,62,-17.1,2.47,0.00,-13.2,-5.0,-20.7,9.6,15.0,160,0.14,0.32
2015-01-30,5.10,0.00,3.71,74,95,50,-14.0,10.03,30957.29,-10.1,-3.9,-17.4,16.6,23.0,322,0.10,0.43
2015-01-31,0.00,0.00,0.00,67,77,50,-24.7,10.47,31134.84,-20.0,-12.1,-25.7,10.3,17.9,306,0.11,0.44
2015-02-01,0.20,0.00,0.35,68,85,47,-21.8,10.03,27322.17,-17.1,-11.3,-22.0,11.8,16.1,328,0.08,0.34
2015-02-02,3.00,0.00,2.24,65,71,54,-24.8,5.69,12821.48,-19.8,-16.5,-21.5,11.4,13.9,20,0.08,0.29
2015-02-03,0.00,0.00,0.42,70,77,55,-22.1,8.25,23501.89,-17.9,-6.4,-25.1,11.2,19.1,251,0.17,0.49
2015-02-04,3.20,0.00,2.31,81,88,67,-10.6,5.08,0.00,-7.9,-3.1,-10.9,9.4,13.0,221,0.16,0.45
2015-02-05,0.30,0.00,0.35,70,83,47,-19.7,11.53,31782.25,-15.2,-6.2,-21.1,12.3,15.5,318,0.10,0.43
2015-02-06,0.50,0.00,0.42,69,79,51,-19.7,8.34,27818.35,-15.2,-6.0,-22.3,11.1,18.4,236,0.19,0.55
2015-02-07,0.60,0.00,0.70,72,83,53,-17.7,8.05,23613.27,-13.5,-9.1,-16.7,7.5,11.2,330,0.13,0.43
2015-02-08,5.80,0.00,4.34,70,75,63,-19.4,3.23,0.00,-15.1,-12.9,-16.6,12.8,16.2,52,0.08,0.30
2015-02-09,0.00,0.00,0.00,71,79,61,-19.1,7.89,22459.31,-14.9,-10.6,-18.3,11.0,13.8,39,0.10,0.45
2015-02-10,0.00,0.00,0.00,71,84,43,-16.8,12.12,32675.25,-12.2,-6.9,-16.8,6.9,10.2,336,0.21,0.65
2015-02-11,0.50,0.00,0.42,71,81,50,-18.2,7.70,17680.08,-13.9,-8.5,-18.5,9.7,11.2,85,0.16,0.47
2015-02-12,2.90,0.00,2.17,75,89,54,-15.7,10.76,30335.76,-12.0,-9.6,-17.2,13.3,21.1,322,0.10,0.44
2015-02-13,0.00,0.00,0.00,60,75,38,-28.2,13.04,33447.71,-22.2,-17.5,-27.1,13.2,19.9,308,0.10,0.41
2015-02-14,3.20,0.00,2.45,74,82,63,-19.2,6.64,5192.78,-15.7,-10.8,-21.3,11.1,13.3,124,0.08,0.39
2015-02-15,0.90,0.00,0.70,64,80,46,-24.9,13.28,33361.51,-19.7,-12.6,-25.3,20.3,26.5,335,0.06,0.37
2015-02-16,0.00,0.00,0.00,58,72,40,-28.8,13.55,33811.47,-22.6,-15.8,-27.2,14.6,20.7,311,0.10,0.47
2015-02-17,0.00,0.00,0.00,61,76,39,-26.1,12.40,33262.05,-20.2,-11.3,-26.7,3.2,8.6,166,0.14,0.53
2015-02-18,1.10,0.00,0.91,74,83,53,-18.3,8.81,22581.08,-14.5,-6.5,-20.4,9.6,13.0,166,0.18,0.52
2015-02-19,0.20,0.00,0.14,71,86,49,-19.9,11.51,31130.96,-15.6,-9.3,-19.1,16.2,21.2,303,0.08,0.39
2015-02-20,0.00,0.00,0.00,60,72,40,-26.0,14.54,34636.12,-20.1,-14.3,-24.1,17.0,20.4,298,0.12,0.54
2015-02-21,3.40,0.00,2.38,72,84,61,-19.6,6.57,5845.99,-15.6,-9.1,-21.4,10.8,14.5,176,0.11,0.44
2015-02-22,0.30,0.00,0.28,75,89,46,-14.7,11.91,28169.18,-10.7,-3.2,-17.6,9.2,17.4,250,0.26,0.81
2015-02-23,0.00,0.00,0.07,60,76,39,-24.0,14.73,35315.53,-17.9,-6.8,-24.1,15.3,18.4,297,0.13,0.49
2015-02-24,0.00,0.00,0.00,68,79,52,-22.9,10.12,26285.15,-18.3,-10.1,-23.5,16.1,24.2,196,0.14,0.51
2015-02-25,0.40,0.00,0.63,67,85,43,-16.7,14.27,33517.32,-11.5,-9.8,-14.2,13.9,19.5,254,0.16,0.72
2015-02-26,0.00,0.00,0.00,64,79,41,-24.3,15.22,35173.61,-18.8,-13.6,-25.8,7.0,10.2,322,0.13,0.60
2015-02-27,0.00,0.00,0.00,61,72,40,-23.9,15.97,36189.30,-17.9,-9.7,-24.1,10.1,12.6,271,0.17,0.72
2015-02-28,0.00,0.00,0.00,67,79,44,-18.5,16.05,36382.82,-13.4,-5.2,-18.6,12.7,15.6,244,0.23,0.93
2015-03-01,0.00,0.00,0.00,72,84,50,-14.6,13.77,29655.45,-10.3,-2.7,-15.9,9.7,13.3,200,0.24,0.94
2015-03-02,0.00,0.00,0.28,70,87,43,-12.1,12.87,34546.65,-7.2,-4.3,-10.2,15.3,25.5,281,0.24,0.89
2015-03-03,2.70,0.00,1.89,72,85,51,-15.6,10.37,20592.40,-11.3,-5.4,-18.8,11.2,17.3,202,0.20,0.71
2015-03-04,4.40,0.00,3.08,69,88,42,-9.5,14.37,36412.25,-4.2,-1.1,-6.8,16.3,22.1,250,0.33,1.20
