latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.502636,-84.366,190.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.70,0.00,0.98,74,77,68,-13.6,3.91,14459.70,-9.8,-5.8,-12.1,22.5,26.0,253,0.10,0.47
2015-01-02,0.30,0.00,0.91,76,86,63,-13.6,4.40,22182.20,-10.1,-7.8,-12.5,10.4,19.7,293,0.13,0.34
2015-01-03,2.10,0.00,1.61,81,93,74,-9.8,2.13,0.00,-7.1,-2.0,-10.4,11.9,16.8,147,0.08,0.26
2015-01-04,3.40,0.00,2.73,86,94,74,-7.7,3.10,1113.69,-5.7,-2.3,-12.4,12.7,25.1,3,0.08,0.25
2015-01-05,2.10,0.00,2.17,73,77,70,-20.0,4.08,21076.14,-16.3,-13.0,-18.9,15.5,23.5,292,0.06,0.26
2015-01-06,1.00,0.00,1.19,76,79,72,-18.1,3.77,16504.93,-14.8,-11.4,-16.9,17.1,23.6,242,0.07,0.28
2015-01-07,0.80,0.00,0.77,65,76,58,-23.9,5.85,26298.29,-18.9,-12.0,-24.0,15.1,18.7,353,0.06,0.28
2015-01-08,4.50,0.00,3.71,75,83,66,-16.9,3.63,1903.14,-13.4,-10.3,-15.5,21.4,26.3,244,0.08,0.34
2015-01-09,3.10,0.00,2.73,71,82,60,-17.8,5.02,26165.95,-13.7,-11.2,-15.5,13.6,23.3,291,0.09,0.32
2015-01-10,1.70,0.00,1.33,73,79,64,-18.1,5.10,25710.57,-14.3,-12.4,-15.6,20.9,24.9,245,0.08,0.36
2015-01-11,0.00,0.00,0.00,76,80,69,-15.6,4.51,11296.83,-12.3,-9.1,-13.7,8.4,13.6,220,0.09,0.29
2015-01-12,0.40,0.00,0.70,76,86,59,-14.8,6.77,27466.95,-11.3,-8.5,-16.8,12.1,19.4,332,0.08,0.29
2015-01-13,0.00,0.00,0.00,71,80,63,-22.1,6.01,27032.97,-18.1,-13.6,-20.6,7.5,11.9,159,0.07,0.26
2015-01-14,0.00,0.00,0.07,77,85,67,-14.7,4.69,14846.60,-11.4,-7.4,-14.2,9.8,13.6,190,0.09,0.34
2015-01-15,2.70,0.10,1.89,85,89,82,-7.7,1.98,301.82,-5.6,-1.8,-7.9,14.9,25.1,228,0.09,0.27
2015-01-16,0.10,0.00,0.49,68,74,58,-16.7,7.98,28175.65,-11.9,-3.4,-16.2,15.3,27.5,332,0.14,0.52
2015-01-17,2.10,0.00,1.54,78,89,71,-14.2,2.08,0.00,-11.1,-3.6,-16.1,17.2,25.6,135,0.07,0.30
2015-01-18,0.90,0.00,1.33,88,95,76,-3.6,3.92,4560.58,-1.8,-1.2,-3.5,13.1,18.8,280,0.13,0.38
2015-01-19,0.00,0.00,0.00,74,81,55,-14.4,8.18,28578.61,-10.7,-3.9,-14.4,9.0,14.0,19,0.12,0.42
2015-01-20,0.00,0.00,0.00,68,81,41,-21.1,8.38,28765.77,-16.3,-12.1,-20.6,5.5,8.9,73,0.14,0.36
2015-01-21,0.00,0.00,0.00,68,74,54,-19.4,6.91,28301.79,-14.7,-8.4,-18.0,4.2,6.0,95,0.13,0.38
2015-01-22,0.00,0.00,0.07,82,92,67,-12.4,6.18,25188.79,-9.8,-6.6,-12.1,7.5,12.9,275,0.12,0.35
2015-01-23,4.40,0.00,3.15,86,89,78,-6.2,2.72,645.87,-4.1,-1.1,-8.0,19.5,24.7,227,0.08,0.37
2015-01-24,0.60,0.00,0.98,87,98,68,-2.8,5.95,21738.04,-0.8,0.6,-3.6,14.2,22.8,283,0.19,0.54
2015-01-25,0.00,0.00,0.00,71,82,46,-17.3,8.90,29662.82,-13.1,-4.8,-17.0,10.9,18.3,360,0.12,0.46
2015-01-26,0.00,0.00,0.00,71,76,64,-20.2,5.93,16459.73,-16.1,-12.9,-18.8,9.5,13.9,102,0.08,0.29
2015-01-27,0.00,0.00,0.00,66,77,38,-19.9,9.28,29983.27,-14.8,-10.0,-17.7,7.8,13.7,81,0.18,0.49
2015-01-28,0.00,0.00,0.00,73,80,60,-17.5,7.90,23453.95,-13.7,-9.4,-16.0,6.0,12.1,135,0.10,0.39
2015-01-29,4.00,0.00,3.01,81,88,75,-8.2,5.27,10046.81,-5.6,-2.0,-9.7,12.6,21.6,130,0.10,0.49
2015-01-30,0.00,0.00,0.00,69,78,54,-18.9,9.76,30207.97,-14.3,-4.6,-18.5,15.0,25.3,335,0.10,0.49
2015-01-31,0.00,0.00,0.21,81,87,74,-14.8,6.70,28401.68,-12.3,-6.7,-14.8,9.3,20.6,239,0.09,0.36
2015-02-01,0.00,0.00,0.00,67,77,53,-21.8,6.40,10193.15,-17.1,-10.0,-20.8,10.1,16.9,29,0.08,0.32
2015-02-02,0.00,0.00,0.00,67,74,59,-24.6,9.86,30563.22,-20.1,-16.9,-23.3,8.0,10.7,7,0.06,0.34
2015-02-03,0.00,0.00,0.21,73,78,60,-17.1,8.75,30355.94,-13.2,-8.3,-17.0,12.7,15.3,244,0.13,0.50
2015-02-04,0.10,0.00,0.28,77,86,63,-14.5,8.38,29144.33,-11.2,-9.9,-13.1,12.3,26.6,285,0.10,0.40
2015-02-05,0.00,0.00,0.00,70,78,54,-20.7,10.13,30507.47,-16.5,-13.3,-19.3,10.5,19.1,267,0.09,0.40
2015-02-06,0.90,0.00,1.19,76,84,70,-14.0,7.86,22231.63,-10.5,-9.7,-12.4,15.1,22.5,274,0.09,0.49
2015-02-07,6.40,0.00,4.62,79,83,72,-13.9,3.73,16.93,-10.9,-9.9,-11.9,8.8,16.6,90,0.08,0.27
2015-02-08,3.00,0.00,2.52,69,79,54,-16.6,8.97,23212.84,-12.0,-10.1,-13.7,16.2,20.4,79,0.13,0.56
2015-02-09,0.00,0.00,0.00,70,80,56,-20.1,10.25,32372.33,-15.7,-12.5,-18.5,9.2,15.8,25,0.10,0.45
2015-02-10,0.00,0.00,0.00,71,79,54,-18.4,9.52,30978.14,-14.2,-10.0,-16.9,8.6,13.8,50,0.13,0.47
2015-02-11,3.70,0.00,2.94,79,89,69,-11.7,5.79,15292.20,-8.7,-4.0,-11.4,15.8,24.5,151,0.11,0.51
2015-02-12,0.30,0.00,0.35,67,82,59,-21.1,11.88,32949.94,-16.5,-6.9,-20.4,20.6,23.9,335,0.07,0.43
2015-02-13,1.90,0.00,1.40,75,82,69,-22.6,7.00,11271.13,-19.3,-13.4,-22.4,9.1,15.0,185,0.05,0.26
2015-02-14,0.40,0.00,0.42,66,82,50,-22.5,10.66,28905.68,-17.5,-13.0,-21.0,20.8,27.3,332,0.07,0.38
2015-02-15,0.00,0.00,0.00,61,71,52,-30.1,13.00,33544.10,-24.8,-21.8,-27.6,14.6,23.8,343,0.05,0.33
2015-02-16,0.00,0.00,0.00,68,77,52,-27.0,12.42,33034.26,-22.7,-17.2,-25.1,6.5,10.2,147,0.07,0.35
2015-02-17,0.00,0.00,0.28,74,84,56,-20.2,10.98,28928.29,-16.5,-12.8,-19.1,7.4,12.5,106,0.10,0.44
