latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.253075,-76.94656,88.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.40,0.00,0.42,54,62,47,-12.6,2.87,111.61,-4.6,-2.1,-6.5,22.6,30.3,247,0.23,1.06
2015-01-02,0.00,0.00,0.00,53,70,37,-12.2,6.75,27758.43,-3.7,-2.0,-5.5,17.4,25.1,276,0.29,1.10
2015-01-03,5.90,0.10,4.06,64,91,44,-12.1,2.61,588.21,-6.2,-1.0,-9.5,11.7,22.9,94,0.22,0.52
2015-01-04,16.80,11.80,3.50,98,100,93,3.1,1.20,0.00,3.3,6.2,-0.5,16.2,29.9,182,0.04,0.17
2015-01-05,0.10,0.00,0.14,60,93,40,-15.2,7.04,27773.67,-8.7,0.8,-13.7,19.7,27.1,287,0.15,0.65
2015-01-06,0.10,0.00,0.49,57,63,50,-17.6,4.53,8025.84,-10.8,-7.0,-13.9,11.7,20.6,256,0.18,0.56
2015-01-07,0.00,0.00,0.07,55,67,40,-20.6,7.60,28053.20,-13.5,-8.2,-20.9,19.2,24.9,301,0.13,0.54
2015-01-08,0.00,0.00,0.07,60,75,47,-21.8,4.89,15552.66,-15.7,-7.4,-23.4,15.8,25.4,251,0.14,0.48
2015-01-09,3.70,0.00,2.94,63,74,48,-13.6,6.07,25247.14,-7.7,-5.7,-9.1,22.3,27.5,242,0.21,0.78
2015-01-10,0.00,0.00,0.00,65,72,53,-16.7,7.03,28071.94,-11.4,-9.0,-13.3,17.1,21.7,254,0.14,0.56
2015-01-11,0.00,0.00,0.00,69,78,55,-12.1,6.48,24984.97,-7.3,-1.7,-10.7,15.2,22.5,232,0.24,0.69
2015-01-12,4.40,0.00,3.08,82,94,71,-4.7,2.87,0.00,-1.9,-0.6,-4.4,11.1,21.6,250,0.14,0.44
2015-01-13,0.00,0.00,0.00,64,74,43,-23.2,8.58,29086.91,-17.9,-6.9,-24.3,11.6,23.1,4,0.11,0.38
2015-01-14,0.00,0.00,0.00,69,80,52,-20.0,8.52,29131.93,-15.5,-7.7,-21.5,7.2,11.4,104,0.12,0.44
2015-01-15,0.00,0.00,0.00,81,87,72,-14.0,3.88,2109.45,-11.3,-4.8,-17.0,9.7,18.2,224,0.12,0.33
2015-01-16,0.90,0.00,0.63,67,84,43,-12.3,8.90,29432.44,-7.0,-2.8,-13.1,18.9,23.3,277,0.16,0.66
2015-01-17,0.00,0.00,0.00,63,69,56,-21.7,6.83,27562.17,-16.2,-8.5,-23.0,10.9,17.6,87,0.13,0.40
2015-01-18,1.20,1.20,0.00,80,97,66,-3.0,3.08,0.00,0.0,2.5,-6.1,20.9,25.8,178,0.17,0.68
2015-01-19,0.00,0.00,0.21,85,98,62,-3.7,6.25,22508.42,-1.4,0.3,-5.2,13.2,16.1,279,0.20,0.54
2015-01-20,0.00,0.00,0.00,64,77,47,-18.1,9.65,29933.71,-12.6,-6.4,-19.2,8.0,13.2,309,0.17,0.54
2015-01-21,0.00,0.00,0.00,66,75,50,-20.1,8.55,29271.36,-15.0,-7.8,-20.5,7.9,10.1,30,0.17,0.50
2015-01-22,0.00,0.00,0.00,65,74,45,-17.8,9.20,30205.54,-12.2,-5.3,-17.0,7.8,11.2,13,0.23,0.61
2015-01-23,0.00,0.00,0.00,77,88,59,-9.2,7.47,30347.27,-5.7,-0.8,-10.3,15.2,23.7,235,0.20,0.64
2015-01-24,0.00,0.00,0.00,87,93,75,-5.0,4.63,13590.48,-3.1,-0.7,-5.0,12.0,18.2,234,0.14,0.44
2015-01-25,0.00,0.00,0.00,68,90,48,-13.4,10.09,30641.05,-8.4,-0.8,-15.1,13.4,21.1,316,0.15,0.58
2015-01-26,0.00,0.00,0.07,61,71,48,-21.6,6.74,18409.40,-15.8,-11.4,-19.1,13.3,18.1,41,0.13,0.45
2015-01-27,0.00,0.00,0.35,58,69,43,-20.0,9.80,30946.95,-13.4,-8.9,-16.1,16.8,20.0,28,0.18,0.67
2015-01-28,0.00,0.00,0.00,56,69,36,-19.9,10.63,31103.86,-12.6,-3.9,-19.0,8.5,14.8,333,0.27,0.75
2015-01-29,1.90,0.00,1.40,72,91,55,-13.5,2.65,0.00,-9.1,-1.0,-16.2,12.0,20.7,157,0.22,0.48
2015-01-30,4.60,0.00,3.29,74,97,51,-10.7,10.42,31384.14,-6.6,-1.2,-14.0,16.1,21.8,318,0.13,0.57
2015-01-31,0.00,0.00,0.00,67,77,47,-22.6,10.99,31481.22,-17.7,-10.8,-23.1,9.1,14.8,309,0.13,0.51
2015-02-01,0.00,0.00,0.00,70,88,47,-17.6,9.18,21543.94,-13.0,-8.4,-17.1,12.3,16.1,1,0.11,0.42
2015-02-02,10.60,0.00,7.56,67,73,59,-22.1,5.23,11305.20,-17.3,-14.4,-18.9,20.8,26.1,34,0.08,0.37
2015-02-03,0.00,0.00,0.00,71,75,64,-20.3,7.34,24022.31,-16.3,-6.1,-23.1,11.9,19.9,267,0.14,0.47
2015-02-04,4.30,0.00,3.08,83,90,75,-7.1,4.17,0.00,-4.7,-0.5,-8.3,13.0,19.9,227,0.14,0.46
2015-02-05,1.40,0.00,1.12,69,91,44,-15.6,12.02,31976.67,-10.8,-2.2,-16.3,12.8,14.5,330,0.14,0.57
2015-02-06,0.60,0.00,0.49,72,85,56,-16.4,8.88,28797.25,-12.3,-3.9,-20.3,12.8,21.6,253,0.20,0.63
2015-02-07,3.70,0.00,2.87,80,89,67,-11.2,4.70,447.17,-8.3,-5.5,-10.5,9.9,16.7,352,0.12,0.39
2015-02-08,9.10,0.00,6.51,76,79,71,-16.4,2.67,0.00,-13.0,-9.3,-14.4,19.2,22.4,41,0.07,0.31
2015-02-09,0.00,0.00,0.00,73,76,68,-16.5,4.97,246.67,-12.7,-10.1,-14.3,18.4,21.8,34,0.09,0.44
2015-02-10,0.00,0.00,0.00,73,85,54,-14.2,12.65,32888.52,-10.1,-5.0,-13.4,8.6,11.7,18,0.19,0.75
2015-02-11,0.00,0.00,0.07,72,82,55,-14.7,9.95,25788.78,-10.6,-5.5,-14.5,8.6,12.0,61,0.16,0.64
2015-02-12,1.90,0.00,1.40,76,94,52,-10.8,10.15,29665.04,-7.1,-4.2,-14.0,12.1,18.0,302,0.15,0.59
2015-02-13,0.00,0.00,0.00,62,76,42,-26.1,13.57,33606.53,-20.4,-15.2,-25.5,11.5,19.8,303,0.09,0.47
2015-02-14,3.50,0.00,2.73,73,86,55,-14.8,8.51,22338.36,-10.7,-4.5,-19.0,10.7,16.1,201,0.19,0.66
2015-02-15,0.00,0.00,0.28,63,82,44,-22.3,13.83,33337.67,-16.8,-8.5,-22.4,18.8,22.9,335,0.08,0.46
2015-02-16,0.00,0.00,0.00,59,69,41,-27.5,14.18,34151.73,-21.4,-14.9,-25.8,10.3,17.7,305,0.11,0.54
2015-02-17,0.00,0.00,0.00,67,79,48,-23.1,13.27,33509.94,-18.2,-10.8,-24.8,6.0,10.0,173,0.13,0.63
2015-02-18,0.10,0.00,0.49,76,86,55,-14.7,9.56,22836.77,-11.2,-5.7,-14.5,10.4,15.5,188,0.18,0.57
2015-02-19,0.00,0.00,0.28,67,80,46,-18.3,14.57,34216.46,-13.2,-8.5,-16.8,15.4,19.8,307,0.12,0.59
2015-02-20,0.00,0.00,0.00,61,71,45,-24.9,14.84,34969.50,-19.2,-14.1,-22.6,15.3,19.5,281,0.11,0.57
2015-02-21,4.30,0.00,3.08,76,87,64,-17.0,5.31,0.00,-13.7,-7.4,-18.3,13.2,15.7,173,0.09,0.39
