latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.88576,-76.068115,129.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.50,0.00,0.49,53,64,44,-13.6,2.96,8267.09,-5.5,-2.6,-7.3,20.6,28.3,230,0.24,0.99
2015-01-02,0.10,0.00,0.28,52,72,30,-13.9,7.30,27781.97,-5.4,-3.5,-7.9,15.6,21.1,271,0.29,0.95
2015-01-03,3.10,0.00,2.24,58,82,45,-15.8,3.34,3583.11,-9.0,-5.3,-11.6,9.3,14.8,82,0.22,0.49
2015-01-04,23.50,11.70,8.26,96,100,86,-0.1,0.71,0.00,0.5,4.5,-5.2,10.2,23.4,111,0.06,0.17
2015-01-05,1.30,0.60,0.49,69,94,46,-14.9,8.07,27866.80,-10.2,1.7,-17.4,18.1,23.9,282,0.11,0.44
2015-01-06,0.00,0.00,0.00,72,80,57,-17.9,5.07,11336.18,-13.8,-8.2,-17.4,11.8,16.8,233,0.14,0.39
2015-01-07,0.00,0.00,0.77,68,77,53,-19.9,7.33,27925.34,-15.3,-9.8,-23.9,17.6,24.0,290,0.08,0.32
2015-01-08,0.00,0.00,0.21,69,78,60,-23.5,5.05,16106.25,-19.2,-8.6,-26.8,13.1,20.7,229,0.12,0.36
2015-01-09,3.10,0.00,2.45,67,77,48,-13.5,6.18,21784.14,-8.3,-6.5,-9.2,19.2,25.0,230,0.20,0.65
2015-01-10,0.00,0.00,0.00,72,82,55,-17.0,8.02,27915.65,-12.9,-8.9,-15.4,15.0,19.8,237,0.14,0.47
2015-01-11,0.00,0.00,0.00,74,84,59,-13.4,5.90,23571.28,-9.5,-2.8,-13.7,15.2,20.0,219,0.20,0.54
2015-01-12,3.70,0.00,2.66,82,92,71,-6.1,2.88,0.00,-3.6,-1.5,-6.4,11.5,19.5,248,0.13,0.39
2015-01-13,0.00,0.00,0.00,67,77,50,-23.8,8.55,28637.39,-19.1,-8.6,-25.6,10.5,20.8,338,0.09,0.34
2015-01-14,0.00,0.00,0.00,64,78,49,-22.2,8.62,28795.62,-16.9,-9.4,-20.9,6.0,9.0,160,0.15,0.41
2015-01-15,0.00,0.00,0.00,79,83,71,-17.0,4.32,7757.55,-14.1,-5.8,-19.7,8.4,17.7,187,0.11,0.29
2015-01-16,1.10,0.00,0.84,70,85,51,-13.5,8.60,29134.11,-8.8,-4.0,-15.2,19.2,24.5,276,0.11,0.54
2015-01-17,0.00,0.00,0.00,65,75,48,-23.7,6.75,26221.68,-18.6,-12.6,-23.0,9.0,14.3,345,0.12,0.32
2015-01-18,0.20,0.20,0.00,74,94,60,-5.5,5.35,14189.96,-1.4,3.3,-11.8,18.6,23.1,186,0.20,0.85
2015-01-19,0.40,0.00,0.42,86,98,65,-4.7,5.75,24056.96,-2.6,0.2,-8.7,13.2,19.1,283,0.14,0.44
