latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.79965,-79.33649,371.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,5.60,0.00,3.92,76,82,71,-10.8,2.63,0.00,-7.2,-4.8,-9.6,21.5,28.0,242,0.12,0.47
2015-01-02,0.40,0.10,0.21,76,87,56,-16.0,7.21,26916.19,-12.5,-5.9,-16.8,10.4,19.8,288,0.11,0.34
2015-01-03,3.50,0.00,2.45,82,86,71,-15.1,2.24,0.00,-12.6,-6.1,-17.6,13.2,18.2,134,0.08,0.23
2015-01-04,10.60,0.00,7.70,87,90,81,-8.6,1.93,3600.00,-6.8,-4.8,-9.4,11.0,15.2,50,0.06,0.18
2015-01-05,1.30,0.00,1.12,71,84,54,-22.7,7.35,26911.28,-18.7,-9.9,-23.6,13.5,17.1,297,0.06,0.24
2015-01-06,2.10,0.00,1.89,80,86,62,-19.0,4.09,7092.72,-16.2,-9.1,-22.2,9.9,17.4,216,0.12,0.25
2015-01-07,2.10,0.00,1.47,70,85,53,-24.8,7.11,26770.05,-20.7,-10.5,-27.9,15.9,20.6,328,0.05,0.18
2015-01-08,2.50,0.00,2.03,77,85,68,-22.3,3.47,0.00,-19.2,-9.2,-29.0,13.9,24.0,227,0.09,0.26
2015-01-09,4.90,0.00,3.50,76,86,59,-16.6,6.52,27875.09,-13.2,-10.7,-16.4,15.1,22.5,225,0.08,0.33
2015-01-10,1.10,0.00,1.12,76,83,57,-18.9,5.43,16680.44,-15.5,-10.0,-19.0,12.3,25.5,237,0.12,0.30
2015-01-11,1.40,0.00,1.61,82,87,73,-12.1,3.87,10231.80,-9.5,-5.8,-12.4,14.6,19.4,208,0.10,0.31
2015-01-12,5.00,0.00,3.64,83,95,64,-10.6,5.75,22471.11,-8.1,-5.4,-17.1,11.4,17.9,334,0.10,0.31
2015-01-13,0.00,0.00,0.00,68,79,49,-27.0,8.20,28317.03,-22.5,-18.5,-26.5,7.9,16.6,359,0.07,0.26
2015-01-14,0.00,0.00,0.00,74,84,64,-21.6,5.77,21168.16,-18.0,-11.4,-21.9,11.7,15.4,174,0.07,0.29
2015-01-15,1.00,0.00,1.19,84,87,81,-12.0,3.39,446.70,-9.9,-6.2,-12.6,14.8,20.6,187,0.07,0.25
2015-01-16,2.90,0.00,2.24,72,92,57,-16.3,7.94,28687.24,-12.3,-3.5,-19.1,17.4,23.1,304,0.09,0.38
2015-01-17,0.20,0.00,0.28,71,78,57,-23.2,3.23,190.37,-19.2,-8.6,-24.8,14.9,26.9,141,0.08,0.25
2015-01-18,8.50,0.10,6.02,90,98,81,-2.4,2.75,0.00,-1.0,1.2,-7.8,16.1,25.9,194,0.09,0.34
2015-01-19,0.80,0.00,0.84,81,98,64,-12.1,7.33,27036.29,-9.3,-0.9,-15.8,12.9,16.8,336,0.09,0.34
2015-01-20,0.00,0.00,0.00,75,81,56,-23.2,8.88,29223.70,-19.7,-15.9,-23.3,7.4,10.3,341,0.08,0.29
2015-01-21,0.00,0.00,0.00,63,75,37,-24.9,8.95,29366.86,-19.3,-9.8,-25.1,4.9,9.2,88,0.18,0.42
2015-01-22,0.00,0.00,0.00,71,86,52,-19.2,6.65,28114.64,-15.0,-7.8,-19.7,6.0,11.4,218,0.13,0.36
2015-01-23,1.20,0.00,0.84,87,92,81,-8.7,4.40,11107.54,-6.9,-2.0,-11.6,18.0,25.2,226,0.10,0.34
2015-01-24,5.30,0.00,3.71,91,95,84,-2.9,2.46,0.00,-1.6,-0.3,-2.2,14.2,18.9,232,0.10,0.29
2015-01-25,0.80,0.00,0.56,71,93,55,-19.2,9.47,29979.49,-15.1,-2.2,-19.9,14.7,21.6,349,0.09,0.40
2015-01-26,0.00,0.00,0.00,68,76,47,-24.1,9.75,30141.27,-19.4,-12.9,-23.6,9.6,12.4,69,0.12,0.41
2015-01-27,0.00,0.00,0.00,67,78,43,-23.1,9.97,30305.96,-18.2,-12.8,-22.1,12.5,14.0,51,0.13,0.44
2015-01-28,0.00,0.00,0.00,66,78,38,-21.8,10.11,30473.33,-16.8,-10.1,-21.7,8.0,12.1,3,0.15,0.53
2015-01-29,5.80,0.00,4.13,70,91,54,-14.2,2.16,0.00,-9.6,-5.5,-14.6,13.6,22.6,163,0.14,0.47
2015-01-30,0.60,0.00,0.63,73,94,53,-18.2,9.98,30815.10,-14.3,-6.1,-20.2,16.7,22.3,340,0.07,0.36
2015-01-31,0.30,0.00,0.28,69,84,60,-23.3,8.60,26451.16,-19.1,-10.1,-25.4,8.4,12.3,201,0.10,0.38
2015-02-01,0.40,0.00,0.49,70,91,50,-22.5,7.61,19199.09,-18.3,-9.2,-23.9,13.1,17.6,15,0.07,0.28
2015-02-02,0.00,0.00,0.42,64,73,49,-26.3,9.66,25693.29,-21.2,-17.9,-23.2,13.0,16.1,32,0.08,0.36
2015-02-03,0.70,0.00,0.70,72,85,55,-21.0,7.80,28570.77,-17.2,-8.4,-23.8,10.5,17.2,230,0.15,0.44
2015-02-04,2.90,0.00,2.38,83,92,65,-12.7,5.76,4856.42,-10.2,-7.6,-11.9,6.1,10.8,261,0.12,0.38
2015-02-05,0.10,0.00,0.49,72,84,47,-20.8,11.30,31880.25,-16.7,-10.7,-21.2,9.5,11.4,331,0.09,0.37
2015-02-06,1.30,0.00,0.98,75,88,55,-17.0,8.93,32061.35,-13.3,-8.2,-19.8,15.5,20.2,237,0.15,0.51
2015-02-07,2.10,0.00,1.68,74,87,58,-17.4,6.07,12954.46,-13.6,-11.1,-15.5,8.6,14.0,17,0.11,0.37
2015-02-08,6.40,0.00,4.76,71,77,60,-19.4,4.74,14149.48,-15.3,-13.1,-16.9,16.4,20.2,68,0.08,0.34
2015-02-09,0.00,0.00,0.00,69,79,56,-21.3,11.46,32397.53,-16.9,-11.6,-20.8,12.3,17.0,53,0.11,0.53
2015-02-10,0.00,0.00,0.00,69,82,43,-20.3,11.93,32540.90,-15.6,-9.6,-20.7,7.6,9.9,34,0.16,0.56
2015-02-11,2.00,0.00,1.47,74,87,60,-16.1,3.78,0.00,-12.4,-8.4,-15.1,12.8,16.1,137,0.11,0.37
2015-02-12,1.30,0.00,1.12,73,93,53,-19.0,11.44,32496.38,-15.1,-7.6,-21.0,17.1,20.8,342,0.06,0.34
2015-02-13,0.00,0.00,0.00,67,77,45,-28.6,11.54,32480.82,-23.9,-18.1,-29.1,9.9,16.5,311,0.08,0.34
2015-02-14,2.80,0.00,2.24,73,88,50,-19.3,10.02,25356.96,-15.4,-12.6,-19.4,15.0,24.5,217,0.11,0.47
2015-02-15,0.00,0.00,0.00,64,73,47,-30.4,13.10,33156.13,-25.4,-19.0,-29.6,19.6,24.9,351,0.05,0.29
2015-02-16,0.00,0.00,0.00,62,73,40,-30.7,12.92,33760.84,-25.2,-18.2,-30.0,7.4,13.4,325,0.09,0.39
2015-02-17,0.00,0.00,0.00,61,73,42,-25.5,11.46,30058.50,-19.5,-12.5,-23.6,9.9,12.1,181,0.13,0.53
2015-02-18,0.20,0.00,0.28,75,85,58,-18.6,8.80,20718.96,-15.0,-11.4,-18.0,9.2,11.6,187,0.11,0.45
2015-02-19,0.00,0.00,0.00,70,83,52,-24.5,13.14,33644.97,-20.4,-14.4,-23.9,13.8,16.6,330,0.05,0.31
2015-02-20,0.00,0.00,0.00,65,77,41,-29.0,14.47,34670.53,-24.1,-18.8,-28.6,12.2,15.2,292,0.08,0.39
2015-02-21,0.80,0.00,0.91,70,77,61,-20.3,10.98,25200.00,-15.9,-8.8,-21.8,11.9,14.9,183,0.12,0.61
2015-02-22,0.00,0.00,0.00,77,89,56,-15.8,11.17,32880.87,-12.5,-9.9,-14.1,10.7,16.6,243,0.13,0.53
2015-02-23,0.20,0.00,0.49,64,75,46,-26.4,14.17,35328.07,-21.2,-13.9,-26.2,14.4,17.8,288,0.06,0.38
2015-02-24,1.50,0.00,1.05,70,80,51,-21.6,11.03,21104.10,-17.3,-11.1,-22.7,20.5,29.0,207,0.12,0.51
