latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.486816,-79.65518,247.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,1.00,0.00,0.98,72,78,60,-14.8,4.11,14465.18,-10.7,-7.0,-13.2,16.7,22.0,235,0.12,0.44
2015-01-02,0.00,0.00,0.07,72,80,53,-21.5,6.48,26220.97,-17.6,-8.8,-22.3,11.1,19.4,292,0.07,0.25
2015-01-03,0.80,0.00,0.91,78,81,70,-19.4,3.20,6050.54,-16.5,-8.3,-22.9,11.9,15.8,157,0.08,0.23
2015-01-04,6.00,0.00,4.27,83,88,75,-12.6,1.85,0.00,-10.3,-8.9,-14.8,12.3,20.1,21,0.06,0.18
2015-01-05,1.70,0.00,1.26,66,74,52,-28.1,6.57,26007.49,-23.5,-16.0,-28.1,15.1,20.0,295,0.05,0.20
2015-01-06,0.70,0.00,0.70,74,81,67,-23.0,3.34,1808.12,-19.6,-13.7,-24.7,11.3,14.3,236,0.07,0.21
2015-01-07,0.00,0.00,0.14,66,77,52,-28.5,6.06,25439.51,-23.9,-16.0,-27.7,16.3,20.1,328,0.04,0.18
2015-01-08,0.80,0.00,0.91,73,79,68,-25.0,3.22,0.00,-21.4,-12.0,-28.1,13.7,20.7,218,0.08,0.21
2015-01-09,3.60,0.00,2.66,72,87,49,-18.5,5.68,23963.86,-14.5,-11.2,-19.4,13.3,18.9,270,0.08,0.26
2015-01-10,0.20,0.00,0.49,70,75,66,-24.0,4.37,13009.92,-20.0,-12.9,-24.0,10.6,19.4,236,0.08,0.21
2015-01-11,0.00,0.00,0.14,77,84,65,-17.5,5.14,18815.82,-14.3,-8.3,-18.0,10.3,14.9,225,0.11,0.29
2015-01-12,0.10,0.00,0.49,77,87,57,-18.1,6.45,26486.71,-14.9,-9.8,-22.3,10.0,17.1,333,0.06,0.19
2015-01-13,0.00,0.00,0.00,70,74,61,-27.9,7.21,27407.17,-23.9,-16.9,-27.7,11.1,17.1,237,0.06,0.21
2015-01-14,0.00,0.00,0.14,79,83,69,-16.3,3.83,5600.72,-13.4,-8.1,-18.1,15.8,19.3,210,0.10,0.29
2015-01-15,2.10,0.00,1.82,85,89,78,-10.6,2.56,0.00,-8.5,-3.6,-13.1,15.3,22.7,198,0.09,0.27
2015-01-16,1.20,0.00,0.84,68,84,54,-20.1,7.16,27241.98,-15.4,-3.5,-21.6,18.1,25.3,308,0.11,0.36
