latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.22144,-83.82776,179.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.40,0.00,0.77,73,78,69,-11.1,4.05,10728.17,-7.1,-4.4,-9.6,25.3,30.0,267,0.13,0.58
2015-01-02,0.00,0.00,0.00,71,76,63,-13.6,4.94,26055.34,-9.4,-6.9,-12.3,11.4,22.4,296,0.13,0.43
2015-01-03,2.50,0.00,1.75,82,94,68,-7.1,2.40,0.00,-4.4,-0.8,-7.9,13.4,21.1,159,0.11,0.30
2015-01-04,3.50,0.00,2.80,84,94,73,-7.0,3.30,909.27,-4.7,-1.4,-10.9,14.1,24.7,12,0.09,0.29
2015-01-05,0.30,0.00,0.77,72,78,68,-19.8,5.66,25968.40,-15.8,-11.9,-18.8,16.6,26.1,290,0.07,0.30
2015-01-06,0.30,0.00,0.35,75,78,71,-17.0,5.21,22853.55,-13.5,-10.5,-15.4,17.2,25.1,256,0.07,0.34
2015-01-07,0.10,0.00,0.42,64,77,57,-24.0,6.55,26364.99,-18.8,-11.2,-23.9,14.2,18.2,338,0.07,0.29
2015-01-08,2.00,0.00,1.75,75,78,71,-16.9,4.30,7678.09,-13.4,-9.0,-16.8,24.8,30.1,248,0.09,0.39
2015-01-09,2.90,0.00,2.38,71,81,60,-17.2,5.94,26896.80,-13.1,-9.3,-15.6,14.5,23.2,278,0.09,0.35
2015-01-10,0.00,0.00,0.14,73,76,66,-18.1,5.99,27354.95,-14.3,-11.8,-15.6,22.6,28.1,252,0.07,0.39
2015-01-11,0.10,0.00,0.14,81,86,70,-12.8,4.77,10827.02,-10.1,-7.0,-12.5,7.4,13.8,236,0.11,0.30
2015-01-12,0.40,0.00,0.56,74,87,57,-14.3,6.99,27523.95,-10.6,-7.3,-16.3,11.3,19.2,326,0.10,0.31
2015-01-13,0.00,0.00,0.00,70,76,59,-22.1,6.89,27728.74,-17.9,-12.7,-20.1,6.7,11.5,192,0.07,0.26
2015-01-14,0.00,0.00,0.00,82,87,74,-13.5,4.95,16770.87,-10.9,-6.7,-13.1,11.2,14.6,200,0.08,0.32
2015-01-15,1.50,0.00,1.33,88,91,81,-6.8,2.43,0.00,-5.1,-1.8,-6.7,16.5,26.8,232,0.07,0.23
2015-01-16,0.20,0.00,0.28,67,85,57,-16.2,8.32,28427.24,-11.3,-2.1,-15.8,15.3,26.8,321,0.12,0.52
2015-01-17,2.70,0.00,1.96,81,90,67,-12.9,2.40,603.06,-10.2,-1.7,-14.9,17.1,27.0,137,0.07,0.28
2015-01-18,0.60,0.00,0.77,89,97,75,-2.3,4.40,5432.40,-0.6,0.1,-2.1,14.5,19.2,271,0.14,0.40
2015-01-19,0.00,0.00,0.00,70,83,58,-14.9,8.54,28860.88,-10.4,-2.6,-14.6,9.5,16.1,11,0.11,0.47
2015-01-20,0.00,0.00,0.00,74,80,67,-20.2,8.63,28983.97,-16.7,-12.2,-19.7,6.4,10.1,58,0.08,0.30
2015-01-21,0.00,0.00,0.00,78,82,73,-17.1,6.84,26960.75,-14.0,-10.4,-15.9,5.6,7.6,67,0.06,0.31
2015-01-22,0.00,0.00,0.00,83,88,76,-11.9,7.31,26184.71,-9.5,-6.2,-11.0,8.3,12.9,286,0.09,0.36
2015-01-23,3.20,0.00,2.31,86,91,78,-5.8,3.59,2203.64,-3.8,-0.8,-6.4,24.5,29.8,240,0.09,0.40
2015-01-24,0.00,0.00,0.70,88,96,69,-2.3,6.11,22201.33,-0.5,0.8,-1.6,16.2,23.2,276,0.19,0.52
2015-01-25,0.00,0.00,0.00,69,75,62,-17.4,9.05,29790.76,-12.8,-2.6,-16.9,11.4,19.7,3,0.13,0.50
2015-01-26,0.00,0.00,0.00,74,77,69,-19.5,6.16,17863.29,-16.0,-13.7,-18.0,11.6,15.8,84,0.07,0.27
2015-01-27,0.00,0.00,0.00,68,74,44,-19.4,9.57,30131.61,-14.8,-11.7,-16.9,9.8,15.1,65,0.14,0.48
2015-01-28,0.00,0.00,0.00,78,83,71,-16.9,8.48,24412.00,-13.9,-9.7,-15.7,7.0,11.4,9,0.07,0.36
2015-01-29,2.80,0.00,2.10,83,92,79,-7.5,5.83,13189.23,-5.1,-1.7,-9.2,13.1,19.2,160,0.10,0.49
2015-01-30,0.00,0.00,0.00,67,80,58,-18.0,10.18,30404.66,-13.1,-2.4,-17.7,16.5,25.3,329,0.12,0.55
2015-01-31,0.00,0.00,0.07,83,89,74,-14.5,7.84,27946.50,-12.2,-7.1,-14.5,10.1,20.1,238,0.08,0.38
2015-02-01,0.00,0.00,0.00,64,78,54,-22.3,6.59,3929.34,-17.2,-8.5,-21.3,12.6,18.3,32,0.07,0.34
2015-02-02,0.00,0.00,0.00,65,71,58,-24.7,10.48,30795.24,-19.7,-16.7,-22.4,9.9,12.4,0,0.06,0.37
2015-02-03,0.00,0.00,0.00,78,82,75,-17.0,9.75,30832.74,-13.9,-9.9,-16.7,13.1,16.2,250,0.07,0.43
2015-02-04,0.00,0.00,0.21,78,85,64,-14.1,9.05,29270.47,-10.9,-9.5,-11.8,12.0,26.0,285,0.10,0.42
2015-02-05,0.00,0.00,0.00,72,76,64,-20.1,10.61,30892.62,-16.1,-12.3,-18.6,11.4,20.4,274,0.08,0.40
2015-02-06,0.60,0.00,0.56,77,85,71,-13.9,8.44,22888.02,-10.6,-8.5,-12.9,17.8,26.9,267,0.09,0.52
2015-02-07,6.20,0.00,4.62,77,81,74,-14.3,4.29,0.00,-11.2,-9.4,-11.9,11.1,20.6,79,0.08,0.27
2015-02-08,3.00,0.00,2.52,72,77,60,-17.0,9.13,21241.37,-12.9,-11.1,-14.5,20.6,24.9,74,0.10,0.53
2015-02-09,0.00,0.00,0.00,68,72,60,-20.1,10.80,31860.72,-15.5,-12.3,-18.0,10.3,17.6,30,0.09,0.51
2015-02-10,0.00,0.00,0.00,74,79,70,-17.8,10.04,30920.70,-14.2,-11.7,-15.8,9.8,14.1,34,0.07,0.43
2015-02-11,3.80,0.00,2.73,82,90,73,-11.7,6.86,18179.73,-9.2,-4.5,-11.6,15.0,23.3,139,0.09,0.50
2015-02-12,0.00,0.00,0.14,66,84,56,-20.1,12.38,33040.12,-15.1,-6.1,-19.8,20.9,24.1,332,0.09,0.50
2015-02-13,2.10,0.00,1.54,76,85,66,-21.9,7.54,9581.05,-18.7,-12.8,-20.9,10.0,16.6,211,0.05,0.27
2015-02-14,0.50,0.00,0.42,67,86,52,-21.5,10.99,32219.42,-16.7,-12.6,-20.3,21.0,27.4,325,0.06,0.40
2015-02-15,0.00,0.00,0.00,59,64,54,-30.2,13.41,33627.83,-24.5,-21.1,-27.2,15.0,24.7,340,0.05,0.36
2015-02-16,0.00,0.00,0.00,74,78,67,-25.7,12.76,33144.07,-22.4,-18.8,-23.8,6.3,9.7,144,0.03,0.31
2015-02-17,0.00,0.00,0.00,79,86,67,-19.0,11.08,28115.14,-16.2,-12.3,-18.6,7.6,11.9,223,0.08,0.41
2015-02-18,0.00,0.00,0.00,70,79,52,-19.3,10.81,30881.98,-15.0,-13.1,-16.9,10.0,21.7,327,0.10,0.44
2015-02-19,0.00,0.00,0.00,60,67,49,-26.4,13.73,34427.43,-20.6,-14.7,-24.0,15.3,20.9,330,0.07,0.39
2015-02-20,0.00,0.00,0.07,72,76,61,-26.4,11.97,32357.82,-22.6,-17.7,-24.2,10.7,16.5,207,0.04,0.29
2015-02-21,1.30,0.00,1.12,82,87,76,-16.0,11.53,31943.27,-13.5,-9.5,-17.0,10.7,20.5,194,0.06,0.57
2015-02-22,0.00,0.00,0.00,73,83,57,-18.1,13.52,34858.41,-14.3,-9.7,-19.5,17.0,26.9,306,0.08,0.44
2015-02-23,0.00,0.00,0.00,68,77,60,-25.7,14.29,34958.44,-21.3,-18.5,-23.0,16.0,25.1,278,0.05,0.38
2015-02-24,2.20,0.00,1.75,76,81,70,-17.2,9.42,14088.23,-13.9,-8.6,-18.4,23.1,28.7,241,0.10,0.51
2015-02-25,0.00,0.00,0.00,64,77,54,-20.7,14.77,35135.22,-15.4,-9.9,-18.4,19.8,25.4,305,0.08,0.59
2015-02-26,0.00,0.00,0.00,68,73,60,-24.1,15.60,35561.11,-19.6,-17.2,-21.8,11.0,17.1,327,0.06,0.46
2015-02-27,0.00,0.00,0.00,74,79,67,-22.0,15.55,35689.60,-18.6,-14.8,-20.4,13.1,15.1,272,0.06,0.47
2015-02-28,0.00,0.00,0.00,79,82,75,-18.0,15.83,36035.20,-15.2,-12.5,-16.7,12.4,14.2,240,0.05,0.54
2015-03-01,0.00,0.00,0.00,82,84,76,-15.2,13.87,35450.09,-12.8,-9.2,-14.3,11.7,18.7,218,0.07,0.50
2015-03-02,0.00,0.00,0.21,75,86,62,-12.5,15.76,36219.00,-8.7,-7.8,-9.8,19.5,24.7,289,0.13,0.80
2015-03-03,6.70,0.00,4.69,84,92,71,-12.1,5.28,0.00,-9.9,-7.5,-11.5,10.5,15.1,166,0.09,0.30
2015-03-04,0.10,0.00,0.07,72,92,59,-13.7,15.48,35944.32,-9.6,-6.3,-14.1,22.8,26.4,291,0.10,0.72
2015-03-05,0.00,0.00,0.00,71,79,59,-20.6,17.05,37234.52,-16.5,-14.0,-18.6,11.9,24.9,290,0.08,0.61
2015-03-06,0.00,0.00,0.00,77,80,72,-17.6,16.16,37437.34,-14.4,-9.2,-16.1,16.5,21.6,232,0.08,0.58
2015-03-07,0.40,0.00,0.42,85,88,78,-11.0,12.02,25937.16,-8.9,-5.2,-10.8,12.1,22.4,249,0.07,0.61
2015-03-08,0.60,0.00,0.56,87,90,81,-8.9,10.61,19734.83,-7.1,-5.0,-8.8,11.9,16.1,280,0.06,0.61
2015-03-09,0.00,0.00,0.00,87,90,83,-6.4,16.16,34252.21,-4.5,-0.6,-6.3,10.9,15.9,256,0.09,1.02
2015-03-10,0.00,0.00,0.00,85,89,82,-1.1,16.78,37969.99,1.2,2.7,-0.6,19.6,24.9,229,0.13,1.26
2015-03-11,0.00,0.00,0.00,85,91,74,-1.5,15.61,38088.06,0.8,2.5,-1.0,19.6,26.7,291,0.17,1.11
2015-03-12,0.00,0.00,0.00,80,87,74,-6.4,13.45,36400.44,-3.5,-0.1,-5.6,13.5,21.2,68,0.15,0.86
2015-03-13,3.50,3.40,0.07,84,87,79,-4.7,9.53,18000.00,-2.4,0.1,-3.3,18.1,23.0,122,0.10,0.79
2015-03-14,1.90,0.50,1.05,88,95,78,-1.3,9.58,18756.31,0.5,1.5,-0.2,17.4,25.7,307,0.15,0.75
2015-03-15,0.00,0.00,0.00,85,92,78,-3.0,17.06,36400.77,-0.8,1.2,-2.8,13.1,20.5,309,0.14,1.34
2015-03-16,1.60,1.60,0.00,89,93,85,-0.6,9.15,3991.53,1.0,2.8,-0.3,11.0,17.1,256,0.11,0.85
2015-03-17,1.70,1.60,0.07,75,95,59,-5.7,17.70,38795.61,-1.6,1.7,-4.4,23.9,33.1,314,0.20,1.17
2015-03-18,0.00,0.00,0.00,72,84,55,-11.3,20.03,39555.81,-7.0,-4.9,-9.3,14.6,22.3,302,0.19,1.13
2015-03-19,0.00,0.00,0.00,81,85,67,-11.5,18.06,37538.22,-8.8,-5.3,-11.2,9.0,16.5,257,0.12,0.95
2015-03-20,1.00,0.00,0.70,86,95,82,-6.5,8.66,18534.60,-4.4,-1.0,-5.7,10.5,14.5,178,0.07,0.63
2015-03-21,3.10,0.40,1.96,83,98,60,-5.1,19.02,39257.80,-2.4,-0.8,-8.2,18.2,30.8,306,0.20,1.04
2015-03-22,0.00,0.00,0.00,70,80,58,-15.4,20.85,40040.48,-10.8,-8.6,-13.2,16.7,25.9,305,0.13,0.92
2015-03-23,0.00,0.00,0.00,72,79,62,-16.0,21.44,40771.83,-11.9,-9.5,-14.1,8.6,18.8,22,0.11,1.04
2015-03-24,0.00,0.00,0.00,79,84,69,-13.1,21.40,39983.06,-10.1,-6.5,-12.2,8.2,11.3,138,0.09,1.02
2015-03-25,9.10,0.10,6.37,84,95,78,-8.5,7.52,10641.90,-6.2,-0.7,-8.0,18.9,27.4,131,0.08,0.56
2015-03-26,0.10,0.00,0.21,85,95,75,-2.4,15.89,31283.85,-0.1,0.8,-1.4,16.8,26.8,283,0.16,1.22
2015-03-27,0.30,0.00,0.35,61,77,51,-14.4,22.00,39600.00,-8.2,-0.7,-13.0,16.2,19.2,348,0.16,1.27
2015-03-28,0.00,0.00,0.00,74,81,65,-14.2,22.47,41420.93,-10.4,-6.0,-13.5,11.1,18.1,302,0.13,1.12
2015-03-29,2.80,0.20,1.82,76,86,72,-9.6,14.84,26194.29,-6.1,-0.8,-8.3,14.7,21.1,206,0.13,0.98
2015-03-30,2.70,0.00,1.96,83,96,72,-2.9,17.08,39600.00,-0.2,0.8,-1.1,23.6,27.6,294,0.18,1.25
2015-03-31,0.00,0.00,0.00,84,92,73,-5.8,19.82,38319.64,-3.4,-0.2,-5.8,8.1,13.6,63,0.14,1.32
2015-04-01,0.50,0.00,0.49,85,90,81,-3.7,21.32,37015.64,-1.6,0.1,-3.7,8.6,18.4,110,0.11,1.43
2015-04-02,4.00,4.00,0.00,88,92,82,0.2,7.60,7200.00,1.9,3.8,0.2,17.4,22.9,191,0.12,0.78
2015-04-03,0.00,0.00,0.00,86,95,75,-1.9,17.31,40289.33,0.3,2.0,-0.9,17.9,23.4,292,0.16,1.17
2015-04-04,0.00,0.00,0.07,79,90,54,-7.8,22.06,41457.98,-4.5,-1.3,-7.0,16.9,24.5,295,0.24,1.32
2015-04-05,0.00,0.00,0.00,72,84,51,-10.4,24.26,43163.34,-6.1,-2.9,-8.6,8.7,12.9,310,0.24,1.48
2015-04-06,0.80,0.00,0.77,75,82,56,-9.4,14.07,24810.04,-5.6,-1.6,-7.4,7.3,10.6,57,0.20,1.08
2015-04-07,0.00,0.00,0.00,79,86,73,-5.6,24.31,40911.07,-2.5,0.8,-5.3,8.9,11.8,60,0.16,1.76
2015-04-08,0.20,0.00,0.28,70,74,69,-4.6,9.76,11729.52,0.2,1.5,-1.1,17.3,23.8,87,0.21,1.20
2015-04-09,1.50,1.50,0.00,87,96,73,-1.6,5.95,2626.87,0.3,1.4,-0.7,20.3,24.6,104,0.18,0.62
2015-04-10,10.40,10.10,0.21,95,100,86,0.5,9.87,3772.51,1.3,2.3,0.7,19.5,32.9,330,0.10,0.70
2015-04-11,0.20,0.00,0.14,84,91,75,-1.6,24.40,41645.81,0.8,3.0,-1.3,14.7,27.0,283,0.19,2.01
2015-04-12,0.00,0.00,0.00,82,84,79,-1.7,24.58,44609.74,1.1,3.0,-0.7,9.3,14.2,199,0.15,2.07
2015-04-13,4.40,4.40,0.00,83,97,78,0.9,9.35,20492.49,3.5,4.2,3.0,16.5,25.4,207,0.18,0.95
2015-04-14,0.00,0.00,0.00,78,86,70,-1.5,25.71,44976.10,2.0,4.0,0.0,12.6,15.5,269,0.24,2.32
2015-04-15,0.00,0.00,0.00,84,90,70,-2.2,26.01,45158.67,0.2,3.1,-2.6,7.4,11.2,48,0.22,2.24
2015-04-16,0.00,0.00,0.00,85,88,81,-1.9,14.01,28717.44,0.3,2.5,-1.2,9.3,11.8,121,0.14,1.24
2015-04-17,0.00,0.00,0.00,85,91,77,-0.3,25.17,42281.58,2.0,4.4,-0.0,8.4,11.6,299,0.19,2.26
2015-04-18,0.00,0.00,0.00,77,90,49,-0.9,26.48,45702.54,3.1,8.4,0.9,10.6,20.9,323,0.56,2.77
2015-04-19,0.00,0.00,0.00,79,84,69,-2.2,25.87,45882.14,1.2,5.2,-1.5,20.9,27.1,101,0.27,1.82
2015-04-20,16.20,16.20,0.00,88,100,69,1.0,3.86,3469.27,2.9,3.7,2.0,23.9,30.4,117,0.25,0.70
2015-04-21,1.60,1.50,0.07,91,97,82,0.2,20.96,42041.45,1.4,2.1,1.1,16.6,20.7,229,0.13,1.44
2015-04-22,0.90,0.50,0.98,84,95,71,-2.9,20.94,40169.10,-0.6,1.1,-1.8,14.7,25.7,289,0.18,1.42
