latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.4007,-89.244965,188.0,0,GMT,GMT

time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),sunshine_duration (s),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),winddirection_10m_dominant (°),vapour_pressure_deficit_max (kPa),et0_fao_evapotranspiration (mm)
2015-01-01,0.00,0.00,0.00,68,78,51,-16.6,5.18,24825.13,-11.8,-10.6,-14.7,25.9,28.9,289,0.12,0.51
2015-01-02,0.00,0.00,0.00,69,73,61,-22.0,4.73,25702.21,-17.6,-13.4,-20.5,16.3,23.2,303,0.08,0.31
2015-01-03,7.80,0.00,5.46,83,90,74,-11.9,1.56,0.00,-9.7,-6.1,-13.2,14.0,34.6,10,0.06,0.19
2015-01-04,0.10,0.00,0.14,69,77,59,-26.6,4.81,22335.48,-22.5,-14.5,-26.1,31.1,34.4,345,0.05,0.23
2015-01-05,0.00,0.00,0.00,68,72,63,-29.9,5.72,25958.10,-25.8,-19.9,-28.2,25.8,30.1,298,0.05,0.20
2015-01-06,0.00,0.00,0.00,69,77,55,-23.7,5.39,25525.02,-19.3,-17.3,-20.7,25.5,29.4,300,0.07,0.31
2015-01-07,0.00,0.00,0.00,65,68,61,-28.9,5.67,26158.39,-24.2,-19.5,-27.5,32.3,34.8,318,0.05,0.25
2015-01-08,1.10,0.00,1.12,68,71,64,-21.9,2.41,0.00,-17.3,-14.0,-21.0,24.3,34.0,285,0.07,0.35
2015-01-09,0.00,0.00,0.00,63,69,50,-24.3,5.21,26380.28,-19.0,-14.8,-21.6,29.0,33.6,313,0.07,0.36
2015-01-10,0.00,0.00,0.00,67,76,54,-23.1,5.75,20724.45,-18.5,-14.7,-20.4,20.1,26.8,285,0.09,0.34
2015-01-11,0.00,0.00,0.00,70,78,54,-24.1,6.38,26621.84,-20.0,-16.0,-23.2,12.0,14.2,310,0.08,0.25
2015-01-12,0.00,0.00,0.00,66,73,51,-26.0,7.00,26749.43,-21.2,-18.6,-24.3,17.9,24.4,329,0.06,0.27
2015-01-13,0.00,0.00,0.00,64,72,55,-23.9,6.41,26881.26,-18.8,-11.4,-23.1,17.8,26.9,253,0.11,0.38
2015-01-14,0.60,0.00,0.56,74,81,67,-14.8,6.00,23937.56,-11.0,-9.1,-12.4,14.0,25.7,255,0.09,0.44
2015-01-15,2.00,0.00,1.47,78,87,61,-9.1,4.47,13750.13,-5.7,-2.3,-9.6,22.2,32.6,270,0.15,0.51
2015-01-16,0.00,0.00,0.00,72,78,62,-20.3,6.85,27299.90,-16.4,-10.6,-20.4,14.8,20.4,345,0.09,0.34
2015-01-17,7.70,0.00,5.46,84,92,70,-8.9,1.93,0.00,-6.5,-2.2,-13.7,17.8,27.1,177,0.09,0.33
2015-01-18,0.40,0.00,0.70,75,85,63,-9.5,4.95,15607.62,-5.8,-2.6,-10.0,16.3,21.8,334,0.14,0.48
2015-01-19,0.00,0.00,0.00,79,84,75,-17.6,5.48,22381.50,-14.8,-10.5,-18.3,14.6,21.7,40,0.07,0.30
2015-01-20,0.00,0.00,0.00,81,85,73,-12.3,4.49,12403.40,-9.6,-5.8,-11.4,7.2,11.2,61,0.10,0.31
2015-01-21,0.00,0.00,0.00,82,89,66,-9.4,5.66,21678.07,-6.8,-5.6,-8.3,8.4,10.1,325,0.14,0.37
2015-01-22,0.00,0.00,0.00,76,82,69,-14.2,6.85,24430.45,-10.7,-4.3,-16.5,15.2,31.1,269,0.14,0.45
2015-01-23,1.30,0.20,0.84,76,86,70,-4.0,4.78,17156.30,-0.2,2.9,-3.9,22.1,31.6,247,0.16,0.85
2015-01-24,0.00,0.00,0.00,78,88,62,-5.7,6.79,25433.08,-2.4,1.6,-11.5,19.0,23.8,340,0.13,0.51
2015-01-25,0.00,0.00,0.00,72,79,54,-19.3,6.89,28375.38,-15.3,-11.8,-17.8,14.0,21.9,21,0.11,0.39
2015-01-26,3.30,0.00,2.45,79,87,70,-11.7,4.37,3405.14,-8.7,-5.4,-13.3,16.0,20.7,182,0.09,0.41
2015-01-27,0.40,0.00,0.35,85,92,73,-8.6,4.86,11649.30,-6.5,-3.6,-8.3,6.6,13.0,216,0.12,0.36
2015-01-28,1.80,0.00,1.40,89,92,85,-6.0,2.29,0.00,-4.5,-2.8,-6.3,12.1,15.8,188,0.07,0.23
2015-01-29,2.40,0.00,1.68,79,95,58,-8.3,8.40,29502.40,-5.1,-2.6,-11.7,21.1,31.7,332,0.13,0.51
2015-01-30,0.00,0.00,0.00,70,76,57,-21.5,8.87,28639.89,-17.2,-12.8,-21.1,14.5,22.9,316,0.09,0.41
2015-01-31,0.60,0.00,0.42,71,82,51,-17.8,9.33,29889.03,-13.6,-11.6,-16.6,16.6,23.8,319,0.10,0.40
2015-02-01,0.00,0.00,0.00,65,72,51,-27.0,9.59,30085.60,-22.1,-17.7,-26.1,12.5,17.4,357,0.07,0.30
2015-02-02,0.00,0.00,0.00,64,70,49,-26.8,8.73,30175.30,-21.7,-15.2,-25.3,11.5,13.8,300,0.09,0.32
2015-02-03,0.00,0.00,0.00,69,77,55,-22.8,10.06,30366.88,-18.5,-14.9,-21.7,14.0,15.9,297,0.09,0.37
2015-02-04,0.00,0.00,0.00,68,77,52,-24.0,10.02,30502.31,-19.5,-16.8,-21.6,15.5,23.4,302,0.07,0.31
2015-02-05,0.00,0.00,0.21,69,75,62,-24.5,6.12,18549.44,-20.3,-11.7,-24.6,16.8,24.5,246,0.09,0.31
2015-02-06,0.00,0.00,0.00,68,76,54,-18.2,9.51,30618.60,-13.5,-11.4,-15.9,14.1,19.5,315,0.11,0.51
